streamer_name,videoId,title,description,publishedAt
静凛,VgNkklnwBnk,🔴【DAYZ】ぞんびさんぽ【にじさんじ/静凛】,今度は3Dのゾンビ生き残りゲーム！！！！ッ！？ ただひたすらにランニングします ゾンビ1days ▷ https://youtu.be/O5IkRXR3w4E ゾンビ2days ...,2020-11-02T11:12:09Z
静凛,hOt8hXe6ziU,【Age of Z Origins】ゾンビと戦って文明再建しちゃうぞ💜 【にじさんじ/静凛】,提供：エイジオブゼット（Age of Z Origins） ゾンビを滅ぼし、人類文明の再建を目指す！ 全世界2000万ダウンロードを突破した大人気ゲーム「エイジオブゼット（Age of Z ...,2020-10-31T12:09:01Z
静凛,gDGZ7y1z3bQ,【FF14】事件屋～蒼天編～【にじさんじ/静凛】,事件屋 ∟蒼天編 FF14再生リスト ▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔ FF14 メインストーリー ...,2020-10-31T09:04:37Z
静凛,O5IkRXR3w4E,【Project Zomboid】わたしだけの死物語。【にじさんじ/静凛】,初見プレイでどれだけ生き残ることが出来るのか……ッ！？ （死ぬための物語！？知ったこっちゃない、俺は生きるゾーーーーー！！！） ゾンビ2days ...,2020-10-30T19:14:59Z
静凛,mami9ocNnkY,【FF14】いっぱい溜まったね💜（ジョブクエ）【にじさんじ/静凛】,そのクエスト、夏休みの宿題の如きー。 ∟竜騎士Lv40～Lv54 / モンクLv80 / 白魔導士Lv54～Lv80 SpecialThanks ねこんてぃ様 ▷ https://twitter.com/NeConTaiL ...,2020-10-29T18:19:47Z
静凛,NBwwmkEV6cg,09:【HITMAN】新人暗殺者、週中木曜日の華麗なる任務！【にじさんじ/静凛】,実績あ～つめ！！ しずりんは立派な暗殺者ですから(*'▽') 初歌ってみた ✅ボッカデラベリタ by 静凛 https://youtu.be/SnG9sbZBd3I SpecialThanks Ishiki CJ様 ...,2020-10-29T05:27:02Z
静凛,fxnYjch3wC8,【Remothered: BP】少女と一緒にレッツスニーク💜【にじさんじ/静凛】,"情報なしの初見プレイーーー！！！ 前作プレイ済よろしくね ✅https://youtu.be/4FHdUc8jpTM ゲーム実況""Part1""リスト ...",2020-10-19T20:24:25Z
静凛,pFGw6RWUVpU,【FF14】攻城戦 突撃！戦線ガチャ💜【にじさんじ/静凛】,Patch 5.35 遊ぶよ～～！！！！！！ ∟南方ボズヤ戦線に突撃しよーーーー！！！ SpecialThanks 福木とくわ様 ▷ https://twitter.com/tokuwat FF14再生リスト ...,2020-10-15T17:00:45Z
静凛,FWOaHuO4ZWc,05:【夜、灯す】営業じゃない百合が見れるホラゲらしい💜 【にじさんじ/静凛】,今回は、12話からスタートします(∩´∀｀)∩ 新作ホラーアドベンチャー「夜、灯す」を遊んでみたいと思いまう！ 公式サイト✅https://nippon1.jp/consumer/yorutomosu/ ...,2020-10-15T10:55:00Z
静凛,IQC-ly-GvDU,【FF14】パッチ5.35 突撃！南方ボズヤ戦線💜【にじさんじ/静凛】,Patch 5.35 遊ぶよ～～！！！！！！ ∟南方ボズヤ戦線に突撃しよーーーー！！！ SpecialThanks 福木とくわ様 ▷ https://twitter.com/tokuwat FF14再生リスト ...,2020-10-14T23:51:14Z
静凛,QPzV9szBlGE,【FF14】パッチ5.35 突撃！南方ボズヤ戦線💜【にじさんじ/静凛】,Patch 5.35 遊ぶよ～～！！！！！！ ∟南方ボズヤ戦線に突撃しよーーーー！！！ SpecialThanks 福木とくわ様 ▷ https://twitter.com/tokuwat FF14再生リスト ...,2020-10-13T22:02:22Z
静凛,i3hTNQOxhsM,02:【Fall Guys】研鑽を重ねるふぉーるがいず💜 【にじさんじ/静凛】,カイ〇のような心温まる人間関係と、思いやり溢れるバトロワ要素が 積み込まれた、育成シミュレーションゲームとお聞きしました！！ SpecialThanks かる様 ...,2020-10-12T20:47:03Z
静凛,HXtdlJT5e-Q,09:【LOST ARK】初見の『ロストアーク』をプレイ💜【にじさんじ/静凛】,"メインストーリー ∟CBTの続きからプレイするよ～(∩´∀｀)∩ 最初に知っておくべき機能10選 https://youtu.be/YrRYC5Kqq1g ゲーム実況""Part1""リスト ...",2020-10-11T22:12:42Z
静凛,2gnSXHkjjfA,【Fall Guys】初めての！ふぉーるがいず💜 【にじさんじ/静凛】,カイ〇のような心温まる人間関係と、思いやり溢れるバトロワ要素が 積み込まれた、育成シミュレーションゲームとお聞きしました！！ あ！！完全初見になります！,2020-10-10T20:01:37Z
静凛,ygPRmue_wDE,08:【LOST ARK】初見の『ロストアーク』をプレイ💜【にじさんじ/静凛】,"メインストーリー ∟CBTの続きからプレイするよ～(∩´∀｀)∩ 最初に知っておくべき機能10選 https://youtu.be/YrRYC5Kqq1g ゲーム実況""Part1""リスト ...",2020-10-09T22:21:05Z
静凛,G7BIHCKgVmg,【FF14】第60回PLL同時視聴💜【にじさんじ/静凛】,5.35と5.4楽しみね～   SpecialThanks 虚様 ▷ https://twitter.com/krokikyon FF14再生リスト ...,2020-10-09T16:29:57Z
静凛,QuZ_PQdfouQ,体が逃走を求める💜 【にじさんじ/静凛】,デドバ！！ 初歌ってみた ✅ボッカデラベリタ by 静凛 https://youtu.be/SnG9sbZBd3I SpecialThanks きひろ様 ▷ https://twitter.com/kihiro_wanoiro ゲーム ...,2020-10-03T22:59:58Z
静凛,jL2A6mk-214,08:【HITMAN】新人暗殺者の今週もお疲れ様金曜日！【にじさんじ/静凛】,ペイシェント・ゼロ後編～～～～～！！！！！ しずりんは立派な暗殺者ですから(*'▽') 初歌ってみた ✅ボッカデラベリタ by 静凛 https://youtu.be/SnG9sbZBd3I にじT ...,2020-10-02T23:05:40Z
静凛,7Bp0eCEziFE,体が久しぶりに逃走を求める💜 【にじさんじ/静凛】,お久しぶりのデドバー！！ クロスプレイ実装後、初配信です～～～(∩´∀｀)∩   初歌ってみた ✅ボッカデラベリタ by 静凛 https://youtu.be/SnG9sbZBd3I ...,2020-10-01T16:41:54Z
静凛,NplcWE9K4js,【FF14】奇譚集まってないNO PLAN💜【にじさんじ/静凛】,まったり ∟今週の奇譚を集める！ SpecialThanks かんべ ぴろしき様 ▷ https://twitter.com/piro_shki様 FF14再生リスト ...,2020-09-28T18:01:45Z
静凛,H4-KHCl5B_8,【マイクラ肝試し2020】JK組、6年前にタイムスリップするの巻👻【にじさんじ/静凛】,行きはよいよい帰りは恐い。 2014年に公開されました御山MAPを遊ばせて頂きます❗️❗️ @樋口楓【にじさんじ所属】 https://twitter.com/HiguchiKaede 【楓視点】 ...,2020-09-27T15:44:25Z
静凛,QAGj6kv0-jw,【マイクラ肝試し2020】第34話、しずりん 幼馴染と前川郷に行くの巻👻【にじさんじ/静凛】,前川郷をのんびり探索！ 釣りしたり、文献さがしたり楽しむぞ～(*'▽') ただし、起きれたらです。 SpecialThanks タカシダ様 ▷ https://twitter.com/takashidas 主催 ...,2020-09-27T13:00:53Z
静凛,5jjnMWs5GPU,【マイクラ肝試し2020】第24話 JK組、前川郷の七不思議に挑むの巻②👻【にじさんじ/静凛】,前川郷七不思議〇〇事件。 七不思議の謎を追って、前川の歴史を紐解く。じっちゃんの名にかけて！ @樋口楓【にじさんじ所属】 https://twitter.com/HiguchiKaede 【楓 ...,2020-09-26T17:01:40Z
