streamer_name,videoId,title,description,publishedAt
でびでび・でびる,rwBmTKn39G8,20XX_03_27_220112,コミュ限(*´ω｀*) ホラゲいやすぎる(´；ω；`)ｳｩｩ ゆっくりおはなそ～♡ BGMお借りしてます♪ musmusさん♡ http://musmus.main.jp/,2020-03-27T13:35:53Z
でびでび・でびる,wFkxDH6Dxjk,20XX_02_26_020310,コミュ限(*´ω｀*) おはなし～おはなし～たのしいおはなししよ(*ﾉωﾉ) BGMお借りしてます♪ musmusさん♡ http://musmus.main.jp/,2020-02-25T17:38:53Z
でびでび・でびる,c7SysPgyYGc,20XX_01_X6_190X4X,今日も元気にでびっち放送(*´ω｀*) はーじまーるよ～！ 変なコメント禁止(# ﾟДﾟ) BGMお借りしてます♪ musmusさん♡ http://musmus.main.jp/,2020-02-18T17:24:38Z
でびでび・でびる,GvxD6XmSj8Y,20XX_02_12_200217,つ い に やる(*'ω'*)ホラゲー(´;ω;｀) ぜったいむりだとおもう。 できなくても、おこっちゃやだよっ(*ﾉωﾉ) 皆がしろしろっていうからなんだからねっ！,2020-02-12T14:25:33Z
でびでび・でびる,vucil62lKvE,【萌え声雑談】でびっちのまたーり雑談(*´ω｀*)【凸受け付けてまｾﾝ】,彡 たのし～くまった～り 雑談♡ 今日は凸×！ かけても無視するからね( ´艸｀) いじわるいうひとはめっ！ コミュ登録( ｀・∀・´)ﾉﾖﾛｼｸ.,2020-02-07T14:58:01Z
でびでび・でびる,cyo1teHTdTk,メイドとりりむとAPEXする,APEX めいどとりりむ する ねぼうした メイド https://www.youtube.com/channel/UC1opHUrw8rvnsadT-iGp7Cg?view_as=subscriber りりむ ...,2019-02-22T01:35:17Z
でびでび・でびる,5kt8eo_YOZE,恐怖のミュージカル！～スウィニー・トッド悪魔の理髪師～　ゆずでびちまみれセレクション,へんなやつ https://www.youtube.com/channel/UCFaDvgez8USXHiKidt0NtZg?sub_confirmation=1 と えいが を みる 「スウィニートッド 悪夢の理髪師」 ヴィクトリア朝 ...,2019-02-19T16:01:32Z
でびでび・でびる,tiX7DUgDxdA,インコとへんなやつとAPEX,APEX？ なんだそれは 叶 https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA ふぇありす ...,2019-02-19T08:59:03Z
でびでび・でびる,p1kIqybU1dY,APEXをパトラと小娘とやる【悪魔女DX】,悪魔と魔女が集まって…… やるのはAPEX!? 奇妙で恐ろしいAPEXをとくとみよ！ APEX やる 周防パトラ YouCh ...,2019-02-18T17:09:17Z
でびでび・でびる,hp3TpJwFHa4,【にじさんじ】APEXていうゲームをやる,童話朗読をやろうと思ってらしたらしいんですが サムネを作るの忘れていたらしいです。 APEX やる twitter https://twitter.com/debidebiru_sama バレンタインボイス ...,2019-02-18T15:57:47Z
でびでび・でびる,QDogAYsxHwA,うんち,うんち #悪夢組 ピエロ（ジョー・力一） https://www.youtube.com/channel/UChUJbHiTVeGrSkTdBzVfNCQ?sub_confirmation=1 ボイス販売中 ...,2019-02-14T17:37:28Z
