streamer_name,videoId,title,description,publishedAt
にじさんじ,P_sRa286_9c,Rain Drops – 11/25発売『オントロジー』XFDムービー,11月25日発売。2nd MINI ALBUM『オントロジー』XFDムービーを公開しました。 今作は「存在」をテーマに様々な人間模様を描いたミニアルバムです。 少しずつですが、 ...,2020-11-02T11:00:51Z
にじさんじ,kTfLrrKVezE,【漫画】可愛いだけでは誤魔化しきれなかった魔界ノりりむ【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,卯月コウの離席中、視聴者に自慢をはじめる魔界ノりりむ。 しかし、コメント欄は無反応？どうやらりりむの声が聞こえていないよう。 「おーい、聞こえる？？」 何度も ...,2020-11-02T09:00:19Z
にじさんじ,NfBcPftjq_c,【放課後会議！】バーチャルお化け屋敷を企画せよ！【#にじFes2021】,「にじさんじ Anniversary Festival 2021」にて、お化け屋敷の開催が決定！ イベントの目玉企画にして、業界最大級のバーチャルお化け屋敷を、彼女たちは無事、企画しきる ...,2020-11-02T09:00:16Z
にじさんじ,o6ESXJbq-k0,【Digest Video】Kyō to Aki no NIJISANJI ～Mochinowa-ru Danshi Ryokō～＜For JLODlive＞,"Event Title: ～Mochinowa-ru Danshi Ryokō～ Date & Time: September 18, 2020 Venue: ROHM Theatre Kyoto Performers: ChroNoiR（Kanae, Kuzuha), Guest: ...",2020-11-01T04:00:14Z
にじさんじ,rNqjgFc2j7M,【Digest Video】Kyō to Aki no NIJISANJI ～Sugoi na kore wa! Kōyō shite kita～＜For JLODlive＞,"Event Title: ～Sugoi na kore wa! Kōyō shite kita～ Date & Time: September 20, 2020 Venue: ROHM Theatre Kyoto Performers: Keisuke Maimoto, Joe Rikiichi 京 ...",2020-11-01T04:00:05Z
にじさんじ,el5IGPs2WXA,【Digest Video】Kyō to Aki no NIJISANJI ～Kyō wa Sumeshi～＜For JLODlive＞,"Event Title: ～Kyō wa Sumeshi～ Date & Time: September 19, 2020 Venue: ROHM Theatre Kyoto Performers: Fuyuki Hakase, Hayato Hagami, Rena Yorumi 京 ...",2020-11-01T04:00:04Z
にじさんじ,FHWwiRvqr5Q,【#56 前半】セブンイレブンpresentsだいたいにじさんじのらじお【文化放送超!A&amp;G＋】,後半 https://youtu.be/A9OC2Gd9de4 】 ⇐【#55 https://youtu.be/Xj6Uuw5QklE 】 「にじさんじ」に所属するVTuberによるラジオ番組 「セブンイレブンpresentsだいたいにじ ...,2020-11-01T03:00:05Z
にじさんじ,vevDnKcG8IY,【#28 前半】にじさんじpresentsリゼるるListen【文化放送】,後半 https://youtu.be/S4h3JIYEV-c 】 ⇐【#27 https://youtu.be/1r8KpoF0byc 】 にじさんじに所属するVTuber「リゼ・ヘルエスタ」と「鈴原るる」による ラジオ番組『にじさん ...,2020-11-01T03:00:06Z
にじさんじ,ftfgR9BFHFU,【漫画】記念配信なのに…嘘発見器によってコラボ相手の本心を知ってしまう魔女【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,ハッピーハロウィン！ 本日のぷちさんじはお誕生日のあの人が登場！ 葉山舞鈴とニュイ・ソシエールのふたりは、 デビューしてから1周年の記念配のなかで、とある企画を ...,2020-10-31T09:00:10Z
にじさんじ,gMhgyp0hHlM,【タントアール】ヤシロ&amp;ササキのレバガチャダイパン #20【にじさんじ】,先週に引き続き、えると緑仙と一緒に『タントアール』！ 高難易度ミニゲーム「フォトショック」に全員でリベンジ！そして再びコンペモードで最終決戦！？ 緑仙の少林寺拳法 ...,2020-10-30T10:00:15Z
にじさんじ,T27PQPRQ8UQ,【漫画】宇宙へとびだせ茶番劇！？なかよく喧嘩しな！【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,SFに縁のある3人のライバー、出雲霞、黛灰、夕陽リリ。 今日は宇宙を舞台にしたゲームでのコラボ配信！ 単純作業の続く出雲を気に掛けるも、当の本人は楽しそう。,2020-10-30T09:26:56Z
にじさんじ,6Rh7nJ18-ic,【漫画】【かわいい】うっかりおじさん化！？三者三様の反応をみせる先輩たち（4名）【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,今日は世怜音女学院の5人での初コラボ！ リスナーからの質問に答えていく面々。 「お互いのこと、なんてよんでる？」 5人を代表して末っ子の周央サンゴがひとりひとりの ...,2020-10-28T09:00:03Z
にじさんじ,h5ewNeJPDxM,Hand in Hand／リゼ・ヘルエスタ【Cover】,にじさんじ初となるカバーソングアルバム。 『Prismatic Colors』が10月28日発売！ アルバム収録曲の中から『Hand in Hand』の3DMVを公開！！ 原曲：Hand in Hand ...,2020-10-28T03:00:13Z
にじさんじ,I5LRTJQx4Xs,【漫画】癒しをくれ…かわいいリクエストに煩悩まみれで応える11歳【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,歌枠配信中の童田明治のコメント欄に現れたのはなんとシスター・クレア！ かわいい歌のリクエストに即答する童田。 その姿はメロメロを通り越して限界化…！？ 何故か ...,2020-10-26T09:00:04Z
にじさんじ,qzMskatEk2s,Rain Drops – 11/25発売『オントロジー』SPOT CM(走るレイドロ Ver.)15sec,Rain Drops2nd MINI ALBUM『オントロジー』SPOT CM。第1弾はミュージックビデオを使用した「走るレイドロ Ver.」を公開しました。 Rain Drops 2nd MINI ALBUM『 ...,2020-10-25T04:11:25Z
にじさんじ,1r8KpoF0byc,【#27 前半】にじさんじpresentsリゼるるListen【文化放送】,後半 https://youtu.be/e4IuoOJ80Bs 】 ⇐【#26 https://youtu.be/34Dymwmh5iI 】 にじさんじに所属するVTuber「リゼ・ヘルエスタ」と「鈴原るる」による ラジオ番組『にじさん ...,2020-10-25T03:00:00Z
にじさんじ,Xj6Uuw5QklE,【#55 前半】セブンイレブンpresentsだいたいにじさんじのらじお【文化放送超!A&amp;G＋】,後半 https://youtu.be/uuNv5fB4KE4 】 ⇐【#54 https://youtu.be/dyF8q59t9wI 】 「にじさんじ」に所属するVTuberによるラジオ番組 「セブンイレブンpresentsだいたいにじさん ...,2020-10-25T03:00:02Z
にじさんじ,wMx8CX2a0fw,【漫画】ライブ中の嬉しい誤算！？夢のような体験に女神も大興奮！！【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber かわいい,ライブといえば、やっぱり一体感！ 樋口楓はライブツアー中のある場面の裏話を始める。 パフォーマンス中にある人物とバチッ！と目が合い、 ライブならではの臨場感を ...,2020-10-24T09:00:11Z
にじさんじ,Thf5mhiBVrc,Rain Drops『オントロジー』Music Video(11/25発売『オントロジー』収録曲),11月25日発売。Rain Drops 2nd MINI ALBUM『オントロジー』よりリード曲「オントロジー」ミュージックビデオを公開しました。 Rain Drops 2nd MINI ALBUM『オントロジー』 ...,2020-10-23T11:00:27Z
にじさんじ,qgppf0W5wJk,【かわいい】悪魔が教える本当の恐怖とは…？サプライズ登場でJK組大混乱!?【ツキイチ！にじさんじ】【ドッキリ】【罰ゲーム有り】【切り抜き】VTuber,こちらの概要欄はネタバレを含みます※ ハロウィン間近のツキイチ、悪魔に乗っ取られる！？ にじさんじがお届けする、公式情報バラエティ番組 ツキイチ！にじさんじ。 これを ...,2020-10-23T11:00:10Z
にじさんじ,WLod6_thGIE,【タントアール】ヤシロ&amp;ササキのレバガチャダイパン #19【にじさんじ】,今週はRain Dropsでも大活躍中のえると緑仙がゲストで登場！ アーティストオーラにレギュラー二人が異様なテンションに！？ そして今回遊ぶのはミニゲーム集の超名作『 ...,2020-10-23T10:00:13Z
にじさんじ,B1bkCwbRsSs,【漫画】本当のような嘘の話？？架空の面接に思いをはせるエルフ【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,〇〇面接の話、覚えてる？』「覚えてるよ～！」 リスナーからの質問から、えるはある思い出を語りはじめる。 目の前にはでびでび・でびる、樋口楓、勇気ちひろ。 にじさんじを ...,2020-10-23T09:00:05Z
にじさんじ,YzEtirr5Pno,【10月28日発売！】 にじさんじ/JAPAN TOUR 2020 Shout in the Rainbow！[Blu-ray] CM,2/9の札幌公演を皮切りに、福岡、難波、名古屋、難波（追加・無観客）にて行われた、 にじさんじ2周年を記念した初のライブツアー全５公演のライブの模様をダイジェスト形式 ...,2020-10-22T09:30:02Z
にじさんじ,d23NV5ZGGWg,【にじさんじ】カバーソングアルバム - 10/28発売『Prismatic Colors』特典CD XFDムービー,にじさんじ初となるカバーソングアルバム。 『Prismatic Colors』が10月28日発売！！ にじさんじオフィシャルストアで予約すると 特典CDがついてきます！ ◇特典CD 収録 ...,2020-10-22T03:00:12Z
にじさんじ,jqmNtcHnJzQ,【漫画】東京って怖い！！仕事で出会った人たちの意識が高すぎる…【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,東京は恐ろしい所だ… アンジュ・カトリーナは昔の仕事について話し出す。 一時期、錬金術とは別の仕事をしていたアンジュ。 そのお仕事はなんとファッション雑誌！？ 椅子 ...,2020-10-21T09:00:10Z
にじさんじ,PIOdiz2uCqQ,【漫画】面白いけど許せない！！あの３D配信のお話、聞いてくれる？【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,（ジョー・）力一の３D見た？』リスナーに語りかける竜胆尊。 鷹宮リオンを含めた3人ユニット「RRR（りりり）」のメンバーとして、 力一の３Dお披露目配信をとても楽しみにしてい ...,2020-10-19T09:00:04Z
にじさんじ,34Dymwmh5iI,【#26 前半】にじさんじpresentsリゼるるListen【文化放送】,後半 https://youtu.be/tGEFHnqpujc 】 ⇐【#25 https://youtu.be/zLXYFg6JN4c 】 にじさんじに所属するVTuber「リゼ・ヘルエスタ」と「鈴原るる」による ラジオ番組『にじさん ...,2020-10-18T03:00:00Z
にじさんじ,dyF8q59t9wI,【#54 前半】セブンイレブンpresentsだいたいにじさんじのらじお【文化放送超!A&amp;G＋】,後半 https://youtu.be/jQ5umL1Nmig 】 ⇐【#53 https://youtu.be/b5rPG11um4U 】 「にじさんじ」に所属するVTuberによるラジオ番組 「セブンイレブンpresentsだいたいにじ ...,2020-10-18T03:00:06Z
にじさんじ,gs2h1x1nfi0,【漫画】その時、猫が動いた…最強は誰だ！？白熱する麻雀大会！！【マンガ動画】【アニメ】にじさんじ☆ぷちさんじ VTuber,舞元啓介は自身が主催する麻雀大会にてある予選グループの実況、解説を行っていた。 舞台は最終局面。首位を走る剣持刀也、 後を追うイブラヒム、勝利への戦略を練る ...,2020-10-17T09:00:15Z
