streamer_name,videoId,title,description,publishedAt
エクス・アルビオ,gyUsysiQ6Ns,【APEX】CRカップお疲れ様でした…!!新シーズン前に最後のエペ！【にじさんじ/エクス・アルビオ】,CRカップ本当に応援ありがとうございました！！ にじさんじ所属バーチャルライバー エクス・アルビオ と申します。 よければチャンネル登録と高評価お願いします!! 【Twitter】 ...,2020-11-03T08:19:20Z
エクス・アルビオ,sa0w2ldyFJc,【APEX】CRカップ！『キッズステーション』勝つぞ!!【にじさんじ/エクス・アルビオ】,キッズWIN CRカップ チーム『キッズステーション』 杏戸ゆげ 代表 https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg カワセ 監督 ...,2020-11-01T12:42:03Z
エクス・アルビオ,FjRyAXZTImU,【APEX】CRカップカスタムマッチ最後の練習！！【にじさんじ/エクス・アルビオ】,無くします！！ CRカップ チーム『キッズステーション』 杏戸ゆげ 代表 https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg カワセ 監督 ...,2020-10-31T18:49:30Z
エクス・アルビオ,Kj1Wp5QJvXY,【APEX】CRカップカスタムマッチ!!絶対に勝つ！！【にじさんじ/エクス・アルビオ】,無くします！！ CRカップ チーム『キッズステーション』 季咲あんこさんが22時まで代打で入ってくれます!! あんどゆげ(22時から) ...,2020-10-30T15:56:05Z
エクス・アルビオ,icGPs3WhFQc,【APEX】2日ぶりのCRカップカスタムマッチ!!行くぞ!!【にじさんじ/エクス・アルビオ】,頑張ります!! CRカップ チーム『キッズステーション』 杏戸ゆげ 代表 https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg カワセ 監督 ...,2020-10-29T17:16:49Z
エクス・アルビオ,1UsVB5GgsZw,【パズドラ】鬼滅の刃コラボ800個回します!!絶対コンプするぞ!!【にじさんじ/エクス・アルビオ】,初にじ3Dです!! #パズドラ #鬼滅の刃 #鬼滅コラボ にじさんじ所属バーチャルライバー エクス・アルビオ と申します。 よければチャンネル登録と高評価お願いします!! 【Twitter】 ...,2020-10-27T02:03:14Z
エクス・アルビオ,yi_eE-6zE_k,【APEX】CRカップカスタムマッチ!!張り倒します!!【にじさんじ/エクス・アルビオ】,勝ちます CRカップ チーム『キッズステーション』 杏戸ゆげ 代表 https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg カワセ 監督 ...,2020-10-26T16:07:59Z
エクス・アルビオ,PhWbH2crF70,【APEX】CRカップ前にハロウィンイベントで暴れます!!【にじさんじ/エクス・アルビオ】,おかねくれなきゃいたずらしちゃうぞ CRカップメンバー 杏戸ゆげさん https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg カワセ監督 ...,2020-10-25T16:46:53Z
エクス・アルビオ,D9vEKWixQqc,【耐久配信】ルドーで勝つまで終われません!!『世界のアソビ大全51』【にじさんじ/エクス・アルビオ】,怖い にじさんじ所属バーチャルライバー エクス・アルビオ と申します。 よければチャンネル登録と高評価お願いします!! 【Twitter】 https://twitter.com/Ex_Albio 【メンバー ...,2020-10-25T11:45:05Z
エクス・アルビオ,2i6SraFBRuU,【APEX】CRカップ優勝候補チームです!!ぎちぎちに丸めます【にじさんじ/エクス・アルビオ】,エビオチームにならないかな… CRカップメンバー 杏戸ゆげさん https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg カワセ監督 ...,2020-10-22T16:10:51Z
