streamer_name,videoId,title,description,publishedAt
エリー・コニファー,WHYKSY7Kiuw,#5【beatmaniaIIDX ULTIMATE MOBILE】過去の自分を超える【#エリーコニファー/#にじさんじ】,前回 https://youtu.be/kVn4ATaKZXs ※「もっと見る」をぽちぃ！※ 専コンという名の機材が届くまで、りんご印の魔法盤さんで、弐寺ことbeatmaniaIIDXの修行です！,2020-11-02T03:15:13Z
エリー・コニファー,c4sYDns0JBg,【MV】笑顔の花言葉  / エリー・コニファー【オリジナル】#にじさんじ,"出逢ったすべての方々へ、お送りする花言葉。 Producer: エリー・コニファー Production Support: おと - Music Video - Director: Tansa Editor: 鴫野エイカー, Tansa ...",2020-10-31T13:00:10Z
エリー・コニファー,SoquDo2xmGo,#3【Muse Dash】初見で『MUSIC快楽天Vol.2』【#エリーコニファー/#にじさんじ】,【10/31まで！】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-30T03:52:04Z
エリー・コニファー,kVn4ATaKZXs,#4【beatmaniaIIDX ULTIMATE MOBILE】二本指、卒業！？初の2P運指【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-29T04:05:34Z
エリー・コニファー,BXpX2vj0VKg,#3【#VOEZ】おすすめ楽曲を初心者がSpecialしばり演奏【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-28T03:54:31Z
エリー・コニファー,CSspqAB4TVQ,#4【#Lanota】初心者が初見Ultra演奏！チャプターⅡ「農場内の不協和音」SECTION.1【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-27T03:52:22Z
エリー・コニファー,il-gzKFmfWw,#4【Cytus α】Chapter2 DISASTER 初心者がHARD初見演奏【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-26T03:55:39Z
エリー・コニファー,9b8MxS0x6Wk,#3【beatmaniaIIDX ULTIMATE MOBILE】二本指でリクエスト曲演奏【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-23T03:56:57Z
エリー・コニファー,YYmfadCHb2U,#3【#Lanota】チャプターⅠ「大自然の万有音律」SECTION.7 街の噴水【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-22T03:54:11Z
エリー・コニファー,-JY5dXjCCXM,#2【Muse Dash】初見で『MUSIC快楽天Vol.1』【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-21T03:52:33Z
エリー・コニファー,6nYJcjNCQ3k,#3【Cytus α】Prologue キー奏法を習得するための修行【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-20T03:53:29Z
エリー・コニファー,qU8U-jFYfCE,#2【#VOEZ】初心者がSpecial15前後に挑戦【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-19T03:59:22Z
エリー・コニファー,2oTY3YDISQI,#2【Cytus α】Chapter1 OPERATORS キーでの演奏法に慣れたい【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-16T03:54:18Z
エリー・コニファー,9deC8AWid8c,#1【#VOEZ】奏でて読み進める青春バンド物語【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-10-15T04:05:17Z
エリー・コニファー,jKt2qoOLDCU,#2【#Lanota】チャプターⅠ「大自然の万有音律」色を失くした花畑！？【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-14T03:52:00Z
エリー・コニファー,5l8rV_J3DdY,#18【#DEEMO】初見でDEEMO -Reborn- colletion【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 突然 ...,2020-10-13T18:14:56Z
エリー・コニファー,TxQRcnReC3M,#2【beatmaniaIIDX ULTIMATE MOBILE】専コン来るまで二本指で限界に挑戦【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ←前回 ...,2020-10-13T05:47:18Z
エリー・コニファー,AnLAUnhJVQE,#1【Muse Dash】走って捌いて世界譜を修復！【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-10-12T03:52:49Z
エリー・コニファー,fT7XvwFZjpU,#1【#Lanota】新たなる円盤の調べ。色と音を取り戻す旅へ【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-10-09T03:15:13Z
エリー・コニファー,xxfX8uRSEog,#1【Cytus α】はじめてのCytus。奏で、蘇る記憶【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-10-08T03:53:30Z
エリー・コニファー,FCtW4IFTiq8,#1【beatmaniaIIDX ULTIMATE MOBILE】DEEMO経験者が弐寺に初挑戦したらどうなる？【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-10-07T03:51:45Z
エリー・コニファー,D027NkKG0Aw,【#雑談】初めてMRI検査を受けた結果【#エリーコニファー/#にじさんじ】,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-10-04T12:32:53Z
エリー・コニファー,tG7SxI6XW0c,【#Craftopia】エリコニ視点 #クラフトぴわわ 一緒に創る初めての世界【#エリーコニファー/#伏見ガク/#にじさんじ】#クラフトピア #ぴわわ,【期間限定ボイス発売】スポーツの日ボイス！一緒に初めての〇〇〇〇に挑戦です！ご購入先▷ https://shop.nijisanji.jp/s/niji/item/detail/dig-00165?ima=4613 ※「もっと ...,2020-09-29T14:52:32Z
