streamer_name,videoId,title,description,publishedAt
ギルザレンⅢ世,fqVagdd6eRE,ギルザレンⅢ世アニバーサリークルーズ_航海1095日目（最終夜）,ギルザレン三世公爵様の生誕やらなんやらを記念して開催された「公爵様と行く豪華客船船上パーティ」もいよいよ最終日を残すだけとなりました。最終日となる今宵、ついに ...,2020-07-12T22:18:09Z
ギルザレンⅢ世,_g_IW9CUTek,ギルザレンⅢ世アニバーサリークルーズ_航海■■日目（最終日前夜）,現在絶賛開催中の「公爵様と行く豪華客船アニバーサリーパーティ」では、多くのプレミアムケンゾクらの祝福の声と喝采が長きにわたり、船上を埋め尽くさんばかりに鳴り響い ...,2020-07-10T18:58:16Z
ギルザレンⅢ世,k1F93mkch-8,【#にじさんじデビューしてる】リブート、あるいはテスト配信【にじさんじ/ギルザレン三世】,リブート(reboot) または再起動とは、フィクション作品において、シリーズにおける連続性を捨て、新たに一から仕切り直すことを意味する用語(ウィキペディアより引用) ...,2020-04-12T13:38:16Z
ギルザレンⅢ世,bsdt044KK4o,VFN：年末特番,ヴァンパイア専門報道チャンネル「Virtual Freaks News」今年最後の放送でございます！ キャスターはお馴染みギルザレンⅢ世公爵様！ 今宵も報道フロアから最新の「 ...,2019-12-30T22:17:03Z
ギルザレンⅢ世,tXssqcM6CRQ,VFN：ハロウィン特集,あの伝説のヴァンパイア専門報道チャンネル「Virtual Freaks News」が装いも新たに帰ってくる... キャスターはお馴染みギルザレンⅢ世公爵様が6世紀ぶりに現場に復帰。,2019-10-29T15:00:10Z
ギルザレンⅢ世,uduCf0LpbzE,【 Project Winter 】遭難あるいは、【ギルザレンIII世視点】,「ギルキャン」収録中に、突如現れた獣と死闘を繰り広げたギルザレン三世...。死闘の末、一瞬の隙を突き、獣は山奥へ逃走...。 手負いの獣を放っておくことはできずに ...,2019-09-13T14:54:01Z
ギルザレンⅢ世,2BX0uS5Pfvk,ギルキャン第0回(パイロット版),今宵は番組編成を急遽変更して、特別ドキュメンタリー番組「ヴァンパイアライフ(仮)」をお送りします。 番組内でゲストや公爵様への質問などをマシュマロにて募集させて ...,2019-09-10T18:40:01Z
ギルザレンⅢ世,WvX-36ygmeA,取引、あるいはテスト配信,次期シーズンの公開を控え、着々と撮影の準備を進めていたギルザレン三世…。 しかし、スポンサーとして制作費の殆どを出資していたVBC会長の不正が発覚し、状況は ...,2019-09-03T21:01:56Z
ギルザレンⅢ世,umdSBKdlwTU,ギルザレンⅢ世生誕祭お茶会(一般ケンゾク向け),今宵は6/6に晴れてVTuberとして二回目の生誕日を迎えられたギルザレンⅢ世様のミッドナイトティーパーティーを開催いたします。前回のプレミアムケンゾク向けライブに ...,2019-06-09T21:01:52Z
ギルザレンⅢ世,06ACy1Og-Fg,07_Gilzaren III GWボイス.wav,今宵は公爵様のGWボイスの公開録音を行います。】 iOS: http://bit.ly/575on_ios Android: http://bit.ly/575on_and GWボイスのBOOTHは以下から ...,2019-05-05T20:52:32Z
