streamer_name,videoId,title,description,publishedAt
グウェル・オス・ガール,vRaRsQbjCkE,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,88人目、モイラ様を描いてまいります。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。 チャンネル ...,2020-10-28T14:05:34Z
グウェル・オス・ガール,3OHV17s7JcY,【 #セレじょワードウルフ 】ワードウルフ【にじさんじ/グウェル・オス・ガール】,セレじょの5人にワードウルフに挑戦して頂きます！ 【ざっくりルール説明】 ・全員にお題ワードが配られる。 ・じつは一人だけ違うワードが配られている。←この人が人狼(自分 ...,2020-10-25T11:11:30Z
グウェル・オス・ガール,05U_hNkW3Ek,【 価値観共有ゲーム 】ito【にじさんじ】,「 ito 」と言う価値観共有ゲームを開催します。 【ざっくりルール説明】 ・プレイヤーは数字を配られる。 ・お題(例:食べ物)にそって各自、自分の数字に当てはまるワードを言う。,2020-10-24T09:05:33Z
グウェル・オス・ガール,FzybgJoJnuo,【比較動画】Virtual to live 【本家 ＆ 全部グウェル】【にじさんじ】,Virtual to live の本家と全部グウェルの比較動画です。 作りこみの愛が伝われば嬉しいなと思っています。 -本家様- https://www.youtube.com/watch?v=zPMWAj54Seg ...,2020-10-23T11:45:13Z
グウェル・オス・ガール,CNkGyt_O4lo,【 #椎名人狼 】天国【にじさんじ】,の配信の天国です。 【人狼】雪山いつめん＋夜王国でガチ人狼！！【椎名唯華/にじさんじ】 https://youtu.be/sTu7e6qO41I.,2020-10-21T13:27:37Z
グウェル・オス・ガール,A9S_LdpSvIE,【ゼロからの物理】魔界ノりりむが砲弾の飛距離を求めるまで終われません【にじさんじ】,積分を乗り切った彼女になら、物理も登り切れると信じています。 前回：積分編 https://www.youtube.com/watch?v=A10g9qAC2vQ 生徒 魔界ノりりむ殿 ...,2020-10-18T16:06:43Z
グウェル・オス・ガール,2Rr2taSmIgY,【一人合唱】Virtual to Live 【にじさんじ/グウェル・オス・ガール】,チャンネル登録者10万人感謝の気持ちで、Virtual to Liveを一人で合唱しました。 Mix YAB https://twitter.com/omganl Movie 伏見やお https://twitter.com/TubakiYao (一 ...,2020-10-16T11:45:10Z
グウェル・オス・ガール,RmL_4N_1LIs,【テンパるアタマのラビリンス】PanicQube (パニックキューブ)【にじさんじ/鷹宮リオン/葉加瀬冬雪/フレン・E・ルスタリオ/グウェル・オス・ガール】,テンパるアタマのラビリンス PanicQube (パニックキューブ) ここに始まります。 ３人で協力して、迷宮を突破することは出来るのか！？ ハッシュタグ #ぱにきゅーぶ で応援等 ...,2020-10-11T09:36:56Z
グウェル・オス・ガール,4JjdvRqVBlA,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,87人目、メリッサ・キンレンカ殿を描いてまいります。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております ...,2020-10-10T10:45:40Z
グウェル・オス・ガール,CFIsYF0DyVQ,にじさんじライバーの持ち方,本動画では、にじさんじライバーの皆様の持ち方を紹介いたします。 講師・編集 グウェル・オス・ガール 本動画への出演をご快諾頂きましたライバーの皆様に心より感謝 ...,2020-10-09T11:45:10Z
グウェル・オス・ガール,odP21VQLNgs,【視聴者参加型】画像大喜利 ナース画像編【健屋花那/グウェル・オス・ガール/にじさんじ】,本日は審査員に健屋花那殿を迎え、視聴者参加型画像大喜利を開催いたします！様々なナース画像に挑戦ください！ ルール ・放送画面にお題画像が表示される ・視聴者 ...,2020-10-07T12:03:48Z
グウェル・オス・ガール,ALUVu13_feM,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,86人目、黛灰殿を描いてまいります。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。 チャンネル ...,2020-09-30T14:10:10Z
グウェル・オス・ガール,89Tg7c8jlig,【 マリオカート8DX 】燃え上がれ水中マリカ【 にじさんじ / グウェル・オス・ガール / 郡道美鈴 / 神田笑一 / 星川サラ 】,熱い熱い水中マリカが行われます。 星川サラ https://www.youtube.com/channel/UC9V3Y3_uzU5e-usObb6IE1w 郡道美玲 ...,2020-09-29T14:23:57Z
グウェル・オス・ガール,ubY9dJlEg0o,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,85人目、魔使マオ殿から描いてまいります。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。,2020-09-27T07:36:39Z
グウェル・オス・ガール,JtoG3-2kXhA,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,84人目、町田ちま殿から描いてまいります。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。,2020-09-26T06:54:04Z
グウェル・オス・ガール,_oMLsBy1ONY,【10万人耐久】We will rock you を歌い続ける ふんふんふんぁ と ともに【にじさんじ / グウェル・オス・ガール】,10万人になるまで歌い続けます。 オケ担当 星川サラ 殿 https://www.youtube.com/channel/UC9V3Y3_uzU5e-usObb6IE1w ※スパチャは最後に纏めて読ませて頂き ...,2020-09-25T10:06:57Z
グウェル・オス・ガール,wFnFyt2ArvY,【 マリオカート8DX】漢達の水中マリカ【 にじさんじ / グウェル・オス・ガール / 三枝明那 / 長尾景 】,漢達は水中でマリオカートをする。 三枝明那 殿 https://www.youtube.com/channel/UCNW1Ex0r6HsWRD4LCtPwvoQ 長尾景 殿 ...,2020-09-23T10:27:52Z
グウェル・オス・ガール,sDyMb_uoJu4,【水平思考クイズ】うみがめのスープ【にじさんじ】,うみがめのスープを実施いたします。 【本日の参加者】 愛園愛美 殿 https://www.youtube.com/channel/UC0WwEfE-jOM2rzjpdfhTzZA えま☆おうがすと 殿 ...,2020-09-22T12:10:05Z
グウェル・オス・ガール,zUwgtlfBS44,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,今日は、ましろ殿から描いてまいります。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。,2020-09-21T09:41:55Z
グウェル・オス・ガール,Vd0auWKH8cY,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,82人目、魔界ノりりむ殿からです。昨日の積分配信、本当に素晴らしい生徒でした。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー ...,2020-09-20T07:35:39Z
グウェル・オス・ガール,A10g9qAC2vQ,魔界ノりりむが 積分の問題を解けるまで おわれません 【にじさんじ】,地頭がいいから すぐ終わっちゃうと思うよ？」 本日の生徒 魔界ノりりむ殿 https://www.youtube.com/channel/UC9EjSJ8pvxtvPdxLOElv73w.,2020-09-19T13:40:53Z
グウェル・オス・ガール,Q4ZULorNJQg,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,81人目の舞元啓介殿からです。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。 チャンネル登録： ...,2020-09-18T11:23:16Z
グウェル・オス・ガール,vHlTTRlgh_8,【七万人記念】にじさんじ五十音順に描いたら童田明治の時には画力上がってる説検証【にじさんじ / グウェル・オス・ガール】,13日目にして80人目の本間ひまわり殿からです。 ・メンバーシップについて 御支援への感謝の気持ちで、企画のリハーサル風景をメンバー限定動画として投稿しております。,2020-09-16T14:20:03Z
