streamer_name,videoId,title,description,publishedAt
シェリン・バーガンディ,Cm4HTNbN7CU,【マイクラ】ハロウィントラップハウス完成！！【シェリン/にじさんじ】,ちょっとレッドストーン回路の練習とか兼ねて、 ハロウィンを想定した建築をしてみよう！！！ 謎解きなのかトラップハウスなのかはやりながら決める！ 【マイクラ】ハロウィン ...,2020-10-31T11:21:32Z
シェリン・バーガンディ,mYeLUcFyRr8,【マイクラ】ハロウィントラップ建築！！【シェリン/にじさんじ】,ちょっとレッドストーン回路の練習とか兼ねて、 ハロウィンを想定した建築をしてみよう！！！ 謎解きなのかトラップハウスなのかはやりながら決める！ 【マイクラ】ハロウィン ...,2020-10-29T16:07:57Z
シェリン・バーガンディ,0U1cV0s8hh8,【絶体絶命都市1】人の頭に3ｍ上から観光バスをぶつけるとどうなる？？？【シェリン/にじさんじ】,大災害に見舞われた都市から脱出するストーリー選択ゲーム！絶体絶命都市！！ その場その場で出される選択肢を選んで見事脱出できるのか！ 【絶体絶命都市1】人の頭 ...,2020-10-28T12:31:10Z
シェリン・バーガンディ,_AOzuDt608M,【絶体絶命都市1】絶対ふざけないと死【シェリン/にじさんじ】,大災害に見舞われた都市から脱出するストーリー選択ゲーム！絶体絶命都市！！ その場その場で出される選択肢を選んで見事脱出できるのか！ 【絶体絶命都市1】絶対 ...,2020-10-27T12:19:52Z
シェリン・バーガンディ,-j_vHV2Ob_w,【マイクラ】ハロウィン的な建物つくろう！【シェリン/にじさんじ】,ちょっとレッドストーン回路の練習とか兼ねて、 ハロウィンを想定した建築をしてみよう！！！ 謎解きなのかトラップハウスなのかはやりながら決める！ 【マイクラ】ハロウィン ...,2020-10-26T15:22:41Z
シェリン・バーガンディ,vPdLgW3HLtA,【金田一少年の事件簿】連続殺人達成なるか！？！？【シェリン/にじさんじ】,セガサターンの金田一少年の事件簿 星見島 悲しみの復讐鬼を実況プレイ！！！！ 犯人になって名探偵金田一一の推理を切り抜けます！！！ 僕自身が名探偵な以上勝ち ...,2020-10-22T14:07:48Z
シェリン・バーガンディ,ghgULy_oQSw,【金田一少年の事件簿】中二ポエムで計画殺人！！【シェリン/にじさんじ】,セガサターンの金田一少年の事件簿 星見島 悲しみの復讐鬼を実況プレイ！！！！ 犯人になって名探偵金田一一の推理を切り抜けます！！！ 僕自身が名探偵な以上勝ち ...,2020-10-21T11:27:37Z
シェリン・バーガンディ,Lcuizr8IrTg,【マイクラ】昆布生成部分完成！骨粉ラインとか作ろう！【シェリン/にじさんじ】,っても、植物プラント。 最新鋭プラントを沢山作ってコンビナート、シリコンバレー！！ を作れたらいいけどどこまで続くか？？？？ 【マイクラ】昆布生成部分完成！骨粉ライン ...,2020-10-21T09:06:19Z
シェリン・バーガンディ,uZqbDcsjBQw,【マイクラ】謎解き部屋解説と工場の作業少々！！！【シェリン/にじさんじ】,っても、植物プラント。 最新鋭プラントを沢山作ってコンビナート、シリコンバレー！！ を作れたらいいけどどこまで続くか？？？？ 【マイクラ】謎解き部屋解説と工場の作業 ...,2020-10-16T09:40:48Z
シェリン・バーガンディ,x0BCIzikoi4,【金田一少年の事件簿】怪人になって金田一少年に勝つ！！【シェリン/にじさんじ】,セガサターンの金田一少年の事件簿 星見島 悲しみの復讐鬼を実況プレイ！！！！ 犯人になって名探偵金田一一の推理を切り抜けます！！！ 僕自身が名探偵な以上勝ち ...,2020-10-14T12:07:59Z
シェリン・バーガンディ,Mgs8Q_tSZAY,【マイクラ】ウィザー倒して工業化促進！！！【シェリン/にじさんじ】,っても、植物プラント。 最新鋭プラントを沢山作ってコンビナート、シリコンバレー！！ を作れたらいいけどどこまで続くか？？？？ 【マイクラ】ウィザー倒して工業化促進！,2020-10-12T11:09:23Z
シェリン・バーガンディ,A2ieqSwlWm8,【聖闘士星矢 ライジングコスモ】新作スマホアプリをやってみよう！！！【シェリン/にじさんじ】,正直全然ソシャゲをやったことは無い！！！！ 聖闘士星矢の知識もそれほど！！！！ でもペガサス幻想が好き！！！はーばーたーけー！！！！！！！ 提供:『聖闘士 ...,2020-10-09T12:11:18Z
シェリン・バーガンディ,_fOnyGsf1N8,【マイクラ】レッドストーンで工業化！！！【シェリン/にじさんじ】,っても、植物プラント。 最新鋭プラントを沢山作ってコンビナート、シリコンバレー！！ を作れたらいいけどどこまで続くか？？？？ 【マイクラ】レッドストーンで工業化！,2020-10-07T15:56:32Z
シェリン・バーガンディ,vlLAQ35XpX0,【マイクラ】ネザライトを絶対に取る！！！【シェリン/にじさんじ】,色々作りたいものはあるけど、ひとまず最強にならん？？？？？ 【マイクラ】ネザライトを絶対に取る！！！【シェリン/にじさんじ】 素敵なスキンを紹介するぜ！,2020-10-05T18:51:32Z
シェリン・バーガンディ,lvJvYnvHO9k,【金田一少年の事件簿】新シナリオ！！犯人になって金田一を倒す！！！【シェリン/にじさんじ】,セガサターンの金田一少年の事件簿 星見島 悲しみの復讐鬼を実況プレイ！！！！ 犯人になって名探偵金田一一の推理を切り抜けます！！！ 僕自身が名探偵な以上勝ち ...,2020-10-01T11:41:03Z
シェリン・バーガンディ,6lPfbw_C0LY,【マイクラ】自動羊農場を自作！！！【シェリン/にじさんじ】,羊の自動化農場を設計したので、にじ鯖に実装してみよう！！！ 【マイクラ】自動羊農場を自作！！！【シェリン/にじさんじ】 素敵なスキンを紹介するぜ！,2020-09-30T20:26:15Z
シェリン・バーガンディ,UjCp-jUzLOY,【スーパーマリオ64】初見でﾊｯﾊｰ!ﾊｯﾊｰ!ｲﾔｯﾌｰ!!!!ｳﾞｫｫｳ…!【シェリン/にじさんじ】,スーパーマリオ ３Ｄコレクションのスーパーマリオ64をやります！！！！ 実はあんまりやったことない気がする！！！！ なんかあれでしょ！ケツゲー！！！ 【スーパー ...,2020-09-28T11:30:25Z
シェリン・バーガンディ,VwBj5csHcjo,【マイクラ】人間砲台の改善案ができたぜ！！！！【シェリン/にじさんじ】,とにかくテンアゲ飛行を重視してみる！！！ 素敵なスキンを紹介するぜ！  －－－－ ミンティアさん：http://seiga.nicovideo.jp/seiga/im9664615 自己紹介  －－－－ に ...,2020-09-26T12:14:15Z
シェリン・バーガンディ,75K-JnBgHYc,【マイクラ】さぁ！エンドシティ＆エリトラを探すぞ！！！【シェリン/にじさんじ】,TNTで人間砲台作って、エリトラで飛べばなんかテンション上がりそう！！！！ 派手にいこうぜ。 素敵なスキンを紹介するぜ！  －－－－ ミンティア ...,2020-09-24T13:40:34Z
シェリン・バーガンディ,jQdMCAPPCJ4,【雑談】振り返り！レバガチャ、MC挑戦、百物語、魔武天など・・・？【シェリン/にじさんじ】,振り返ることなく一年弱前進してきてしまったので、 全部振り返るととんでもないことになりそうですが、 気が向いたので振り返り雑談してみます！！！ なんか聞きたいことが ...,2020-09-23T14:05:54Z
シェリン・バーガンディ,7vL4QrNV6Xc,【マイクラ】エリトラ取る前に全ロス対策！！交易用畑作り！！！【シェリン/にじさんじ】,TNTで人間砲台作って、エリトラで飛べばなんかテンション上がりそう！！！！ 派手にいこうぜ。 素敵なスキンを紹介するぜ！  －－－－ ミンティア ...,2020-09-18T06:17:55Z
シェリン・バーガンディ,ReSXVp2ER6o,【マイクラ】TNTで人間ぶっ飛ばしてエリトラで飛行したい【シェリン/にじさんじ】,TNTで人間砲台作って、エリトラで飛べばなんかテンション上がりそう！！！！ 派手にいこうぜ。 素敵なスキンを紹介するぜ！  －－－－ ミンティア ...,2020-09-16T09:58:46Z
シェリン・バーガンディ,TDk-2_M1UpQ,【SpyParty】ハッカーと探偵でスパイ&amp;スパイ探し！【シェリン/にじさんじ】,探偵とハッカー、スパイとしての腕前とスパイを見つけ出す能力があるのはどっちだろうか！！ 【#黛灰】 https://www.youtube.com/c/MayuzumiX?sub_confirmation=1 ...,2020-09-15T16:08:54Z
シェリン・バーガンディ,Yz-oUqfceFg,【金田一少年の事件簿】殺そうとしたら殺されてた【シェリン/にじさんじ】,セガサターンの金田一少年の事件簿 星見島 悲しみの復讐鬼を実況プレイ！！！！ 犯人になって名探偵金田一一の推理を切り抜けます！！！ 僕自身が名探偵な以上勝ち ...,2020-09-13T10:22:57Z
シェリン・バーガンディ,ODkG34b30jw,【Craftopia】初見！新作サンドボックスゲーム！！【シェリン/にじさんじ】,Twitterで話題になっていた新作サンドボックスゲーム！！ なんだかマイクラ的ARK的ポケモン的ゼルダ的ゲームだそう！！ 神ゲー待ったなし？？？？ 自己 ...,2020-09-12T09:34:49Z
シェリン・バーガンディ,0ZFJ7wurJkI,【金田一少年の事件簿】あッ！決定的な証拠が飛び出てるッ・・・！【シェリン/にじさんじ】,セガサターンの金田一少年の事件簿 星見島 悲しみの復讐鬼を実況プレイ！！！！ 犯人になって名探偵金田一一の推理を切り抜けます！！！ 僕自身が名探偵な以上勝ち ...,2020-09-11T12:54:22Z
シェリン・バーガンディ,CUa6bjulBVM,【7 Days to Die】恐怖の７日間サバイバル in 魔武天【シェリン/にじさんじ】,魔武天 で7 Days to Die(7DTD)を遊びます！！！！ やっぱ族っぽい名前だし自転車とかつくれたら良いなぁ・・・！ 世紀末バイクがあれば最高？？？？ 魔武天 ...,2020-09-09T16:10:52Z
