streamer_name,videoId,title,description,publishedAt
ドーラ,jEIMTRL8B2Y,【#くれっしぇんどれみ】cresec.1st LIVE in VARK オフショット動画～ダンス練習～【にじさんじ/ドーラ 緑仙 シスター・クレア】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ 2020.11.07 元SEEDs1期生 シスター・クレア／緑仙／ドーラ 3人のユニットCresc.,2020-11-01T10:00:12Z
ドーラ,uwqAcKr_zcI,【うたわく】ちょっとだけ歌います【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ おうたを歌いたいと思います ホシキラ / ランカ・リー=中島愛 ...,2020-10-31T16:08:10Z
ドーラ,-rnKcN6QLOU,【アークナイツ-明日方舟-】ウォルモンドの薄暮　捜査令状【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ 新しい要素たっぷりの新いべんと！！ 捜査令状あつめる！ アークナイツのDLはこちらから！,2020-10-30T13:00:54Z
ドーラ,SMMWT2JsmMU,【アークナイツ-明日方舟-】ウォルモンドの薄暮【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ 新しい要素たっぷりの新いべんと！！ やるぞやるぞ！！ガチャもひきたいけど一旦がまん･･･！,2020-10-28T11:09:34Z
ドーラ,M-v9lekU2cE,【アークナイツ-明日方舟-】アークナイツイベント直前？！脳トレ６章ハード攻略【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ 久しぶりのアークナイツ！１０月末にイベントくるし １１月中旬には危機契約がくるしもう･･･！,2020-10-23T17:21:56Z
ドーラ,oHQ-jQcyuig,【デス・ストランディング：#05】げーむ下手なドレイクが配達人になる世界線【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ 前回 https://youtu.be/ZOym8Ip_4g8 5回目・・・！ チュートリアル終了！！ 初見ぷれいなので ...,2020-10-21T16:42:12Z
ドーラ,ZOym8Ip_4g8,【デス・ストランディング：#04】げーむ下手なドレイクが配達人になる世界線【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ 前回 https://youtu.be/juysbDNZzTc 久しぶりの4回目・・・！ 操作・・・操作・・・？ 初見ぷれい ...,2020-10-20T17:13:34Z
ドーラ,COc2d4G1K0Q,【雑談】久しぶりに話そうやないか～～～【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ ひさしぶりに話すわ～～～～よ～～～～～ VARKライブ！ぜひみてね！,2020-10-18T16:39:13Z
ドーラ,9qGXFMtkz2M,【#シャルドラ】シャルドラマイクラ共同生活！！#05【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ まだ5回目なの・・・？ シャルちゃん❤ https://twitter.com/Charlotte_HNST ...,2020-10-17T17:04:05Z
ドーラ,KeFm8YNcgO0,【夜歌】おうた！！！！うたう！！！！【にじさんじ/ドーラ】,にじさんじぷろじぇくと所属 ファイアードレイクのドーラじゃよ！₍₍ (ง ˙ω˙)ว ⁾⁾ うた！！！！う！！！ 深い森 / Do As Infinity https://youtu.be/_KtsHjBEPc4 ...,2020-10-11T15:17:01Z
