streamer_name,videoId,title,description,publishedAt
ニュイ・ソシエール,Z3xm3_U_RiA,【#08 FINAL FANTASY Ⅸ / FF9】強くなりすぎたかもしれない【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-11-03T08:30:57Z
ニュイ・ソシエール,4HhOPY6nnj0,【お誕生日雑談】重大告知アリ！！誕生日だー！！ラジオ振り返ったりいろいろお話【にじさんじ/ニュイ・ソシエール】,大好きなママさん！ カンザリンママ https://twitter.com/kanzarinsan □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… 現在発売中のボイス   お誕生日 ...,2020-10-31T13:41:31Z
ニュイ・ソシエール,UxX6vgVBU24,【#07 FINAL FANTASY Ⅸ / FF9】スタイナー！！ベアちゃん！！フラグは建てるな！！！！【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-10-29T10:51:16Z
ニュイ・ソシエール,TNMbuyIQSRc,【#おニュイ3D】ニュイさんって魔女だったんですか？【にじさんじ/ニュイ・ソシエール】,大好きなママさん！ カンザリンママ https://twitter.com/kanzarinsan □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… Special Thanks!!   （追記していき ...,2020-10-28T13:20:10Z
ニュイ・ソシエール,NNcDtKwSLz8,【#06 FINAL FANTASY Ⅸ / FF9】原作かぷ厨がアップを始めました【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-10-28T08:21:57Z
ニュイ・ソシエール,bV7hL88l7G4,【Minecraft】新しいリソパに馴染むため色々観光。次の建築の計画立てる【にじさんじ/ニュイ】,使用しているリソースパック cocricot https://cocricot.pics □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… BGM：香染のクロップ Shagma様 @sxxhagma ...,2020-10-27T07:38:41Z
ニュイ・ソシエール,9oPI2WQ9zf0,【#05 FINAL FANTASY Ⅸ / FF9】みんなちゅき……………【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-10-26T10:08:11Z
ニュイ・ソシエール,e3vj-SAIUJY,【菊花賞同時視聴】この日を待っていました【にじさんじ/ニュイ・ソシエール】,サイン馬券予想もしよう □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… 現在発売中のボイス   にじ文学 Vol.1 / 走れメロス ...,2020-10-25T07:41:16Z
ニュイ・ソシエール,c8bMEoqEaZo,【#04 FINAL FANTASY Ⅸ / FF9】いつになったらダガ―に会えるんですか！！！！【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-10-24T08:52:06Z
ニュイ・ソシエール,L3G7IRve22o,【#03 FINAL FANTASY Ⅸ / FF9】俺とビビさんとフライヤ姉さんとカエルくうやつ【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-10-20T10:51:45Z
ニュイ・ソシエール,L8TWV5cV1SY,【#02 FINAL FANTASY Ⅸ / FF9】ビビさん！！あいつらやっちゃってくださいよ！！【にじさんじ/ニュイ・ソシエール】,"絵本みたいな世界観で楽しい □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… https://www.jp.square-enix.com/ff9/conditions.html ©2008, 2019 ...",2020-10-19T09:28:03Z
ニュイ・ソシエール,nVCPE6jnGew,【今週の予定表】フリーチャット枠【にじさんじ/ニュイ・ソシエール】,現在発売中のボイス   誕生日ボイス&グッズ https://nijisanji.booth.pm/items/2446326 にじ文学 Vol.1 / 走れメロス https://nijisanji.booth.pm/items/2399715 ...,2020-10-18T14:49:28Z
ニュイ・ソシエール,iWgMVenA2BI,【人狼RPG×マイクラ】#にじワイテ ～第二夜～【にじさんじ/ニュイ・ソシエール視点】,魔女が夜を支配する □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… ※敬称略 White Tails【ワイテルズ】 ...,2020-10-18T13:32:53Z
ニュイ・ソシエール,vE7mOHZ0fac,【秋華賞同時視聴】今年は出ちゃうんですよ…史上初の無敗牝馬三冠【にじさんじ/ニュイ】,今回はマジで当たる本当に来る デアリングタクトしか勝たん □□━━━━━━━━━━━━━━━━━・・・・・‥‥‥……… 現在発売中のボイス   にじ文学 Vol.1 ...,2020-10-18T07:18:20Z
