streamer_name,videoId,title,description,publishedAt
フミ,9l-Ww89Nef0,【検証】3カ月で漢検準１級合格できるのか？2日目【にじさんじフミ】,2/14の試験日まで3カ月勉強して準１級は合格できるのか検証 受けるもの 「日本漢字能力検定」 https://www.kanken.or.jp/kanken/ 【マンスリーボイス 11月】が発売開始♪ ...,2020-11-03T06:21:19Z
フミ,A-2WcaDNc80,【検証】3カ月で漢検準１級合格できるのか？【にじさんじフミ】,2/14の試験日まで3カ月勉強して準１級は合格できるのか検証 受けるもの 「日本漢字能力検定」 https://www.kanken.or.jp/kanken/ 【マンスリーボイス 11月】が発売開始♪ ...,2020-11-02T03:04:57Z
フミ,wbn_HWGVHWk,【検証】シゲキックス30秒にに1個食べたら永遠に食べ続けられる説【にじさんじフミ】,エボリューションソーダ味、梅味、ソーダ味で検証 シゲキックス 食べよう☟ http://shigekix.com/product.html ↓↓  メンバーシップはじめました  ↓↓ ...,2020-11-01T03:04:55Z
フミ,_baWC2_9vtU,【バトオペ２】レートマッチ！！【にじさんじフミ】,2.0で初めての戦場！ サムネイラスト：ビートル様 https://twitter.com/BeetleGrid 本日のゲーム 「機動戦士ガンダム バトルオペレーション2」©創通・サンライズ ...,2020-10-30T16:25:57Z
フミ,kN-HTmkpsuw,【2.0お披露目】動くぞ…！【にじさんじフミ　＃にじアプデ】,結婚じゃなくてごめん 冒頭の我のイラストを描いてくれたのは、 グウェル・オス・ガールさん YouTube https://www.youtube.com/channel/UC1QgXt46-GEvtNjEC1paHnw ...,2020-10-29T10:56:43Z
フミ,P5sKBbihErs,【＃フ景罪】アルティメットチキンホースで勝たせてください【にじさんじフミ】,大丈夫っすフミさん！このゲームはそんなに難しくないっす！」 ※ライブ配信から動画を編集したものです。,2020-10-29T05:14:46Z
フミ,-7_ZCH7OBTg,【検証】ペヤングやきそばApplePieってどんな味？【にじさんじフミ】,焼きそばと、アップルパイは好き   商品説明 『ペヤングアップルパイテイストやきそば』 http://www.peyoung.co.jp/products/1697/ ↓↓  メンバーシップはじめました  ↓↓ ...,2020-10-28T03:45:14Z
フミ,ItlkKnfRlJ4,【親フラ？！】うまく回避しろ！【にじさんじフミ】,ばれてはいけないっ…！！！ 『親フラリズム～うしろ！うしろ！～』© 2016-2020 hap Inc. https://store-jp.nintendo.com/list/software/70010000033716.html ...,2020-10-27T04:14:26Z
フミ,LcwRxCsb-pA,【ASMR】小声おしゃべり【にじさんじフミ】,おやすみ   ↓↓  メンバーシップはじめました  ↓↓ https://www.youtube.com/channel/UCwrjITPwG4q71HzihV2C7Nw/join サムネイラスト：むれちか様 ...,2020-10-26T08:16:31Z
フミ,2w8qNyiN6M0,【バトオペ２】キュベレイMk-2まったりペイント【にじさんじフミ】,あとちょっと練習 本日のゲーム 「機動戦士ガンダム バトルオペレーション2」©創通・サンライズ https://bo2.ggame.jp/jp/ ↓↓  メンバーシップはじめました  ↓↓ ...,2020-10-24T12:32:24Z
フミ,ryK5XyMVJO8,【バトオペ２】キュベレイMk-2くるか？！？！【にじさんじフミ】,取りにおいで！ 本日のゲーム 「機動戦士ガンダム バトルオペレーション2」©創通・サンライズ https://bo2.ggame.jp/jp/ ↓↓  メンバーシップはじめました  ↓↓ ...,2020-10-23T17:22:05Z
フミ,XVxAcqCOYpQ,【新衣装予想】環さんが2年3ヶ月ぶりに新衣装もらえたってマ?!?!【にじさんじフミ】,環さんから許可いただいたので勝手に予想しちゃう配信です。 多分今日新衣装お披露目をするつもりらしい！皆で見ようね！！ 文野環 さん YouTube ...,2020-10-22T02:04:11Z
