streamer_name,videoId,title,description,publishedAt
フレン・E・ルスタリオ,0XuQAE1N3JU,【歌枠】おうたをうたってげんきになろう【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア うたっちゃっち！！！ ◇サムネイルに使用させていただいたイラスト ⇒空崩さん(@karakuzure) ーーーーーーーーーーーーーーーーーーーーーー ...,2020-11-02T13:48:02Z
フレン・E・ルスタリオ,0StDW5uSkH0,【雑談】19万人いきそう！！まろもよむ雑談！！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア いつもありがとう！！！ ましゅまろもよむよ ◇サムネイルに使用させていただいたイラスト ⇒栗ようかんさん(@ yohkan27) ーーーーーーーーー ...,2020-11-01T15:52:19Z
フレン・E・ルスタリオ,AUXRRfzw8WI,【バンドリ】おジャ魔女ハロハピ全員出す！ガチャ配信！！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア かわい～～～～～～～～～～～～～！,2020-10-31T11:39:48Z
フレン・E・ルスタリオ,divhaTosnbQ,【マリオ35】1位取るまで終われない！！耐久配信！！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア １い！！！！とるぞ！！！！！！ みてて！！！！！！ ◇サムネイル作成 ⇒mojiさん(@fm1824) ーーーーーーーーーーーーーーーーーーーー ...,2020-10-30T20:38:29Z
フレン・E・ルスタリオ,_x_H7oGeemE,【Minecraft】フレン永遠に水族館作ってね？？【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア いつおわるのだろうか・・・・・ ◇サムネイル作成 ⇒士道不覚悟切腹卍丸(@shidouhukakugo) ーーーーーーーーーーーーーーーーーーーーーー ...,2020-10-29T15:42:03Z
フレン・E・ルスタリオ,Jwl2rTAs-Dw,【マリオ35】1位をとるため修行を詰む【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア やばいひさびさにやるからわすれてるかも ◇サムネイル作成 ⇒mojiさん(@fm1824),2020-10-27T05:24:01Z
フレン・E・ルスタリオ,E6N8L8Bw4IY,【Home Sweet home】最後までクリアできなかった‥【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア さいごまでやりま‥やります‥ ※最後までできませんでしたごめんね ◇サムネイル作成 ⇒mojiさん(@fm1824) ーーーーーーーーーーーーーー ...,2020-10-25T16:05:01Z
フレン・E・ルスタリオ,gLjYzNhbnvk,【ドラブラ】新機能・新要素！マイホームにご招待！【フレン・E・ルスタリオ/にじさんじ】,提供：『コード：ドラゴンブラッド』 ▽ダウンロードはこちら！ https://bit.ly/3kg2c4w ▽キャンペーン情報はこちらから 公式Twitter：https://twitter.com/CodeDragonBlood ...,2020-10-24T13:14:30Z
フレン・E・ルスタリオ,40xUQ_QVCFQ,【Minecraft】水族館の入り口作り～！！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア すいぞくかんいりぐちつづき！！！ ◇サムネイル作成 ⇒しおぬきしおらーめんさん(@LDDsholwa) ーーーーーーーーーーーーーーーーーーーー ...,2020-10-23T17:54:52Z
フレン・E・ルスタリオ,13gcFCl78ic,【雑談】めちゃ久ざつだん！ちょこっとお知らせあり！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア いちおくねんぶりだね ざつだん ◇サムネに使用させていただいたイラスト ⇒栗ようかんさん(@yohkan27) ーーーーーーーーーーーーーーーーー ...,2020-10-22T15:40:48Z
フレン・E・ルスタリオ,s_atA2zRfwI,【Minecraft】海でロストしたアイテム帰ってきた‥！？【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア すすめたいきもちとはうらはらに かいろがわからないのである ◇サムネイル作成 ⇒Ma.さん(@Ma48869487) ーーーーーーーーーーーーーーー ...,2020-10-20T12:22:23Z
フレン・E・ルスタリオ,nZo30mrmsDg,【#にじワイテ】人狼RPG第四夜　フレン視点【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア じんろうこわいよお～～～～(すなお) ◇サムネイル作成 ⇒mojiさん(@fm1824) ◇参加者様（敬称略） アルス・アルマル ...,2020-10-19T12:01:27Z
フレン・E・ルスタリオ,o8CRnfTxKCg,【マリオ35】社さんの指示なら1位とれるのでは！？【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア やしろさんいなくてもいけますけどね(ふるえごえ) 社さん https://www.youtube.com/channel/UCKMYISTJAQ8xTplUPHiABlA ◇サムネイル ...,2020-10-18T15:15:10Z
フレン・E・ルスタリオ,4_0UncE6ihU,【Fall Guys】新ステージ！1位目指して遊ぶぞ！！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア ひさびさ！すてーじふえたらしい！！ たのしみ！！ ◇サムネイル作成 ⇒ジュニ Vが好きすぎる者(@hide_2000) ーーーーーーーーーーーーーー ...,2020-10-14T14:55:42Z
フレン・E・ルスタリオ,4bTNldXB840,【Minecraft】いろいろ進めちゃうぞ！【フレン・E・ルスタリオ/にじさんじ】,配信タグ：#ルスタリオンエア すいぞくかんのいりぐちどうする！？ ◇サムネイル作成 ⇒なぎすけさん(@nagisuke_gbp) リソースパック名:(Mizuno's 16 Craft) /bymizuno ...,2020-10-12T14:30:38Z
