streamer_name,videoId,title,description,publishedAt
ラトナ・プティ,6LlasiiPAy0,【ASMR/binaural】シャンプー・オイルマッサージ・泡の音で睡眠誘導【ラトナ・プティ/にじさんじ/Ear Blowing/ear massage/shampoo】,告知･･････････････ 【オリジナルTシャツ】 https://nijisanji.booth.pm/items/2308895 【ハロウィンボイス2019 再販決定！  】 □販売期間 : 10/14(水)23:59 URL ...,2020-11-02T16:53:29Z
ラトナ・プティ,Y-HoieSvaDA,【APEX】ランクわんちゃんつーちゃんダイア３【ラトナ・プティ/にじさんじ】,告知･･････････････ 【オリジナルTシャツ  】 https://nijisanji.booth.pm/items/2308895 【期間限定 にじさんじスポーツの日ボイス 販売開始！    】 □販売期間 : 10/23( ...,2020-11-02T07:07:06Z
ラトナ・プティ,nDP7zAfM7dw,【CRカップ】本番きたーー！！！ #SPPWIN【ラトナ・プティ/にじさんじ】,ＩＭ ... #SnowPop メンバー リーダ：きなこちゃん https://www.youtube.com/channel/UCrWkFUu3DK5XpYBUPDC5uLA?app=desktop boraちゃん ...,2020-11-01T12:56:49Z
ラトナ・プティ,aeUTanP4brE,【APEX】CRカップカスタム練習#5 Snowpop【ラトナ・プティ/にじさんじ】,ＩＭ ... #SnowPop メンバー リーダ：きなこちゃん https://www.youtube.com/channel/UCrWkFUu3DK5XpYBUPDC5uLA?app=desktop boraちゃん ...,2020-10-31T17:23:32Z
ラトナ・プティ,WMEzMReYAHY,【APEX】ランクとカジュと明日やばくね【ラトナ・プティ/にじさんじ】,告知･･････････････ 【オリジナルTシャツ  】 https://nijisanji.booth.pm/items/2308895 【期間限定 にじさんじスポーツの日ボイス 販売開始！    】 □販売期間 : 10/23( ...,2020-10-31T05:51:42Z
ラトナ・プティ,mSXj9UQIxd0,【APEX】CRカップカスタム練習#4 Snowpop【ラトナ・プティ/にじさんじ】,はつつつ #SnowPop メンバー リーダ：きなこちゃん https://www.youtube.com/channel/UCrWkFUu3DK5XpYBUPDC5uLA?app=desktop boraちゃん ...,2020-10-30T16:21:40Z
ラトナ・プティ,AqzJRgTNzCQ,【APEX】チームでAPEXするかもです【ラトナ・プティ//にじさんじ】,SnowPop メンバー リーダ：きなこちゃん https://www.youtube.com/channel/UCrWkFUu3DK5XpYBUPDC5uLA?app=desktop boraちゃん ...,2020-10-30T04:50:12Z
ラトナ・プティ,F-PEREuaRP8,【APEX】CRカップカスタム練習#3 Snowpop【ラトナ・プティ//にじさんじ】,はつつつ #SnowPop メンバー リーダ：きなこちゃん https://www.youtube.com/channel/UCrWkFUu3DK5XpYBUPDC5uLA?app=desktop boraちゃん ...,2020-10-29T16:28:14Z
ラトナ・プティ,2Lf725qpsiQ,【APEX】CRカップカスタム練習ちゅSnowpop#2【ラトナ・プティ//にじさんじ】,はつつつ #SnowPop メンバー リーダ：きなこちゃん https://www.youtube.com/channel/UCrWkFUu3DK5XpYBUPDC5uLA?app=desktop boraちゃん ...,2020-10-28T15:47:21Z
ラトナ・プティ,7eVmGNHH0PQ,【APEX】オクタン？レヴ？どっちつかおう...大会練習！【ラトナ・プティ//にじさんじ】,告知･･････････････ 【オリジナルTシャツ  】 https://nijisanji.booth.pm/items/2308895 【期間限定 にじさんじスポーツの日ボイス 販売開始！    】 □販売期間 : 10/23( ...,2020-10-28T05:26:03Z
