streamer_name,videoId,title,description,publishedAt
リゼ・ヘルエスタ,mGIC3jQWOuI,【ポケモン剣盾】DLC第二弾「冠の雪原」へ旅立つ！！【にじさんじ/リゼ・ヘルエスタ】,ポケモン剣盾・本編再生リスト → https://www.youtube.com/playlist?list=PLziarN-vZTxGBYZHWiGtlN-EqHfA4FPNy メンバーシップ登録はこちら→ ...,2020-11-02T14:51:57Z
リゼ・ヘルエスタ,_H_XydaVCsk,【歌ってみた】Trouble Busters【i’s（樋口楓/竜胆尊/リゼ・ヘルエスタ）cover】,We are Busters! 歌： 竜胆 尊 YouTube https://t.co/EJcuKWL2aq Twitter https://twitter.com/RindouMikoto 樋口楓 YouTube https://t.co/W80CzNU87I Twitter ...,2020-10-31T10:00:13Z
リゼ・ヘルエスタ,WNJ0a6dcGOA,【#MOTHERの気持ち】MOTHERの生みの親、糸井重里さんと不思議な座談会！【にじさんじ/リゼ・ヘルエスタ】,MOTHERシリーズの生みの親である糸井重里さんと、熱心なMOTHERファンである動画クリエイターのコアラさん、そしてMOTHER2・MOTHER3のゲーム実況をさせて ...,2020-10-28T11:00:12Z
リゼ・ヘルエスタ,TL9-PRYLVFQ,【雀魂-じゃんたま-】外来語を喋ってはいけない麻雀【にじさんじ/リゼ・ヘルエスタ】,参加者（敬称略） 郡道美玲 → https://www.youtube.com/channel/UCeShTCVgZyq2lsBW9QwIJcw 舞元啓介 ...,2020-10-09T14:50:50Z
リゼ・ヘルエスタ,brJ1LiiN6Io,【雀魂-じゃんたま-】視聴者参加型！麻雀牌の声を聴く【にじさんじ/リゼ・ヘルエスタ】,9日に外来語禁止麻雀コラボがあります。 メンバーシップ登録はこちら→ https://www.youtube.com/channel/UCZ1xuCK1kNmn5RzPYIZop3w/join 配信の感想を ...,2020-10-08T12:35:44Z
リゼ・ヘルエスタ,vITcqUDnoNA,【ドラゴンクエストI/DQ1】今、新しい伝説が生まれようとしている #03（完）【にじさんじ/リゼ・ヘルエスタ】,『ドラゴンクエスト』は、1986年にエニックスより発売されたファミコン用ロールプレイングゲーム。通称ドラクエ。 ※私を含めご覧になる皆さん全員が楽しめる環境作りのため ...,2020-10-05T12:53:05Z
リゼ・ヘルエスタ,Kwpr2CabdRo,【ドラゴンクエストI/DQ1】今、新しい伝説が生まれようとしている #02【にじさんじ/リゼ・ヘルエスタ】,『ドラゴンクエスト』は、1986年にエニックスより発売されたファミコン用ロールプレイングゲーム。通称ドラクエ。 ※私を含めご覧になる皆さん全員が楽しめる環境作りのため ...,2020-10-01T13:18:55Z
リゼ・ヘルエスタ,j-jrjqpoq2U,【#リゼるる】3DコラボでVRホラゲーに挑戦する……？！【にじさんじ/リゼ・ヘルエスタ 鈴原るる】,今からでも遅くない、1-2-Switchをやろう。 鈴原るる → https://www.youtube.com/channel/UC_a1ZYZ8ZTXpjg9xUY9sj8w メンバーシップ登録はこちら→ ...,2020-09-29T12:25:37Z
リゼ・ヘルエスタ,yk49luIZnKA,【ドラゴンクエストI/DQ1】今、新しい伝説が生まれようとしている #01【にじさんじ/リゼ・ヘルエスタ】,『ドラゴンクエスト』は、1986年にエニックスより発売されたファミコン用ロールプレイングゲーム。通称ドラクエ。 ※私を含めご覧になる皆さん全員が楽しめる環境作りのため ...,2020-09-26T13:11:09Z
リゼ・ヘルエスタ,slTT-JWFKs8,【雑談】帰国したらヘルエスタに麒麟がきてた【にじさんじ/リゼ・ヘルエスタ】,サムネイルイラスト：スライム@お仕事募集中様（@oTgjHkMpJpTIfVO） メンバーシップ登録はこちら→ ...,2020-09-23T13:23:16Z
