streamer_name,videoId,title,description,publishedAt
レヴィ・エリファ,hZ-TGWO4MYM,【歌枠】寝る前の歌枠！【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-11-01T18:49:48Z
レヴィ・エリファ,A7yHYkDk4gI,【朝活】【あつ森】久しぶりのあつ森でハロウィン！！＃２【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-29T01:46:52Z
レヴィ・エリファ,qnwtKeFMR4o,【朝活】【あつ森】久しぶりのあつ森でハロウィン！！【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-28T04:14:12Z
レヴィ・エリファ,YDTVbNMKnig,#12【朝活】【ゼルダの伝説ムジュラの仮面】最終回！いよいよラスボスだゾウ♪【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-26T05:21:42Z
レヴィ・エリファ,BFqlW69Xkdw,【歌枠】ボクの感情が揺さぶられた曲を歌っていくゾウ♪vol.2【にじさんじ/レヴィ・エリファ】,エモ-い エモいは、英語の「emotional（エモーショナル）」を由来とした、「感情が動かされた状態」[1]、「感情が高まって強く訴えかける心の動き」[2]などを意味する日本の ...,2020-10-25T12:17:45Z
レヴィ・エリファ,0BTggei-WSA,【#ミリしらオルフェンズ】鉄血のオルフェンズクイズ！【にじさんじ/レヴィ・エリファ】,「フリージア」に「RAGE OF DUST」 機動戦士ガンダム 鉄血のオルフェンズの２大ミーム曲をそれぞれ持ち歌にして、かつネタとしてもフル活用している町田ちまとレヴィ・ ...,2020-10-23T14:34:50Z
レヴィ・エリファ,1GyK1Ujmx3E,#11【朝活】【ゼルダの伝説ムジュラの仮面】ラスボス前にお面あつめル！！【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-21T02:44:31Z
レヴィ・エリファ,7PIExTHLqZQ,【モンスターファーム2】モンスター育成の時間ダアアアア【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-20T15:37:06Z
レヴィ・エリファ,7dxjqIyvwAg,#10【朝活】【ゼルダの伝説ムジュラの仮面】ラスボス前にお面あつめル！！【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-20T04:15:53Z
レヴィ・エリファ,O38iNajPnBw,【雑談】マイクラしながら最近の事について雑談すル【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-18T17:09:55Z
レヴィ・エリファ,OcxQqCI0f9E,【世界のアソビ大全】初コラボで遊ぶゾウ♪【にじさんじ/レヴィ・エリファ】,一緒に遊ボ～～～！！！！！！ ◇町田ちま https://www.youtube.com/channel/UCo7TRj3cS-f_1D9ZDmuTsjw?sub_confirmation=1 ＠chima_machita23 #れゔぃ ...,2020-10-18T14:00:05Z
レヴィ・エリファ,XMYy7kGmkOY,【歌枠】アニソン中心おうタ♪【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-17T12:46:45Z
レヴィ・エリファ,l1wSrXJNmJY,#9【朝活】【ゼルダの伝説ムジュラの仮面】もう一人のボクに助けてもらおウ！【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-16T02:56:25Z
レヴィ・エリファ,-mJW9nCnjtQ,#1【原神】乗り遅れたアジンは初見で原神をすル【にじさんじ/レヴィ・エリファ】,れゔぃあたんねる Twitterもはじめましたよつぶやク☆ 【Twitter】 @Levi_E_2434 【ファンレターやプレゼント、その他お問い合わせ】 ...,2020-10-15T16:21:07Z
レヴィ・エリファ,DuP7wxwtcbY,【雑談】「ないものねだり」50万再生ありがト配信！【にじさんじ/レヴィ・エリファ/夢追翔】,本当にアリガト～～！！ 制作裏話とか出来たらヨキ！！ 配信前に良かったら聴いてネ！ ないものねだり (cover） 【夢追翔/レヴィ・エリファ】【歌ってみたカバー】【にじさんじ】 ...,2020-10-12T11:15:10Z
レヴィ・エリファ,USUVZm6RL9E,#2【#止まらないレヴィ】登録者15万人行くか12時間歌いきるまで止まらないＲＯＤ【にじさんじ/レヴィ・エリファ】,登録者15万人を超えるまで歌うカ、もしくは12時間ぶっ続けで「RAGE OF DUST」を歌い続けまス。 今から震えが止まらねえゾウ・・・ トイレ休憩はいくかどうか迷っていまス ...,2020-10-10T13:56:54Z
レヴィ・エリファ,9dOfN7LQljc,＃１【#止まらないレヴィ】登録者15万人行くか12時間歌いきるまで止まらないＲＯＤ【にじさんじ/レヴィ・エリファ】,登録者15万人を超えるまで歌うカ、もしくは12時間ぶっ続けで「RAGE OF DUST」を歌い続けまス。 今から震えが止まらねえゾウ・・・ トイレ休憩はいくかどうか迷っていまス ...,2020-10-10T04:32:52Z
