streamer_name,videoId,title,description,publishedAt
三枝明那,m_B570_vAmc,【ポケモン ソード】初ポケ！全力で楽しむ！！バッジ5個から～【三枝明那 / にじさんじ】,まんじ全力まんじ サムネイルに使用させていただきました↓ https://twitter.com/lyrieeeee/status/1308107583308218368.,2020-11-03T05:56:14Z
三枝明那,qV2XyU0zgP8,【ポケモン ソード 】初ポケ！！ジムバッジ3個目から【三枝明那 / にじさんじ】,おもろい サムネイルに使用させていただきました↓ https://twitter.com/santoichi_neru/status/1308080876849229831.,2020-11-01T09:40:27Z
三枝明那,-e0K-X4n9JY,【ポケモン ソード】初ポケ！！クリアまでやっていく【三枝明那 / にじさんじ】,待たせた サムネイルに使用させていただきました↓ https://twitter.com/TARA_vo0/status/1314559886005465089.,2020-10-31T12:16:30Z
三枝明那,APPduqO2qGA,『猫』うたえるようになるまで帰れない！！講師・甲斐田晴　【三枝明那 / にじさんじ】,にゃーｗ 講師 @甲斐田 晴 / Kaida Haru【にじさんじ】 DISH// (北村匠海) - 猫 / THE FIRST TAKE https://www.youtube.com/watch?v=gsT6eKsnT0M.,2020-10-28T10:42:30Z
三枝明那,MyTCupmBoI0,【過酷】第一回！⚡電流ビリビリ⚡ダーツ！！【三枝明那 / にじさんじ】,,2020-10-22T16:17:47Z
三枝明那,ymJo92jebbo,【Minecraft #にじ鯖】この街も変わらねぇな！・・・どうした、付け合わせの唐辛子を見るような目で俺を見やがって【三枝明那 / にじさんじ】,忘れちまったか。俺だよ俺。 ──三枝明那だよ！ ハンバアアアアアアアアアアアアアアアア にじ鯖ガイドしてくれた甲斐田くん(豚)(犬) ...,2020-10-21T17:50:25Z
三枝明那,crgZ_AXj-M8,６０分以内に優勝できなかったら一週間炭酸水生活【Fall Guys : Season 2】,さよならコーラ さよならビール 否！俺は勝つ。 サムネイル 作っていただきました↓ https://twitter.com/3Lu_abc/status/1318436344016691200.,2020-10-20T11:57:25Z
三枝明那,TEgCELCcapg,【マイクラ×人狼RPG】 #にじワイテ 決勝戦！ 🦆人狼はもうお腹いっぱい🦆,参加者様（敬称略） 相羽ういは https://www.youtube.com/channel/UCnRQYHTnRLSF0cLJwMnedCg 夜見れな ...,2020-10-19T15:30:15Z
三枝明那,Ml9evNjnXz0,【マイクラ×人狼RPG】 #にじワイテ 第四夜！🦍村🦍人🦍希🦍望🦍,参加者様（敬称略） アルス・アルマル https://www.youtube.com/channel/UCdpUojq0KWZCN9bxXnZwz5w 小野町春香 ...,2020-10-19T12:03:41Z
三枝明那,lOmLEyWwEKk,究極完全体グレート三枝明那,すごくなって新登場 ※切り抜きどこでも.,2020-10-18T17:24:52Z
三枝明那,zyFVcO_couI,ツイ○ャス,モイ！ｗ.,2020-10-12T23:24:07Z
三枝明那,oO16Cum6Whw,にじさんじチョコ５０連ガチャ,あけるぞ @三枝明那 / Saegusa Akina.,2020-10-10T11:28:16Z
三枝明那,bdLMQGgP2DU,きになって夜しか眠れません,普通.,2020-10-06T17:17:21Z
三枝明那,U_AGSHrmOeA,【シャドウバース】#にじさんじシャドバ部 による新ストーリー紹介＆新環境ガチバトル！【三枝明那 / 葉山舞鈴】,シャドウバース新カードパック「レヴィールの旋風」の実装に合わせてリリースされた新ストーリーを #にじさんじシャドバ部 が紹介させていただきます！ その後葉山さんとの新 ...,2020-10-01T11:23:18Z
三枝明那,iQiXHGgzIzQ,【Fall Guys】team:キルリーダー・三枝明那 視点｜VTuber FallGuys Party!! #VFGパーティー 【YouTubeGamingWeek】,緊張しますわね 本視点はこちら↓ https://www.youtube.com/watch?v=g01U2kQXS4o&feature=youtu.be team:キルリーダー メンバー 樋口 楓さん ...,2020-09-30T12:52:45Z
三枝明那,ANRJRhzWMF8,【Fall Guys】大会前夜！！！！仕上げるぞ！！！！キルリーダーWINキルリーダーWIN【三枝明那 / にじさんじ】,俺たちがフォールガイザー.,2020-09-29T15:50:28Z
三枝明那,qIIOcwpIbUU,【Fall Guys】どう考えても絶対に優勝したいので練習する【三枝明那 / にじさんじ】,悔いを残さないために猛練習するわ チームメンバー→ @Kanae Channel @樋口楓【にじさんじ所属】 @ラトナ・プティ -Ratna Petit -にじさんじ所属 @にじさんじ.,2020-09-29T08:27:56Z
三枝明那,NO89gT26_qQ,【🔴LIVE】#にじメン歌リレー ありがとうございました！余韻。【三枝明那 / にじさんじ】,熱い夜だった 素敵なサムネイル↓ https://twitter.com/haruyuki04/status/1310286843242450944.,2020-09-28T11:48:34Z
三枝明那,zF5UwBmIN9c,【 #にじメン歌リレー 】開幕！ブチ上がる準備はいいか！！！！！【三枝明那 / にじさんじ】,9名の男性にじさんじライバーが歌で繋ぐ #にじメン歌リレー ついに開幕！ 次→長尾景くん https://www.youtube.com/watch?v=UQDv7FMUtro&feature=youtu.be --- にじ ...,2020-09-27T10:02:45Z
三枝明那,IcTTtRGg5lU,【Fall Guys】チーム大会に参加します！の練習！！！！【三枝明那 / にじさんじ】,優勝候補(自称) チームメンバー→ @Kanae Channel @樋口楓【にじさんじ所属】 @ラトナ・プティ -Ratna Petit -にじさんじ所属 @NIJISANJI English Official.,2020-09-26T12:51:08Z
三枝明那,YZ0LADNTWpo,【シャドバ / 新環境】新弾プレリリース！！パック100連するぞ！！！！！！！！！！ 【三枝明那 / にじさんじ】,スキン♡スキン.,2020-09-25T13:16:22Z
三枝明那,XO_szgPqfj4,水　　中　　マ　　リ　　カ,素敵なイラスト https://twitter.com/oshi_rhymes_aao/status/1308669446278455296/photo/1.,2020-09-23T10:28:33Z
三枝明那,QgliBFw7Wcs,【ポケットモンスター ソード】はじめましてポケモンさん【三枝明那 / にじさんじ】,,2020-09-21T12:34:41Z
三枝明那,9NT7fKHtxSY,【🔴LIVE】新ビジュアル公開！だけじゃない！話したいことが山ほどあるわけで。【三枝明那 / にじさんじ】,積もる話ってやつ.,2020-09-18T15:45:32Z
三枝明那,XaH9NB5vtuI,【Fall Guys】最強の４人でパーティ組んだ結果・・・【三枝明那 / にじさんじ】,クラウン量産しちゃいますよっと コラボメンバー @不破 湊 / Fuwa Minato【にじさんじ】 @本間ひまわり - Himawari Honma - @ラトナ・プティ -Ratna Petit -にじさんじ所属.,2020-09-14T11:57:49Z
三枝明那,YRuNavy4XJw,【Undertale/Gルート】友達なんて必要ない。【三枝明那 / にじさんじ】,ほぼ覚えてないから初見みたいなもん 楽しみながらやっていく サムネ：あいおどりさん https://twitter.com/aiodori9981/status/1302333060633907200.,2020-09-06T09:41:58Z
三枝明那,5DidkBYBhKE,【なんで？】誕生日記念に鷹の爪を21本丸かじりしたい！【三枝明那 / にじさんじ】,なんで？,2020-09-01T13:03:49Z
三枝明那,RJ329t1Gkhk,【Fall Guys】誕生日までに『３回優勝』できたら、すごい。【三枝明那 / にじさんじ】,すごいし、えらい。,2020-08-31T15:36:45Z
三枝明那,51Sd77U5Hw4,【Undertale】みんなと友達になれるRPG。N&amp;Pルート踏破【三枝明那 / にじさんじ】,４年前にやった記憶を頼りに懐かしみながらやっていこう.,2020-08-30T11:10:37Z
三枝明那,Mf0zUp48PsQ,【シャドバ】新環境で『最も中毒性が高いデッキ』使ってグラマス耐久！,練度マジでゼロ.,2020-08-24T18:00:27Z
三枝明那,lt4gKD2H9sc,【Fall Guys】フォールガイザー三枝、PS4版で大暴れ。【三枝明那 / にじさんじ】,フォールガイズと一心の男.,2020-08-22T15:44:55Z
三枝明那,zklxlyX4XyQ,【#にじ鯖夏祭り】俺自身が花火になることだ。 #紅ズワイガニ【三枝明那 / にじさんじ】,夏祭り本部 https://www.youtube.com/watch?v=SvAohA7We0I&feature=youtu.be 愛園さん https://www.youtube.com/watch?v=LNO_wkM-o8A サムネイル：山 ...,2020-08-22T13:47:08Z
三枝明那,y0AV77XE7zA,【Human: Fall Flat】一年ぶりなのにめっちゃ協力できるし息ピッタリ #ahoコラボ 【御伽原江良 / 戌亥とこ / 三枝明那】,前回：https://www.youtube.com/watch?v=B6bqlk2xPUA&t=1s クリアまでやる(予定)(長くなったら真最終回があるかも) 参加者↓ おとぎばら(ツイステだいすき) ...,2020-08-18T17:18:36Z
三枝明那,c0vuN4Fm_6M,【めでたい】チャンネル登録11万12万13万14万15万16万17万18万人記念！！！！！！記念枠やらなすぎ男によるおめでたい男のハピハピ雑談,長.,2020-08-17T12:15:39Z
三枝明那,rSF_SMF3ObE,Fall Guysが、好きなんです。,大好きです。 素敵なイラストをサムネイルにさせていただきました https://twitter.com/mimic008/status/1294329977651920896 5連勝実績所持 ...,2020-08-15T03:51:21Z
三枝明那,TRlcZxWdRaQ,【Fall Guys】&quot;取得率0.1%&quot;の実績『LVカンスト』取れるまでやる。ついでに１０回一位獲るし五連勝もする,やりすぎ 5連勝実績所持 https://twitter.com/333akina/status/1293571749817151490.,2020-08-14T18:22:50Z
三枝明那,8Rt701fwMe4,Fall Guysに向き合い続ける男,フォールガイズに真摯であれ 5連勝実績所持 https://twitter.com/333akina/status/1293571749817151490.,2020-08-13T09:38:42Z
三枝明那,3rwU9U23_24,【東京2020オリンピックのゲーム】でエクスと戦うけど俺が金メダル量産してしまう【三枝明那 / エクス・アルビオ / #エビチリ 】,エクス https://www.youtube.com/channel/UCIytNcoz4pWzXfLda0DoULQ/videos.,2020-08-12T13:27:18Z
