streamer_name,videoId,title,description,publishedAt
不破湊,uFKTEB6bfHY,【APEX】今シーズンダイヤになれなかったらアぺ引退残り２日【にじさんじ】,生ぎだい ぷてぃ https://www.youtube.com/channel/UCIG9rDtgR45VCZmYnd-4DUw くずは https://www.youtube.com/channel/UCSFCh5NL4qXrAy9u-u2lX3g ...,2020-11-02T19:11:33Z
不破湊,ujSV7gariT4,【APEX】今シーズンダイヤになれなかったらアぺ引退残り３日【にじさんじ】,やるしかない かなかな https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA 🥂リンクまとめ🥂 ▽Twitter（フォローよろしくです！）,2020-11-02T01:38:31Z
不破湊,qn0uVXliZtw,【APEX】CRカップ本番_夜破のだるまダークホース視点【にじさんじ】,時は満ちた だるまん https://www.youtube.com/channel/UCRRKdB87Oj-FkqS4L9QQRiQ/videos よるみん ...,2020-11-01T12:50:00Z
不破湊,OFMUMQVwsMU,【スプラトゥーン２】 #スプラ2434キル耐久フェス 【にじさんじ】,今回は4人で ▽備考 ①楽しむメイン極力勝ちに行きたい ②キルカウントはアシストも込み ③エスコートする しぃしぃ ...,2020-10-31T15:41:20Z
不破湊,r6rl_UfcFEg,【APEX】今シーズンダイヤになれなかったらアぺ引退残り６日仲間【にじさんじ】,仲間isLOVE かなかな https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA しぃしぃ https://www.youtube.com/channel/UC_4tXjqecqox5Uc05ncxpxg ...,2020-10-30T06:20:16Z
不破湊,8GrjVlRfpQA,【APEX】今シーズンダイヤになれなかったらアぺ引退残り６日【にじさんじ】,強い視聴者～！ 集合～！ 🥂リンクまとめ🥂 ▽Twitter（フォローよろしくです！） https://twitter.com/Fuwa_Minato ▽マシュマロ（何でも送ってください！）,2020-10-29T12:13:09Z
不破湊,mXALsf9e-o8,【APEX】プラチナ３昇格戦以下略アぺ引退残り７日【にじさんじ】,ちゃんぽんとれたら 🥂リンクまとめ🥂 ▽Twitter（フォローよろしくです！） https://twitter.com/Fuwa_Minato ▽マシュマロ（何でも送ってください！）,2020-10-28T07:55:10Z
不破湊,4TwPxR-gdqM,【APEX】今シーズンダイヤになれなかったらアぺ引退残り８日【にじさんじ】,四天王最弱、きばります、、！ 🥂リンクまとめ🥂 ▽Twitter（フォローよろしくです！） https://twitter.com/Fuwa_Minato ▽マシュマロ（何でも送ってください！）,2020-10-27T16:22:05Z
不破湊,YxrFGFkv2Sc,【雑談】ありのまま起こったことを話すぜ【にじさんじ】,どーも 🥂リンクまとめ🥂 ▽Twitter（フォローよろしくです！） https://twitter.com/Fuwa_Minato ▽マシュマロ（何でも送ってください！）,2020-10-25T15:42:45Z
不破湊,W5v6Ll1890k,【APEX】夕活おじさん1位取れなかったら泣かされるの巻【にじさんじ】,何時だと思ってるんだ しぃ https://www.youtube.com/channel/UC_4tXjqecqox5Uc05ncxpxg ぐんだ ...,2020-10-23T12:17:15Z
不破湊,LDNurr4bTlM,【APEX】夜活おじさん深夜でコラボでランクの巻【にじさんじ】,何時だと思ってるんだ かな https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA くず ...,2020-10-21T18:54:57Z
不破湊,AvrFWLOhqGk,【APEX】昼活おじさんニートタイムでゴル2に突撃の巻【にじさんじ】,何時だと思ってるんだ 🥂リンクまとめ🥂 ▽Twitter（フォローよろしくです！） https://twitter.com/Fuwa_Minato ▽マシュマロ（何でも送ってください！）,2020-10-21T08:32:08Z
不破湊,FtcX9_d2sZo,【APEX】朝活おじさんコラボでランク突入の巻【にじさんじ】,何時だと思ってるんだ いぶ https://www.youtube.com/channel/UCmZ1Rbthn-6Jm_qOGjYsh5A くず ...,2020-10-20T08:46:59Z
