streamer_name,videoId,title,description,publishedAt
伏見ガク,6PThJE9QCKE,【にじさんじ】ハロウィンなので呪怨やる【呪怨】,にじさんじの伽椰子：伏見ガク にじさんじのとしお：剣持刀也 剣持刀也 https://twitter.com/rei_Toya_rei ...,2020-10-31T17:00:13Z
伏見ガク,UfzkHH_D0rA,【にじさんじ】新衣装お披露目！伏見が来る,アイシャルリターン ▷振り返り https://www.youtube.com/watch?v=HQsawN1NXb4&feature=youtu.be にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガク ...,2020-10-30T13:58:58Z
伏見ガク,6L4u3kfDNrw,【ニゲテ】ニゲテって？余裕っすよｗｗｗ【にじさんじ】,100m走で13秒とか普通に出すし ※グロテスクな表現があります、閲覧注意。 製作者様 ぬーん様（@nunnuku24） http://nunnuku.web.fc2.com/game/nigete.html ピース ...,2020-10-29T17:01:23Z
伏見ガク,0UKuOzYMy50,【やばたにえん滅】やっぱり今回も駄目だったよ（予定調和）【にじさんじ】,無理無理 ピース！！ にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって呼んじゃってー   Twitterは以下より！ https://twitter.com/gaku_fushimi にじ ...,2020-10-24T17:56:21Z
伏見ガク,TUnNKq7HzDQ,【階段怪談】もう一つの階段の真相【にじさんじ】,13に至る道 公式様 https://www.freem.ne.jp/win/game/24074 ピース！！ にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって呼んじゃってー   Twitter ...,2020-10-23T14:32:45Z
伏見ガク,jZSZwVeJXZw,【マインクラフト】にじワイテ人狼RPG:伏見ガク視点【にじさんじ】,正直スケルトンも怖い ピース！！ にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって呼んじゃってー   Twitterは以下より！,2020-10-18T11:15:23Z
伏見ガク,LAPIOAXRZeM,【にじさんじ】１０万人まであと○○○人！？辿れ！軌跡ッ！！,記念は一緒に…！ その後の振り返り配信 https://youtu.be/YNqg_LOAQ5E にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって呼んじゃってー   Twitter ...,2020-10-17T16:34:26Z
伏見ガク,S9tuQKg1I5s,【にじさんじ】戦え！！！！！！！！【えるかざガク】,えるセンパイ https://twitter.com/Elu_World https://www.youtube.com/channel/UCYKP16oMX9KKPbrNgo_Kgag?sub_confirmation=1 かざさん ...,2020-10-17T09:34:07Z
伏見ガク,7_d9iEDWRVI,【階段怪談】少女と登る恐怖譚【にじさんじ】,君は一体… 公式様 https://www.freem.ne.jp/win/game/24074 ピース！！ にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって呼んじゃってー   Twitter ...,2020-10-16T15:37:20Z
伏見ガク,uS01OLSwik8,【マインクラフト】にじカルピスで「あれ」を作る【にじさんじ】,水玉でおなじみのあれっすよあれ！！ カルタちゃん https://twitter.com/Karuta_Yamagami https://www.youtube.com/channel/UCllKI7VjyANuS1RXatizfLQ ピース！,2020-10-15T14:23:35Z
伏見ガク,S1UNfn7a8Lw,【斧鬼～魍魎の棲む家～】マジでヤバい怖いゲームがあるらしい【にじさんじ】,"その館は、""何か""がおかしい―― 公式様 https://www.freem.ne.jp/win/game/19862 ピース！！ にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって ...",2020-10-13T17:20:08Z
伏見ガク,4PO9YkcFwOQ,【にじさんじ】いずがくランチ！【昼食配信】,この配信はみんなで昼ご飯をワイワイ食べる配信！ #いずがくランチフォト にツイート投稿で配信内でお借りさせていただきますっす！！ 霞ちゃん！,2020-10-10T05:53:46Z
伏見ガク,JqOIL99mnv4,【にじさんじ】バースデイ振り返り話,にじさんじ所属バーチャルライバー、伏見ガクっす！！ サクっとガクって呼んじゃってー   Twitterは以下より！ https://twitter.com/gaku_fushimi にじさんじはこちらから ...,2020-10-09T15:26:43Z
