streamer_name,videoId,title,description,publishedAt
健屋花那,0hSZ0lfDIDQ,【第五人格】おさぼり明けのランクマッチ【健屋花那/にじさんじ】,健屋花那#すこやカルテ#第五人格#写真家 久ぶりにジョゼ使う気がする。 ※対戦相手さんへの誹謗中傷などはおやめください※ ※ちくちく言葉は禁止※ ※口が悪くなること ...,2020-11-02T22:15:45Z
健屋花那,FW8KjWYr-4I,【マイクラ】にじ鯖に診療所を建てる！＃１【健屋花那/にじさんじ】,健屋花那#すこやカルテ ブラッ○ジャックみたいな診療所を作りたい！ OPで風になびきたい！ ーーー お加減はいかがでしょうか。 にじさんじ所属バーチャルライバーの 健屋 ...,2020-11-02T16:23:02Z
健屋花那,CwmFH6FlBo4,【Splatoon2】Crossickでハロウィンしなイカ！？【健屋花那/にじさんじ】,健屋花那#すこやカルテ#Splatoon2 お菓子をくれなきゃキルしちゃうぞ 白雪巴 https://www.youtube.com/channel/UCuvk5PilcvDECU7dDZhQiEw?sub_confirmation=1 ...,2020-11-01T17:28:07Z
健屋花那,xEbgA-wvfYk,【マイクラ】脳死でもできることってな～んだ？【健屋花那/にじさんじ】,健屋花那#すこやカルテ 答え：整地 ーーー お加減はいかがでしょうか。 にじさんじ所属バーチャルライバーの 健屋 花那(すこや かな)です。 まだまだ未熟ではありますが、 ...,2020-10-31T03:38:08Z
健屋花那,-E3SwX1WHic,【第五人格】イクラお誕生日おめでとう！BANするけど！【健屋花那/にじさんじ】,健屋花那#すこやカルテ#第五人格#写真家 マイクラからぶっ通しだいぇーい ※対戦相手さんへの誹謗中傷などはおやめください※ ※ちくちく言葉は禁止※ ※口が悪くなる ...,2020-10-30T22:19:03Z
健屋花那,POtp5Qv9sRg,【黒3dio/作業】健屋さんと一緒に徹夜するタイピングASMRっぽい配信【健屋花那/にじさんじ】,健屋花那#すこやカルテ#にじさんじ 仕事を持ち帰った健屋さんに付き合って徹夜する配信。 アーカイブ全体公開にしますのでいつでも作業用に使ってね。 ーーー お加減は ...,2020-10-29T19:47:07Z
健屋花那,XURgvRxB0-Q,【企画】ボイスサンプルを作ってみよう！公開収録編　ゲスト：澁谷梓希【健屋花那/にじさんじ】,健屋花那#澁谷梓希#すこやカルテ#にじさんじ 前回に引き続き、ボイスサンプル制作配信第二弾！ なんと！本物の声優さんにディレクションして頂くことになりました…,2020-10-28T12:23:11Z
健屋花那,6_MUTL4kaRg,【第五人格】とても眠ねむでどうしようすぎる【健屋花那/にじさんじ】,健屋花那#すこやカルテ#第五人格#写真家 めちゃべりべり眠たい侍 ※対戦相手さんへの誹謗中傷などはおやめください※ ※ちくちく言葉は禁止※ ※口が悪くなることが ...,2020-10-27T22:11:55Z
健屋花那,vvQqEIXPSO8,【企画】ボイスサンプルを作ってみよう！台本制作編【健屋花那/にじさんじ】,健屋花那#すこやカルテ#にじさんじ 健屋さん、声優デビューするって言うけどさ。 声優さんを名乗るならまずボイスサンプルが必要なんじゃないですか？ ということで、今回 ...,2020-10-27T16:43:43Z
健屋花那,e1ltau40IHs,【第五人格】朝ラン！！！！！！！！！！！！！！【健屋花那/にじさんじ】,健屋花那#すこやカルテ#第五人格#写真家 タイトル考えるの面倒になってきた ※対戦相手さんへの誹謗中傷などはおやめください※ ※ちくちく言葉は禁止※ ※口が悪くなる ...,2020-10-26T22:10:54Z
