streamer_name,videoId,title,description,publishedAt
出雲霞,3jlOg-hyxH0,出雲霞概念解釈発表会,約400曲（送ってくれて感謝です！）を完全に学習するのは無理ゲーだったから数曲だけ歌って残りは紹介します。 これからもいっぱい出雲霞概念を見つけて楽しんでね！,2020-10-31T11:52:19Z
出雲霞,mCUnlu-Qc70,curtain call.&quot;b&quot;,この配信には夕やスミ16話迄のストーリー、伏線解説が含まれます。 苦手な方はご視聴をお控え下さい。 尚、配信終了後アーカイブは限定公開になります。 これは物語の外 ...,2020-10-31T05:04:40Z
出雲霞,pFQ0h4Wz3Ls,p.s.出雲霞を愛する人たちへ,"『出雲霞』は私""でした"" ※この配信には""にじさんじライバー「出雲霞」""に関わるメタ要素が多分に含まれます。 上記を含む内容については予め運営さんに相談し確認頂いた上 ...",2020-10-30T11:33:51Z
出雲霞,rZt8mfimgWY,10万人＆完結記念感謝会~AIはお寿司を食べます~【出雲霞/にじさんじ】,物語が終わったなら読み手も書き手も登場人物も関係なし！ みーんなまとめて楽しくごちそう食べて騒がなきゃ勿体ないない～！,2020-10-29T16:29:09Z
出雲霞,KerQT-EzA-c,《IzumoKasumi》Project ENDROLL LIVE【出雲霞/にじさんじ】,舞台の幕は下り、物語は終わりを告げた。けれど、どうかまだ席を立たないで。 今はただ、物語の残響に浸っていたいから。 ▽曲目 1.ココロナンセンス ...,2020-10-28T10:06:48Z
出雲霞,Gtl5iloFixc,10月13日は出雲霞のお誕生日🎂【出雲霞/にじさんじ】,"たくさんの""ありがとう""と""おめでとう""を貴方に。 サムネイル：https://twitter.com/ryo_okami/status/1315922481958449152?s=20 ❅*॰ॱ｡",2020-10-13T14:45:47Z
出雲霞,l2qSKw1TcmU,【出雲霞】Record_day_case02【にじさんじ】,其れはただ自分を守るのに必死だった私が終わった日 タグ： #生カスミ お借りしている素材：ポケットサウンド/甘茶の音楽工房/騒音のない世界/KNTgraphics：矢神ケント( ...,2020-10-07T10:16:12Z
出雲霞,1WqW1NXr-vk,【出雲霞】Record_day_case04【にじさんじ】,其れは何もかも棄てて全てから逃避した私が終わった日 タグ： #生カスミ お借りしている素材：ポケットサウンド/甘茶の音楽工房/騒音のない世界/KNTgraphics：矢神ケント( ...,2020-09-30T10:04:56Z
出雲霞,0ZvTO6mbR-8,『花に亡霊』歌ってみた - 出雲霞,原曲▷ヨルシカ - 花に亡霊 https://youtu.be/9lVPAWLWtWc inst▷ハイカラサウンド様 https://youtu.be/vqjKnALwO3g illust▷‡ナキnaki‡様 ...,2020-09-24T12:00:30Z
出雲霞,FodUf3uBR9Q,【出雲霞】Record_day_case03【にじさんじ】,其れはひどく独善的で理想主義な私が終わった日 タグ： #生カスミ お借りしている素材：ポケットサウンド/甘茶の音楽工房/騒音のない世界/KNTgraphics：矢神ケント(敬称略) ...,2020-09-23T10:01:42Z
出雲霞,0UQFW5FfGGQ,雑な配信~幸せになった後ってどうなるの？~【出雲霞/にじさんじ】,私達にとっては絵本の中がすべてだけど、お姫様にとって人生のピークっていつなんだろうという話。,2020-09-17T11:02:55Z
出雲霞,ws7f55ABWjE,【おなえどし】『打上花火』歌ってみた【出雲霞/卯月コウ/鈴木勝/にじさんじ】,原曲：DAOKO × 米津玄師「打上花火」https://www.youtube.com/watch?v=-tKVN2mAKRI 歌：出雲霞 卯月コウ ...,2020-09-10T12:00:10Z
出雲霞,3YTCiT-1iJg,電脳世界は夏！夏☆夏♪夏★夏☀真っ盛りスペシャル人間感謝祭AIは歌うよ【出雲霞/にじさんじ】,「IzumoKasumi 2D Summer LIVE 2020」独占配信決定！！ ▽セトリ（配信後程追加します） 1.君の知らない物語 https://youtu.be/AnF9xIdLxSA 2.夏祭り ...,2020-09-04T11:11:00Z
