streamer_name,videoId,title,description,publishedAt
剣持刀也,052HTiI7W-w,発表がある剣持刀也,にじさんじ所属ライバー剣持刀也 時間がいつもと違うからやりにくい 詳しいことはここに ...,2020-10-27T11:41:09Z
剣持刀也,8ImSIjMjLoY,剣持刀也が剣持刀也のゲームをやりまくる,にじさんじ所属ライバー剣持刀也 にじさんじクソゲーマーズの総大将 詳しいことはここに ...,2020-10-20T16:23:36Z
剣持刀也,FMwi0SN5Av8,【クイズにじオネア】にじさんじクイズ？余裕っしょ！！,にじさんじ所属ライバー剣持刀也 IQ:すごい高い 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-10-15T17:21:02Z
剣持刀也,-PO9PwwzD4A,【 #もちもちコラボ 】もちもちvs史上最恐ホラー【VISAGE】,にじさんじ所属ライバー剣持刀也 初恋は貞子 椎名唯華チャンネル https://www.youtube.com/channel/UC_4tXjqecqox5Uc05ncxpxg 詳しいことはここに ...,2020-10-11T14:49:14Z
剣持刀也,-Voycif1f6k,今日って刀也(10/8)の日じゃね？,にじさんじ所属ライバー剣持刀也 誰だお前ら 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-10-07T17:52:57Z
剣持刀也,VSK65WWwvHA,刀えるスーパー仲良しコラボ,にじさんじ所属ライバー剣持刀也 愛称：剣持 にじさんじ所属ライバー スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ ...,2020-09-28T14:56:19Z
剣持刀也,Ki2J3rudZ58,剣持刀也のメインコンテンツ【おえかきの森】,にじさんじ所属ライバー剣持刀也 その男は輝く 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-09-14T16:12:35Z
剣持刀也,XzRGECgVPIA,タイトルをいれてください,にじさんじ所属ライバー剣持刀也 アゴと人間の狭間 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-09-05T16:04:48Z
剣持刀也,dATst_YUrSQ,【にじさんじ甲子園】ライバーが打ったホームラン集 聖シャープネス学院編【公式切り抜き】,栄冠ナイン内でライバーの皆さんが打ったホームランをまとめました！ 動画制作：にじさんじ用語集 @nijisanji_adana.,2020-09-02T12:28:27Z
剣持刀也,ToD6nhatkec,誕生日を迎え無敵になった剣持刀也の凸待ち,にじさんじ所属ライバー剣持刀也 誕生日なので誰も逆らうな 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-08-22T18:37:42Z
剣持刀也,qm3x3Bn--LM,剣持刀也です,にじさんじ所属ライバー剣持刀也 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-08-17T16:09:58Z
剣持刀也,hJwmgUgYfQg,【にじさんじ甲子園】聖シャープネス高校　監督インタビュー【剣持刀也】,にじさんじ甲子園 #にじ甲前夜祭 #パワプロ2020 ナレーション：飛鳥ひな https://t.co/OYwfJPRtJD?amp=1 にじさんじ甲子園 サイレングランプリ（本日２０時より開始） ...,2020-08-13T10:30:12Z
剣持刀也,Fre7T41ATek,【＃にじさんじ甲子園】やって来た最後の夏！！聖シャープネス学院よ永遠に！！！【剣持刀也/にじさんじ】,聖シャープネス学院監督 剣持刀也 魔都東京で最後のサバイブ eBASEBALLパワフルプロ野球2020 https://www.konami.com/pawa/2020/ ーーーー大会ルールーーーー ...,2020-08-09T19:21:33Z
剣持刀也,EguKAz9kCGg,【＃にじさんじ甲子園】二年目秋開幕！！にじさんじオールスターズが動き出す！！！【剣持刀也/にじさんじ】,にじさんじ所属ライバー剣持刀也 守備位置：神奈川県 eBASEBALLパワフルプロ野球2020 https://www.konami.com/pawa/2020/ ーーーー大会ルールーーーー ・栄冠 ...,2020-08-07T17:29:44Z
剣持刀也,7UrUSyPx4JM,【＃にじさんじ甲子園】二年目開幕！！伝説の新人と逆襲の夏！！！【剣持刀也/にじさんじ】,にじさんじ所属ライバー剣持刀也 好きな食べ物：犠牲カキフライ eBASEBALLパワフルプロ野球2020 https://www.konami.com/pawa/2020/ ーーーー大会ルールーーーー ...,2020-08-06T15:46:24Z
剣持刀也,CxfT6H126PI,【＃にじさんじ甲子園】聖シャープネス学院の一年目の夏！！燃え上れ！！！【剣持刀也/にじさんじ】,にじさんじ所属ライバー剣持刀也 特技：デッドボール eBASEBALLパワフルプロ野球2020 https://www.konami.com/pawa/2020/ ーーーー大会ルールーーーー ・栄冠ナイン ...,2020-08-05T15:51:39Z
剣持刀也,l9u29pbHXXk,【＃にじさんじ甲子園】栄冠ナイン始動！！聖シャープネス学院の夏開幕！！【剣持刀也/にじさんじ】,にじさんじ所属ライバー剣持刀也 趣味：守備妨害 eBASEBALLパワフルプロ野球2020 https://www.konami.com/pawa/2020/ ーーーー大会ルールーーーー ・栄冠ナイン ...,2020-08-04T16:51:10Z
剣持刀也,12UaIPf9Bdc,一年半ぶりのアレです,にじさんじ所属ライバー剣持刀也 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-07-31T16:11:42Z
剣持刀也,h4DjMxkcnXU,【Dropsy】剣持刀也 ～幸せの伝道師～【クリアまで】,にじさんじ所属ライバー剣持刀也 ハッピーモンスター ...,2020-07-21T18:01:57Z
剣持刀也,JeByw80Zt98,怪物がハッピーを届けます【Dropsy】,にじさんじ所属ライバー剣持刀也 ハッピークリエイタ― ...,2020-07-20T19:14:05Z
剣持刀也,-Wnrr_nfzmo,やぁ。,にじさんじ所属ライバー剣持刀也 2つの目を持つ男 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-07-11T16:03:19Z
剣持刀也,qNtDCFIMnOs,【ParanormalHK】最恐ホラゲー VS 剣持刀也＆最弱の助っ人【With椎名唯華】,前回 https://www.youtube.com/watch?v=eNqyhx7IjTc&t=11s&ab_channel=%E6%A4%8E%E5%90%8D%E5%94%AF%E8%8F%AF 次回 ...,2020-07-02T17:09:50Z
剣持刀也,-W378pnyanI,【おえかきの森】剣持刀也VSリスナーおえかき勝負【神速のタイピング】,にじさんじ所属ライバー剣持刀也 ゴッホとピカソの子 詳しいことはここに https://wikiwiki.jp/nijisanji/%E5%89%A3%E6%8C%81%E5%88%80%E4%B9%9F ...,2020-07-01T16:37:29Z
