streamer_name,videoId,title,description,publishedAt
加賀美ハヤト,xl0oeOqpfCY,【SEKIRO 隻狼】SEKIRO初見プレイ壱  灰から忍に転職する男【にじさんじ/加賀美ハヤト】,特に予習はしていないんですが大盾とか絶対ないですよねこのゲーム 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 ...,2020-11-02T16:48:03Z
加賀美ハヤト,c6NzZ0wuSBc,【雑談】3Dお披露目配信の時のアレを拝読させて頂く枠【にじさんじ/加賀美ハヤト】,バグ枠回避の為、やや語弊のあるタイトルになってしまい申し訳ございません......！ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、 ...,2020-10-31T19:03:19Z
加賀美ハヤト,SWziczdnP-A,【ポケモン ソードDLC 冠の雪原】マッシブーン捕獲耐久配信【にじさんじ/加賀美ハヤト】,オンラインでやったりやらなかったりしながら捕獲目指します！！ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美 ...,2020-10-30T20:59:48Z
加賀美ハヤト,_1-R5c6F3gM,【パワプロ2020栄冠ナイン】甲子園の扉を腕力でこじ開けた高校がそこにあった【加賀美ハヤト/にじさんじ】,ご無沙汰してました......！！ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美 ...,2020-10-28T17:24:06Z
加賀美ハヤト,28OZaWJWyLI,【ポケモン ソードDLC 冠の雪原その２】伝説vsビルドアップ【にじさんじ/加賀美ハヤト】,下手したら一回も打ちません 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美 ...,2020-10-27T17:58:32Z
加賀美ハヤト,OUEq_3C1SS8,【ポケモン ソードDLC 冠の雪原】伝説vsインファイト【にじさんじ/加賀美ハヤト】,言うほど撃たないかもしれません 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-10-25T17:31:39Z
加賀美ハヤト,u-0oNPoEFf0,【楽天スーパーポイントスクリーン】代表取締役、初めてのポイ活【にじさんじ/加賀美ハヤト】,提供：楽天スーパーポイントスクリーン 様 □ダウンロードはこちらから！ https://app.adjust.com/3kxoq6t _x000B_ □アプリを使うと「にじさんじコラボグッズ」が当たる「 ...,2020-10-25T10:58:21Z
加賀美ハヤト,0iirE_7yEpk,【ぼくのなつやすみ2】こたつでアイス食べる要領でぼくなつをプレイするアラサー【にじさんじ/加賀美ハヤト】,凄く良い画像テンプレートを見つけてしまった......！ ※無印のみプレイ済みの初見です！ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー ...,2020-10-21T18:00:18Z
加賀美ハヤト,18MJE3XNWyk,【塊魂アンコール】サイズを上げて物理で轢く【にじさんじ/加賀美ハヤト】,ある種ハクスラの最小単位ですよね 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-10-19T17:46:43Z
加賀美ハヤト,OtwCT9q4g_M,【DARK SOULS 3】ダークソウルⅢ初見プレイ 終 DLC2を最後まで。【にじさんじ/加賀美ハヤト】,いざ。 ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美 ...,2020-10-18T22:09:09Z
加賀美ハヤト,TWop1_iEgLg,【 #デュエプレ】第6弾「超獣の転生」3万円分開封&amp;気になるカードを使ってみます！【にじさんじ/加賀美ハヤト】,全然急いで枠作ってないです。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美 ...,2020-10-15T12:08:38Z
加賀美ハヤト,ZvugO4pa6lU,【スーパーマリオ64】ボムキング破壊RTA【にじさんじ/加賀美ハヤト】,やっぱり目標を掲げるのって大事だと思うんですよね。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美 ...,2020-10-15T09:46:11Z
加賀美ハヤト,PuQkmZ-heWo,【塊魂アンコール】The Rolling CEOs【にじさんじ/加賀美ハヤト】,一度やってみたかったゲームシリーズ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-10-13T18:50:21Z
加賀美ハヤト,ntmn1d2E1q0,【パワプロ2020サクセス】「野球」をする枠in提供国際大学【加賀美ハヤト/にじさんじ】,次こそは......次こそは............ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美 ...,2020-10-12T19:55:23Z
加賀美ハヤト,OZ-bVhK6ICY,【DARK SOULS 3】ダークソウルⅢ初見プレイ 第10回 ラスボス+DLC2挑戦枠【にじさんじ/加賀美ハヤト】,DLC2を残しているせいか心置きなくワクワクしています。 ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式 ...,2020-10-10T20:33:52Z
加賀美ハヤト,PaEexOemtn8,【パワプロ2020栄冠ナイン】私立ASブッパ高校【加賀美ハヤト/にじさんじ】,とうとう公立ですらなくなる。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美 ...,2020-10-08T18:14:06Z
加賀美ハヤト,OWLzh2IB23s,【DARK SOULS 3】ダークソウルⅢ初見プレイ 9弾 ラスボス前にDLC1に行ってみる枠【にじさんじ/加賀美ハヤト】,画像編集サービス不調によりサムネを前回と同じものにしています。 ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー ...,2020-10-06T17:57:18Z
加賀美ハヤト,DrzGmFfsCx8,【DARK SOULS REMASTERED】番外編② 死んだら即終了センの古城オンラインリベンジ【にじさんじ/加賀美ハヤト】,絶対に......絶対に負けられない......ッッ！！！ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表 ...,2020-10-04T15:49:16Z
加賀美ハヤト,O9AsztCG7XM,【DARK SOULS REMASTERED】番外編 死んだら即終了センの古城オンライン【にじさんじ/加賀美ハヤト】,雑魚死だけは......雑魚死だけは......。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-10-04T15:24:54Z
加賀美ハヤト,uTOdYnVsAM8,【パワプロ2020栄冠ナイン】県立 打高投低高等学校【加賀美ハヤト/にじさんじ】,覚えたての言葉です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美ハヤトと ...,2020-10-03T21:20:38Z
加賀美ハヤト,UoBIEdomx4A,【パワプロ2020栄冠ナイン】二年目、天才、降臨。【加賀美ハヤト/にじさんじ】,目指せ甲深淵。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美ハヤトと申し ...,2020-10-02T17:36:31Z
加賀美ハヤト,VYt4N-gyB9w,【原神】実はにじさんじ内ほぼ最速でプレイしていた男(クローズドβテスト)【にじさんじ/加賀美ハヤト】,提供：miHoYo マルチプラットフォーム対応オープンワールドRPG「原神」 2020年9月28日配信開始！ ▽インストールはこちら 【App Store】 ...,2020-10-01T11:00:06Z
加賀美ハヤト,LxiQNOtedtY,【DARK SOULS REMASTERED】二周目マルチプレイ 病み村編【にじさんじ/加賀美ハヤト】,地獄と聞いて。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美ハヤトと申し ...,2020-09-30T17:13:19Z
加賀美ハヤト,4gBcEmyvONA,【雑談】振り返りなどしながら超技術入門ガンプラ「エントリーグレード G-3ガンダム ソリッドクリア」を組み立てます【にじさんじ/加賀美ハヤト】,にじ3Dくんは謎のエラーを吐き続けているのでもう少しだけお休みです(二回目)。 ※恐れ入りますが配信予定時間5分だけ押します！ 加賀美ハヤト/Hayato Kagami【にじ ...,2020-09-28T15:47:56Z
加賀美ハヤト,TO6xZrzYDU4,【 #にじメン歌リレー】ビックリするくらい選曲がアラサー【にじさんじ/加賀美ハヤト】,NEXT: https://www.youtube.com/watch?v=DJipO-dsYGY&feature=youtu.be 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式 ...,2020-09-27T13:02:30Z
加賀美ハヤト,EFDui__R3X8,【DARK SOULS 3】ダークソウルⅢ初見プレイ 八巻 古竜の頂に行ってみます！【にじさんじ/加賀美ハヤト】,画像はイメージです。 ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表 ...,2020-09-26T18:49:13Z
加賀美ハヤト,haXm30JmpeY,【DARK SOULS 3】ダークソウルⅢ初見プレイ 7 ロウソクをバスタブに貯めておくタイプの図書館【にじさんじ/加賀美ハヤト】,健康を損ねそう。 ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表 ...,2020-09-25T18:20:16Z
加賀美ハヤト,9vF4YEpg8aI,【#デュエプレ】にじさんじコラボ記念杯!! 優勝者にはカード配布の権利⁉【加賀美ハヤト/葛葉/花畑チャイカ/社築】,にじさんじの屈強な(？)カードゲームプレイヤー達4人が集結！ 優勝したライバーの指定したカードが全デュエプレプレイヤーに配布されます！！ ＃コラボ記念杯 【提供： ...,2020-09-24T13:02:09Z
加賀美ハヤト,axC3dYUV1xw,【DARK SOULS 3】ダークソウルⅢ初見プレイ Vol.6 アノロンを京都だと思っている男【にじさんじ/加賀美ハヤト】,帰還......！ ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-09-23T16:43:46Z
加賀美ハヤト,K-drm-Zx4N8,【雑談】京まふお疲れ様でした！！久しぶりの雑談【にじさんじ/加賀美ハヤト】,にじ3Dくんは謎のエラーを吐き続けているのでもう少しだけお休みです。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 ...,2020-09-21T17:52:14Z
加賀美ハヤト,NGb3O36rkHc,【 #デュエプレ】にじさんじコラボ始動！！初心者の方のお悩み相談に答えながら攻略【にじさんじ/加賀美ハヤト】,さては今過去１始めやすい環境では......？ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表 ...,2020-09-20T15:11:47Z
加賀美ハヤト,m4bT3AjnIrA,【 #MTGアリーナ 】加賀美ハヤト、アーリーアクセスでゼンディカーに上陸 #MTGZendikar【にじさんじ/加賀美ハヤト】,ウィザーズ・オブ・ザ・コースト様よりご招待頂いたアーリーアクセスイベントで遊ばせて頂きます！！ ※タイミング合えばデュエル大会になるかもしれません......！！ 社 ...,2020-09-17T13:06:31Z
加賀美ハヤト,_-fvvcHo-ZU,【パワプロ2020】シリーズ初見！栄冠ナインやってみます！！【加賀美ハヤト/にじさんじ】,ROOKIESの影響です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、加賀美ハヤト ...,2020-09-16T20:28:20Z
加賀美ハヤト,sBdoiORliZg,【Fall Guys】とうとうこのゲームと向き合う時が来た。【にじさんじ/加賀美ハヤト/葉加瀬冬雪】,絶対に「初見なら私でも勝てる」と思ってる葉加瀬さんのチャンネル： https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ 加賀美ハヤト/Hayato Kagami【 ...,2020-09-14T15:43:12Z
加賀美ハヤト,ZLWPbbUBsXo,【 #デュエプレ】大会配信前、コレを知っておくともっと楽しく見れるかもしれない情報とかを紹介するハズだった男【にじさんじ/加賀美ハヤト】,埋まるべきは私かもしれない......。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-09-12T19:23:36Z
加賀美ハヤト,bMuZa3xOnvs,【パワプロ2020】シリーズ初見！まずはサクセスから！【加賀美ハヤト/にじさんじ】,めっっちゃ予習してからプレイするか悩んだのですが、やってみます！ 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 ...,2020-09-10T20:15:19Z
加賀美ハヤト,OL_6ReqJwzQ,【7Days to Die】7人のマブダチ【にじさんじ/加賀美ハヤト視点/ #魔武天 】,文字にエフェクトを入れる方法がやっと分かりました。 【メンバー(敬称略)】 天宮こころ https://www.youtube.com/channel/UCkIimWZ9gBJRamKF0rmPU8w アルス・ ...,2020-09-09T16:36:07Z
加賀美ハヤト,n6kWhag8QtE,【マイクラにじさんじ鯖】100人出入りするサーバーで誰にも会わず僻地でだいもんじを作りかけ半年放置した男【加賀美ハヤト】,誇張してない事実しか書いてないのにタイトルが長すぎる 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美 ...,2020-09-07T19:27:20Z
加賀美ハヤト,iE92WizxuzI,【DARK SOULS 3】ダークソウルⅢ初見プレイ PART5 アノロンから出たくない男【にじさんじ/加賀美ハヤト】,だいたい「騎士」「戦士」というキーワードで画像を探しています ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、 ...,2020-09-05T20:20:20Z
加賀美ハヤト,vjtew65R16A,【あつまれどうぶつの森】ガトリングしょ島、星4評価耐久【にじさんじ/加賀美ハヤト】,開発、頑張ります！ ※ロゴデサインは来栖夏芽さん作成のものをお借りしました！ https://www.youtube.com/channel/UCRcLAVTbmx2-iNcXSsupdNA 加賀美 ...,2020-09-03T21:53:25Z
加賀美ハヤト,3zxLV6GhO3c,【DARK SOULS 3】ダークソウルⅢ初見プレイ 4章 黒騎士と金太郎と玉葱と【にじさんじ/加賀美ハヤト】,篝火できた ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表取締役、 ...,2020-09-02T18:15:45Z
加賀美ハヤト,q52bVsxgWkU,【あつまれどうぶつの森】新たな住民を探しながら、古参島民の誕生日を祝う部族【にじさんじ/加賀美ハヤト】,サムネはレイラさん初来日公演のものです。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美インダストリアル代表 ...,2020-09-02T15:01:33Z
加賀美ハヤト,BWJoHSzGEc4,【あつまれどうぶつの森】返り血をぬぐい、森に帰ってきた男【にじさんじ/加賀美ハヤト】,ただいま、ガトリング諸島。(ご無沙汰してすみませんでした) 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャルライバー兼、株式会社 加賀美 ...,2020-08-31T17:23:57Z
加賀美ハヤト,ArnAIZT-DjE,【DARK SOULS 3】ダークソウルⅢ初見プレイ 3章 蛮族の帰還【にじさんじ/加賀美ハヤト】,サムネはハンドアクスでパリイしてロンソで致命をする人の画像です。 ※２もやる予定です。 加賀美ハヤト/Hayato Kagami【にじさんじ所属】 にじさんじ所属バーチャル ...,2020-08-29T22:22:11Z
加賀美ハヤト,ASD_1mgaMBc,【ARK: Aberration】第五話(六日目)決戦！ロックウェル！【加賀美ハヤト視点/にじさんじ】,開始時間、やや前後するかもしれません！ ご了承下さいませ......！ 【魔武天メンバー(敬称略)】 天宮こころ ...,2020-08-28T17:28:00Z
加賀美ハヤト,rAtGXEEVRfE,【ARK: Aberration】第四話(五日目)マジクレート周回【加賀美ハヤト視点/にじさんじ】,サムネの既視感は気のせいです。 【魔武天メンバー(敬称略)】 天宮こころ https://www.youtube.com/channel/UCkIimWZ9gBJRamKF0rmPU8w アルス・アルマル ...,2020-08-27T18:13:28Z
加賀美ハヤト,wcpxaH8CFig,【ARK: Aberration】第三話(四日目)下手したら日の光を拝みにく配信【加賀美ハヤト視点/にじさんじ】,穴のサムネ素材が異様に豊富で選択に困りました。 【魔武天メンバー(敬称略)】 天宮こころ https://www.youtube.com/channel/UCkIimWZ9gBJRamKF0rmPU8w アルス・ ...,2020-08-26T18:49:01Z
