streamer_name,videoId,title,description,publishedAt
勇気ちひろ,HvSpGAWBVVo,【The Last of Us】ラスアス1やってくぞ！＃10【にじさんじ/勇気ちひろ】,にじさんじバーチャルライバーの勇気ちひろです！ The Last of Usあそぶぞ！ ～ちひろさんからのお願い～ 罵倒の言葉などはやめていただけると幸いです。 ちひろ以外の人 ...,2020-11-03T06:33:02Z
勇気ちひろ,__5yRw48h4g,【APEX】CRカップおつおつお！もっとつよくなるためのれんしう【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ APEXが好きすぎて30時間できるので、長くやってても楽しんでるなぁ程度に思っていてください！ ちひろさん ...,2020-11-02T18:00:42Z
勇気ちひろ,b7SS2Yxrgrk,【APEX】CRカップ！勇気ちひろ視点【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ 3分遅延あり！ #かなちーくずWIN 全部で5戦です！ CRカップ一緒にでる戦友     かなかな ...,2020-11-01T12:47:29Z
勇気ちひろ,7sx-D5qjOMw,【APEX】18:00~CRカップだよ！れんしゅうだよ！【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ 合流時間未定 CRカップ一緒にでる戦友     かなかな ...,2020-11-01T08:40:38Z
勇気ちひろ,3uAJmkZvEUo,【APEX】トオト！21:00~CRカップカスタム！それまでゆげぽよとかじゅ【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ 今日の24:00~歌みた参加してます！ たぶんはいしん中になっちゃうから二窓して見ろください！おねがいし ...,2020-10-31T18:40:16Z
勇気ちひろ,wY_r9imNO70,【APEX】21:00~CRカップカスタム！それまでソロ練！【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ 今日の24:00~歌みた参加してます！ たぶんはいしん中になっちゃうから二窓して見ろください！おねがいし ...,2020-10-30T16:12:37Z
勇気ちひろ,ZKANru7A_1Y,【APEX】今日はカスタム出るかわからないけどとりまやる【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ CRカップ一緒にでる戦友     かなかな ...,2020-10-29T17:49:30Z
勇気ちひろ,kMdmQp9YuAM,【APEX】初手ソロ→21:00~CRカップカスタムKCK【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ かなかな https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA?sub_confirmation=1 くず ...,2020-10-28T15:35:28Z
勇気ちひろ,WO0yi5AwKpE,【APEX】初手ソロ→21:00~CRカップカスタムKCK【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ かなかな https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA?sub_confirmation=1 くず ...,2020-10-27T16:41:38Z
勇気ちひろ,DMcxdMncZe4,【APEX】CRカップのカスタムが21:00からあるらしい【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ 合流時間未定 かなかな ...,2020-10-26T16:32:58Z
勇気ちひろ,qyeKdJ7Ex2w,モイっと🐶まほすずラジオ🎀#101🐈～モほすずの三人に無茶ぶりをしよう！～,まほすずラジオ＃98 今日のテーマはモほすずの三人に無茶ぶりをしよう！ お供はカップめん！ ちひろ(勇気ちひろ)とアキ(鈴谷アキ)とモイモイ(モイラ)のラジオ番組です。,2020-10-25T14:07:36Z
勇気ちひろ,MKH8U6lm0aQ,【The Last of Us】ラスアス1やってくぞ！＃9【にじさんじ/勇気ちひろ】,にじさんじバーチャルライバーの勇気ちひろです！ The Last of Usあそぶぞ！ ～ちひろさんからのお願い～ 罵倒の言葉などはやめていただけると幸いです。 ちひろ以外の人 ...,2020-10-25T12:07:00Z
勇気ちひろ,UAbXCPN0Hwc,2434キルリレー達成までの軌跡【Apex Legends/勇気ちひろ】,プレミア公開に参加してくださる皆様へ 21:00公開ですが21:00から2分、YouTubeさんの仕様でカウントダウンが流れます。 それがとってもとっても音がうるｓ…大きいので ...,2020-10-25T12:00:12Z
勇気ちひろ,vRw1mIEpauA,【APEX】すもちーくずからのソロからのへんでぃ【にじさんじ/勇気ちひろ】,APEX大好きにじさんじバーチャルライバーの勇気ちひろです！ ししょー https://www.youtube.com/user/sumomox1 くず ...,2020-10-24T15:33:11Z
