streamer_name,videoId,title,description,publishedAt
叶,v-HyLegquA8,麻雀 →DAYZ→StS→PUBG→ロケリ｜ ああああああああああああああああああああ【にじさんじ/叶】,毎日配信してます！ 急な配信も多いので通知をONにして遊びに来てね。 #ロジクールG公認サポーター チャンネル登録、メンバーシップ登録もぜひ！ →チャンネル登録 ...,2020-11-02T23:35:32Z
叶,_TCb5F62h2c,原神 ｜ 起きたら原神寝る前原神【にじさんじ/叶】,【原神】１５分で水晶１００個！？これで武器強化は楽勝！最強時短効率ルート紹介！【Genshin Impact : Farm Route】 ...,2020-11-02T17:09:53Z
叶,S47XF5bSoKk,原神 ｜ #29  げんしんげんしんげんしん！！【にじさんじ/叶】,【原神】１５分で水晶１００個！？これで武器強化は楽勝！最強時短効率ルート紹介！【Genshin Impact : Farm Route】 ...,2020-11-02T02:46:38Z
叶,4yU4NblaSaQ,APEX  ｜CRカップお疲れさまでした。でも僕らはまだダイヤじゃないので戦います。with 不破湊　そらるさん【にじさんじ/叶】,不破くん▷https://www.youtube.com/channel/UC6wvdADTJ88OfIbJYIpAaDA そらるさん▷https://www.youtube.com/user/soraruYT/videos 毎日配信してます！,2020-11-02T01:38:38Z
叶,ld5M52UkCt0,APEX  ｜CRカップ本番！！勝つぞ～！！　※遅延あり。【にじさんじ/叶】,勇気さん▷https://www.youtube.com/channel/UCLO9QDxVL4bnvRRsz6K4bsQ 葛葉▷https://www.youtube.com/channel/UCSFCh5NL4qXrAy9u-u2lX3g 毎日配信 ...,2020-11-01T12:45:05Z
叶,kM8Zx0R2EQA,APEX  ｜CRカップは18時から！最後のチーム練習【にじさんじ/叶】,勇気さん▷https://www.youtube.com/channel/UCLO9QDxVL4bnvRRsz6K4bsQ 葛葉▷https://www.youtube.com/channel/UCSFCh5NL4qXrAy9u-u2lX3g 毎日配信 ...,2020-11-01T08:35:17Z
叶,NVsxFbLRHUo,APEX  ｜CRカスタムギリギリ参加！【にじさんじ/叶】,勇気さん▷https://www.youtube.com/channel/UCLO9QDxVL4bnvRRsz6K4bsQ 葛葉▷https://www.youtube.com/channel/UCSFCh5NL4qXrAy9u-u2lX3g 毎日配信 ...,2020-10-31T17:58:14Z
叶,YQgtfrPUhW4,APEX  ｜ランク修行→CRカスタム【にじさんじ/叶】,https://youtu.be/kkHLnRSCCec 毎日配信してます！ 急な配信も多いので通知をONにして遊びに来てね。 ロジクールＧ公認サポーター チャンネル登録、メンバーシップ ...,2020-10-30T16:17:31Z
叶,uVs5GzrNkxo,原神 ｜ 世界ランク６なるわ。AR45 WR6【にじさんじ/叶】,【原神】１５分で水晶１００個！？これで武器強化は楽勝！最強時短効率ルート紹介！【Genshin Impact : Farm Route】 ...,2020-10-30T03:47:40Z
叶,c1nOGG_r0jQ,APEX  ｜珍しいメンツ！ランク回します！【にじさんじ/叶】,カメラぶっこわれて今日は顔つけれなさそうです。 不破くん▷https://www.youtube.com/channel/UC6wvdADTJ88OfIbJYIpAaDA しぃ ...,2020-10-30T03:29:44Z
