streamer_name,videoId,title,description,publishedAt
夕陽リリ,Alq-Zujnv-k,【雑談】さてはお前すげー朝だな【夕陽リリ/にじさんじ】,部屋 田園地帯様(@denen57m) □音楽 魔王魂様 お問い合わせは、 info@ichikara.co.jp へ ファンレター等 http://nijisanji.ichikara.co.jp/faq/ Thanks for watching!,2020-10-24T02:10:19Z
夕陽リリ,bBwGSgBnKeA,【Dead by Daylight】次キャッチバグに出逢ったらちょっと肩パンするかもしれないな【夕陽リリ/にじさんじ】,16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信をはじめた。,2020-10-23T18:05:17Z
夕陽リリ,U4ZvudYR8No,【雑談】死ぬ前に見る光景みてーなサムネイル【夕陽リリ/にじさんじ】,炎炎ノ炎ニ帰セ □部屋 田園地帯様(@denen57m) □音楽 魔王魂様 お問い合わせは、 info@ichikara.co.jp へ ファンレター等 http://nijisanji.ichikara.co.jp/faq/ Thanks ...,2020-10-22T16:52:27Z
夕陽リリ,6mxY0dGb1VE,【原神】#5　リサさんリサさんリサさんリサさんリサさん【夕陽リリ/にじさんじ】,リサさん メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。未来人の元気な女の子。,2020-10-21T13:27:54Z
夕陽リリ,EVQI0_jGwFM,【雑談】神ならぬ身にて天上の意思に辿り着くもの【夕陽リリ/にじさんじ】,リリちゃんかわいい それな！！！ □新衣装 ねづみどし ママ(@nezumidosi_) □部屋 田園地帯様(@denen57m) □音楽 魔王魂様 お問い合わせは、 info@ichikara.co.jp ...,2020-10-20T14:13:14Z
夕陽リリ,SG3gooZ0I5Q,波に飲まれる前に(feat.flower)/Guiano ‐ cover by 夕陽リリ,わたしを過ぎていったすべてのひとへ □Music 波に飲まれる前に(feat.flower)/Guiano様 https://www.youtube.com/watch?v=_lcF60IdmKs □Mixing YAB様 (@omganl） ...,2020-10-19T12:00:13Z
夕陽リリ,wxpp5VRvju4,【 #夕陽リリ新衣装 】未来人、階級が上がりました【夕陽リリ/にじさんじ】,夕陽リリ新衣装でツイートで頂けると嬉しいです！ □21時から https://www.youtube.com/watch?v=SG3gooZ0I5Q □新衣装 ねづみどし ママ(@nezumidosi_) □部屋 ...,2020-10-19T12:02:03Z
夕陽リリ,SxEr-YJdfG8,【雑談】げりらざつ【夕陽リリ/にじさんじ】,早起きしたら5兆円欲しい メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から ...,2020-10-16T23:11:17Z
夕陽リリ,tSO8z8W-bUU,【原神】#4　ストーリー進めずにランクだけ上がってるから今無敵かもしらん【夕陽リリ/にじさんじ】,リサさん メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信をする元気な ...,2020-10-10T12:56:56Z
夕陽リリ,7EcNXSGG45s,【Dead by Daylight】大会という大義がなくなった今どんな顔をすればいい？【白雪巴/夕陽リリ/にじさんじ】,白雪さん @白雪 巴/Shirayuki Tomoe【にじさんじ】 さん :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の ...,2020-10-08T15:39:01Z
夕陽リリ,8e95G72huew,【Dead by Daylight】やっぞ【夕陽リリ/にじさんじ】,メグさん :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信をはじめ ...,2020-10-04T17:05:26Z
夕陽リリ,M8DAwTPHIDE,【Dead by Daylight】あといつとかよっかとかみっかとか【夕陽リリ/にじさんじ】,メグさん :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信をはじめ ...,2020-10-03T09:58:56Z
夕陽リリ,Wvi5DAj3-6M,【原神】#3　いざゆかん璃月/探索、ストーリー進め【夕陽リリ/にじさんじ】,リサさん メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信をする元気な ...,2020-10-02T13:39:16Z
夕陽リリ,dz0VRrfL5Vc,【原神】リサさんリサさんリサさんリサさんリサさんリサさん【夕陽リリ/にじさんじ】,らぶらぶらぶゆーリサさん メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から ...,2020-10-01T17:02:08Z
夕陽リリ,_kNPYSNyOfY,【Dead by Daylight】みんなでたのしいでっどばいでいらいと【愛園愛美/因幡はねる/癒月ちょこ/夕陽リリ】,あそんでくれたかた にじさんじ所属 愛園愛美さん https://www.youtube.com/channel/UC0WwEfE-jOM2rzjpdfhTzZA あにまーれ所属 因幡はねる氏 ...,2020-10-01T11:15:32Z
夕陽リリ,f722P7Yjhs0,【原神】未来人一本釣り【夕陽リリ/にじさんじ】,泣いてる メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信をする元気な ...,2020-09-30T17:40:44Z
夕陽リリ,waWpAkBAYmY,【雑談】まあ先に寝ますけどね【夕陽リリ/にじさんじ】,時間前後する可能性大いにあるのでCV櫻井孝宏くらい疑っててほしい。 メンバーシップ登録はこちらから ...,2020-09-29T16:53:02Z
夕陽リリ,Gt3bQO4G_fM,【Dead by Daylight】たのしいでっどばいでいらいと【夕陽リリ/にじさんじ】,はっぴー :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信を ...,2020-09-28T20:11:00Z
夕陽リリ,A7b_I0-1Wnc,【Dead by Daylight】昼の方がサバイバー回しやすいらしいという話を風のうわさで聞いた旅人の話をおばあちゃんがよく話す【夕陽リリ/にじさんじ】,ってネットで見た :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信 ...,2020-09-26T08:43:34Z
夕陽リリ,PaoRFi6XDJc,【Dead by Daylight】メグの下半身を追い求めて三千里【夕陽リリ/にじさんじ】,ねんねんころりよ、おころりよ 今日金曜か おきててよし！ :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の ...,2020-09-25T17:23:18Z
夕陽リリ,J5LCrXhyNaM,【雑談】未来人が話すってわけよ【夕陽リリ/にじさんじ】,よく〇〇と〇〇どっちの方がすき？ってきかれるけどどっちもすきじゃだめなの？ メンバーシップ登録はこちらから ...,2020-09-21T16:27:37Z
夕陽リリ,nWZW3CxLFLM,【DbD手持ちの爺脱出耐久】Last 爺 The Final【夕陽リリ/にじさんじ】,1人いる パーク・アイテム縛りなし 鍵持ち込みは駄目 とかそんな感じのゆるいルールで。気楽にいこうぜ なんてったってレベル50の爺ちゃんサバイバーが1人くらいいるからな ...,2020-09-19T00:56:05Z
夕陽リリ,l13thnYhj0o,【DbD手持ちのサバイバー脱出耐久】逃げた先に何があるんですか？【夕陽リリ/にじさんじ】,20人いる パーク・アイテム縛りなし のはずだったが途中ちょっとしてる 鍵持ち込みは駄目 とかそんな感じのゆるいルールで。気楽にいこうぜ なんてったってレベル1の ...,2020-09-18T23:41:04Z
夕陽リリ,pOo01q8w2YA,【Dead by Daylight】ねかしつけでぶ【夕陽リリ/にじさんじ】,よくねれてえらい！ リチュアル、アーカイブこなした後に何かするかも。 :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことを ...,2020-09-14T18:31:54Z
夕陽リリ,7_9Pyz3FQhU,【マインクラフト】ここでかつて夏祭りというものが行われておっての【山神カルタ/夕陽リリ/にじさんじ】,色とりどりの爆発が起こってそれはそれはきれーだったんじゃ」 「えーー！！！！嘘だおじいちゃん！！！！！！！」 夏祭りに誘ってくれた烏天狗 山神さん ...,2020-09-13T13:25:05Z
夕陽リリ,SN38TuwC2KA,【Dead by Daylightとみせかけて】起床チャレンジ【夕陽リリ/にじさんじ】,よくねれてえらい！ リチュアル、アーカイブこなした後に何かするかも。 :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことを ...,2020-09-13T04:13:11Z
夕陽リリ,vMgO9kzwWng,【Dead by Daylight】変わっちまったらしいな、お前【夕陽リリ/にじさんじ】,丘バグ警察出動。 :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として ...,2020-09-09T17:23:06Z
夕陽リリ,Zfw9KgfazV4,【Dead by Daylight】飛べるライバーの前で飛び降りたらどんな顔されるのか気になる【夕陽リリ/にじさんじ】,スマートな着地 :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信 ...,2020-09-07T17:51:42Z
夕陽リリ,FSys5dHFlOE,【Dead by Daylight】よいこのねかしつけでっどばいでいらいと【夕陽リリ/にじさんじ】,よいこいがいはみんちにします！ :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯 ...,2020-09-03T18:03:45Z
夕陽リリ,8ga-sdoXsos,【Dead by Daylight】ショコラミルクティーとかマロンチョコレートとかどっちに気持ちを傾ければいいのかわからない【夕陽リリ/にじさんじ】,16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信をはじめた。,2020-09-02T18:41:22Z
夕陽リリ,KnUQ_ORNJrM,【Dead by Daylight】霊感ないからわからないだけで、古代人の霊がみちみちに枕元に立ってるのを想像して泣いた【夕陽リリ/にじさんじ】,そんな夏 :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信を ...,2020-08-31T16:13:28Z
夕陽リリ,bP261iako4g,【あつ森】たぬきちさんちょれ～～～～～～～～～～っすわ！！！！【夕陽リリ/にじさんじ】,タダ見させてもらいますわ＾＾ メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から ...,2020-08-30T12:19:23Z
夕陽リリ,tXyilavab9o,【Dead by Daylight】朝が来るなら夜はどこへ行くんですか？【夕陽リリ/にじさんじ】,16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信をはじめた。,2020-08-30T03:11:14Z
夕陽リリ,D5iiabmglg4,【雑談】タイトルはお前らに任せる【夕陽リリ/にじさんじ】,メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。,2020-08-29T17:25:59Z
夕陽リリ,cQ2JgQKU204,【DbD】霧の森と俺とお前と朝【夕陽リリ/にじさんじ】,メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。,2020-08-29T03:14:20Z
夕陽リリ,z12sBp20IOs,【Dead by Daylight】霧の森とわたしとお前と夜【夕陽リリ/にじさんじ】,16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環として配信をはじめた。,2020-08-28T18:21:43Z
夕陽リリ,PK6cP3Tm3lU,【AMNESIA】攻略対象が人間らしい【夕陽リリ/にじさんじ】,かざちゃんにすすめられた乙女ゲームをやります。 メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join _(:3 」∠)_ ...,2020-08-27T16:50:28Z
夕陽リリ,9GyhfJpCHMs,【Dead by Daylight】夏が熱いんじゃなくて、俺たちが冷たすぎるんじゃないか？【夕陽リリ/にじさんじ】,ごめんな、気づいてやれなくて :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の ...,2020-08-26T18:29:16Z
夕陽リリ,DbHgQDaDoy4,【あつ森をやるはずだった雑談】自分の島の名前も自分がなぜここにいるのかも覚えていない【夕陽リリ/にじさんじ】,爆破…爆破しなきゃ、爆破… メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から ...,2020-08-25T18:14:03Z
夕陽リリ,acIkU8chJdE,【Tools UP!】全員性能が尖ったリフォーム屋【黛灰/出雲霞/夕陽リリ/SF組(仮)】,黛灰 Class/Hacker Vit/C Atk/C Dex/B Agi/C Int/A Luk/E https://www.youtube.com/c/MayuzumiX?sub_confirmation=1 出雲霞 Class/AI Vit/??? Atk/D Dex/B Agi/C ...,2020-08-24T13:18:27Z
夕陽リリ,oOb-2tQHP6Y,【雑談】イノチミジカシシヌニハマダハヤシ【夕陽リリ/にじさんじ】,Q.タイトルに「シ」はいくつ隠れているでしょうか A.集計お疲れ様で～～～～～～～す！ メンバーシップ登録はこちらから ...,2020-08-23T15:13:41Z
夕陽リリ,2NmRFqJGfe4,【Dead by Daylight】四位と三位のDbD【夕陽リリ/にじさんじ】,黛灰さん https://www.youtube.com/c/MayuzumiX?sub_confirmation=1 :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことを ...,2020-08-14T19:32:31Z
夕陽リリ,Fu-NK258WEU,【Dead by Daylight】息が詰まると人は死ぬし、息を抜きすぎても人は死ぬ。【夕陽リリ/にじさんじ】,セミが転がる季節だな :-) 16歳の高校1年生。遠い未来から配信をする元気な女の子。 悪戯好きで、よくいろんなことをやらかす。 現代の電波をジャックして、悪戯の一環 ...,2020-08-10T17:59:54Z
夕陽リリ,vDP0jV8TN00,【Dead by Daylight】大会お疲れ様でした！皆さん優勝おめでとうございます！競技はもうおしまいです。【神田笑一/小野町春香/でびでび・でびる/アルス・アルマル/静凛/夕陽リリ】,神田笑一 https://www.youtube.com/channel/UCWz0CSYCxf4MhRKPDm220AQ?sub_confirmation=1 小野町春香 ...,2020-08-02T15:52:52Z
夕陽リリ,KY1JvesfBKQ,【Dead by Daylight】社長、大会では大変お世話になりました。使ってないけど【夕陽リリ/にじさんじ】,逆境魂はとても強いパークです。 サムネイル、タイトルネタ☟ https://twitter.com/Yuuhi_Riri/status/1285559095018151937?s=20 :-) 16歳の高校1年生。遠い未来から ...,2020-08-01T20:07:01Z
夕陽リリ,eQH--wJfVpY,【雑談】きをとりなおして【夕陽リリ/にじさんじ】,おつおつみらいじん メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信を ...,2020-07-31T11:35:57Z
夕陽リリ,dFibW8F7NVw,【雑談】がんばったみらいじん【夕陽リリ/にじさんじ】,おつおつみらいじん メンバーシップ登録はこちらから https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ/join :-) 16歳の高校1年生。遠い未来から配信を ...,2020-07-31T11:14:56Z
夕陽リリ,s1b1kvOJKkk,【#にじさんじDbD大会】３位決定戦 夕陽リリ視点【白雪巴/瀬戸美夜子/宇志海いちご/夕陽リリ】,時間は目安です、前後する可能性があります。 全体視点はにじさんじ公式チャンネルにて☟ https://www.youtube.com/watch?v=zzpR0Swethc 瀬戸美夜子 ...,2020-07-30T12:06:47Z
