streamer_name,videoId,title,description,publishedAt
夢追翔,eF_7eJECDsI,【リングフィットアドベンチャー】お菓子食った分カロリー消費しちゃうぞ【にじさんじ/夢追翔】Ring Fit Adventure,ハロウィンムードの世間でやることと言えば～？そうだね、リングフィットだね。 28歳シンガーソングライターが身体を鍛える配信です。 共に運動したり悲鳴を酒や食事の肴にし ...,2020-10-31T15:46:29Z
夢追翔,X9aIs3CAd8o,【原神/Genshin】＃07 デイリー、秘境周回、精鋭討伐、一体どれから……【にじさんじ/夢追翔】,話題の大作オープンワールド×ファンタジー風味のRPG！！ 日課の業務を行ってやってない伝説任務いきます ◇ボイス＆公式グッズ販売中！,2020-10-30T19:04:36Z
夢追翔,VMkdMXBDyLM,【Chit-Chat stream】にじ3Dによるあたかも革新的な生存報告【にじさんじ/夢追翔】,にじ3Dで遊ぼうの回の続きになるかもしれないし、ならないかもしれない ◇ボイス＆公式グッズ販売中！◇ https://shop.nijisanji.jp/s/niji/?ima=4214 Original voices and ...,2020-10-29T15:26:55Z
夢追翔,mPNwV8Bp8jY,【原神/Genshin】＃06 別に引けても止まるわけじゃないです【にじさんじ/夢追翔】,話題の大作オープンワールド×ファンタジー風味のRPG！！ クレーを引いてから伝説任務をやっていく予定 ◇ボイス＆公式グッズ販売中！,2020-10-24T16:31:03Z
夢追翔,DDxNX4c4RJU,【リングフィットアドベンチャー】プランク、今まで放っといてごめんな【にじさんじ/夢追翔】Ring Fit Adventure,今週も運動の時間だ！28歳シンガーソングライターが身体を鍛える配信です。 共に運動したり悲鳴を酒や食事の肴にしたりしてお楽しみ頂けると幸いです。 ◇ボイス＆公式 ...,2020-10-23T16:47:49Z
夢追翔,hRDL9xrH4-E,【LIVE】30分歌枠！Vocaloid楽曲歌いたくなった【にじさんじ/夢追翔/Singing Stream】,たのしくうたうよ にじ3Dで歌ってみようの回 ◇ボイス＆公式グッズ販売中！◇ https://shop.nijisanji.jp/s/niji/?ima=4214 Original voices and goods are now on sale.,2020-10-23T13:46:53Z
夢追翔,2y6I-Fdz234,【原神/Genshin】＃05 道中にある宝箱くらいは開けていいと思うんだよね【にじさんじ/夢追翔】,話題の大作オープンワールド×ファンタジー風味のRPG！！ やりたいと思ったこと全部やります ◇ボイス＆公式グッズ販売中！◇ https://shop.nijisanji.jp/s/niji/?ima=4214 ...,2020-10-19T15:45:05Z
夢追翔,sj6mC12a9wE,【原神/Genshin】＃04 璃月編突入！モンドより更に広いってマジ？【にじさんじ/夢追翔】,話題の大作オープンワールド×ファンタジー風味のRPG！！ やりたいと思ったこと全部やります ◇ボイス＆公式グッズ販売中！◇ https://shop.nijisanji.jp/s/niji/?ima=4214 ...,2020-10-18T18:33:16Z
夢追翔,Vbpfc_Y2FXM,【リングフィットアドベンチャー】マジで今日寒くない？皆でプランクしない？【にじさんじ/夢追翔】Ring Fit Adventure,今週も運動の時間だ！28歳シンガーソングライターが身体を鍛える配信です。 共に運動したり悲鳴を酒や食事の肴にしたりしてお楽しみ頂けると幸いです。 ◇ボイス＆公式 ...,2020-10-17T15:46:05Z
夢追翔,REiAdn8A2MU,【最終回/スーパーマリオサンシャイン】＃04 夢追翔 VS パチンコ台【にじさんじ/夢追翔】Super Mario Sunshine,スーパーマリオサンシャインのラスト！多分そこそこ長い 「ニセマリオ」の汚した島を掃除しつつ、島のエネルギー「シャイン」を集めろ！ 夜型人間夢追が自由にプレイしながら ...,2020-10-17T09:48:45Z
夢追翔,unJrq34y2mA,【LIVE】にじ3Dで探す最強の自撮り角度【にじさんじ/夢追翔】3D Chatting Stream,にじ3Dが我がライブハウスに導入されたぞ！！！！ ウキウキで1時間グリーンバックと闘います 雑談枠です ◇ボイス＆公式グッズ販売中！,2020-10-16T14:30:20Z
夢追翔,6Qyz-R2PyDo,【原神/Genshin】＃03 欲望の赴くままに走り回るぞテイワット【にじさんじ/夢追翔】,話題の大作オープンワールド×ファンタジー風味のRPG！！ やりたいと思ったこと全部やります ◇ボイス＆公式グッズ販売中！◇ https://shop.nijisanji.jp/s/niji/?ima=4214 ...,2020-10-11T15:42:35Z
夢追翔,k-K_jiQp87M,【スーパーマリオサンシャイン】＃03 えっ、240枚の青コイン全部を！？取れらぁ！！【にじさんじ/夢追翔】Super Mario Sunshine,スーパーマリオサンシャインの続き！多分そこそこ長い 「ニセマリオ」の汚した島を掃除しつつ、島のエネルギー「シャイン」を集めろ！ 夜型人間夢追が自由にプレイしながら全 ...,2020-10-10T17:19:08Z
夢追翔,7S3B_vGmuKQ,【LIVE】3Dお披露目配信の思い出を振り返る回【にじさんじ/夢追翔】,裏や表であったこと、まるっと話そう1時間！ ◇ボイス＆公式グッズ販売中！◇ https://shop.nijisanji.jp/s/niji/?ima=4214 Original voices and goods are now on sale.,2020-10-10T11:19:27Z
夢追翔,e_H4lqh_gWo,【#夢追翔3D】バーチャルシンガーソングライター、夢追翔です。【にじさんじ/夢追翔】,応援してくださっている方々のお陰で、晴れて姿をお見せすることが出来ます。 本当にありがとう。これからもよろしく。歌います。 あとちょっぴりふざけます。 ◇出演してくれ ...,2020-10-09T13:10:09Z
夢追翔,6GmLAzRYWPQ,【ゼルダの伝説 ムジュラの仮面】時の勇者最強の3日間、作ります【にじさんじ/夢追翔/The Legend of Zelda: Majora&#39;s Mask】,同じ3日をループし続ける時の勇者リンク。 クリアデータを使って、1周分の3日でできるだけ多くの人を救え！ ムジュラのイベントを2時間15分で総洗いするみたいな動画です ...,2020-10-05T11:00:10Z
