streamer_name,videoId,title,description,publishedAt
天宮こころ,WVhJDPHuXP8,˗ˋˏ #聖MTP女学院 ˎˊ˗ バーチャルインターハイに向けて！千羽黒乃先生に教えを乞うよ！( ᐢ˙꒳​˙ᐢ )（ 天宮こころ/にじさんじ ）#雀魂,じゃんたまV_IH ✧本日の講師✧ @千羽黒乃先生 ✧聖MTP女学院MEMBER✧ @ルイス・キャミー @【3年0組】郡道美玲の教室 @天宮 こころ / Amamya Ch. ［雀 ...,2020-11-02T16:15:34Z
天宮こころ,n9AJDFiaQAo,˗ˋˏ STUDY ENGLISH ˎˊ˗　みゃ語みゃ語みゃ語!( ᐢ˙꒳​˙ᐢ )（ 天宮こころ/にじさんじ ）,奇跡の早起き 前回 https://youtu.be/6GLqOcWxASM 前々回 https://youtu.be/S2ZXsBzdW6I ［ English Study ］PLAYLIST ...,2020-10-30T05:32:31Z
天宮こころ,ptZuxGdqAEo,˗ˋˏ マイクラˎˊ˗ 図書館と天窓と石鹸はたべられません。│Minecraft Building（ 天宮こころ/にじさんじ ）,たべられません。 *・。*・。*・。*・。*・。*・。 天宮こころ初の公式個人グッズが発売中だよー！ あまみゃ描きおろし・デザイン監修ですよろしく✨ ...,2020-10-28T11:25:49Z
天宮こころ,ewCUJTxnZE8,˗ˋˏ ポケモン剣盾ˎˊ˗　DLC『冠の雪原#3』あれっ…三鳥さん、なんか雰囲気かわりましたね。（ 天宮こころ/にじさんじ ）【エキスパンションパス】,運営から収益化きょかきた！しゅげーーーーー！ NOW PLAYING ［ ポケットモンスター ソード・シールド ］PLAYLIST ...,2020-10-26T10:39:01Z
天宮こころ,_mh-jSDK8d4,˗ˋˏ ポケモン剣盾ˎˊ˗　DLC『冠の雪原#2』ブリザポスとかいうコントレイル（ 天宮こころ/にじさんじ ）【エキスパンションパス】,運営から収益化きょかきた！しゅげーーーーー！ NOW PLAYING ［ ポケットモンスター ソード・シールド ］PLAYLIST ...,2020-10-25T10:35:02Z
天宮こころ,t8vv0_Pqutg,˗ˋˏ ポケモン剣盾ˎˊ˗　DLC『冠の雪原#1』マックスダイ巣穴で伝説うはうは？！👀✨（ 天宮こころ/にじさんじ ）【エキスパンションパス】,( ᐢ˙꒳​˙ᐢ ) NOW PLAYING ［ ポケットモンスター ソード・シールド ］PLAYLIST https://www.youtube.com/playlist?list=PLf_iCnxqBv4hogBru23phObat60LXfQ3v ...,2020-10-24T10:33:21Z
天宮こころ,6c2xqVcAl7k,˗ˋˏ 原神 ˎˊ˗　ロリコンじゃないですシーズン２（ 天宮こころ/にじさんじ ）,何かの間違いで七七もでてほしい。 NOW PLAYING ［ 原神 ］PLAYLIST https://www.youtube.com/playlist?list=PLf_iCnxqBv4h_HEf3o9H0foJmklYTPULf #天宮 ...,2020-10-22T10:38:40Z
天宮こころ,TFsOXfRJHEM,˗ˋˏ マイクラˎˊ˗ 村人産んだり図書館の素材あつめたり🏫│Minecraft Building（ 天宮こころ/にじさんじ ）,雀魂バーチャルインターハイにでることになって うれしい～～～～～～～のまき *・。*・。*・。*・。*・。*・。 天宮こころ初の公式個人グッズが発売中だよー！ あまみゃ描き ...,2020-10-21T10:38:36Z
天宮こころ,WvX2H6Q4P54,˗ˋˏ マイクラˎˊ˗ クリーパーの頭　雷雨を待つらしい雑談│Minecraft（ 天宮こころ/にじさんじ ）,りりくらでディズニー行ったよっと *・。*・。*・。*・。*・。*・。 天宮こころ初の公式個人グッズが発売中だよー！ あまみゃ描きおろし・デザイン監修ですよろしく✨ ...,2020-10-19T13:12:09Z
天宮こころ,yCDiWZ5GuRU,˗ˋˏ 人狼RPG×マイクラ ˎˊ˗　ハロウィンがぶがぶ～！#にじワイテ ～第一夜～（ 天宮こころ/にじさんじ ）,運営】 ◢ White Tails【ワイテルズ】さん YouTube：https://www.youtube.com/channel/UCWAlDdbQee8AEyY7n65ulUA 天宮こころ初の公式個人グッズが発売中だよー ...,2020-10-18T12:16:43Z
天宮こころ,oLfVKOr8VrY,˗ˋˏ マイクラˎˊ˗ 滑舌がふにゃふにゃ・・・？│Minecraft Building（ 天宮こころ/にじさんじ ）,この図書館、銀行と大きさ似てるね。 バグかな？ *・。*・。*・。*・。*・。*・。 天宮こころ初の公式個人グッズが発売中だよー！ あまみゃ描きおろし・デザイン監修ですよろしく✨ ...,2020-10-17T11:15:45Z
天宮こころ,CSoemYI-3ZY,"˗ˋˏ STUDY ENGLISH ˎˊ˗　I am AMAMYA, NOT AMAMA!( ᐢ˙꒳​˙ᐢ )（ 天宮こころ/にじさんじ ）",奇跡の早起き 前回 https://youtu.be/6GLqOcWxASM 前々回 https://youtu.be/S2ZXsBzdW6I ［ ］PLAYLIST https://www.youtube.com/playlist #天宮こころ #こころらい ...,2020-10-14T05:50:00Z
天宮こころ,JevcIOsawEo,˗ˋˏ MineCraft ˎˊ˗ 銀行建築編最終章 #いちから中央銀行（ 天宮こころ/にじさんじ ）【マイクラ】,最近くしゃみが止まりません 「※この配信はフィクションです」 天宮こころ初の公式個人グッズが発売開始だよー！ あまみゃ描きおろし・デザイン監修ですよろしく✨ ...,2020-10-13T15:25:54Z
天宮こころ,S2ZXsBzdW6I,˗ˋˏ STUDY ENGLISH ˎˊ˗　いちばん日常で使う英語ってなんなんだろう？（ 天宮こころ/にじさんじ ）,ねおき 前回 https://youtu.be/6GLqOcWxASM ［ ］PLAYLIST https://www.youtube.com/playlist #天宮こころ #こころらいぶ #あまみゃ,2020-10-12T05:22:56Z
天宮こころ,u6PkCKjLHlA,˗ˋˏ 原神 ˎˊ˗　勝ち取りたい モノは何。│安眠RPG （ 天宮こころ/にじさんじ ）,にじさんじオンライン二十五層ダンジョンボス周回編part2 メンバー @Kanae Channel @鷹宮リオン @舞元啓介 NOW PLAYING ［ 原神 ］PLAYLIST ...,2020-10-11T17:30:23Z
