streamer_name,videoId,title,description,publishedAt
奈羅花,7BK04WEShDI,【雑談】振動するマシンにのりながら１０分間だけ,メンバーシップ解禁しました！ ２パターンのプランがあるので自分の見たいプランをぜひ選んでみてください！！,2020-10-17T16:57:10Z
奈羅花,MkLm1sxXSZg,【雑談】色々聞いてほしい話をしながらドレバラ,メンバーシップ解禁しました！ ２パターンのプランがあるので自分の見たいプランをぜひ選んでみてください！！,2020-10-16T20:32:44Z
奈羅花,WENtnSofqvk,【スーパーマリオ35 】一位をとって最終回にしたい獄卒,この間であたしは強くなった メンバーシップ解禁しました！ ２パターンのプランがあるので自分の見たいプランをぜひ選んでみてください！！,2020-10-14T07:17:20Z
奈羅花,8n5o0XDyZxw,【スーパーマリオ35 】イベントやってるらしい！乗り込むぞ！,マリオがスタイル抜群のお姉さんならうまくできる気がする メンバーシップ解禁しました！ ２パターンのプランがあるので自分の見たいプランをぜひ選んでみてください！！,2020-10-11T06:50:23Z
奈羅花,bTV3VH8OSL8,【スーパーマリオ35 】初見プレイ！何が何だかわからないマリオ３５！！！,マリオのバトロワってどうやって戦うんだろう… メンバーシップ解禁しました！ ２パターンのプランがあるので自分の見たいプランをぜひ選んでみてください！！,2020-10-07T06:26:22Z
奈羅花,5Y2WJSGlLUA,【朝活】我が家にばぶちゃんがやってきたり風邪を引いたはなし,メンバーシップ解禁しました！ ２パターンのプランがあるので自分の見たいプランをぜひ選んでみてください！！,2020-09-16T22:41:17Z
奈羅花,rUAmDtSJw2s,【歌ってみた】Realize【奈羅花】,リゼロ二期ＯＰの「Realize」を歌いました！ ＰＶが出た日にこれ歌いたい！と思いすぐに連絡して収録させていただきました！ Vocal：奈羅花 Vocal Direction / Arrange ...,2020-09-08T08:00:10Z
奈羅花,skg-TT_DOLU,【 パワプロ2020 】春夏連覇をかけた戦い！暗黒時代を何とかしたい,3年は殆ど打率３割の神でしたがいなくなりました 年代は１９５２年の兵庫スタート 同じ文章の連投などはお控えくださいちゃんと見ています！見ていてもその通りにしないこと ...,2020-09-04T05:43:50Z
奈羅花,N-DtFBCdf4M,【 パワプロ2020 】連覇をかけた戦い！夏の準決勝から！,今回は準決勝からのスタート！ そのまま黄金世代のドラフトとかまで見たい！ 年代は１９５２年の兵庫スタート 同じ文章の連投などはお控えくださいちゃんと見ています！,2020-09-01T07:35:57Z
奈羅花,1XY-6o4j-Pk,【 パワプロ2020 】黄金世代の夏の大会！！,今回は三回戦からのスタート！ 年代は１９５２年の兵庫スタート 同じ文章の連投などはお控えくださいちゃんと見ています！見ていてもその通りにしないこともあるのでご了承 ...,2020-08-31T09:19:43Z
奈羅花,FtM09JTXoLw,【 まななつ 】人身〇買！？まななつ村に村人を運び込め！,村人が欲しいんです そのためならなんだってします コラボ相手 #まななつ ましろん Twitter https://twitter.com/mashiro2434 Youtube ...,2020-08-30T11:29:13Z
奈羅花,Ii5jxIrasyI,【 パワプロ2020 】黄金世代！４年目の夏に向けての準備！！,年代は１９５２年の兵庫スタート 同じ文章の連投などはお控えくださいちゃんと見ています！見ていてもその通りにしないこともあるのでご了承ください。 メンバーシップ解禁しま ...,2020-08-24T06:44:42Z
