streamer_name,videoId,title,description,publishedAt
宇志海いちご,BU-OXFgPMIY,よ~新ビジュアル　もらってきたぞー！！！おひろめ はいしいん！！！~,じゃじゃーん！！！みんなでかんしょうかいしましょう！！！わーい！！！  ✨ これがひとつめのうれしいこと！！！そしてそして！２つめのうれしいことは！アリストロベリー ...,2020-11-02T21:45:46Z
宇志海いちご,bIC6gpWUAK0,よ~🎃☕アリストロベリーハロウィンカフェ！🍓🎃~,ありすおねーちゃんのYouTube＆Twitter☕  ✨↓ https://www.youtube.com/channel/UCt0clH12Xk1-Ej5PXKGfdPA?sub_confirmation=1 ...,2020-10-31T13:12:41Z
宇志海いちご,dQjp3zkdKfc,よ~APEX　CRカップ練習！２日目！　宇志海いちご視点~,チーム:ライオンの檻に入れられたひよこ】 まつりおねーちゃん↓ https://www.youtube.com/channel/UCQ0UDLQCjY0rmuxCDE38FGg ぱかちゃん↓ ...,2020-10-28T09:03:35Z
宇志海いちご,B0k9jOoQ_Ek,よ~すぱげってぃちゃーはんと、おしゃべりと~,"うみうし たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your language.",2020-10-27T11:22:44Z
宇志海いちご,vB8zo0h-fSM,よ~APEX　CRカップ練習！　宇志海いちご視点~,チーム:ライオンの檻に入れられたひよこ】 まつりおねーちゃん↓ https://www.youtube.com/channel/UCQ0UDLQCjY0rmuxCDE38FGg ぱかちゃん↓ ...,2020-10-26T16:00:55Z
宇志海いちご,an3NomT09YM,よ~おえかき！　このまえのつづきだぜ！~,いろぬりからかなー！？！？！おしゃべりしながらがんばろーーー！！！ このはいしんのつづきです！↓ https://youtu.be/25xCK78NGQ4 たくさん こめんと くれるとうれしい ...,2020-10-18T17:28:53Z
宇志海いちご,25xCK78NGQ4,よ~ねむねむです　おえかき？らくがき？すこしだけ！~,"なにかこう？ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your language.",2020-10-12T14:21:49Z
宇志海いちご,hHOOGe6fBIQ,よ~うみうしがちょっとはなすだけ！~,いろいろはなしたいけど、くわしいはなしはじっくりしたいゆえ、ちょっとだけ！おたのしみということで！ はやね(もうおそね)したいんっだうしみさん たくさん こめんと くれると ...,2020-10-08T15:59:19Z
宇志海いちご,TT-yeru0c-M,よ~ざつだんもしくはおえかき~,"じゃじゃーん！！！ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your ...",2020-10-04T17:07:58Z
宇志海いちご,vgy54g5sPJw,よ~【okaeri / おかえり】こわそうなのやってみる~,どんなげーむなんでしょうか…うしみさんのはんのうやいかに…どきどき     おすすめしてくれたのは めんばーさんのみんな だよ！いっしょに こわそう な げーむ さがしてくれ ...,2020-10-01T13:16:28Z
宇志海いちご,Ht03rEkTmdo,よ~APEX　１ ２ ３で！なかよく らんく！すたーとだっしゅ！！！🍓👾🤖~,めっちゃうれしみ！！！わくわく🤭 とわおねーちゃんYouTube https://www.youtube.com/channel/UC1uv2Oq6kNxgATlCiez59hw 🤖ろぼこおねーちゃんYouTube ...,2020-09-29T17:46:35Z
宇志海いちご,fpxlRLqtJHU,よ~APEX　がんばるしかない！？~,じかんなくててぬきさむね🤔 もし しゅうちゅう しちゃって、 くちかずすくな になってしまったらごめんよ！？ たくさん こめんと くれるとうれしいな！！！みんなといっぱい ...,2020-09-29T12:41:59Z
宇志海いちご,MF0oFaiapvo,よ~APEX　らんくちょっとやる！~,"おいしいものたべたいなあ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your ...",2020-09-28T12:14:14Z
宇志海いちご,tu-ynZMZCCU,よ~かんそうかい！いかがでしたか！~,いろんなひとに、いろんなところでたすけてもらった！ これからもがんばってみたいね！！！ ↓ダーリン【宇志海いちご/森中花咲】cover↓ https://youtu.be/SqNDlghaRt0 ...,2020-09-27T08:42:07Z
宇志海いちご,SqNDlghaRt0,ダーリン【宇志海いちご/森中花咲】cover,本家 MARETU様 YouTube https://youtu.be/YFg48Ai1SSo ニコニコ動画 https://nico.ms/sm32012728 --------------------------------------------------------------- □vocal 宇志 ...,2020-09-26T09:00:10Z
宇志海いちご,54GZ6PtITCc,よ~sukosi~,"dake たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your language. ​Please ...",2020-09-23T20:22:30Z
宇志海いちご,QwOQZMXFkaE,よ~APEX やろー！！！あいすをたべました~,"きょうは、あいすがおいしかったです たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best ...",2020-09-22T12:03:50Z
宇志海いちご,0vM71h9qXqM,よ~APEX こらぼー！！！おともだちとー！！！あそべるー！！！わーい！！！~,いっしょにあぺっちゃうぜ🤭   ↓よつはおねーちゃん↓ https://www.youtube.com/channel/UCO2bnzPlCau6YzLoSt8EDdA?view_as=subscriber こらぼちゅうは こめんと ...,2020-09-20T22:19:13Z
宇志海いちご,6RT8Tv_eyXQ,よ~おひさしぶりだよ！！！さみしくなった🤔~,"かもしれない たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your language.",2020-09-20T17:26:05Z
宇志海いちご,-XFMxcVXNS4,よ~VALORANTで243キルするまでおわれないらしい~,らしい！！！！！ かえでおねーちゃん https://www.youtube.com/channel/UCsg-YqdqQ-KFF0LNk23BY4A でびちゃん ...,2020-09-12T05:13:41Z
宇志海いちご,7iA5V2regUo,よ~APEX します！てすともかねる~,"がしつ、おんしつよくなってますように！！！ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do ...",2020-09-09T14:07:12Z
宇志海いちご,ygPTMQjw5cc,よ~おしゃべり+てすとなようなだよ！！！~,"いろいろせっていがんばってる たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for ...",2020-09-09T12:56:46Z
宇志海いちご,yehjQ8rozyI,よ~【1bitHeart】うみうしと、ともだちをつくろう【ぱーと７てやつだよ】~,ともだちつくるよ！なかよくなるよ！ ひさしぶりすぎるやつ みんなおぼえてる？ 1bitHeart っていうふりーげーむのつづきをあそんでいくよ！！！これからどうなるのかわくわく ...,2020-09-06T10:07:05Z
宇志海いちご,DsxDvbhYYak,よ~Dead by Daylight のんびりあそぶやつ~,"のんびりするげーむではないせつ？ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best ...",2020-09-05T07:34:40Z
宇志海いちご,vKdwUjG8CNw,よ~うみうしのおえかき！めんばーさんのすたんぷつくってみたい５！~,めんばーさんようのつよつよすたんぷ！ひさびさにつくるぞー！！！ みんなもどんなのほしいかたくさんおしえてくれだよーーー！！！！！おしゃべりしながらまったりしよ ...,2020-09-03T11:05:01Z
宇志海いちご,_4-KB4SHUwo,よ~Fall Guys で あそぼう！~,"あそんでみます！ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your ...",2020-09-02T11:50:35Z
宇志海いちご,BUPVjRY5G_I,よ~おしゃべりだよ！！！さいきんのできごとふりかえろーーーう！！！！！~,"じつはいろいろあったりするせつあるー！？ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do ...",2020-08-31T10:54:05Z
宇志海いちご,z70llBFh98k,よ~APEX くろと！あそぶよ！！！ごりらおにーちゃんもきたよ！！！~,ちーむ動物園つよつよーーー！！！！！✨ だるまおにーちゃんはさつえい？でこれなくなっちゃったので、ふたりでふりかえったりしながら？APEXやります！！！ これからも ...,2020-08-29T22:31:53Z
宇志海いちご,Bof7NZYqEmY,よ~Minecraft！なつまつり！ストロベル！~,べるもんどおにーちゃんしてん！↓ https://youtu.be/4F-D_HtumkU はいしんよていはついったーか、ふりーちゃっと？をみてみてね！！！ ↓すたんぷもふえたゆえよかった ...,2020-08-22T13:11:42Z
宇志海いちご,DZCX3qDURUc,よ~あさですけど APEX しませんことー！？！？~,"やるぜー！！！ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do my best for your language.",2020-08-22T03:36:31Z
宇志海いちご,2wL49UgZ-As,よ~APEX くろと！だるまおにーちゃんと！れんしゅうするぞー！！！~,たのしくれんしゅうしましょーーー！！！だよ！！！！！🥴   くろのゆーちゅーぶ！↓ https://www.youtube.com/c/SUB-96NEKOCHANNEL だるまおにーちゃんのゆーちゅ ...,2020-08-17T17:51:05Z
宇志海いちご,936rlzKaZho,よ~わかめだけラーたべるんだよ！わかめーーー！！！~,"わかめだけラーやっぱりもううってない？？？ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I will do ...",2020-08-09T10:40:14Z
宇志海いちご,GYu3wUe_92c,よ~おえかきのするぞーーー！！！！！うおおおおお！！！~,"うみうしのみものかってくるので、ちこくしますたぶん たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I ...",2020-08-08T10:27:07Z
宇志海いちご,lRpg91FNwew,よ~Dead by Daylight ハムの日らしい~,"じょうずになりたいですわね！？！？！？！？！？！ たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I ...",2020-08-06T09:22:16Z
宇志海いちご,vt9b-dZIt0c,よ~APEX がんばるゆえ…！~,"ちこくしちゃったのゆるしてなんだよーーー！！！   たくさん こめんと くれるとうれしいな！！！みんなといっぱいおしゃべりしたい！！！   ​I can,t understand English ​I ...",2020-08-05T10:29:41Z
