streamer_name,videoId,title,description,publishedAt
安土桃,BPSCJ9u9fo4,【目指せ8万人】おわらない飲酒～いいちこ1.8L～【安土桃/にじさんじ】,体調悪くなったら即終了します。 ＃安土桃めざせ8万人 でツイート 登録者数７万人ありがとう枠だったのになぜか飲酒耐久配信になっていました。 （七万人のお祝いはまた別 ...,2020-10-27T20:47:59Z
安土桃,iu09Rpf_XHs,【目指せ8万人】おわらない入浴【安土桃/にじさんじ】,安土桃めざせ8万人 でツイート 登録者数７万人ありがとう枠だったのになぜかお風呂配信になっていました。 （七万人のお祝いはまた別で考えています。） タイムリミットは48 ...,2020-10-27T16:41:09Z
安土桃,ov2NU8lAfQY,#16【死ぬたびに〇〇になるSEKIRO】VS梟【安土桃】,安土桃めざせ8万人 でツイート 登録者数７万人ありがとう枠だったのになぜかSEKIRO耐久配信になっていました。 （七万人のお祝いはまた別で考えています。） タイム ...,2020-10-27T14:44:04Z
安土桃,7pK2IveFIug,【目指せ8万人】おわらないFallGuys【安土桃/にじさんじ】,安土桃めざせ8万人 でツイート 登録者数７万人ありがとう枠だったのになぜかFallGuys耐久配信になっていました。 （七万人のお祝いはまた別で考えています。） タイム ...,2020-10-27T12:37:27Z
安土桃,vYN1S4xHlFg,【目指せ8万人】おわらない朝食【安土桃/にじさんじ】,安土桃めざせ8万人 でツイート 登録者数７万人ありがとう枠だったのになぜか朝食耐久配信になっていました。 （七万人のお祝いはまた別で考えています。） タイムリミット ...,2020-10-27T09:47:19Z
安土桃,EK6sO7u891A,【目指せ8万人】おわらないFallGuys【安土桃/にじさんじ】,安土桃めざせ8万人 でツイート 登録者数７万人ありがとう枠だったのになぜかFallGuys耐久配信になっていました。 （七万人のお祝いはまた別で考えています。） タイム ...,2020-10-27T08:54:39Z
安土桃,XEcgHK21HwI,Thank you!Super Chat Song.,（敬称略） みんなありがとう.,2020-10-25T10:00:10Z
安土桃,fOTqjNljhTY,#15【死ぬたびに〇〇になるSEKIRO】久々に葦名城に帰ってきたらなんだか様子がおかしい…【安土桃】,どうしたん？ 新モデルではじめてのSEKIROだ！がんばってこう！ ＃あるいはLOVEでいっぱいのLIVE でツイートだよ！ 前回のSEKIRO↓ 【part14】破戒僧撃破まで ...,2020-10-24T14:17:47Z
安土桃,jCTe3zqGXVw,【#3】甲殻熊猫【安土桃と緑仙のラジオ】,隔週木曜23時～ 生配信 #甲殻熊猫 （こうかくぱんだ） 安土桃と相方の緑仙の二人で、今後のVtuber産業の発展と変革を祈りつつ、ゆるくトークを繰り広げていくラジオ番組 ...,2020-10-22T14:52:59Z
安土桃,GAli_Kg9Z6I,???,この動画は、10月19日に録画されたものです。 隔週木曜23時～ 生配信 #甲殻熊猫 （こうかくぱんだ） 安土桃と相方の緑仙の二人で、今後のVtuber産業の発展と変革を ...,2020-10-22T14:45:00Z
安土桃,W3Po_w0a7Fk,"【初‼凸待】Thank you for 60,000subscribers！【安土桃/にじさんじ】",みんないつもありがとう！！！！！ Charged moshi moshi LIVE. 今日は見守っていて・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・ 本日の配信タグ ♯安土桃6万人記念凸 ...,2020-10-20T15:47:02Z
安土桃,D6AWKDV8XK4,【初配信】はじめまして、安土桃といいますが歴史系Vtuberではありません【安土桃/にじさんじ】,所謂ごっこあそびです。「しょうがないにゃあ」という気持ちでお付き合いください。 0:00開始 4:40 声入 9:25 自己紹介 15:39 たまごっち 24:23 好きなアニメ 30:46 好きな本 ...,2020-10-19T11:35:15Z
安土桃,ulSVy15HfUE,【安土桃新モデル】最後の配信【にじさんじ/安土桃】,Twitter https://twitter.com/momo_azuchi_ Twitter(Sub) https://twitter.com/kani_carnival_ 0:00ふにゃ〜 1:00:00新モデル ...,2020-10-18T13:09:56Z
安土桃,habsiR9xib0,The essence taiki edit,Music エハラミオリ Voice 安土桃 Illust 伊波遥 The essence https://music.apple.com/jp/album/music-of-grapefruit/1468922835.,2020-09-16T13:45:01Z
