streamer_name,videoId,title,description,publishedAt
家長むぎ,ZGd_yOjagJ4,【音量注意】ほらげ＆渋谷ライブカメラ同時視聴【にじさんじ/家長むぎ】,TRICK and TREAT   □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定配信など） ...,2020-10-31T14:40:25Z
家長むぎ,BsHdYbSJciE,【雑談】真剣にやってんのにね【にじさんじ/家長むぎ】,日本複雑すぎ □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定配信など） ...,2020-10-28T17:05:30Z
家長むぎ,yuxp1Sk84TE,【マリオギャラクシー】クリアまでプレイです～！【にじさんじ/家長むぎ】,今日でくりあだーっ！ □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定配信など） ...,2020-10-26T15:05:04Z
家長むぎ,l1UU04pzhh4,【マリオギャラクシー】むぎゲーム上手いのでは？！【にじさんじ/家長むぎ】,多分今日でくりあします..............! □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定 ...,2020-10-23T17:10:20Z
家長むぎ,OPvHS-ME36A,【マリオギャラクシー】むぎゲーム上手いのでは？！【にじさんじ/家長むぎ】,多分今日でくりあします..............! □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定 ...,2020-10-22T22:12:19Z
家長むぎ,vL0nGH-sAcI,【マリオギャラクシー】天才星あつめの旅です！！【にじさんじ/家長むぎ】,すごく楽しみにしていました................！！！！ □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 ...,2020-10-22T17:17:54Z
家長むぎ,AEd9Az2XrSM,【マリオ64】クリア回【にじさんじ/家長むぎ】,さ～い！(むぎちゃん/3さい) □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定配信 ...,2020-10-20T14:49:20Z
家長むぎ,lAAGzE_RfLA,【マリオ64】あ～これもう分かったわ【にじさんじ/家長むぎ】,わかりません(むぎちゃん/５さい) □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定 ...,2020-10-18T14:07:09Z
家長むぎ,ZMc3N7_ogH4,【マリオ64】こちら神AIMです【にじさんじ/家長むぎ】,うそです(むぎちゃん/７さい) □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定配信 ...,2020-10-15T14:15:56Z
家長むぎ,U3SrkqE_czM,【マリオ64】完全に理解した【にじさんじ/家長むぎ】,していないです(むぎちゃん/７さい) □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10回限定 ...,2020-10-13T13:55:27Z
家長むぎ,hk33RX_10r0,【マリオ64】即《落ち》2コマですが....【にじさんじ/家長むぎ】,3Dよいにきをつけたいです(むぎちゃん/７さい) □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 ...,2020-10-12T13:19:19Z
家長むぎ,Z8J4CstXErE,【マリオ64】初見、むぎが生まれる前のマリオ【にじさんじ/家長むぎ】,そもそも1900年代のゲームが初めて（？） □チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから（490円/月 毎月10 ...,2020-10-11T13:23:45Z
家長むぎ,HWLa3R9kAg0,【まじめ】重めの人生相談コーナー【にじさんじ/家長むぎ】,チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GA... □メンバーシップはこちらから □https://youtube.com/channel/UC_GCs6GA... □SNSリンク ...,2020-10-08T16:18:07Z
家長むぎ,kK21FrUmSH4,【弾き語り歌】夜のしっとり曲【にじさんじ/家長むぎ】,チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GARLxEHxy1w40d6VQ?sub_confirmation=1 □メンバーシップはこちらから ...,2020-09-13T11:36:20Z
家長むぎ,lUMP_XFD8-M,一か月ぶりの配信(インスタの質問に答えます)【にじさんじ/家長むぎ】,チャンネル登録&通知ON □https://youtube.com/channel/UC_GCs6GARLxEHxy1w40d6VQ?sub_confirmation=1 □メンバーシップはこちらから ...,2020-09-06T13:46:24Z
家長むぎ,dfQ4-e7r2tE,【APEX】えるまひむぎの巻【にじさんじ/家長むぎ】,えるえる先輩（人徳にスキル値を振り、部屋が汚い） https://www.youtube.com/channel/UCYKP16oMX9KKPbrNgo_Kgag?sub_confirmation=1 □まひまひ（面倒見が ...,2020-08-10T09:43:33Z
