streamer_name,videoId,title,description,publishedAt
山神カルタ,DqcODx1HjTw,【ポケットモンスターシールド】鳥捕まえるぞ！！！！【にじさんじ/山神カルタ】,ヨロイ島におじゃまします！島だけにね！ｗ (ほぼ冠の雪原)(冠の雪原クリアした✌  ) ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の11月マンスリー ...,2020-11-02T16:42:25Z
山神カルタ,RJ3H-EUHEek,【ポケットモンスターシールド】雪原の旅【にじさんじ/山神カルタ】,いくわよポチ！！！！ ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ にじさんじ所属バーチャルライバー 見習い烏天狗の山神カルタです。 普段は山で修行をし ...,2020-11-01T13:06:52Z
山神カルタ,oGgiZmM4S00,【Minecraft】ハロウィンハウスつくる～！！！！🎃【にじさんじ/山神カルタ】,ちなみに、山神は建築センスZEROのオンナ   ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ サムネを作ってくれたあーこ！ @朝日南アカネ / Asahina Akane ...,2020-10-31T16:15:34Z
山神カルタ,RTpWtfDM3xg,【雑談】元気～？【にじさんじ/山神カルタ】,やっほ～ 素敵なイラスト : 毒瘤子どくりょし (@ @DUkukki)さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の10月マンスリーボイスはこちら ...,2020-10-31T09:32:28Z
山神カルタ,efPFIu7XXDA,【ポケットモンスターシールド】雪テンションあがる【にじさんじ/山神カルタ】,今日一日ずっと、タマザラシと何で韻が踏めるか考えてた タマザラシ から騒ぎ 粗探し さだまさし ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の10 ...,2020-10-26T14:28:04Z
山神カルタ,M81p22G5-Y0,【雑談】気の向くままに喋り続けるin深夜【にじさんじ/山神カルタ】,今日一日ニーチェの名言集を見てました 素敵なイラスト : かたな  =͟͟͞͞ (@ katana_piano)さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中 ...,2020-10-24T16:46:05Z
山神カルタ,uDq00rIFgm0,【Minecraft】ネザークォーツ枯渇してますか？？？【にじさんじ/山神カルタ】,求:ネザークォーツ 素敵なイラスト : くろさき (@ kurosaki_9631 )さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の10月マンスリーボイスはこちら ...,2020-10-22T14:58:00Z
山神カルタ,SA38RKKgCoI,【歌】夕方のちょっとした歌枠！【にじさんじ/山神カルタ】,この時間いちばん眠くなる 素敵なイラスト : むれちか(@ muremuretika)さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の10月マンスリーボイスは ...,2020-10-20T08:50:34Z
山神カルタ,AM-ZcbA9l-4,【1周年記念】こんにちは、山神カルタです！【山神カルタ】,みなさまこんばんは！ にじさんじ所属ライバーの山神カルタです！ たくさんお話してくれてありがとう これからもいっぱい話そうね ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡,2020-10-19T16:27:29Z
山神カルタ,VVZu1g2jYUc,【Minecraft】おしゃれな家に住みたいその気持ち【にじさんじ/山神カルタ】,向上心、ってやつなんじゃないかな＿＿＿＿？ 素敵なイラスト : チョコ狸 (@ tyoko_tanuki16 )さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 突発コラボして ...,2020-10-18T17:46:10Z
山神カルタ,bsH4u5m8rqw,【Minecraft】おしゃれハウスの定義【にじさんじ/山神カルタ】,おしゃれハウスを建築するには広い土地が必要 素敵なイラスト :鏡んちのとーや (@ touya_vvvv )さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中 ...,2020-10-17T18:02:47Z
山神カルタ,tOX5299N62A,【深夜雑談】寝かしつけるための雑談【にじさんじ/山神カルタ】,寝るわよ！！！！！ 素敵なイラスト : パト3(@ 3228Sfg)さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の10月マンスリーボイスはこちらから..୨୧ ...,2020-10-16T18:04:13Z
山神カルタ,8tzJ6Rdm8_0,【Minecraft】ガク先輩とマイクラ！！！！inにじ鯖【#にじさんじカルピス】,なにつくります！！！？！？！？ 素敵なサムネイラスト : のた(@ noumisotarou)さま ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ ガク先輩🦊 Youtube ...,2020-10-15T14:26:15Z
山神カルタ,Ca-MgVluXMU,【Detroit: Become Human】私が決める、私だけの物語 #終【にじさんじ/山神カルタ】,みんながそれぞれの幸せで終われればいいなと思うけど、それはエゴなのかな ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽⋆｡:ﾟ･*✰⋆｡:ﾟ･*☽⋆｡ 現在販売中の10月マンスリー ...,2020-10-14T14:22:54Z
