streamer_name,videoId,title,description,publishedAt
御伽原江良,wLK57h3hlPg,【にじさんじ×ユニゾンリーグ】ガブリエラがゲームとコラボ！？【御伽原江良/童田明治】,コラボ名称 : にじさんじ×ユニゾンリーグコラボ 開催期間 : 2020年10月14日（水）17:00 ～ 2020年10月31日（土）22:59 ▽アプリダウンロード ...,2020-10-14T14:25:41Z
御伽原江良,rNUcJc9EMAI,ツイステに殺された女,ツイチャン終わったら始めます ただの雑談.,2020-10-04T13:47:07Z
御伽原江良,lDAz51Fy5d0,【カラオケ練習】GOMIKASU-Original Mix-【off vocal】,なんかまた届きました on vocal(？) → https://youtu.be/hw8whKP0HdU チバニャン→https://twitter.com/ChibaNyan_dayo?s=20 ◯リンク 【Twitter】 ...,2020-09-17T12:00:21Z
御伽原江良,dvo1PhD8yME,【デレステ】幸子の５週目が来ました【御伽原江良】,ｶﾜｲｲﾈ！ リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【メンバーシップ】 ...,2020-09-14T16:05:34Z
御伽原江良,q9W5zIyiISI,【ツイステガチャ】ジャミルの誕生日なので御祝儀代わりにガチャ回します【御伽原江良】,ジャミルおめでとう；； ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【メンバーシップ】 ...,2020-09-12T13:30:14Z
御伽原江良,72cxmCHaRpY,シンデレラフェスってなんでしたっけ？【御伽原江良】,追記：爆死じゃなかったかも 24時間生放送見ながら編集してたんですけど見入って全然集中できませんでした。最高でした。 俺を〇せ。 ◯リンク 【Twitter】 ...,2020-09-06T13:00:14Z
御伽原江良,UTZoBj9EfXc,１時だし一位取りたいな～みたいな,見るな ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【メンバーシップ】 ...,2020-09-05T17:07:05Z
御伽原江良,U3HkBRJtWtw,フォールガイ〇【御伽原江良/にじさんじ】,以前メンバー限定配信でやったやつの切り抜き(内容ほぼノーカット)です ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートし ...,2020-08-16T14:00:09Z
御伽原江良,f32nqhj-TLU,【ツイステガチャ】推しを完凸させました【御伽原江良】,マジで推しのガチャにはなにかしらのヤバい物質が入ってる ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！,2020-08-09T13:30:14Z
御伽原江良,FLqeds8f_5k,【ツイステガチャ】ハートのエースが出てこない【御伽原江良/にじさんじ】,後半まだかな、ケイトPUまだかな ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs公式HP】 ...,2020-07-09T13:00:14Z
御伽原江良,H-nZ8ezR0fE,様子がおかしいシンデレラフェス【御伽原江良/にじさんじ】,語りすぎてて気持ち悪くて沢山カットしました メンバー限定配信ノーカット版→https://youtu.be/pu0-eiDDT6I メシウマ限定はーちゃん→https://youtu.be/iGTJkFpiqy8 ...,2020-07-05T13:00:11Z
御伽原江良,daFEzh0sutc,Twitterでバズったぴえんのホラゲvsホラゲとぴえんが世界一嫌いな私【御伽原江良/にじさんじ】,ぴえん ※最初の話（顔が全く動かなかった為顔がない）プラス画質悪いのが治らなかったので画質がゴミです。すみません。 ◯リンク 【Twitter】 ...,2020-06-21T13:00:10Z
御伽原江良,hw8whKP0HdU,GOMIKASU-Original Mix-（御伽原江良vsチバニャン),なんで本気出してしまったん？,2020-06-21T11:00:14Z
御伽原江良,uVem59jLb7E,理解力が乏しいアソビ大全51【御伽原江良/にじさんじ】,アソビ大全であそびたいぜ～っつってなｗ ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs公式HP】 ...,2020-06-14T14:00:13Z
御伽原江良,A3_WlxF4Xls,【ツイステガチャ】回すつもりじゃなかったガラ【御伽原江良/にじさんじ】,本当はマリッジが本命だからガラレオナスルーのつもりだったんですよ。ええ。 6万のカリムくん→https://youtu.be/X4sZHpYwVNk マジ病み ...,2020-06-11T13:00:15Z
御伽原江良,EONBj-v33v4,ギバラ ~バズり動画＆切り抜きまとめ~,お友達に布教するときにでも使ってください 〇動画リンク 念願のちゃちゃまるに遭遇したVtuber ...,2020-06-07T13:00:11Z
御伽原江良,elLP8SvIf30,【ツイステガチャ】マジ病みジャミルピックアップ【御伽原江良/にじさんじ】,この動画は四章を読んだ後にとったものです。だいぶ精神にきました 前回のカリムガチャ→https://youtu.be/X4sZHpYwVNk 次回の ...,2020-06-03T12:30:14Z
御伽原江良,vpXP_fWyz5A,ラムのラブソング / 御伽原江良 (petit fleurs)【cover】,『私がいつでもいちばん』 作詞：伊藤アキラ 作曲：小林泉美 編曲：渡辺剛 Illustration： ぱん Twitter： https://twitter.com/panno_mimi ...,2020-05-26T13:00:14Z
御伽原江良,kxNAljhLEV8,旅行券1000枚で住民厳選臨んだら奇跡起きた【御伽原江良/にじさんじ】,すごくびっくりしました（小並感） ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs公式HP】 ...,2020-05-22T12:00:12Z
御伽原江良,AYbXWrdlJag,驚愕の１０００連 ジャック・ビンタガチャ【御伽原江良/にじさんじ】,さすがに1000枚もあれば行けるやろ～ｗ ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs公式HP】 ...,2020-05-21T18:32:24Z
御伽原江良,X80uQt5r4_w,あつまれ マイル旅行券【御伽原江良/にじさんじ】,リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs公式HP】 https://nbcuni-music.com/petit_fleurs/ 1st ...,2020-05-20T20:00:15Z
御伽原江良,X4sZHpYwVNk,【ツイステガチャ】６万円のカリムくん【御伽原江良/にじさんじ】,スカラビアの民なので多分そろそろ死にます ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs ...,2020-05-17T11:00:21Z
御伽原江良,lZNajntP3jI,無視しまくった人気住民を当てろ！！呪いの住民厳選【御伽原江良/にじさんじ】,怒ってそう ◯リンク 【Twitter】 https://twitter.com/OtogibaraEra #御伽原江良 #御伽の国の舞踏会 でツイートしてね！ 【petit fleurs公式HP】 ...,2020-05-04T17:05:11Z
