streamer_name,videoId,title,description,publishedAt
愛園愛美,z1HwUEtj4D4,【新ビジュアルお披露目】可愛すぎ【にじさんじ/愛園愛美】,1ヶ月ぶりのソロ生配信！ 新ビジュアルお披露目！！ やっと皆に見せられる～！ コメントやタグでたくさん可愛いって言ってくれたら嬉しいです☺ ？コメント欄のピンク色の ...,2020-10-29T15:28:09Z
愛園愛美,k9IBUJmBsaM,【歌ってみた】ビードロ模様 / 愛園愛美【にじさんじ】,君に好きと言いたい illust:加藤アカツキ様 ( https://twitter.com/AkatsukiKatoh ) movie:三峰 / Mitsumine様 ( https://twitter.com/MtsuMne ) inst:Yori様 ...,2020-10-09T09:00:10Z
愛園愛美,VAhjtYVqCus,【Dead by Daylight】5分でも生き延びたらえらいってことになりませんか？【愛園愛美/因幡はねる/夕陽リリ/癒月ちょこ】,くっそうまい人達とDBDやることになりました。 愛園は死体の役です。 因幡はねるちゃん https://www.youtube.com/channel/UC0Owc36U9lOyi9Gx9Ic-4qg ...,2020-10-01T11:13:22Z
愛園愛美,Vcg_nvkYMhs,【みんなのリズム天国】#2 ツボが浅い掛け声がたまに変な女【にじさんじ/愛園愛美】,あれ、もしかしてリズム感天才？ リミックス4以降からスタート！ 前回 https://youtu.be/OAVKNUVHBr8 ？コメント欄のピンク色の絵文字どうやるの？ →メンバーシップに ...,2020-09-19T04:29:51Z
愛園愛美,OAVKNUVHBr8,【みんなのリズム天国】リズム感より反射神経で戦う女【にじさんじ/愛園愛美】,絶望的じゃないとは思いたいけど自信はないです。 ？コメント欄のピンク色の絵文字どうやるの？ →メンバーシップに加入すると使えるようになるスタンプです！ メンバー限定 ...,2020-09-16T11:33:16Z
愛園愛美,QGuI8ptwwNQ,【サルゲッチュ】#6 残党狩りラスト？？難易度高いステージのサルに翻弄されながらクリア目指す【にじさんじ/愛園愛美】,今日で終わるといいなって気持ちで全サルつかまえるぞー！！！ 残ってるステージもめちゃムズだからゆっくり謎解きしながらがんばります！！ ？コメント欄のピンク色の ...,2020-09-11T09:43:31Z
愛園愛美,fvYNVY_zosg,【Minecraft】ベタ飾る水槽を出来る限り作りたい枠【にじさんじ/愛園愛美】,水槽つくれるかな… ※にじ鯖慣れてませんが見守ってくれると嬉しいです！ 他の方がログインしても私の話題が出てない限りコメントで私の話をしに行くのはやめてください！,2020-09-08T11:03:42Z
愛園愛美,W-CSUeuGfj8,【APEX】#APEX部2434キルリレー フィニッシャーしたりしながらキルのバトンを繋ぐ！！【愛園愛美/える/長尾景】,愛園とえるちゃんがキルできるように忖度してね？？ えるちゃん https://www.youtube.com/channel/UCYKP16oMX9KKPbrNgo_Kgag?sub_confirmation=1 ...,2020-09-05T07:17:30Z
愛園愛美,L9172Ihc8Xg,【Fall Guys】愛園汁検証？ライフママとローション相撲！【#伊東家の親子丼 】,愛園の公式カラーコードはたぶんF98FB7 伊東ライフママ https://www.youtube.com/channel/UCj_KuUzpOXAliYEesJwdrbw https://twitter.com/itolife ？コメント欄の ...,2020-09-03T15:17:25Z
愛園愛美,_mCT0QTT9uU,【雑談】新しいマイクテストだけど正直どれだけ変わるのかもよくわかってない【にじさんじ/愛園愛美】,近隣一体いつも何やってるの？工事？？ ？コメント欄のピンク色の絵文字どうやるの？ →メンバーシップに加入すると使えるようになるスタンプです！ メンバー限定コミュに ...,2020-09-01T05:42:17Z
