streamer_name,videoId,title,description,publishedAt
成瀬鳴,RLb4eo2EwXU,【世界のアソビ大全51】ハロウィンだからせめてバナナを食べさせて【成瀬鳴/にじさんじ】,にじさんじ所属のバーチャルライバー成瀬鳴です！ いいなと思っていただけたらチャンネル登録＆高評価よろしくお願いします！ □グッズ オリジナルグッズ・ボイス購入は ...,2020-10-31T15:22:14Z
成瀬鳴,SrrWZargFF4,【Apex Legends】軽く遊ぶ【成瀬鳴/にじさんじ】,にじさんじ所属のバーチャルライバー成瀬鳴です！ いいなと思っていただけたらチャンネル登録＆高評価よろしくお願いします！ □グッズ オリジナルグッズ・ボイス購入は ...,2020-10-31T04:53:56Z
成瀬鳴,QmREyxe04-U,【Apex Legends】ちょいランク【成瀬鳴/にじさんじ】,にじさんじ所属のバーチャルライバー成瀬鳴です！ いいなと思っていただけたらチャンネル登録＆高評価よろしくお願いします！ □グッズ オリジナルグッズ・ボイス購入は ...,2020-10-30T16:02:42Z
成瀬鳴,Tm9goKIsvBY,【ポケモン剣盾】冠の雪原プレイ【成瀬鳴/にじさんじ】,にじさんじ所属の成瀬鳴です！ ↓↓↓メンバーシップはこちら！↓↓↓ https://www.youtube.com/channel/UCoM_XmK45j504hfUWvN06Qg/join ボイス販売始めました ...,2020-10-29T12:55:59Z
成瀬鳴,XTyqScGPhO4,【Fall Guys】落ちた男の末路【成瀬鳴/にじさんじ】,にじさんじ所属の成瀬鳴です！ ↓↓↓メンバーシップはこちら！↓↓↓ https://www.youtube.com/channel/UCoM_XmK45j504hfUWvN06Qg/join ボイス販売始めました ...,2020-10-28T14:06:24Z
成瀬鳴,2VpNfSq8KII,【FIFA21】石油王の如く金をつぎ込んだプレミア軍団で無双(できたらいいな)配信【成瀬鳴/にじさんじ】,にじさんじ所属の成瀬鳴です！ ↓↓↓メンバーシップはこちら！↓↓↓ https://www.youtube.com/channel/UCoM_XmK45j504hfUWvN06Qg/join ボイス販売始めました ...,2020-10-27T13:24:16Z
成瀬鳴,u7Wfw-kvsIo,【雑談】色々話す【成瀬鳴/にじさんじ】,にじさんじ所属の成瀬鳴です！ ↓↓↓メンバーシップはこちら！↓↓↓ https://www.youtube.com/channel/UCoM_XmK45j504hfUWvN06Qg/join ボイス販売始めました ...,2020-10-26T14:06:37Z
成瀬鳴,sFy02oTBU9U,【Apex Legends】プラチナに戻ろう【#鳴OnLive】,にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-10-13T07:11:24Z
成瀬鳴,_L-SkWdP3BQ,【SUPER MARIO BROS. 35】他のマリオを蹴落とすマリオのゲーム【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-10-12T13:45:05Z
成瀬鳴,UPjHiFs7A_c,【FIFA21】ピーナッツくんvs成瀬鳴！ FIFA新作でガチ対決！【コラボ】,ピーナッツくん YouTube：https://www.youtube.com/channel/UCmgWMQkenFc72QnYkdxdoKA Twitter：https://twitter.com/osyarenuts #鳴OnLive にじさんじ所属の ...,2020-10-08T16:41:50Z
成瀬鳴,nn1MerGt_6k,【FIFA21】ガチャを回す配信【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-10-06T14:16:35Z
成瀬鳴,LKazuV9f4BE,【FIFA21】待望の最新作！発売前に体験しちゃう配信【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-10-03T12:39:17Z
成瀬鳴,HQfyAL7h4f0,【Apex Legends】みんなで撃つコラボ配信【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-30T14:37:30Z
成瀬鳴,Gyqc8TModE8,【原神-Genshin-】気になったからプレイしてみる配信【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-29T08:58:10Z
成瀬鳴,fvtAnrTkY-8,【Fall Guys】雑談しながら落ちる男(もうすぐ44000人)【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-27T15:27:53Z
成瀬鳴,Fx6qObj91_Y,【DbD】デモゴルゴン最強卍【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-22T12:23:33Z
成瀬鳴,YG12sRcqbaU,【FIFA20】負けたら即終了オンライン対戦配信【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-17T13:55:56Z
成瀬鳴,AkyWEkOP-wM,【マリオカート8DX】俺に勝てる奴なんておらん【#鳴OnLive】,2回走ったら一度交代してください。 #鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-15T13:17:57Z
成瀬鳴,3MvMI8aIsAs,【Minecraft】死んだら終わり。ハードコア生活１日目【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-11T12:47:06Z
成瀬鳴,Ev32VczH3AE,【予言】この先起こる未来なんて全部見通せるわ【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-08T11:06:16Z
成瀬鳴,4_P2-B5p788,【Apex Legends】3位以内になるまでバトロワ！！！！！【#鳴OnLive】,砂糖のお兄さん Twitter：https://twitter.com/harusakiair2434 YouTube：https://www.youtube.com/channel/UCtAvQ5U0aXyKwm2i4GqFgJg?sub_confirmation=1 ...,2020-09-06T06:56:18Z
成瀬鳴,NegrA4OjJrM,【Inunaki Tunnel | 犬鳴トンネル】ハッピーエンド行くんじゃ！！！【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-05T11:48:36Z
成瀬鳴,uoSqo0Z3hIg,【Inunaki Tunnel | 犬鳴トンネル】今までありがとうございました。多分もう無理です。【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-09-03T14:31:44Z
成瀬鳴,ZsJPYJHGxDk,【マリオカート8DX】オンラインか視聴者参加型【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-30T23:07:35Z
成瀬鳴,-veYjxGoVNE,【Apex Legends】ランク上げるよ！！！！【#鳴OnLive】,にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-30T12:20:56Z
成瀬鳴,Rl7BIm5WUNI,【Fall Guys】1位しか勝たん【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-29T14:14:09Z
成瀬鳴,l3rOrRt-oEY,【Apex Legends】ランクマっ！！！！！！！！【#鳴OnLive】,にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-29T03:37:26Z
成瀬鳴,88cIgp5Pv9g,【Project Winter】雪山人狼納涼祭・成瀬鳴視点【#鳴OnLive】,ProjectWinter #雪山人狼納涼祭 #vtuberコラボ 本日のルール - - - - - - - - - - - - - - - ゲームモード:クラシック →トレイターとサバイバー以外の役職は無いモードです。,2020-08-28T14:17:29Z
成瀬鳴,bN64QkuAeYE,【ポケモン剣盾】鎧の孤島で遊ぶ Part2【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-28T00:31:19Z
成瀬鳴,rJg1y1KfXiU,【Apex Legends】ゴールド3になりたい【#鳴OnLive】,にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-27T10:17:47Z
成瀬鳴,E3-DDoT_G2E,【Apex Legends】練習じゃああああ！！！！【#鳴OnLive】,にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-27T05:56:19Z
成瀬鳴,sSRNhnm7tgA,【ポケモン剣盾】鎧の孤島で遊ぶPart1【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-26T23:30:08Z
成瀬鳴,38bbfudLTTI,【作業配信】サムネ作りとか8月の予定考えよう【#鳴OnLive】,鳴OnLive にじさんじ所属の成瀬鳴です！ メンバーしか「かわいい」とコメントできないです。 ↓メンバーシップはこちら！,2020-08-26T09:47:49Z
