streamer_name,videoId,title,description,publishedAt
文野環,I21CbgW30CY,【祝】２０万人登録者 ～洗濯ばさみを添えて,なにを挟んでいるとはいってない ２０万人耐久配信の動画は消えてしまったけど そんなときもあるよね 人生は冒険や！！ この節目を迎えられて本当にうれしいな！ みんな、 ...,2020-11-02T11:58:56Z
文野環,6HBaBZqeEBs,新衣装ありがとう！スパ―チャット音読するよ！,新衣装お披露目の時に読めなかった分を読むよ(^^)/ ほんとにしあわせはっぴーばーすでー.,2020-10-31T14:50:38Z
文野環,LRaAff4LF7Q,🎃呪怨🎃ハロウィンだからホラゲーするよ～！【にじさんじ】【文野環】,Happy Halloween ♪ お菓子くれなきゃイタズラするぞ.,2020-10-31T12:42:34Z
文野環,37-QK4kmY38,わいわい宇宙人狼(^^♪その２ mong us【にじさんじ】【文野環】,宇宙人狼、完全攻略した ＃ギャラクシー八つ墓村 でツイート 日本語化MOD製作者 杏仁ミルさん ありがとうございます。 @AnninMirudayo ...,2020-10-30T15:02:11Z
文野環,4sY2SUz44Ag,【検証】Uber Eatsか自分で買いに行くのどちらが早い！？【にじさんじ】【文野環】,注文と同時に出ていき徒歩でお店に行くよ そして注文したものと同じものを買って帰ってくるよ(^^)/ もし負けたら、にじさんじライバー全員にウーバーイーツのカバン買って ...,2020-10-26T12:11:18Z
文野環,nCZ-6aRkjoQ,深夜のトークショー☆【にじさんじ】【文野環】,この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいします(^o^) この配信がいいなと思ったら ...,2020-10-23T16:16:54Z
文野環,0KvxwJWQBPU,新衣装お披露目‼皆様、お待たせいたしました【にじさんじ】【文野環】,いつも応援してくれてありがとう！！ 気づいたら2年間同じ服着てたよ！ 日頃の感謝を込めてスーパーチャット読むよ！(最後に) #野良猫新衣装 この配信がいいなと思ったら ...,2020-10-22T12:40:45Z
文野環,i09SPaNbs98,はじめてのリングフィットアドベンチャー【にじさんじ】【文野環】,屋根から飛び降りてもへっちゃらだからねｗ 新衣装ちょっとだけお披露目しちゃうかも この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、 ...,2020-10-22T07:18:49Z
文野環,3_YoqXPLNV0,妹と歌ってみた　かえるの合唱,登録者19万人ありが東南アジア諸国連合！,2020-10-18T12:21:46Z
文野環,pGsqfmngXEI,さよなら、陰キャット【にじさんじ】【文野環】,今まで皆のこと馬鹿にしてごめんなさい この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいし ...,2020-10-14T15:38:51Z
文野環,GFUDj2m884s,愛媛へGoToしてきたよ(^^♪【にじさんじ】【文野環】,旅行記 Go Toトラベルときたら、道後商店街へ！！是非、足を運んで Ehime is good spot in JAPAN. Go To Ehime 愛媛 Stay home 店員さんの素敵なお店「ひめや」 ...,2020-10-13T12:10:53Z
文野環,i1EWf3SRQf8,わいわい宇宙人狼(^^♪  Among Us【にじさんじ】【文野環】,宇宙人の ＃ギャラクシー八つ墓村 でツイート 日本語化MOD製作者 杏仁ミルさん ありがとうございます。 @AnninMirudayo ...,2020-10-11T17:55:54Z
文野環,5DezwZaOB5E,おえかきの草超えて森森森森【にじさんじ】【文野環】,https://www.hange.jp/ ↑ここからできるるるるるるるーまにあ おほほｗｗｗｗｗ この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、ソーシャル ...,2020-10-11T11:34:26Z
文野環,eXVyVpeplec,絶対に告白させる方法,,2020-10-06T12:14:34Z
文野環,xipoN2zASXs,借りたパソコンで歌う配信【にじさんじ】【文野環】,この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、ソーシャルディスタンス、三密、GoToよろしくお願いします(^O^) ◉JPOP karaoke カラオケ様 ...,2020-10-03T20:21:10Z
文野環,4WrFmMJ4Qls,1番低い声出してみた,低い声出すなんて、むりむりぃ///,2020-09-27T06:57:33Z
文野環,eU6ifOgrGSk,【検証】人間はいつまで納豆を混ぜ続けられるのか【にじさんじ】【文野環】,今日はマネージャーさんに納豆耐久をしてもらうよ！ #納豆耐久 お借りした音源様たち ◯生歌風カラオケ屋 様 ・風になる-つじあやの https://youtu.be/EiP-_CvTnyg ・生まれ ...,2020-09-26T08:23:09Z
文野環,bdQOXmrw8BM,大切なお知らせ,ポテチおいしい.,2020-09-23T14:12:32Z
文野環,gGbUHxvsY3E,【検証】同時に頼んだらどっちが先にくる？マックのデリバリーVS UberEats【にじさんじ】【文野環】,普段お風呂入らないけどお仕事があるから仕方なく入る 全部紹介できなくてソーリーモーリー この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、 ...,2020-09-18T11:20:43Z
文野環,7eK14RbEGmM,お風呂最速RTA【にじさんじ】【文野環】,普段お風呂入らないけどお仕事があるから仕方なく入る 全部紹介できなくてソーリーモーリー この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、 ...,2020-09-17T18:04:22Z
文野環,T4ed0BW8Jfk,視聴者さんの特技 大発表会！！！【にじさんじ】【文野環】,あんなこといいな できたらいいな(^o^) 全部紹介できなくてソーリーモーリー この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、ソーシャル ...,2020-09-15T15:00:21Z
文野環,JsrFtKwMtX8,明日は月曜日(^o^)【雑談】【にじさんじ】【文野環】,ラジオに出ます この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、ソーシャルディスタンス、三密、GoToよろしくお願いします(^O^),2020-09-13T07:47:16Z
文野環,KJOekPHuyQw,ぐるぐるバット円周率耐久【にじさんじ】,,2020-09-11T14:29:44Z
文野環,d_Zwoy8A5cs,罪【にじさんじ】【月ノ美兎様/樋口楓様】【文野環様】,あと3時間、暇な人へ https://www.youtube.com/playlist?list=PL2hMfjLUSHG38NxnQfv3fbU49QFK2G0uZ 暇つぶしに見て 暇じゃなくても見てほしいYoutuber ...,2020-09-11T14:06:20Z
文野環,2q8UbHCaaII,にじさんじオーディションに応募した動画公開する　1時間以内に5キルできたら【APEX】【にじさんじ】【文野環】,APEXで5キルできたら、オーディションに応募した動画みせてあげちゃうわね そんなことないけどもしできなかったら、3日間断食します ちなみに私は本気 この配信がいいなと ...,2020-09-09T13:15:23Z
文野環,jrTXE0SVJDU,APEXのダウンロードが終わるまで歌う【にじさんじ】【文野環】,この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、ソーシャルディスタンス、三密、GoToよろしくお願いします！！,2020-09-09T10:33:40Z
文野環,26Iv1FClX2Q,まっさらに生まれ変わって雑談する【にじさんじ】,この配信がいいなと思ったらチャンネル登録、高評価、低評価、手洗いうがい、ソーシャルディスタンス、三密、GoToよろしくお願いします！！,2020-09-06T08:07:57Z
文野環,Il_I-3P-k2w,罪【にじさんじ】【月ノ美兎様/樋口楓様】【文野環様】,あと3時間、暇な人へ https://www.youtube.com/playlist?list=PL2hMfjLUSHG38NxnQfv3fbU49QFK2G0uZ 暇つぶしに見て 暇じゃなくても見てほしいYoutuber ...,2020-08-31T16:11:05Z
文野環,bqaFhCX6tgU,【ドラブラ】近未来のゲームが楽しすぎるｗ【にじさんじ】【文野環】,提供：『コード：ドラゴンブラッド』 ▽ダウンロードはこちら！ https://bit.ly/2FzJdSZ ▽キャンペーン情報はこちらから 公式Twitter：https://twitter.com/CodeDragonBlood ...,2020-08-30T11:11:45Z
文野環,5ieVNLgq07s,カップルカラオケ配信【#ふみのとふみ】,ふぅちゃんと復縁しました ｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ #ふみのとふみ フミ channel ...,2020-08-28T11:54:05Z
文野環,oN_9WrBhxm8,【コロナ禍】愛媛の道後商店街にインタビュー【にじさんじ】【文野環】【モイラ様/樋口楓様】,Go Toトラベルときたら、道後商店街へ！！是非、足を運んで Ehime is good spot in JAPAN. Go To Ehime 愛媛 Stay home 店員さんの素敵なお店「ひめや」 ...,2020-08-27T12:00:12Z
文野環,PPNyQY_V9Lw,ポテト１５０円の時、量減ってる説　マクド◯ルドの闇を暴く#3【にじさんじ】【文野環】【マクドナルド】,あなたはカリカリ派？シナシナ派？ マクドナルドの闇暴いてみた！ ポテト 150円なんて夢のようなこと本当にあるのだろうか Hi!! My name is Kawaii cat McDonald ...,2020-08-26T13:13:36Z
文野環,WfKSoxVXFmU,ポテト全サイズ１５０円の時、量減ってる説　マクド◯ルドの闇を暴く#3【にじさんじ】【文野環】【マクドナルド】,あなたはカリカリ派？シナシナ派？ Hi!! My name is Kawaii cat McDonald delicious It's fun. Indonesia Love and Pace!! I like Naan Potato and FIshu cat food eating ...,2020-08-26T12:06:36Z
文野環,45K9rJGmTak,神引きしてしまう文野環ｗｗｗ【にじさんじ】【マジカミ】,コンプライアンスコンプライアンスコンプライアンス 今回はマジカミというゲームのガチャを引いていくことにするわね 今日から一週間7名のVtuberさんが順番にガチャを引い ...,2020-08-20T12:39:37Z
文野環,dDYWM_FnVDI,Song for you高音質【にじさんじ】【文野環】,Hi!! My name is Kawaii cat. Indonesia Love and Pace!! I like MacDonald Potato and FIshu cat food eating now この配信がいいなと思ったらチャンネル登録高評価低 ...,2020-08-18T07:50:04Z
文野環,r_I6643ustM,【検証】ウーバーイーツ、同じ時間に同じ商品頼んだら同時に来るのか？【にじさんじ】【文野環】【UberEats】,配達員さんたち、いつも暑い中あちがとう(#^.^#) UberEats crew Thankyou in Summer. Hi!! My name is Kawaii cat. Indonesia Love and Pace!! I like MacDonald ...,2020-08-16T10:07:47Z
文野環,GGXQnwp-Pgk,【検証】ウーバーイーツ、同じ時間に同じ商品頼んだら同時に来るのか？【にじさんじ】【文野環】【UberEats】,配達員さんたち、いつも暑い中あちがとう(#^.^#) UberEats crew Thankyou in Summer. Hi!! My name is Kawaii cat. Indonesia Love and Pace!! I like MacDonald ...,2020-08-16T07:43:49Z
文野環,E2WYzO5-XU8,プロに教えるAPEX教室 #2【にじさんじ】【文野環】,Hi!! My name is Kawaii cat. この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいします(^o^),2020-08-15T12:37:58Z
文野環,yuPSvAR94kE,雑談ーTalk Tamaki【にじさんじ】【文野環【】,Hi!! My name is Kawaii cat. sama sama I like Doraemon この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go to ...,2020-08-15T05:06:03Z
文野環,4d2hJsKhiII,【にじさんじ】【文野環【】,Hi!! My name is Kawaii cat. sama sama I like Doraemon この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go to ...,2020-08-15T03:33:31Z
文野環,w5Ur7TeuiK0,てご【にじさんじ】【文野環【】,この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいします(^o^),2020-08-13T13:51:54Z
文野環,b_VDybatGMw,封印,都会の力 この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいします(^o^),2020-08-13T11:49:30Z
文野環,97FEDK1BD3o,【歌枠】カラオケ１時間ドリンクバー付きでお願いします 【にじさんじ】【文野環】,カラオケにｷﾀ━━━━(ﾟ∀ﾟ)━━━━!! 何歌おうかしらね この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go to ...,2020-08-11T12:09:21Z
文野環,MVd2YAljFQU,プロに教わるAPEX教室 【にじさんじ】【文野環】,APEX legend けんきさん https://youtu.be/kQy_md63DVQ フォックスラビットっさん https://youtu.be/RIW0PdAfHxA この配信がいいなと思ったらチャンネル登録高評価低 ...,2020-08-09T14:09:21Z
文野環,w_qLK3kxjbY,メガ進化【にじさんじ】【文野環】,みんな、喜んでくれるといいわね この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいします(^o^),2020-08-09T00:22:30Z
文野環,F_YzBjL8hy8,国境を超えた一般野良猫がナンで優勝するだけの配信#5【ナン/Nan】【にじさんじ/NIJISANJI ID】【文野環】,Naaaaaaaaaaaaaaaaan Hello！ I fine Thank you！ My name is Kawaii Tamaki sama. Nickname is Pretty Cat！ I like fish and McDonald. Do you like potatoes?,2020-08-08T15:52:22Z
文野環,YoS7A9OWilA,漫画【文野環】【にじさんじ】【漫画】,この配信がいいなと思ったらチャンネル登録高評価低評価コメント手洗いうがいソーシャルディスタンス三密Go toよろしくおねがいします(^o^),2020-08-07T12:05:55Z
文野環,nqLwsjoDLK4,文野環がやらかした #1【公式切り抜き】【にじさんじ】【ナン】,運営さんがつくってくれた   ありがとう！ ということで#2もよろしく.,2020-08-05T12:16:24Z
