streamer_name,videoId,title,description,publishedAt
星川サラ,i_E7JTPtjDQ,やほ！一週間ぶり！最近の話とか。はぴはろ！【星川サラ/にじさんじ】,けーきたべる ❥❥期間限定！販売中のボイス 「ハロウィンボイス」※～10/31まで ➡https://nijisanji.booth.pm/items/2449088 「マンスリーボイス10月号」※～10/31まで ...,2020-10-31T15:19:43Z
星川サラ,cMGV-vdhhcU,ダーリンダンス♡星川サラ cover【かいりきベア】,世界１可愛くてごめんね 🦇 ちゅ。 素敵な本家様：https://youtu.be/Rkrm5foi188 Mix：ぴろぱる様 @PIROPARU illust：びびすか様 @Bibi_suka Movie：Makahiushio様 ...,2020-10-31T10:15:10Z
星川サラ,djRTbbhxPuA,星川のプリペイドカードが出るらしいフンァ！【星川サラ/にじさんじ】,提供：株式会社ULTRA ▽「星川サラ ultra pay カード」お申し込みはこちら(※アプリ内より申し込み) □iOS/Android共通：https://app.adjust.com/dxmzo3j まずはultra pay ...,2020-10-24T12:04:13Z
星川サラ,S8RbuMxQ1Lw,【MInecraft】にじ鯖！家がポケセンにされたから新しく作る【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! I can understand a little English. Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリー ...,2020-10-24T08:29:35Z
星川サラ,_BKpP5euahw,【MInecraft】爆破されたってマジ？星川の家大丈夫そ？？【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! I can understand a little English. Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリー ...,2020-10-23T10:19:09Z
星川サラ,7UVTOeORy_M,【恋バナ】恋心が一瞬で冷める！？エピソードがやばすぎるWW【星川サラ/にじさんじ】,恋心が冷めたor異性に引いた瞬間 』エピソード募集✨ **恋バナ企画用タグ... #星川恋愛研究所 でツイートしてね！ 配信後に見に行くよ～！ ☆エピソード応募フォーム ...,2020-10-21T14:55:02Z
星川サラ,M5PV39ozocA,【深夜雑談】ばぁW あーかいぶ残った。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス10月号」※～10/31まで ...,2020-10-19T17:51:24Z
星川サラ,9DvE1pNlAkA,【Home Sweet home】最恐ホラゲ！？ぴえん。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス10月号」※～10/31まで ...,2020-10-18T15:30:21Z
星川サラ,9E6qvMG4JTg,【FALL GUYS】1位とれなったら罰ゲーム？新ステージ～！【星川サラ/にじさんじ】,ふん Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス10月号」※～10/31まで ...,2020-10-17T14:58:21Z
星川サラ,zX3YBsgeG2k,【新ビジュお披露目】あらためて。そしておしゃべる。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス10月号」※～10/31まで ...,2020-10-16T12:05:39Z
星川サラ,CGq1gAPETvg,ご説明と謝罪。申し訳ありませんでした。,今回の発言についてのご説明と謝罪。 この度は大変申し訳ありませんでした。 〖Twitter〗( @Sara_Hoshikawa ) https://twitter.com/Sara_Hoshikawa.,2020-10-14T11:09:24Z
星川サラ,uMpoS6WmPyw,【SUPER MARIO BROS. 35】今日も１位とりまくるよ～～！！！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス10月号」※～10/31まで ...,2020-10-03T13:34:39Z
星川サラ,99wlQfoOrEc,【SUPER MARIO BROS. 35】新作！他34人を潰すマリオゲーム！！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス10月号」※～10/30まで ➡ サムネ ...,2020-10-01T15:33:22Z
星川サラ,mxBHbpx-Sc0,水中マリカ。。。は？？？？,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** @グウェル・オス ...,2020-09-29T14:24:33Z
星川サラ,SjjICkHmyi4,【APEX】げりら。ソロらんく。【星川サラ/にじさんじ】,アーカイブはメン限には必ず残します ▽メンバーシップはココから！ https://www.youtube.com/channel/UC9V3Y3_uzU5e-usObb6IE1w/join Be nice to other viewers ...,2020-09-29T12:55:41Z
星川サラ,pN-59TqDF8M,【お前のスパチャで世界を救え】推しの心をお金で動かす。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス９月号」※～9/30まで ...,2020-09-28T14:35:04Z
星川サラ,yDhmqqHWvFI,【#星川新衣装】まだ夏ァ。ふんァ。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「学園祭ボイス2020」※～9/27まで ...,2020-09-27T10:06:20Z
星川サラ,rHYsaz2AJ1w,【復活】伝説のホシミナイト！ホストの営業に引っ掛かったら即終了！？,復活の #ホシミナイト ！！！ ***コラボ 相手 ⇒ @不破 湊 / Fuwa Minato【にじさんじ】 過去のコラボ： ・クリスマスマリカ：https://youtu.be/idptl7YppFo ・スーパーバニー ...,2020-09-25T13:41:38Z
星川サラ,zg9KESuzpJo,【Minecraft】にじ鯖！イギリスで住んでたお家を再現しようのまき！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「学園祭ボイス2020」※～9/27まで ...,2020-09-24T16:27:20Z
星川サラ,xuj60AqU4oE,【#星のシスターズ】清楚2人でまったり喋る！皆の悩み聞くよ～？,半年ぶりの #星のシスターズ ！クレア様すき( ｀ー´)っ ***コラボ 相手❥❥ ⇒ @シスター・クレア -SisterClaire- 前回のコラボ：https://youtu.be/FzHBcT1DESc ❥❥期間限定！,2020-09-22T15:32:32Z
星川サラ,DF4XNo73IJI,【APEX】ソロらんく。目指せプラチナ。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「学園祭ボイス2020」※～9/27まで ...,2020-09-22T05:38:32Z
星川サラ,Owtl7sT1-N4,#3【SUPER MARIO 64】完全初見！３Dマリオ！目指せスター30枚～！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「学園祭ボイス2020」※～9/27まで ...,2020-09-21T12:20:51Z
星川サラ,Z7opm8ck8PE,#2【SUPER MARIO 64】完全初見！３Dマリオ！あそびまくるぞ～！！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** 「スーパーマリオ3Dコレクション」の中のマリオ６４であそぶよ～～！はじめて！,2020-09-20T09:44:44Z
星川サラ,EvXy-Nb9JAY,【11ヶ月記念】同期不仲3人で恋バナってできるの？？？#織姫星【星川サラ/フミ/山神カルタ】,今日9/19で #織姫星 はデビュー11カ月記念！！！ ▽めんばー ポン神： @フミ/にじさんじ チョロダメ女： @山神 カルタ / Karuta Yamagami ▽恋バナ応募フォーム ...,2020-09-19T15:40:47Z
星川サラ,kLMWFQ2SUPw,#1【SUPER MARIO 64】今日発売！まーりおーー！！はじめての６４！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** 今日発売されたSwitch「スーパーマリオ3Dコレクション」の中の、マリオ６４であそぶ ...,2020-09-18T13:39:59Z
星川サラ,SdDiHLrSc4w,【Minecraft】にじ鯖。つくりたいもの増えた。【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス９月号」※～9/30まで ...,2020-09-17T14:50:13Z
星川サラ,o7ARRT7qqUo,【Fall Guys】やるぞ！！！！！！！！！！！！ #さらちゃま【星川サラ/にじさんじ】【赤井はあと/ホロライブ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** こらぼ→ @Haachama Ch. 赤井はあと ！ タグ： #さらちゃま ❥❥期間限定！販売中 ...,2020-09-16T12:16:26Z
星川サラ,QOhCo89pmnc,【Minecraft】1周年に向けて！にじ鯖にでっかい星川つくるど！！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** 10/19のでびゅー１周年に向けて！ にじ鯖に思い出つくるど～～っ！ ❥❥期間限定！,2020-09-15T13:01:15Z
星川サラ,Qivj4SvUIwM,#2【UNDERTALE】やさいせいかつRPG【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ※基本的に星川はコメントを見ません。 ※他の人の為にもネタバレ/指示コメントは ...,2020-09-12T10:19:01Z
星川サラ,_NYI-ZV3Wss,#1【UNDERTALE】やさいせいかつRPG【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ※基本的に星川はコメントを見ません。 ※他の人の為にもネタバレ/指示コメントは ...,2020-09-11T15:22:33Z
星川サラ,SLdiBidHxyc,【28万人Thx】ただいま！旅行とかコラボとか話したい事いっぱい！！【星川サラ/にじさんじ】,Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「再販！春休みボイス2020」※～9/14まで ...,2020-09-10T14:28:24Z
星川サラ,J0BuU2VrbGE,【#APEX部2434キルリレー】ぐんかん炎上流星群って名前いかつくない？【星川サラ/にじさんじ 】,ぐんどうせんせ https://www.youtube.com/channel/UCeShTCVgZyq2lsBW9QwIJcw?sub_confirmation=1 かんださん ...,2020-09-09T11:24:31Z
星川サラ,TivosVacWSQ,【Fall Guys】FOOOOOOOOOOOOOOOO！！！【星川サラ/にじさんじ】,今日は画質いいよ！ Be nice to other viewers and enjoy my stream!! Please subscribe to my channel*** ❥❥期間限定！販売中のボイス 「マンスリーボイス９月 ...,2020-09-06T08:06:35Z
