streamer_name,videoId,title,description,publishedAt
春崎エアル,fd4sdnM5eoQ,【デスした分腹筋】マリオ６４ほぼ初見プレイ,昨日のデスはノーカン！ノーカン！ 今日から画面端でカウントしていきます ------------------------------------------------ □活動 主に、不定期に配信してます。 定期的に生配信 ...,2020-10-10T12:37:27Z
春崎エアル,o-4C3IzYQ_Q,【マリオ６４】初見プレイだけどしんだら最初からやりなおす,初見プレイですがしんだら最初からやりなおします(タイトルそのまま読み上げただけ) お久しぶりです。にじさんじの春崎エアルです。 最近おやすみいただいてたんですが ...,2020-10-09T12:22:34Z
春崎エアル,Gp76seIeNYU,【PCが落ちたら終わり】ぶっこわれPC持ちの雑談配信,"PC,買いなおすわ。 悲しいなぁ ------------------------------------------------ □活動 主に、不定期に配信してます。 定期的に生配信メインで活動しています！ (ゲーム実況、 ...",2020-09-10T13:16:58Z
春崎エアル,-g2LJfa79dw,【幽霊列車】数々の流行と終電を乗り過ごしてきた男,結構怖いゲームって聞きましたが、 数々の流行や終電を逃してきた男には死角はありません 乗り過ごした数。数えたことはありません ※ネタバレはなしでお願いします ...,2020-09-10T06:29:47Z
春崎エアル,cpR_92qbp58,【APEX】なるなると3位以内なるまでマッチ回します,なるなると3位以内目指してがんばります なるなるのTwitterとYouTubeチャンネル↓ https://twitter.com/narusenaru_2434 https://www.youtube.com/channel/UCoM_.,2020-09-06T06:54:17Z
春崎エアル,vZiiJG5qKwY,【FALLGUYS】友達蹴落とすゲームだって聞きました。,久しぶりのコラボですが容赦しません！！！ なるなるのTwitterとYouTubeチャンネル↓ https://twitter.com/narusenaru_2434 ...,2020-08-25T12:19:53Z
春崎エアル,aCAqkVJP2JE,【APEX】神田塾・技術指南編,素敵なサムネは かみつ @mchu4chu さんから！！！！ APEX自体めちゃくちゃ久しぶりなのでガバガバ操作はお許しください！,2020-08-05T14:46:07Z
春崎エアル,xpRzs4_7NB4,【#エアルの新衣装】新しい衣装もらったから見て～～～～！,初めましての方は初めまして！ そうでない方はいつもありがとうございます！ この度、新衣装をいただきましたのでお披露目させていただきます！ ほんとにすてきなのでぜひ ...,2020-07-18T10:41:49Z
春崎エアル,lTrDIcxTjwM,【APEX】LLカニ缶が神田塾に入塾したようです。,素敵なサムネは はるを @haru4_P さんから！！！！ APEXうまくなりたいので神田先生に講義をお願いしました。 ◢ 神田笑一くん(先生) ...,2020-07-08T05:49:41Z
春崎エアル,Cu-CbyAtf6Q,【APEX】誤BANされた王子の枠,素敵なサムネは はるを @haru4_P さんから！！！！ APEXうまくなりたいので神田先生に講義をお願いしました。 ◢ 神田笑一くん(先生) ...,2020-07-07T14:34:07Z
春崎エアル,KpAwjcizzXk,【APEX】なかなかレアなメンバーで一緒に遊びます！！,なかなか見れないレアなメンバーでAPEXで遊びます！ 一緒に遊んでくれる先輩方はこちら！！ ◢ えるさん YouTube：https://www.youtube.com/channel/UCYKP.,2020-07-04T15:37:38Z
春崎エアル,xPg-GIiyt68,【チーム練習】我ら無敵のLLカニ缶ぞ,昨日は通話会議参加できず申し訳ない・・・ 立ち回りや基本的な動きをおさらいするような配信になるといいですね！！！ マジで優勝したいわね ◢ えるさん ...,2020-06-22T03:02:14Z
春崎エアル,G1WBqQRRNrE,【#にじスプラ大会 】ここまできたら優勝以外ないよなぁ！！！？,素敵なサムネは はるを @haru4_P さんから！！！！ あとは優勝するだけ。連れていきます。 一緒に頑張るメンバーさんはこちら！！ ◢ 神田笑一くん ...,2020-06-21T10:39:38Z
春崎エアル,B6w29uFOH60,【#にじスプラ大会】LLカニ缶は最強で優勝目指します,素敵なサムネは 真昼もな @_cosmic_g さんから！！ 練習はしました。あとはやれることをやるだけ。 一緒に頑張るメンバーはこちら！ ◢ 神田笑一くん ...,2020-06-20T12:10:00Z
春崎エアル,3wIzlsKK5Ho,【スプラ2・エアル視点】新チームで練習するぞ～～～！,新チームで挑むスプラ大会！勝ちたい・・・！ 今回ご一緒させていただくメンバーさん！↓ ◢ えるさん ...,2020-06-18T02:42:20Z
春崎エアル,vx6wiss4VxU,【#エア景】二日酔いの頭に景くんの声が響いたら即終了,再来のエア景だぞい！ コラボしてくださる方のチャンネルなどはこちら！！！ 長尾 景☯にじさんじ:VΔLZ☯ https://twitter.com/kei_nagao2434 ...,2020-06-13T08:25:47Z
春崎エアル,_0j6Zg8BPZw,【祝活動開始2周年】僕も2周年やぞ！！！！！！,2周年当日に配信できなくて申し訳ないです・・・・(初手謝罪) もうこんなに経ったんだなぁ・・・ ------------------------------------------------ □活動 主に、不定期に配信してます。,2020-06-12T12:11:50Z
春崎エアル,eK2TpytCfBM,【Apex Legends】金曜日朝からゲームして快感を得る,平日朝からゲームできるってやべーな apex練習頑張っていきます！ ------------------------------------------------ □活動 主に、不定期に配信してます。 定期的に生配信メインで ...,2020-06-05T06:46:07Z
春崎エアル,PATxZs9SC04,【Apex Legends】FPS苦手なんだけどやってみる,FPSはできませんが車とかはちゃんと運転できます！！！！！！！！！！！！！！！(何の話) ちなみにご飯はモ〇バーガーでした ...,2020-05-29T13:44:09Z
春崎エアル,0xAhv2Tbq_c,スプラにじさんじ杯準優勝チームでラストフェス！,再集結した意外と強いらCでラストフェスだ～～！ 他のメンバーさんはこちらだ～！ ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ #桜凛月 さん ...,2020-05-24T11:42:56Z
春崎エアル,x5TgL7q3o4A,完全に初対面メンツでスプラトゥーン２コラボ,完全に初対面なのでめっちゃ緊張してます！！！ コラボしてくださる方のチャンネルなどはこちら！！！ 長尾 景☯にじさんじ:VΔLZ☯ https://twitter.com/kei_nagao2434 ...,2020-05-21T04:25:24Z
春崎エアル,iYZmiQK2uYE,【#3　釣りやりたくない？】魚釣りなら任せとき,裏でちょこちょこやってました(いつもの) 最近久しぶりにログインしたらリュウグウノツカイが4匹くらい釣れたので釣りに関しては多分天才です。,2020-05-07T02:17:48Z
春崎エアル,K0kmTNJES4o,完　全　な　る　寝　起　き　配　信,待機所作るの忘れてて飛び起きました 配信開始直前ギリまで寝るので完全に寝起き配信になると思います ------------------------------------------------ □活動 主に、不定期に ...,2020-05-01T02:14:43Z
春崎エアル,azqW4TbL_gQ,【プレゼント開封＆歌振り返ったり】たくさんありがとうだ～～！,以前紹介できなかった誕生日のプレゼントを開封していこうと思います～～！ 送ってくれた方本当にありがとうございます！！！ 歌に関してもこれから上げていけたらなと ...,2020-04-25T13:20:06Z
春崎エアル,rJJi1XPO2Jk,【歌ってみた】猫猫的宇宙論【春崎エアル/にじさんじ】,お待たせしました！ この度はナユタン星人様の「猫猫的宇宙論」を歌わせていただきました。 この概要欄を編集している現在、このチャンネル登録者4万人目前なので ...,2020-04-24T11:00:11Z
春崎エアル,dVqEpfXW9QI,【作業配信】快眠効果あるってマ？？？,活動 主に、不定期に配信してます。 定期的に生配信メインで活動しています！ (ゲーム実況、バイノーラル、お便りコーナー、etc…) 配信予定やスケジュールはTwitterにて ...,2020-04-15T17:59:30Z
