streamer_name,videoId,title,description,publishedAt
本間ひまわり,kS-gc6oXDH8,【METALGEARSOLID3】オセロットはツンデレと見た【本間ひまわり/にじさんじ】,初見プレイ！やさしい心でみてね   前 https://youtu.be/IEKEVtXSUnc 【メタルギア１ 再生リスト】 ...,2020-11-02T17:18:58Z
本間ひまわり,IvDNPwtjdeY,【スマブラ】視聴者参加型に見せかけての参加型からの参加型。でも【本間ひまわり/にじさんじゅ】,部屋名 LVN3N PW 0853 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ Ohagoza!,2020-11-01T16:31:00Z
本間ひまわり,IEKEVtXSUnc,【METALGEARSOLID3】約束された神ゲー。～６回目で泣くワイ～【本間ひまわり/にじさんじ】,初見プレイ！やさしい心でみてね   【メタルギア１ 再生リスト】 https://www.youtube.com/playlist?list=PLnxwXk_UQhopIbsS_bNcO5ccllTh7f17e 【メタルギア２ 再生 ...,2020-10-31T15:22:19Z
本間ひまわり,HKbGL0eqy0c,【心霊ドッキリ】自称霊媒師にドッキリしかけてみた【後半】,〇o〇o ！？！？！？！？？！ 前編→https://youtu.be/_B1m65420D0 企 画 @でびでび・でびる https://twitter.com/debidebiru_sama @本間ひまわり - Himawari ...,2020-10-31T09:30:11Z
本間ひまわり,BcSaB5VOl7o,【ピクミン3 デラックス】人生初ピキミン。引っこ抜かれてお前だけについていって、遊んで戦って増えるけど最後は食べられるらしぃ草【本間ひまわり/にじさんじ】,いろんな命が生きている おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ Ohagoza!,2020-10-31T09:08:52Z
本間ひまわり,X_4yCNV0F40,Michael Jackson - Thriller(cover Vkids),Happy Halloween !! Trick or Treat hehe fllow me Michael Jackson - Thriller https://youtu.be/sOnqjkJTMaA Member XD @天宮 こころ / Amamya Ch. @で ...,2020-10-30T15:00:14Z
本間ひまわり,QSlSolRhPF0,【War Robots】練習オフコラボ・・・♡キャッキャウフフ【本間ひまわり/赤羽葉子】,提供：Pixonic ◇WarRobots特典付きダウンロードはこちら⇒http://bit.ly/2HMVq81_Himawari 上記のリンクからダウンロードするとオリジナルスキン、 武器を装備した ...,2020-10-30T13:49:22Z
本間ひまわり,oP0MkMR7L-0,【セインツロウ：ザ・サード リマスタード】本日発売！私たちがルールだ！！【本間ひまわり/桜凛月/にじさんじ】,タイトル：セインツロウ：ザ・サード リマスタード DMM GAMESより10/29(木)発売 公式サイトURL：https://saintsrow3-remastered.dmm.com/ 提供：DMM GAMES @桜凛月 ...,2020-10-29T13:28:51Z
本間ひまわり,AcjiPkpugPY,【漫画】浮気された時の適切な対応,浮気はダメだねぇ！？！？！！？ @Kuzuha Channel @鈴原るる【にじさんじ所属】 @不破 湊 / Fuwa Minato【にじさんじ】 元アーカイブ ...,2020-10-29T09:00:02Z
本間ひまわり,5aEyLJhLnYM,【METALGEARSOLID2】あっちもスネーク！こっちもスネーク！？スネークのバーゲーンセール編【本間ひまわり/にじさんじ】,初見プレイ！やさしい心でみてね   前 https://youtu.be/9NaIBxOqoxQ 【メタルギア１ 再生リスト】 ...,2020-10-27T18:49:04Z
本間ひまわり,9NaIBxOqoxQ,【METALGEARSOLID2】MA→TASETANA↓まだ生きてたんかワレェ！編～【本間ひまわり/にじさんじ】,初見プレイ！やさしい心でみてね   前 https://youtu.be/DKAXZFYv5Hs 次 https://youtu.be/5aEyLJhLnYM 【メタルギア１ 再生リスト】 ...,2020-10-26T17:21:43Z
本間ひまわり,XMmpmESftQk,５３万人突破で重大告知させろくださぁぁあ～～～～い！【本間ひまわり/にじさんじ】,ござ万人でいい発表ができる(T0T)!!!! おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ ...,2020-10-26T10:51:50Z
本間ひまわり,DKAXZFYv5Hs,#2【METALGEARSOLID2】ま↑→たせ↑↑なァァ～↑ビック！？シェル↑→↓↑？【本間ひまわり/にじさんじ】,初見プレイ！やさしい心でみてね   前 https://youtu.be/Qpo_EXczIsc 【メタルギア１ 再生リスト】 ...,2020-10-25T17:12:09Z
本間ひまわり,Qpo_EXczIsc,【METALGEARSOLID2】ま↑たせ→たな↑→？【本間ひまわり/にじさんじ】,初見プレイなのでのんびりやってくぞー ※ネタバレしたくない人はフルスクリーン推奨 嫌な人はスルーか個人ブロックで管理してねー おはござ～(・ワ・  )ﾉｼ バーチャル ...,2020-10-24T15:57:04Z
本間ひまわり,ayrCZkiRdYc,【War Robots】え！！！！！○サワ○ヤ○ンゲ○ームズさんとコラボ！！！！！練習配信っっっ！！！！！！！【本間ひまわり/赤羽葉子】,提供：Pixonic ▽ダウンロードはこちら https://bit.ly/3keAPHL 上記のリンクからダウンロードするとオリジナルスキン、 武器を装備したロボット、100ゴールドと50000シルバー ...,2020-10-23T14:10:56Z
本間ひまわり,rcu9D-q0-6M,【漫画】こんな状態でも、親の背中を見て子供は育つ！？,いつの間にか…似てた！？ どーがつくってくれたかた とらねこちゃん @gsrgkl すぺしゃるさんくす @甲斐田 晴 / Kaida Haru【にじさんじ】 @加賀美 ハヤト/Hayato Kagami ...,2020-10-22T14:07:02Z
本間ひまわり,Oz9CP85vxoc,【バイオハザード CODE:Veronica】お前は信じれるやつなのか…？【本間ひまわり/にじさんじ】,前 https://youtu.be/gdAHJkcKW9Y すてぇーぶ！！！！！！！！！！ １かいやったことあるはずやけど ちっちゃすぎてわすれた おはござ～(・ワ・  )ﾉｼ バーチャルライバー ...,2020-10-21T16:27:37Z
本間ひまわり,IgMnw1xlMk0,俺に倒されるか、12月のサービス終了で終わるか、どちらかを選びな！！！！！！！【本間ひまわり/にじさんじ】,おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ Ohagoza!! It's Virtual YouTuber ...,2020-10-21T11:13:04Z
本間ひまわり,r0Bj7ZxfX9Q,【えいご漬け】中学時代は英語の最高得点１１点でしたが私は元気です【本間ひまわり/にじさんじ】,１２点取ります。 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ Ohagoza!! It's Virtual ...,2020-10-20T11:10:07Z
本間ひまわり,gdAHJkcKW9Y,【バイオハザード CODE:Veronica】男女ふたりで一体何がはじまろうとしているんですか！？【本間ひまわり/にじさんじ】,リア充か？ １かいやったことあるはずやけど ちっちゃすぎてわすれた おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！,2020-10-19T17:38:52Z
本間ひまわり,LDLH9Fy41L8,【METALGEARSOLID】生きて会えたら答えを教えてやる！【本間ひまわり/にじさんじ】,前 https://youtu.be/-NL9BuX_Aog これが後のスネイク本間である。 初見プレイなのでのんびりやってくぞー ※ネタバレしたくない人はフルスクリーン推奨 嫌な人はスルーか ...,2020-10-18T16:27:15Z
本間ひまわり,7857Vb3Br08,【Among US】この中に &quot;二人&quot; 裏切者がいる。【本間ひまわり/#にじ宇宙人狼】,なんと第２回目！今後こそ…がぶがぶだぞ！ 前回のを見る☛https://youtu.be/6x_1jGzY9Zs いらすと：富士フジノさん 最近話題の人狼ゲーム！Among Us 宇宙船を舞台に ...,2020-10-17T18:09:45Z
本間ひまわり,KM3x_w1f20I,【 CoD:BOCW 】新作でたー！おもいっきり楽しんじゃう！！！！【 本間ひまわり/葛葉/すもも/#くまもっさん 】,めちゃめちゃひさびさFPS～～～っ   オープンベータ！ @すももさん @くずは おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき ...,2020-10-17T15:53:34Z
本間ひまわり,b4GD12Y2-w0,【くじ７０連】！？！？！？！？！？！？！？？！？！【本間ひまわり/にじさんじ】,神引きこいこい！ くじ会場↓ https://collection.rakuten.net/p-league_nijisanji/ おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのが ...,2020-10-17T07:20:27Z
本間ひまわり,Rd9NJJhOj_g,【漫画】卵１つで生まれた大乱闘。泥棒さんと万引きGメン,"はい、許さん。 作ってくれた人 ⇒ 餅月すいか @blueberry998 元動画 ⇒ https://youtu.be/XVI88zNlJDE Ohagoza!! It's Virtual YouTuber, Honma Himawari! I stream ...",2020-10-16T13:00:13Z
本間ひまわり,-NL9BuX_Aog,【METALGEARSOLID】待たせたな！？完全初見プレイのメタルギアソリッド【本間ひまわり/にじさんじ】,これが後のスネイク本間である。 初見プレイなのでのんびりやってくぞー ※ネタバレしたくない人はフルスクリーン推奨 嫌な人はスルーか個人ブロックで管理してねー おは ...,2020-10-15T21:54:55Z
本間ひまわり,4hpnDXTtH4o,【スマブラ】マイクラ参戦！？１０勝するまでやるぞ【本間ひまわり/にじさんじ】,今日のメニュー オンライン戦/視聴者参加型 キャラクターは色々使う予定！ ILL なな @Nana_yume87 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです!,2020-10-14T11:54:53Z
本間ひまわり,UpnaXQJgvU8,【BIOHAZARD７/バイオ7】たぶん最終回！私が家族を救うのです！　～選ばれたのは〇〇でした編～【本間ひまわり/にじさんじ】,はつみぷれい PS4でプレイ中 #1 ☛https://youtu.be/dP9bt6tRZEY #2 ☛https://youtu.be/aNDDJ2Ce6F4 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです!,2020-10-13T12:06:29Z
本間ひまわり,aNDDJ2Ce6F4,#2【BIOHAZARD７/バイオ7】家族の様子がだいぶおかしい　～ミア怪しくね？編～【本間ひまわり/にじさんじ】,はつみぷれい PS4でプレイ中 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ ※初見 ...,2020-10-12T15:44:42Z
本間ひまわり,dP9bt6tRZEY,#1【BIOHAZARD７/バイオ7】初見さんいらっしゃい　@ひまわり【本間ひまわり/にじさんじ】,はつみぷれい PS4でプレイ中 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ ...,2020-10-11T11:23:51Z
本間ひまわり,6U66iD5w-w8,休日親子の過ごし方【本間ひまわり/社築/にじさんじ】,提供：株式会社ネクソン ▽ダウンロードはこちらから iOS/Android : https://app.adjust.com/b8gedka ▽公式サイトはこちら https://bit.ly/3nrr3UR ▽公式ツイッターはこちら ...,2020-10-10T14:20:12Z
本間ひまわり,S-0PXqHUCuk,あと２か月でサービス終了するのでクリアする【本間ひまわり/にじさんじ】,ホーさんのプームランダービー おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ ...,2020-10-10T12:10:25Z
本間ひまわり,NUx6V-JB9kw,【FallGuys】👑新シーズン🔥欲しいスキンGETするまで👑【本間ひまわり/にじさんじ】,おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ Ohagoza!! It's Virtual YouTuber ...,2020-10-08T20:59:54Z
本間ひまわり,X1mDwdeGy-k,【クイズ▷にじオネア】箱推しの私が全問正解して一攫千金を狙う～本間ひまわり編～【本間ひまわり/にじさんじ】,箱推しだし！！！！！！！！！！ テレフォンは３回まで可能 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお ...,2020-10-07T12:08:59Z
本間ひまわり,fdXDJuQ70iM,【マイクラ】四角い世界なのに、まるいものを…！？そ、そんな事って・・・・！！！【本間ひまわり/にじさんじ】,マイクラでまるいってだけでまずおしゃれ おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントして ...,2020-10-06T19:30:56Z
本間ひまわり,6x_1jGzY9Zs,【Among US】この中に &quot;二人&quot; 裏切者がいる。【本間ひまわり/#にじ宇宙人狼】,ちょっと読むと楽しめるかも↓ 最近話題の人狼ゲーム！Among Us 宇宙船を舞台にミッション(タスク)をクリアしながら 宇宙船を出向させるというのが目的。 □船員側勝利 ...,2020-10-05T14:38:35Z
本間ひまわり,LfnLRD-7sx0,【マリオ35】制限時間内に２連勝しろっっ！！！！！【SUPER MARIO BROS. 35】,２０時まで。 オーバータイムは１５分 おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんもお気軽にコメントしてね✨ ...,2020-10-05T11:11:07Z
本間ひまわり,tM4I4_ZvYCE,ダーリンダンス／かいりきベア（cover）本間ひまわり,ちゅ     □ほんけさま。 ダーリンダンス／かいりきベア feat.初音ミク ⁺4で歌わせていただきました!! https://www.youtube.com/watch?v=Rkrm5foi188 □vocal.,2020-10-04T13:00:14Z
本間ひまわり,tQwvVg81Fto,新ユニット名決定！【本間ひまわり/ラトナ・プティ/にじさんじ】,プロの人たちに提案してもらいました。 今日みんなで決めるよ！ おはござ～(・ワ・  )ﾉｼ バーチャルライバー本間ひまわりです! 色んなゲームをするのがだいすき！ 初見さんも ...,2020-10-03T17:43:04Z
本間ひまわり,nd7jvh8pDWc,【切り抜き】辛辣〇〇特集…💧,"これで 人助け ができると聞きました。 せいさくTY! このみ @konomi_pksp Ohagoza!! It's Virtual YouTuber, Honma Himawari! I stream games almost everyday.",2020-10-02T14:15:13Z
