streamer_name,videoId,title,description,publishedAt
来栖夏芽,v4UgEO_eA_M,【Minecraft】新ワールド共有ハウス制作準備【 来栖夏芽/にじさんじ】,資材うおおおおおってする ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ チャンネル登録、高評価、通知オンよろしくお願いします！！ 待機画面イラストはなつうら様よりお借りいたしまし ...,2020-11-02T11:53:33Z
来栖夏芽,CgCqavixuAU,【Minecraft】ハッピーお菓子配りモンスター！！【 来栖夏芽/にじさんじ】,マイクラでお世話になった方のお宅へお菓子を置きにゆくぞ！ トリーーーーート！！！！！！！！！ ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ ※基本的に「○○さんのとこは行か ...,2020-10-30T12:11:03Z
来栖夏芽,TfrSNKCnVWA,【We Were Here Too】巴さんと！協力謎解き脱出ゲーム！【 白雪巴/来栖夏芽/にじさんじ】,協力謎解きつよつよコミュニケーション脱出ゲームです！！ 巴さんと一緒なら……！きっと大丈夫です……！！ 巴さん視点 ...,2020-10-26T12:56:45Z
来栖夏芽,pXD5ajwudFU,【Minecraft】海洋の心とめっちゃかぼちゃ【 来栖夏芽/にじさんじ】,コンジットっていう海の中でつよつよになれるやつ作りたい！ その片手間にかぼちゃ収穫しまくる ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ ボイス買ってもらえたら 私がおいしいもの ...,2020-10-25T13:18:55Z
来栖夏芽,b9drgvfCExY,【Minecraft】弱体化ポーションつくりたい【 来栖夏芽/にじさんじ】,村人ゾンビを救いたい ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ チャンネル登録、高評価、通知オンよろしくお願いします！！ 待機画面イラストはなつうら様よりお借りいたしました！,2020-10-23T09:59:53Z
来栖夏芽,IoI4DqJVFiw,【Minecraft】アカネちゃんハウスお手伝い！完成編！！ #あさがくる 【 来栖夏芽/朝日南アカネ/にじさんじ】,コラボ名は #あさがくる です！ 素敵なサムネはアカネちゃんから！ アカネちゃん視点！ https://www.youtube.com/watch?v=Y_5ZhUOwSxI ...,2020-10-22T13:40:41Z
来栖夏芽,IbjD2AXx1gE,【Minecraft】アカネちゃんハウスお手伝い！ #あさがくる 【 来栖夏芽/朝日南アカネ/にじさんじ】,コラボ名は #あさがくる です！ にじさばの夜明けぜよ……！！ つよつよなとこ見せられるよう頑張るぞ……！！ アカネちゃん視点！,2020-10-21T17:28:46Z
来栖夏芽,ga0zOA7ABCg,【Minecraft】橋の進捗どうですか？【 来栖夏芽/にじさんじ】,今日いい感じに進められますか！？ ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ チャンネル登録、高評価、通知オンよろしくお願いします！！ 待機画面イラストはなつうら様よりお借り ...,2020-10-20T10:20:20Z
来栖夏芽,KsdM1qfAp54,7万人ありがとうの絵を描く！着色編【 来栖夏芽/にじさんじ】,ありがとうなつめいと！！ 実家に居る関係で脆弱回線かつタイムリミットは約2時間です。 ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ チャンネル登録、高評価、通知オンよろしくお願い ...,2020-10-18T14:31:09Z
来栖夏芽,TPbRpaw6H5Q,【Minecraft】突発すぎるマイクラ【 来栖夏芽/にじさんじ】,アーカイブ残すならタイトルとかこのへんとかあとでちゃんと書く ねむたーってなるかいい感じになるまでダイヤ探しとかする （2020.10.19追記：いろいろちゃんとかいた） ...,2020-10-17T20:33:22Z
来栖夏芽,tD42TNaoZKI,【 #あのアレライバー 】語彙力が消えるボドゲ【にじさんじ】,【ざっくりルール】 与えられた語彙力カード(ライバーの名言)だけを使って にじさんじライバーをを説明します。 お名前や名言を出す許可をくださったライバーの皆様ありがとう ...,2020-10-17T06:00:14Z
来栖夏芽,QcLUyRUDTV4,7万人ありがとうの絵を描く！【 来栖夏芽/にじさんじ】,ありがとうなつめいと！！ 実家に居る関係で脆弱回線かつタイムリミットは約2時間です。 ＊＊＊＊＊＊＊＊＊＊＊＊＊＊ チャンネル登録、高評価、通知オンよろしくお願い ...,2020-10-15T13:57:44Z
来栖夏芽,6RVML50BH4I,お大事にだけど草ァ！！！！！！！！！！！！,実家の脆弱回線のため配信が不安定になる時があるかもしれません……！！ 回線つよつよの配信部屋が、 実家から徒歩5分の場所にあるのになんで？ 今日はその理由 ...,2020-10-14T09:48:28Z
