streamer_name,videoId,title,description,publishedAt
桜凛月,eM6j00waiFY,【minecraft】オシャレなお家が作りたい!!  #306【にじさんじ/桜凛月】,にじ3D だよ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-11-03T07:22:18Z
桜凛月,UOMhrZPmrro,【minecraft】謎解き部屋に挑戦!!  #305【にじさんじ/桜凛月】,にじ3D だよ 負けないわ!! @シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】 さん！！ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの ...,2020-11-02T12:21:03Z
桜凛月,LkSOAjiwNX4,【minecraft】ハロウィンなのでイタズラしたい!!  #304【にじさんじ/桜凛月】,にじ3D だよ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-31T12:31:40Z
桜凛月,zqbktppZiyQ,【minecraft】まったり作業配信！  #303【にじさんじ/桜凛月】,にじ3D だよ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-28T12:05:51Z
桜凛月,KE5ndARrUxQ,【minecraft】集めた魚 全37種類 博物館展示！！  #302【にじさんじ/桜凛月】,にじ3D だよ 魚 全37種類集め隊 PART1はこちら https://youtu.be/uL-Eqj58qAw 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-26T11:40:05Z
桜凛月,XIIPX_G_qyM,【スーパーマリオ】ラストステージに挑戦 #4【にじさんじ/桜凛月】,3D記念 ばりすいとーよボイス 全3種類   https://nijisanji.booth.pm/items/2435283 3D記念 桜凛月のオリジナルグッズ   https://nijisanji.booth.pm/items/2452854 ...,2020-10-25T11:23:33Z
桜凛月,9AJjzztaj_4,【minecraft】残り4匹!! 魚 全37種類集め隊！！  #301【にじさんじ/桜凛月】,にじ3D だよ 魚 全37種類集め隊 PART1はこちら https://youtu.be/uL-Eqj58qAw 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-23T11:11:17Z
桜凛月,uL-Eqj58qAw,【minecraft】全魚37種類集め隊！！  #300【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-23T05:41:54Z
桜凛月,bFcQJBen5Ik,【#りつきん3D】3Dお披露目のスパチャ読み【にじさんじ/桜凛月】,10月16日 3Dお披露目配信アーカイブ↓ https://youtu.be/KmaYSLnlBoI 3D記念 ばりすいとーよボイス 全3種類   https://nijisanji.booth.pm/items/2435283 3D記念 ...,2020-10-22T11:54:31Z
桜凛月,-CFiGIktkm8,【minecraft】博物館の内装を進める!!  #299【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-21T11:44:38Z
桜凛月,S8imU87oXnQ,【#りつきん3Ｄ】振り返り雑談【にじさんじ/桜凛月】,10月16日 3Dお披露目配信アーカイブ↓ https://youtu.be/KmaYSLnlBoI 3D記念 ばりすいとーよボイス 全3種類   https://nijisanji.booth.pm/items/2435283 3D記念 ...,2020-10-20T12:22:50Z
桜凛月,u2N54eVIJpE,【#りつきん3Ｄ】フルアーマーりつきん Full ver.【にじさんじ/桜凛月】,10月16日 3Dお披露目配信アーカイブ↓ https://youtu.be/KmaYSLnlBoI (3Ｄ配信本編、音声不具合により、冒頭音声途切れていたので コチラにて投稿しております  ),2020-10-20T09:45:01Z
桜凛月,vScnlQwoiH4,【minecraft】まったり作業配信!!  #298【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-19T04:18:20Z
桜凛月,REg4pLzRPtc,【minecraft】人狼RPG再び参戦!!  #297【にじさんじ/桜凛月】,相羽ういは https://www.youtube.com/channel/UCnRQYHTnRLSF0cLJwMnedCg 不破 湊 https://www.youtube.com/channel/UC6wvdADTJ88OfIbJYIpAaDA 伏見 ...,2020-10-18T11:07:24Z
桜凛月,KmaYSLnlBoI,【3Dお披露目】りつきん 華金 3D解禁! #りつきん3D【にじさんじ/桜凛月】,いつもいつも いろんな人に支えてもらい 応援してもらい 遂に！この時が！ 皆の前で3Dお披露目できることになりました！ 本当にありがとう   #桜凛月 ◯リンク 【にじさんじ ...,2020-10-16T13:12:12Z
桜凛月,J8DyJADBgtk,【minecraft】博物館 外装 塔作る  #296【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-14T11:29:59Z
桜凛月,jIVfwgM8UzQ,【minecraft】博物館 1階展示物  #295【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-12T11:39:31Z
桜凛月,F6nqueZmUjg,【minecraft】ウィザーローズ トラップ #294 【にじさんじ/桜凛月】,にじ鯖 #Dの石 @ベルモンド・バンデラス 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-11T13:20:46Z
桜凛月,xm9-2fdzv5E,【雑談】桜サミット【にじさんじ/桜凛月】,サムネイルにイラスト使用させて頂きました✨ れい(2代目) 様 @oaaa_0211 ありがとうございます✨ ～～～～～～～～～～～～～～～～～ 【スポンサー】 月額490円で ...,2020-10-09T11:58:08Z
桜凛月,5fm0g6x2dRA,【minecraft】エンドシティまでちょっとおつかい  #293【にじさんじ/桜凛月】,ちょっとそこまで、エリトラとシュルカーもらってきます。 いもーと @ルイス・キャミー 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-09T05:20:41Z
桜凛月,UaCKuESWFTg,【minecraft】ホグリントラップ 自動焼豚装置  #292【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-08T12:16:42Z
桜凛月,WlBBjQ1azNA,【minecraft】自動交易装置 ピグリン金ガチャ  #291【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-08T05:03:18Z
桜凛月,jM-YzsNu3Ug,【APEX】KIll 取るんDEATH!!【にじさんじ/桜凛月】,一緒にPLAYしているメンバー @エルフのえる / にじさんじ所属 @【にじさんじ】神田笑一 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-07T12:43:12Z
桜凛月,w6zC-aqj3Hw,【minecraft】博物館の1階展示物を置いてくよ #290【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-06T11:45:20Z
桜凛月,N6mMy1btmf0,【minecraft】養蜂場を作る #289【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-05T12:41:32Z
桜凛月,DqlxVqN78Ng,【minecraft】博物館の内装 #288【にじさんじ/桜凛月】,前回菌糸GET！！ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-03T11:25:43Z
桜凛月,seUWXYOEyxs,【minecraft】リベンジ!! 博物館の為に持ち帰れ #287【にじさんじ/桜凛月】,博物館に飾る 菌糸が欲しい！！ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-10-01T11:49:39Z
桜凛月,VYcpSORMbJA,【minecraft】ミッション!! ムーシュルーム島を探せ #286【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-30T03:41:15Z
桜凛月,_iDKO7seHiY,【minecraft】博物館の内装  #285【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-29T11:18:16Z
桜凛月,70PHtrJBy8M,【minecraft】水流式自動回収機  #284【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-29T05:09:24Z
桜凛月,KO6Mo5GW8vA,【minecraft】博物館制作を進める  #283【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-28T12:06:27Z
桜凛月,MvOFIpbGuJ4,【minecraft】ウィザースケルトン⚔トラップ制作  #282【にじさんじ/桜凛月】,Dの石 @ベルモンド・バンデラス 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-27T07:08:46Z
桜凛月,pZ8EVU02NVg,【minecraft】 竹 自動回収機  #281【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-26T04:29:10Z
桜凛月,MuC6l5FdiKE,【minecraft】 背面のステンドグラス作る  #280【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-25T12:17:56Z
桜凛月,J2FaFunB4M4,【minecraft】 天井と外観装飾  #279【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-24T11:53:05Z
桜凛月,uoGoKqgCY3c,【minecraft】 地下施設 開拓  #278【にじさんじ/桜凛月】,サムネイルにイラスト使用させて頂きました。 ありがとうございます✨ TomaT0 様 @shironeko_han ～～～～～～～～～～～～ 【スポンサー】 月額490円で登録可能です   ...,2020-09-24T06:22:22Z
桜凛月,iWerb7wSQQ8,【minecraft】 博物館の外装作る  #277【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-23T12:12:25Z
桜凛月,LOcI5JoYvW4,【minecraft】 博物館の外装作る  #276【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-22T03:23:07Z
桜凛月,hXdEA5S-cUQ,【minecraft】 ステンドグラスでオシャレに装飾  #275【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-21T11:18:56Z
桜凛月,Ue2pBfiVQAE,【Craftopia / クラフトピア】自動化楽しい#4【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-21T03:43:21Z
桜凛月,P2A4cDriguo,【minecraft】にじ鯖観光  #274【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-20T04:59:08Z
桜凛月,xqnAU-CBDq4,【minecraft】博物館の2階作る  #273【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-18T03:49:58Z
桜凛月,wswZYcQbOvw,【Craftopia / クラフトピア】文明開化#3【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-17T11:52:26Z
桜凛月,GEqG1NuitDs,【minecraft】博物館の内装作り  #272【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-16T11:33:54Z
桜凛月,l7uPxZQOhjw,【minecraft】博物館の内装工事  #271【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-14T11:57:34Z
桜凛月,Y4tKJZ92bpM,【Craftopia / クラフトピア】新たなワールドに行きたいな#2【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-14T03:24:13Z
桜凛月,IXxz-ClsyBA,【minecraft】～ウィザー討伐隊～  #270【にじさんじ/桜凛月】,Dの石 @ベルモンド・バンデラス 博物館の為に、ビーコンとウィザーローズが欲しい！ 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-12T03:53:24Z
桜凛月,t2-0EWXUUSE,【Craftopia / クラフトピア】ちょっと下見に行くわよ【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-11T12:31:48Z
桜凛月,tv-aZwNpVfs,【minecraft】～博物館の内装作り～  #269【にじさんじ/桜凛月】,【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリからの登録 ...,2020-09-10T12:01:56Z
桜凛月,sUNilLVkJrw,【APEX】 #APEX部2434キルリレー ！【にじさんじ/桜凛月】,12:00~チームメイト @雪城眞尋/Yukishiro Mahiro【にじさんじ所属】 @【にじさんじ】神田笑一 【スポンサー】 月額490円で登録可能です   応援待ってる   ※携帯アプリから ...,2020-09-09T04:14:38Z
