streamer_name,videoId,title,description,publishedAt
樋口楓,Aa7F9xYdQh0,【歌ってみた】アコースティック9月まとめ【樋口楓 acoustic cover】,9月サムネイル：nico @chitchat_nico △covered by 樋口楓 @ HiguchiKaede お勉強しといてよ - ずっと真夜中でいいのに。(acoustic cover) △illust：オレンジ ...,2020-10-31T09:00:12Z
樋口楓,w6xc-q_gdlE,【TITANFALL2】BTくんって、Lスターよりアツい。【にじさんじ / 樋口楓】,キャンペーンモードのストーリーの続きをプレイ！ 【TITANFALL2】もっとLスターを知ろう。【にじさんじ / 樋口楓】 https://youtu.be/DEB0VEz99tY _(-ω- ´ _)⌒)__(-ω- ...,2020-10-30T13:25:17Z
樋口楓,DEB0VEz99tY,【TITANFALL2】もっとLスターを知ろう。【にじさんじ / 樋口楓】,キャンペーンモードのストーリーをプレイ！ _(-ω- ´ _)⌒)__(-ω- ´ _)⌒)__(-ω- ´ _)⌒)__(-ω- ´ _)⌒)_ ◇Infomation◇ 樋口楓 メジャー1stアルバム「AIM」 2020年12月16日( ...,2020-10-29T16:03:51Z
樋口楓,4cJgOE9HX3E,【ポケモン シールド】冠の雪原！ゴージャスボール耐久【にじさんじ / 樋口楓】,ゴジャボ、それは至高。 今日の捕獲↓ レジアイス レジ２ひき とり３匹 samune @09Sdab sama _(-ω- ´ _)⌒)__(-ω- ´ _)⌒)__(-ω- ´ _)⌒)__(-ω- ´ _)⌒)_ ◇Infomation◇ ...,2020-10-25T06:37:06Z
樋口楓,eO-I3MzlsiU,【ポケモン シールド】ＤＬＣ第二弾！冠の雪原！【にじさんじ / 樋口楓】,クシヤキ、あいたいよ。 samune @goppro_tiger25 sama _(-ω- ´ _)⌒)__(-ω- ´ _)⌒)__(-ω- ´ _)⌒)__(-ω- ´ _)⌒)_ ◇Infomation◇ 樋口楓 メジャー1stアルバム「AIM」 ...,2020-10-24T15:43:37Z
樋口楓,AvkQWbVu7Fs,【APEX】フラッシュポイント王手！マスターまで耐久！【にじさんじ / 樋口楓】,ランパートのアフターマーケットのバッチと、 Ｌスターの限定スキンがほしいので、 フラッシュポイント実装されてる期間中はあぺ配信やる気ＭＡＸ。 よろしくどうぞ！,2020-10-17T16:47:08Z
樋口楓,oJaiYK6s0ww,【パワプロ2020】広島東洋カープ vs ＶＲ関西【にじさんじ / 樋口楓】,どっちも応援するわ。。。。。。がんばれ。。。。。 （観戦モードなので、みんなでワイワイ見届けようね） カープ道出演させていただきました！ #195「大人気VTuber樋口楓 ...,2020-10-15T16:19:20Z
樋口楓,_AthwyWtGqY,【APEX】フラッシュポイントの洗礼with天神子兎音【にじさんじ / 樋口楓】,ランパートのアフターマーケットのバッチと、 Ｌスターの限定スキンがほしいので、 フラッシュポイント実装されてる期間中はあぺ配信やる気ＭＡＸ。 よろしくどうぞ！,2020-10-14T15:27:05Z
樋口楓,JZ1LQ8uU10c,【APEX】えるすたああああああああ楽しも！【にじさんじ / 樋口楓 / 勇気ちひろ / える】,ランパートのアフターマーケットのバッチと、 Ｌスターの限定スキンがほしいので、 フラッシュポイント実装されてる期間中はあぺ配信やる気ＭＡＸ。 よろしくどうぞ！,2020-10-12T14:15:54Z
樋口楓,Mx-9FprMyWE,【同時視聴】100万の命の上に俺は立っている / アニメ第2話【にじさんじ / 樋口楓 / 鷹宮リオン】,リオンちゃん https://www.youtube.com/channel/UCV5ZZlLjk5MKGg3L0n0vbzw ▽第一話の振り返りは下記を視聴します。 TVアニメ『100万の命の上に俺は立っている』 ...,2020-10-09T13:34:44Z
