streamer_name,videoId,title,description,publishedAt
瀬戸美夜子,5sVhcBKD8qE,【Apex】１ヶ月ぶりの #白ノ夜 【にじさんじ/瀬戸美夜子】,イラスト@SugoidereDraws thx！XD 白百合リリィ チャンネル https://www.youtube.com/c/sryr00/ ツイッター https://twitter.com/sryr_0 一ノ瀬うるは チャンネル ...,2020-11-02T17:38:32Z
瀬戸美夜子,qaeOukQPwVE,【Apex】バトルパスやばい【にじさんじ/瀬戸美夜子】,プラチナまで戻せるかな.,2020-11-01T07:09:03Z
瀬戸美夜子,dhKXrmSABQk,【Apex】PC版で眠くなるまでランクをまわす後夜祭 #チームHIMIKO 【にじさんじ/瀬戸美夜子】,チームHIMIKO #東堂コハク ・https://www.youtube.com/channel/UCebT4Aq-3XWb5je1S1FvR_A?sub_confirmation=1 ・https://twitter.com/kohaku_todo #北小路 ...,2020-10-31T15:56:10Z
瀬戸美夜子,e-2da__Jh2g,PLAY ALIVE 2020 : Apex Legends　せとみやこ視点  #プレアラ【 にじさんじ/瀬戸美夜子 】,この放送は5分間ディレイでの放送です】 コメントは見れません！大会終わったらアーカイブでみんなの応援を読みたいと思います！！！！ ※試合中に音ズレしてしまった ...,2020-10-31T12:44:08Z
瀬戸美夜子,he6MugHhuYQ,【Apex/PS4】つよさをかんじていくスタイル　#15【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-30T04:32:18Z
瀬戸美夜子,q-ojcmTLibM,【Apex/PS4】#チームHIMIKO～！　#14【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-29T18:08:25Z
瀬戸美夜子,XkAUuP5VjXg,【 2.0 ＆ 新メイク 】世界で一番顔がいい女のお披露目配信【にじさんじ/瀬戸美夜子】,めっちゃ動く 動きすぎてちょっと笑っちゃった あらためてこうやってお披露目できるような形でありがとう出来るのいいですね ありがとう みやこはのんびりやってるので、 ...,2020-10-29T14:20:56Z
瀬戸美夜子,fLZrtkiEKQo,【Apex/PS4】れんし！　#13【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-28T18:22:57Z
瀬戸美夜子,Zuo46ADkCig,【Apex/PS4】#チームHIMIKO～！　#12【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-24T09:33:02Z
瀬戸美夜子,Oa-AWbVhNag,【Apex/PS4】今日もれんしゅう｜　#11【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-24T00:36:16Z
瀬戸美夜子,Q_56xfPrHNY,【冠の雪原】あそびにいく～～～！！【にじさんじ/瀬戸美夜子】,オタク、愛着ある.,2020-10-23T06:33:48Z
瀬戸美夜子,gbou0ijEiMw,【Apex/PS4】お布団に負けたからと言ってあぺには負けないJK　#10【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-22T05:34:20Z
瀬戸美夜子,iGR4bgntRG8,夜中を満喫しながら飯を食べ、マロを読む,だらけてます.,2020-10-20T20:02:57Z
瀬戸美夜子,S9Ihr4um_Y0,【Apex/PS4】生活リズム崩壊の音　諸行無常の響きあり　#9【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-19T18:00:03Z
瀬戸美夜子,vzEBQCDaLxE,【Apex/PS4】暇人なので日々成長できます（PRポイント）　#8【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-18T16:53:36Z
瀬戸美夜子,Oi8Ch_JkzpE,【Apex/PS4】れんしゅうだ～！　#7【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-17T21:07:49Z
瀬戸美夜子,o_lXL235_To,【Apex/PS4】今日の朝練　#6【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-17T00:10:13Z
瀬戸美夜子,N_MvmhK7ocA,【Apex/PS4】弾を当てる練習　#5【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ たくさん質問があったものをまとめました！ 概要欄に書いてあることは繰り返しのお話になってしまうため、放送内では触れません！よろしく ...,2020-10-15T18:27:07Z
瀬戸美夜子,olxfNMNcNMc,【Apex/PS4】朝活のすゝめ　#4【にじさんじ/瀬戸美夜子】,おねがいが３つあります！ 概要欄に書いてあることは放送内では触れません！よろしくおねがいします！ ①PS4版Apexをプレイしてます！理由は #チームHIMIKO でPS4版 ...,2020-10-15T02:18:40Z
瀬戸美夜子,SOqJnKclThA,【青鬼】こわくないライフさんきょうだい【愛園愛美/グウェルオスガール/瀬戸美夜子】,今どき青鬼する人いるのが一番おもしろい #愛園愛美 https://www.youtube.com/channel/UC0WwEfE-jOM2rzjpdfhTzZA https://twitter.com/manami_aizono #グウェル ...,2020-10-14T12:59:38Z
瀬戸美夜子,JH649Yl2dFs,【Apex】PS4の覇者になりたい　#3【にじさんじ/瀬戸美夜子】,感度・ボタン配置については今の所触らないと決めてるので、あまり心配しすぎないでね.,2020-10-13T20:10:46Z
瀬戸美夜子,PGSsMPhqYsw,【Apex】初心者Apex女子ですっ　#2【にじさんじ/瀬戸美夜子】,感度・ボタン配置については今の所触らないと決めてるよっ٩(♡ε♡ )۶ｷｭﾙﾙﾝ.,2020-10-12T19:31:47Z
瀬戸美夜子,UVxgBZbbM_Y,【Apex】これはマジの初心者のやつ　#1【にじさんじ/瀬戸美夜子】,動けないことによる脳のリソース低下をお楽しみください.,2020-10-11T20:59:15Z
瀬戸美夜子,fI4K_rHXN8I,【Apex】HIMIKOを名乗る【にじさんじ/瀬戸美夜子】,ローマ字にしたらかっこいいかなって思ったところある ひ 北小路ヒスイ https://www.youtube.com/channel/UCRqBKoKuX30ruKAq05pCeRQ ...,2020-10-10T18:28:31Z
瀬戸美夜子,-RXgak0J40E,顔が良いJKによる深夜の突発お話,最近どうよ わたしは牛乳飲んでたら腹痛い気がする サムネイラスト https://twitter.com/kokonats72 感謝・・・,2020-10-07T19:18:22Z
瀬戸美夜子,TNXnGfzRt3k,【ポケモンソード】お散歩したりダクマ育てたりお散歩する【にじさんじ/瀬戸美夜子】,主人公の名前「まこ」なんですが、これ平たく言うと その 夢小説ネームなので 許してください… （由来：みやこ→みゃこ→まこ）,2020-10-03T17:23:02Z
瀬戸美夜子,w3fCdcb_VaA,【Apex】これはしろのよるといいます　#白ノ夜【にじさんじ/瀬戸美夜子】,長い髪の人 @一ノ瀬うるは 天使 @しらゆりヘブンちゃんねる.,2020-10-01T16:31:40Z
瀬戸美夜子,pOxFA1k4ToE,【Apex】キルしたい愛したい【にじさんじ/瀬戸美夜子】,恋愛ドラマな恋がしたい プロゲーマーみたいなキルがしたい.,2020-09-29T20:13:05Z
瀬戸美夜子,1tYV1xbKoVQ,【ポケモン剣】ゆるくまったり遊びながら雑談いたす【にじさんじ/瀬戸美夜子】,やりこみ度は無に等しいのであまりいじめないでください.,2020-09-28T15:25:53Z
瀬戸美夜子,RMowp-9ir8k,【Apex】寝起きのほうが捗るんじゃね！？説【にじさんじ/瀬戸美夜子】,もう願掛けの域 ハンマーはジブとブラハ2000.,2020-09-27T18:16:54Z
瀬戸美夜子,Fk_1gHdEev0,【Apex】かわいいね（^-^）どこ住み？てかL○NEやってる？（笑）【にじさんじ/瀬戸美夜子】,めっちゃ指導してもらう！みたいなことコハクちゃん言ってて その かっこいいところ見せられるかな ただのオタクなんだけど・・・（テスト勉強してないって言っておいて100点 ...,2020-09-25T18:40:48Z
瀬戸美夜子,8BrSHRZfQxA,【Apex】プラチナ3からのよろしくベイベー旅【にじさんじ/瀬戸美夜子】,溶けたくない、君のキス以外では──。,2020-09-23T19:48:55Z
瀬戸美夜子,LP9kwqZXaqo,【Apex】ボラちゃんと作る兵どもの夢の跡地【にじさんじ/瀬戸美夜子】,たぶんランク（じゃなくても気持ちそういうかんじ） ぬんぼら https://www.youtube.com/channel/UC1ZV7KBscK0EMoJKFu1DnDg https://twitter.com/boranun2434.,2020-09-22T16:21:54Z
瀬戸美夜子,KJAfJIUn-5c,【Apexランク】おなかいっぱいちょっと眠いままやる惰性のランク【にじさんじ/瀬戸美夜子】,惰性じゃないときがあるんですか！？,2020-09-18T16:13:07Z
瀬戸美夜子,heDjiw5-TVI,ソロランク←異文化（ソロダイア経験者たち）に囲まれるApex【にじさんじ/瀬戸美夜子】,ぬんぼら（눈보라）ちゃん https://www.youtube.com/channel/UC1ZV7KBscK0EMoJKFu1DnDg #神田笑一 ...,2020-09-16T17:41:48Z
瀬戸美夜子,IEzkFsCHSjc,少女レイ/みきとP（covered by 柚子花/瀬戸美夜子）,"きみはともだち original: https://www.youtube.com/watch?v=JW3N-HvU0MA music,Lyric: みきとP https://twitter.com/mikito_p_ Illust: sa拾 ...",2020-09-09T09:00:13Z
瀬戸美夜子,xFdIfHWOKAs,【#APEX部2434キルリレー】チグサちゃんboraちゃんと！【にじさんじ/瀬戸美夜子】,ルール ・みんなで2434キルする！ ・にじさんじの人のキルのみ計算 ・ちゃんぽんは+20 一緒にやっていただく #西園チグサ ...,2020-09-08T19:46:21Z
瀬戸美夜子,dQtB9XAAlHM,良い子のオタクと話す配信,このサムネ、はじめてのフォトショで作ったんだけど全然わからなくてこれが出来上がるまでに命を数回落とした.,2020-09-08T09:02:42Z
瀬戸美夜子,EzJhqd-8mig,【#APEX部2434キルリレー】ちーちゃんと樋口先輩と！【にじさんじ/瀬戸美夜子】,ルール ・みんなで2434キルする！ ・にじさんじの人のキルのみ計算 ・ちゃんぽんは+20 一緒にやっていただく #樋口楓 ...,2020-09-07T02:47:35Z
瀬戸美夜子,gQdHNT8bQ4M,【#APEX部2434キルリレー】ヒスイちゃんコハクちゃん→ちーちゃんあまみゃと！【にじさんじ/瀬戸美夜子】,ルール ・みんなで2434キルする！ ・にじさんじの人のキルのみ計算 ・ちゃんぽんは+20 一緒にやっていただく 24時～ #東堂コハク ...,2020-09-05T19:46:53Z
瀬戸美夜子,s1N0rbXJQDQ,【Apex】にじさんじAPEX部2434キルリレー【にじさんじ/瀬戸美夜子】,ルール ・みんなで2434キルする！ ・にじさんじの人のキルのみ計算 ・ちゃんぽんは+20 一緒にやる #神田笑一 ...,2020-09-04T18:48:05Z
瀬戸美夜子,BYRw8D4U4qQ,だらけのJK,雑談です！ 白百合さん https://www.youtube.com/channel/UCl-3q6t6zdZwgIsFZELb7Zg.,2020-08-26T22:49:36Z
瀬戸美夜子,N4EpXdHwC3I,【闇鍋】なんでそんなにみんな浮気されてるの？【にじさんじ/瀬戸美夜子】,気分が不快になった・トラウマを思い出してしんどくなった等の責任は取れませんので闇鍋パーティに参加する際は自己責任でお願いします.,2020-08-24T16:01:43Z
瀬戸美夜子,pAc_ph6sZ2k,夏バテが叫びたがってるんだ,冬バテってあるのかな.,2020-08-22T19:01:34Z
瀬戸美夜子,axxsi9MEPy0,【Apex】ゴールドランクを回すィ【にじさんじ/瀬戸美夜子】,寝起きです https://twitter.com/seto_miyako 瀬戸あさひ https://www.youtube.com/channel/UCuE6xoui7gZOTUiF0OtWWJw これあさひさんの動画の中でみやこが ...,2020-08-21T20:42:38Z
瀬戸美夜子,V0GuVc58eLE,寝　ない,18歳JKの談雑.,2020-08-19T17:07:14Z
