streamer_name,videoId,title,description,publishedAt
物述有栖,v32Od15p9a8,【ギター歴31日目🔰】I might be a genius🤭Acoustic Guitar practice🎸【にじさんじ】【物述有栖】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-11-03T05:21:58Z
物述有栖,cLiRuzwKGhQ,【ハロウィンサプライズ】🍓🎃TRICKorTREAT🎃☕【にじさんじ】【アリストロベリー】,ごちごちこと宇志海いちごチャンネル   https://www.youtube.com/channel/UCmUjjW5zF1MMOhYUwwwQv9Q ...,2020-10-31T10:08:20Z
物述有栖,Jgl_rTYnrik,【ギター歴㊗️30日目🔰】30 Days of Growth✨Acoustic Guitar practice🎸【にじさんじ】【物述有栖】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-10-31T05:05:59Z
物述有栖,_O9-aSkiKK0,【ASMR/DummyHead】世界に1つだけのダミヘで耳かき梵天マッサージ👂EarCleaning fluffy whispering【物述有栖】,今日はわりと王道なASMRになっております❣ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-10-28T16:57:24Z
物述有栖,8HvcgRQfMho,【ASMR？/DummyHead】世界に1つだけのダミヘで弾き語り練習子守歌🌙【にじさんじ】【物述有栖】,ASMRとは言えないかもしれないけど、 気持ちのいい音はASMRなので、 気持ちのいい音を出せるように頑張って弾くしかないわね…,2020-10-27T16:26:49Z
物述有栖,EnbUVOtU7oo,【SEKIRO/隻狼#4】葦名の弦一郎ちゃんは雷属性⚡【にじさんじ】【物述有栖】,今日こそ絶対に雷を操るんだ…⚡⚔ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-10-25T02:26:41Z
物述有栖,QF-21Pg4z1U,【ギター歴29日目🔰】May my singing get better🎤Acoustic guitar practice🎸【にじさんじ】【物述有栖】,次で30日目だぁあああああああああああああ❣ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-10-24T05:30:30Z
物述有栖,codDuYhG8Vo,【原神】初課金💸ガチャでクレーちゃんをお迎えする☕【にじさんじ】【物述有栖】,ウェンティPUガチャで刻晴→ウェンティを引き、 クレーPUガチャでモナを引き、 所持☆5キャラは3人…そして武器は1つ… そろそろロリを心の底から応援したいので、 クレー ...,2020-10-21T12:21:49Z
物述有栖,X-CNM_BBa4g,【ギター歴28日目🔰】I like to play the guitar✨Acoustic guitar practice🎸【にじさんじ】【物述有栖】,今日はギター弾くし、夜はASMRもする☕ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡おいしいバイノーラルクッキングボイス販売中♡ ...,2020-10-21T05:06:37Z
物述有栖,BAvCkNcnUC0,【SEKIRO/隻狼#3】弦交換したし葦名弦一郎ちゃんと久々に遊ぶ🎮【にじさんじ】【物述有栖】,指治った記念に久々のギターじゃない方の弦ちゃん！！！！！ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡おいしいバイノーラルクッキングボイス販売中♡ ...,2020-10-18T02:21:24Z
物述有栖,lLy4hAEN72Q,【ギター歴27日目🔰】TwitterつながらないですけどもEnjoy🎶Acoustic Guitar practice🎸✨【にじさんじ】【物述有栖】,おいしいバイノーラルクッキングボイス販売中♡ https://nijisanji.booth.pm/items/2435477 ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ ...,2020-10-17T04:17:35Z
物述有栖,CT1-eY1NqlU,【ボカロメインDay】たまには歌うだけの日🎤Vocaloid practice singing🎶【にじさんじ】【物述有栖】,概要欄は後々更新‼️ ❁お借りする音源❁ https://piapro.jp/ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡おいしいバイノーラルクッキングボイス販売中♡ ...,2020-10-15T12:20:42Z
物述有栖,nt_FCW_wjW0,【ASMR/Dummy Head】世界に1つだけの高音質ダミヘで眠れる打鍵音・作業音⌨Typing Sound【物述有栖】,作業に集中するのでおしゃべりはほぼなしで、 安心して眠れます(ฅ˘ㅁ˘ฅ) ♡おいしいバイノーラルクッキングボイス販売中♡ https://nijisanji.booth.pm/items/2435477 ...,2020-10-14T15:53:34Z
物述有栖,CnwWoGG4mXg,【ギター歴26日目🔰】Acoustic guitar practice🎸【にじさんじ】【物述有栖】,おいしいバイノーラルクッキングボイス販売中♡ https://nijisanji.booth.pm/items/2435477 ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ ...,2020-10-14T04:27:21Z
物述有栖,-L_txyVQ5sI,【ギター歴25日目🔰】放課後てぃーたいむ🏫Acoustic guitar practice🎸【にじさんじ】【物述有栖】,おいしいバイノーラルクッキングボイス販売中♡ https://nijisanji.booth.pm/items/2435477 ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ ...,2020-10-13T11:28:05Z
物述有栖,3BUk6EqitCg,【ギター歴24日目🔰】New strings and a nice tone✨Acoustic guitar practice🎸【にじさんじ】【物述有栖】,テスト終わったし朝練本格再開  ✨ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-10-11T01:22:58Z
物述有栖,pexmVQmSwTk,【ギター歴23日目🔰】Change the string on my guitar🎶Acoustic guitar practice🎸【にじさんじ】【物述有栖】,はじめての弦交換‼️ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ...,2020-10-10T04:37:37Z
物述有栖,TUx2BOSKweY,【ASMR/DummyHead】世界に1つだけのダミヘでしゅわしゅわマッサージ𓈒 𓂂𓏸Relaxation【物述有栖】,しゅわしゅわぱちぱちむにむに ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-10-07T16:34:42Z
物述有栖,lFU38DMdUZY,【ギター練習復活⁈】I think my finger has healed🎸Guitar Plactice revival【にじさんじ】【物述有栖】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-10-03T04:11:45Z
物述有栖,Zlnf6KHRgog,【原神】Lv20からの旅-Genshin-【にじさんじ】【物述有栖】,メインを残してサブクエストで冒険レベルをがんがんあげていく…！ ガチャのためにいっぱい貯める！！ メインは進めないけど、サブクエストでもネタバレが嫌な方は念の ...,2020-09-28T06:55:42Z
物述有栖,TEorzZcs6nA,【Craftopia】異世界生活始めました🌍Started living in another world🎮【にじさんじ】【物述有栖】,目が覚めたら、そこは異世界だった――。 やったぁあああああああああああああああ！！！！！！ ♡学園祭ご奉仕メイドボイス⁈期間限定販売中♡ ...,2020-09-26T05:04:26Z
物述有栖,rcLYLeX4XVQ,【ASMR/DummyHead】世界に1つのダミヘでお耳を癒やす🌙Ear Massage Whispering【物述有栖】,学園祭ご奉仕メイドボイス⁈期間限定販売中♡ https://booth.pm/ja/items/2377916 https://shop.nijisanji.jp/s/niji/item/detail/dig-00114?ima=2036 ...,2020-09-23T17:31:42Z
物述有栖,se1hSafNIZg,【ETS2】新車での初ドライブ🚚💨【にじさんじ】【物述有栖】,買ったばかりの車でおでかけ…❣ 学園祭ご奉仕メイドボイス⁈期間限定販売中♡ https://booth.pm/ja/items/2377916 ...,2020-09-22T03:43:10Z
物述有栖,rcBIAbwrgQE,【お歌】ボカロを歌うお茶会【にじさんじ】【物述有栖】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-09-21T06:11:29Z
物述有栖,8Vop_kqplpo,【なにを】してほしい【ですか】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-09-21T02:09:28Z
物述有栖,yXN0YmLY_lk,【ASMR/DummyHead】世界に1つだけのダミヘで囁きオノマトペ100個🌙onomatopoeia Whispering【物述有栖】,やっぱり自作PCがいちばんっ❣ Noctuaさいこー✨ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-09-17T16:33:08Z
物述有栖,LcssHqe1sqY,【ASMR/DummyHead】世界に一つだけのダミヘで耳かき👂EarCleaning【物述有栖】,今宵はオーダーメイドダミーヘッドマイクで、 初耳かきチャレンジ   ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ...,2020-09-16T17:27:03Z
物述有栖,5L6S44zCtJQ,【ASMR/DummyHead】世界に一つだけのダミヘと寝かしつけ🌙Whispering【物述有栖】,制作開始から数ヶ月の時を経て、 ヨーロッパからやってきたオーダーメイドダミーヘッドマイク、 遂に始動…✨ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル ...,2020-09-14T18:00:52Z
物述有栖,LEeWZnzYNjg,【ETS2】例の物がヨーロッパから来るので…🗿🚚【にじさんじ】【物述有栖】,オーダーメイドのダミーヘッドマイクが届く前に 指を運転でリハビリしておいて、 いっぱい愛でるという予定。 そしてトラックを買う！,2020-09-13T03:57:57Z
物述有栖,Yy_QMbN6_mU,【アコギ22日目🔰(仮)】指次第で歌練習になるかも？Acoustic Guitar or Sing Practice🎸🎤【にじさんじ】【物述有栖】,Snapping finger? 指が痛いときは休めないといけないらしい！！！！！！！！！ でも弾きたい！！！！！！！！！！！！！！！！！！ うぉおおおおおおおおおおお ...,2020-09-07T03:30:41Z
物述有栖,g1vTAEvhkVY,【指の休息日🎤】Anime Song Singing✨【にじさんじ】【物述有栖】,左手がギターを弾くこと以外できなくなってしまったのでギターは1日お休みして、お歌をします( ˊ࿁ˋ ) ❁お借りするかもしれない音源❁ ハイカラサウンドさん ...,2020-09-06T03:29:32Z
物述有栖,FP4rVfGHMBE,【アコギ21日目🔰】Challenge spirit❣Acoustic Guitar Practice🎸【にじさんじ】【物述有栖】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-09-05T04:53:42Z
物述有栖,ZoOO5sKqsjk,【アコギ19日目🔰】Kawaii pick🐾Acoustic guitar practice🎸【にじさんじ】【物述有栖】,にくきゅうぷにぷに ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ...,2020-09-03T04:05:48Z
物述有栖,mHjKeXpmQno,【アコギ18日目🔰】I want to play guitar every day✨Acoustic Guitar practice🎸【にじさんじ】【物述有栖】,やめられない、とまらない、マリブちゃん… ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-09-02T04:32:40Z
物述有栖,kd_vi3ihr9o,【アコギ17日目🔰】Metronome Mononobe☕Acoustic Guitar practice🎸【にじさんじ】【物述有栖】,チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ https://twitter.com/AliceMononobe ♡メンバーシップ♡ スタンプが使えたり、バッジがついたり、うしねじゅ(猫)の ...,2020-09-01T03:37:16Z
物述有栖,jA9hgO81c6c,【アコギ16日目🔰】Japanese Anime Song😘Acoustic Guitar practice🎸✨【にじさんじ】【物述有栖】,Do you like Anime Song？☕   ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ♡チャンネル登録♡ https://t.co/KA45bDJBYy ♡Twitter♡ ...,2020-08-31T04:25:29Z
物述有栖,Br5mUhpvGlA,【アコギ15日目🔰】初心者が一緒に練習できる回🏫Acoustic Guitar practice🎸【にじさんじ】【物述有栖】,ギターを始めたい人、 いっしょに練習しましょー❣️ ♡どきどきバイノーラル怪談ボイス販売中♡ https://nijisanji.booth.pm/items/2308884 ...,2020-08-30T03:26:13Z
物述有栖,EuSQFLAWzzw,【アコギ14日目🔰】VOCALOID SONG🎤Acoustic Guitar practice🎸【にじさんじ】【物述有栖】,今回はボカロメインdayにしますっ⸜(｡˃ ᵕ ˂ )⸝✧*｡❣ ♡どきどきバイノーラル怪談ボイス販売中♡ https://nijisanji.booth.pm/items/2308884 ...,2020-08-29T04:12:34Z
