streamer_name,videoId,title,description,publishedAt
町田ちま,jWJr74Idda4,【歌枠】アルバム発売した記念＋三面図公開！！！Singing Stream【町田ちま/にじさんじ】,作業終わってハッピーだから歌っちゃうもんね～～～🤗🤗🤗 にじさんじ初のカバーソングアルバム「PrismaticColors」が発売中です！ちまも参加してます！詳細こちら ...,2020-11-02T12:42:01Z
町田ちま,SjecNnJ1MzM,【ゲリラ歌】ノンストップで好き勝手歌う‐Singing Stream【町田ちま/にじさんじ】,喋りません 14曲歌うだけ ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら https://www.ichikara.co.jp/news/1410/ ＃なま公 お ...,2020-10-26T16:57:37Z
町田ちま,c3INPensFlU,【あつまれ どうぶつの森】新住民来た～～～～～～！！！！！【町田ちま/にじさんじ】,チョイチョイチョーーーイ！！！！！！！ ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら ...,2020-10-25T14:39:52Z
町田ちま,qx9lLS2WyYQ,【シャニマス】無　事　天　井【町田ちま/にじさんじ】,昨日の配信後悔しくてTrue4人攻略しました。気付いたら朝の7時です 今日こそ限定樋口円香さんをお迎えします True攻略を朝まで支えてくれた星天ちゃんねるさんの ...,2020-10-22T15:26:06Z
町田ちま,V7Nt-e_qvno,【シャニマス】限定樋口円香さんを絶対にお迎えする【町田ちま/にじさんじ】,アイドルマスターシャイニーカラーズさんは最高です ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら ...,2020-10-21T17:03:43Z
町田ちま,-lHpB5eMM7Q,【歌枠】だいたいアニソン！今週もお疲れ様！Singing Stream【町田ちま/にじさんじ】,今週の歌枠は土曜日！アニソンとか色々歌う！ そして明日の21:00からはレヴィ・エリファちゃんのチャンネルでコラボがあるよ～！よろしくね！ ちまが参加させていただい ...,2020-10-17T13:17:57Z
町田ちま,sER6xXCSomY,【あつまれ どうぶつの森】やっとswitchが手に入った女による初めての森生活！！！【町田ちま/にじさんじ】,やっっっっっっっっっっっとswitch買えた～～～～～～～～～～～～～～～～～！,2020-10-11T12:11:39Z
町田ちま,3EpoI1AoGMU,【12～19万人記念】リスナーさんが選んだ好きな曲ランキング上位30曲を歌う！🌠Singing Stream【町田ちま/にじさんじ】,事前にちまが過去に歌った曲の中で好きな曲を選んでいただいているので、それのランキング上位30曲を歌わせていただきます！ いつも本当にありがとう！！！ ちまが ...,2020-10-10T14:49:23Z
町田ちま,LaJgGQWWSZE,【Minecraft】ラピュタをつくる！！！inにじ鯖【町田ちま/にじさんじ】,全ては「バルス」と言うため ↓参考にさせていただいている動画 https://www.youtube.com/watch?v=E7m0FpJJK5Y ちまが参加させていただいているカバーソング ...,2020-10-09T11:31:37Z
町田ちま,sv8V3se-fKA,【ゲリラ歌耐久】１９万人をみんなで迎えたい！Singing Stream【町田ちま/にじさんじ】,ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら https://www.ichikara.co.jp/news/1410/ ＃なま公 ...,2020-10-07T12:51:49Z
町田ちま,ERLKgSGvJ-Q,【歌枠】ボカロしばり！！！Singing Stream【町田ちま/にじさんじ】,ボーカロイドしばりで歌うYO～～～ Vocaloid only 【セトリ】 0:00 開始 4:42 二足歩行 9:24 calc. acoustic ver 16:45 少女レイ 23:09 蜜月アン・ドゥ・トロワ 29:32 金曜日の ...,2020-10-04T12:22:11Z
町田ちま,jD24-7z8M30,【Minecraft】久しぶりの深夜マインクラフト！inにじ鯖【町田ちま/にじさんじ】,ラピュタ作りたい！！！ ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら https://www.ichikara.co.jp/news/1410/ 【サムネイル ...,2020-10-01T17:16:46Z
町田ちま,qGYchVqOyVc,【歌枠】歌うのが楽しくて仕方ないから歌っちゃお！🌠Singing Stream【町田ちま/にじさんじ】,多分アニソン多めになる Twitterの ＃ちまっとお歌 にて歌ってほしい曲を募集中です！ 【サムネイルイラスト】 桜庭すずさん @mer_murmure ちまが参加させていただいて ...,2020-09-27T16:07:04Z
町田ちま,0uMIoIgv57M,【お披露目】これが町田ちまの新ビジュアルだ・・・ッ！！！【町田ちま/にじさんじ】,ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら https://www.ichikara.co.jp/news/1410/ ＃なま公 ...,2020-09-26T12:33:29Z
町田ちま,8p431baH8ZQ,【歌枠】アニソンしばりッ！！！Singing Stream【町田ちま/にじさんじ】,今日は耐久じゃありません 特定の曲以外も歌えるので聴いてください( ᐛ  ) 【サムネイルイラスト】 のたさん @noumisotarou ちまが参加させていただいているカバーソング ...,2020-09-07T15:35:15Z
町田ちま,UI5tOajbknM,【検証】人はフリージアを何時間歌い続けることができるのか？ Singing Stream【町田ちま/にじさんじ】,ほとんど喋りません ※ひたすら歌います ※馬鹿です ※みんな耐久してるからやりたくなっちゃった ※作業用BGMにでも使ってください ※How many hours can you sing the ...,2020-09-05T00:00:51Z
町田ちま,bnGh_qIAZ80,【シャニマス】小宮果穂ちゃん…かわいいね…【町田ちま/にじさんじ】,【前回のあらすじ】 円香ちゃんWING優勝おめでとう… そのうちノクチル全員プロデュースするからな… アイドルマスターシャイニーカラーズ実況三回目！ 今回は小宮果穂 ...,2020-09-03T16:05:42Z
町田ちま,uSk-bctWot8,【Fall Guys】クラウンくれ【町田ちま/にじさんじ】,勝ち取りたい ちまが参加させていただいているカバーソングアルバム！予約受付中です！！詳細こちら https://www.ichikara.co.jp/news/1410/ ...,2020-09-03T09:44:05Z
町田ちま,Ayt7yqjHb_c,【祝🎉二周年】歌ったり嬉しいお知らせの話だったり！ Singing Stream【町田ちま/にじさんじ】,二周年！休止したり色々あったけどここまで続けてこれたのはリスナーのみんなやにじさんじの先輩後輩、同期、そしてスタッフさんのおかげです。本当にありがとうございます ...,2020-09-02T13:45:44Z
町田ちま,FV2ZOU3KJhE,【歌う】そろそろ朝型に戻さないといけないので早朝歌枠する Singing Stream【町田ちま/にじさんじ】,生活習慣を治すために早起きします ＃なま公 ～～～～～～～～～～～～～～～～～～～～～～～～～～～～～ 町田ちまについて   みなさんこんにちは！歌うことが ...,2020-08-29T23:48:29Z
町田ちま,2p9xesrsSs4,【WE WERE HERE】一人と一匹で仲良く協力！謎解き脱出ゲームやっぞ！！ #にじさんじ狂犬ズ 【町田ちま/黒井しば/にじさんじ】,黒井～！ゲームやろうぜ～！！ あれ…？ここ寒くない…？黒井…？？どこ……しば………ミドルネームみたいになっちゃた……黒井・どこ・しば…………… 黒井しば しば ...,2020-08-28T16:00:32Z
町田ちま,ZYyeW6G1OcA,【Fall Guys】初めてのFall Guys！一匹残らず〇します【町田ちま/にじさんじ】,【前回のあらすじ】 Fall Guysを買う予定だったお金を全てシャニマスに課金した町田ちま。俺はいつもこうだ…俺は……。そんな時現れた救世主、黒井しばによってFall Guys ...,2020-08-26T10:47:55Z
町田ちま,lC8TlsgCWfg,【睡眠導入 歌枠】眠れない人おいで。Singing Stream【町田ちま/にじさんじ】,一緒に寝よっか。 まぁ寝ないんですけど ＃なま公 一人合唱配信は次回やります ～～～～～～～～～～～～～～～～～～～～～～～～～～～～～ 町田ちまについて   ...,2020-08-23T16:09:32Z
町田ちま,3XI4W2jzOK4,【マイクラ】初めましての二人で#にじ鯖夏祭り に行く…ッッッ！！！【町田ちま/来栖夏芽/にじさんじ】,私、クソ人見知りの町田ちま！ 夏芽ちゃんを誘って夏祭りに行くよ！ 会話できるかチャレンジ、始まる 来栖夏芽ちゃん     ...,2020-08-22T13:12:32Z
町田ちま,yHVUYry8s5s,【マイクラ】 【まいんくらふと】【鉱山作成】【Minecraft】【町田ちま/にじさんじ】,サムネイル下手くそ選手権 ～～～～～～～～～～～～～～～～～～～～ 町田ちまについて   みなさんこんにちは！歌うことが大好き！！！ にじさんじ所属、上から読ん ...,2020-08-22T06:31:53Z
町田ちま,5wIPagqRPWM,【シャニマス】新人Pと72時間限定ガシャと初心者ミッションと【町田ちま/にじさんじ】,【前回のあらすじ】 樋口円香さんに堕ちた 前回に引き続きアイドルマスターシャイニーカラーズをプレイしていくよ～！ 今回は72時間限定ガシャと初心者ミッションをやっていく ...,2020-08-21T16:10:30Z
町田ちま,cqCyfrBZZa8,【シャニマス】完全初見！顔面の良さに負けて始めるプロデュース！！ 【町田ちま/にじさんじ】,初めて！アイドルマスターシャイニーカラーズをプレイするよ～！ 果たして推しを決められるのか…,2020-08-19T15:02:53Z
町田ちま,mr9fFGA6Cjo,【料理配信】 最近まともなご飯を食べていないのでカレーをつくるよ【町田ちま/にじさんじ】,カレーをつくるだけ   ～～～～～～～～～～～～～～～～～～～～～～～～～～～～～ 町田ちまについて   みなさんこんにちは！歌うことが大好き！！！ にじさんじ ...,2020-08-18T12:09:36Z
町田ちま,CHMP0VC-0Es,【歌枠】夜だし、しっとり歌う ☽ Singing Stream【町田ちま/にじさんじ】,なま公 【サムネイルイラスト】 煮付さん @kawahaginitsuke ～～～～～～～～～～～～～～～～～～～～～～～～～～～～～ 町田ちまについて   みなさんこんにちは ...,2020-08-16T15:53:51Z
町田ちま,hZFs1FWR58w,【マイクラ】 帰還～～～！ゆっくりマイクラするか～～～！【町田ちま/にじさんじ】,オフコラボ楽しかった ボイス発売中！   ・マンスリーボイス8月 https://nijisanji.booth.pm/items/2234468 メンバーシップこちらから   ...,2020-08-16T05:57:12Z
町田ちま,xawZ8r6XAMc,【初オフコラボ】犬と人間が戦う1-2-Switch！！#にじさんじ狂犬ズ 【町田ちま/黒井しば/にじさんじ】,おい黒井～！遊ぼうぜ～！！ 黒井しば [YouTube] https://www.youtube.com/channel/UCmeyo5pRj_6PXG-CsGUuWWg?sub_confirmation=1 [Twitter] ...,2020-08-13T12:00:27Z
町田ちま,9GLN-aV0mbE,【恐怖の森 増殖】夏だしホラゲしちゃお～～～！こわ！！！【町田ちま/にじさんじ】,こわ～～～～～～～い！！！！！！ ボイス発売中！   ・【1週間限定】町田ちま 誕生日ボイス https://nijisanji.booth.pm/items/2251083 ・マンスリーボイス8月 ...,2020-08-10T14:43:46Z
町田ちま,U0TkP5hL4sg,【歌枠】夏うた歌うよ🌠Singing Stream【町田ちま/にじさんじ】,夏うたの切なくて爽やかなとこ好き ＃なま公 【サムネイルイラスト】 島田缶詰さん @si_zomaru ボイス発売中！   ・【1週間限定】町田ちま 誕生日ボイス ...,2020-08-09T14:28:23Z
町田ちま,mFTXCG0FD0A,【マイクラ】2徹明けのマインクラフトは染みるゥ～～～【町田ちま/にじさんじ】,楽しいね！,2020-08-08T15:35:46Z
町田ちま,KhDiZx4bSBg,【誕生日記念歌枠】BIRTHDAY LIVE【町田ちま/にじさんじ】,いつもありがとう 16歳になりました ＃なま公 【サムネイルイラスト】 栗原さくらママ @aru9a3 ボイス発売中！   ・【1週間限定】町田ちま 誕生日ボイス ...,2020-08-05T13:55:13Z
町田ちま,4J3fle10EcA,【歌ってみた】雨き声残響 / Orangestar【町田ちま/にじさんじ】,未完成で不器用だけど、これからもどうかよろしくね ◇Song & Movie & Illust：町田ちま [YouTube] https://www.youtube.com/channel/UCo7TRj3cS-f_1D9ZDmuTsjw ...,2020-08-05T11:30:13Z
町田ちま,xRTRbstUmB8,【マイクラ】#ハムタマゴドッグ にじ鯖に遊びに行くぜ～！≪町田ちま視点≫【にじさんじ/町田ちま/飛鳥ひな/黒井しば】,みんなで探検するYO 飛鳥ひな [YouTube] https://www.youtube.com/channel/UCiSRx1a2k-0tOg-fs6gAolQ?sub_confirmation=1 [Twitter] ...,2020-07-25T11:56:35Z
町田ちま,6iabZysLKlo,【VALORANT】単純明快イキリキッズによるVALORANT【町田ちま/にじさんじ】,み ボイス発売中！   ・マンスリーボイス7月 https://nijisanji.booth.pm/items/2168211 メンバーシップこちらから   ...,2020-07-24T19:43:54Z
町田ちま,__tsD5aWi7g,【マイクラ】何回挑戦してもいつの間にかマグマダイブしてるなんてこんなの絶対おかしいよ【町田ちま/にじさんじ】,【前回のあらすじ！】 全ロスした ボイス発売中！   ・マンスリーボイス7月 https://nijisanji.booth.pm/items/2168211 メンバーシップこちらから   ...,2020-07-24T02:41:16Z
町田ちま,YK60woQJn5o,【リ〇グフィットアドベンチャー】Switchがないなら作ればいいだけだよね【町田ちま/にじさんじ】,なるほどね ボイス発売中！   ・マンスリーボイス7月 https://nijisanji.booth.pm/items/2168211 メンバーシップこちらから   ...,2020-07-23T09:42:50Z
町田ちま,T37sZuUfoMs,【VALORANT】FPS初心者によるド下手くそVALORANT【町田ちま/にじさんじ】,初FPS ボイス発売中！   ・マンスリーボイス7月 https://nijisanji.booth.pm/items/2168211 メンバーシップこちらから   ...,2020-07-23T03:23:04Z
町田ちま,2CGq1kKTzWo,【ゲリラ歌】Singing Stream【町田ちま/にじさんじ】,何も考えてません ＃なま公 【サムネイルイラスト】 煮付さん @kawahaginitsuke ボイス発売中！   ・マンスリーボイス7月 https://nijisanji.booth.pm/items/2168211 ...,2020-07-22T17:52:11Z
町田ちま,jreAZI2b-Dk,【マイクラ】にじ鯖アプデに気づいちゃった気づいちゃったわーいわい【町田ちま/にじさんじ】,大量の課題と引き換えに4連休を手に入れた＿＿！ ボイス発売中！   ・マンスリーボイス7月 https://nijisanji.booth.pm/items/2168211 メンバーシップこちらから   ...,2020-07-22T14:27:02Z
町田ちま,5Cr-LIuz57w,【100万再生記念】フリージアしばり歌枠 Singing Stream【町田ちま/にじさんじ】,よろしくお願いします ＃なま公 セトリ ・フリージア各種 【サムネイラスト】 TORO缶さん https://twitter.com/torokan?s=09 【歌ってみた】フリージア/Uru【町田ちま】 ...,2020-07-19T11:00:43Z
