streamer_name,videoId,title,description,publishedAt
白雪巴,E6BPjGu55SY,【歌枠】いろはにほへとちりぬるを【白雪 巴/にじさんじ】,リクエスト拾いながら いろいろ唄いたいな ◇◇◇◇◇ #白雪巴 (しらゆき ともえ) 配信タグ #女王のお戯れ (駄犬用 #白雪調教中) ▽Twitter ...,2020-11-02T15:45:33Z
白雪巴,fl-wIj8FkeQ,【スプラトゥーン2】ハロウィンはまだ終わらない【#Crossick/白雪 巴/にじさんじ】,掲示板にのれたら最高❤ ～Crossick～ #健屋花那 https://www.youtube.com/channel/UC8C1LLhBhf_E2IBPLSDJXlQ https://twitter.com/sukosuko_sukoya #白雪巴 ...,2020-11-01T16:20:51Z
白雪巴,DD-lqu8RE7A,【オフコラボ】トリックオアフォト？今夜はハロウィンCrossick★【#Crossick/にじさんじ】,2.0でハロウィン撮影会！！！ 撮ってくれなきゃ悪戯しちゃう ～Crossick～ #健屋花那 https://www.youtube.com/channel/UC8C1LLhBhf_E2IBPLSDJXlQ ...,2020-10-31T16:07:18Z
白雪巴,cBpL2bCYuYU,【cover】ヴィラン/てにをは(by Crossick),「ただの僕さ」 ～ヴィラン～ ◇作詞作曲：てにをは 様 https://youtu.be/p9FJXfGHtDA ◇vocal： #Crossick #健屋花那 ...,2020-10-30T15:00:10Z
白雪巴,pGSfEs3ZDDE,【2.0お披露目】より大人のお姉さんになったって話【白雪 巴/にじさんじ】,1時間くらいを予定してます。 最後に告知もあります。 ゆっくり見て行って♪ ～ボイス・リアルグッズ発売中！～ ◇◇「ハロウィンボイス2020」販売中◇◇ ...,2020-10-30T14:30:27Z
白雪巴,YTgt2SbZ0ys,【雑談】目に穴が空くほど見ていいわよ【白雪 巴/にじさんじ】,時間があれば歌う ～ボイス・リアルグッズ発売中！～ ◇◇「ハロウィンボイス2020」販売中◇◇ https://nijisanji.booth.pm/items/2448994 2020年10月31日 23時59分 ...,2020-10-29T13:07:00Z
白雪巴,qh70Zqb0HOw,【声劇】脚本家はあなた！バーチャル3分劇場◆7ステ◆【#フルートイトイ/にじさんじ】,3分バーチャル劇場7ステ タグで事前に募集した 皆さんから頂いた台本や小説をゲストの方と 楽しく本気で演じます！！ 今回はハチャメチャ仲良しお姉さんズお呼びしました ...,2020-10-27T12:57:59Z
白雪巴,LPslZiykuQ8,【WE WERE HERE Too】コミュ力が試される！？謎解き協力アドベンチャーゲーム【来栖夏芽/白雪 巴/にじさんじ】,"""私達はここにいた""―――― それが意味するものとは？ 夏芽ちゃんと謎解き×コミュニケーション 協力アドベンチャーゲームに挑戦！ #来栖夏芽 ...",2020-10-26T12:55:50Z
白雪巴,pqX3CS5H8aY,【DbD】キラーリベンジ。時々サバ缶【白雪 巴/にじさんじ】,一人ぼっち悲しくなったら 山に帰らせていただきます。 ～サムネご協力～ ◇ナジャ さん https://twitter.com/nadja_game/status/1285706592416137217?s=20 ～ボイス・ ...,2020-10-25T16:19:44Z
白雪巴,n0F-e-3fvEY,【スプラトゥーン2】あ、ガチマッチフルコース一人前で【白雪 巴/にじさんじ】,19:00-21:00 ガチマッチ(ガチエリア) 21:00-23:00 ガチマッチ(ガチヤグラ) 23:00-01:00 ガチマッチ(ガチホコバトル) えっ？６時間コース？ ～サムネイルご協力～ ◇ロス ...,2020-10-24T17:03:12Z
白雪巴,CrP8CtM28Ss,【雑談】眠くなるまで話そっか【白雪 巴/にじさんじ】,ゲリラノープラン雑談 ～ボイス・リアルグッズ発売中！～ ◇◇「ハロウィンボイス2020」販売中◇◇ https://nijisanji.booth.pm/items/2448994 2020年10月31日 23時59分 ...,2020-10-23T16:21:10Z
白雪巴,l5tf3tQ2-mA,【バイオハザード0】強気ビビりお姉さんのバイオハザード実況＃最終回【白雪 巴/にじさんじ】,このゲームにはグロテスクな描写が含まれています。 さらに配信主の悲鳴、暴言も含まれる恐れがあります。 苦手な方はご遠慮下さいませ。音量注意。,2020-10-22T15:52:35Z
白雪巴,3sx6jB3sjoc,【バイオハザード0】強気ビビりお姉さんのバイオハザード実況#3【白雪 巴/にじさんじ】,時間変更の可能性あり ※このゲームにはグロテスクな描写が含まれています。 さらに配信主の悲鳴、暴言も含まれる恐れがあります。 苦手な方はご遠慮下さいませ。,2020-10-21T16:24:41Z
白雪巴,p-Ksy7pcVo4,【バイオハザード0】強気ビビりお姉さんのバイオハザード実況#2【白雪 巴/にじさんじ】,時間変更の可能性あり ※このゲームにはグロテスクな描写が含まれています。 さらに配信主の悲鳴、暴言も含まれる恐れがあります。 苦手な方はご遠慮下さいませ。,2020-10-20T17:17:37Z
白雪巴,_tkCezZS9a4,【バイオハザード0】強気ビビりお姉さんのバイオハザード実況#1【白雪 巴/にじさんじ】,このゲームにはグロテスクな描写が含まれています。 さらに配信主の悲鳴、暴言も含まれる恐れがあります。 苦手な方はご遠慮下さいませ。音量注意。,2020-10-19T17:23:41Z
白雪巴,kgxSr0ncz-8,【Dark Deception】鬼畜ステージ？望むところよ【白雪 巴/にじさんじ】,クリア耐久ではない でもクリアしたい ～ボイス・リアルグッズ発売中！～ ◇◇「一緒にお料理ボイス」販売中◇◇ https://nijisanji.booth.pm/items/2435438 2020年10月22 ...,2020-10-18T17:22:38Z
白雪巴,Z8QjKyG_RSk,【#にじワイテ】人狼RPG第弐夜◆白雪視点◆【白雪 巴/にじさんじ】,マイクラ×人狼RPG こちら弐回目の参加となります。対ヨロ。 ◇主催： White Tails【ワイテルズ】 様 https://www.youtube.com/channel/UCWAlDdbQee8AEyY7n65ulUA ...,2020-10-18T13:43:09Z
白雪巴,cKw5zWy9QMo,【オフコラボ】目隠しながらポーズを当てる健全なアソビ【#Crossick/にじさんじ】,それを人は合法お触りプレイと呼ぶ。 負けた方はマッサージ奴隷になる(今決めた) ～Crossick～ #健屋花那 ...,2020-10-17T16:24:01Z
白雪巴,QAmOzNoB-H8,【15万人記念】しゃべったり歌ったりお願いしたり【白雪 巴/にじさんじ】,15万人突破ありがとう…！ 何しようか考えたのですが 来月にデビュー1周年も控えているので 今回はひっそり穏やかにお祝いしましょう かーーーんぱいっっ ～サムネご ...,2020-10-16T17:42:47Z
白雪巴,pILp7zwMhNQ,【スプラトゥーン2】ガチマにいます。探さないで下さい【白雪 巴/にじさんじ】,150000パワーありがとう！！！！ 最高の気分なのできっと今日は調子いいです ～ボイス・リアルグッズ発売中！～ ◇◇「一緒にお料理ボイス」販売中◇◇ ...,2020-10-14T15:44:39Z
白雪巴,M7jrJ7XKbQ4,【スプラトゥーン2】初めてのリグマ！この４人で参る【白雪 巴/にじさんじ】,このメンツでゆくっ コラボタグは #限界くろしっく でお願いします！ #健屋花那 https://www.youtube.com/channel/UC8C1LLhBhf_E2IBPLSDJXlQ ...,2020-10-13T14:27:01Z
白雪巴,1Dr9h37ezBo,【サムネ講座】初心者が教えるサムネ作りのきほん【白雪 巴/にじさんじ】,「CLIP STUDIO PAINT」を使用して サムネ作成の基本的なやり方を解説します。 ちなみに白雪巴はサムネ作りのセンスがないので これを機会に是非皆さんに作って欲しい ...,2020-10-12T15:49:22Z
白雪巴,VCfTmQHtU6o,【Dark Deception】だ～る～ま～さんがこ～ろ～ん～だ【白雪 巴/にじさんじ】,寄ってたかってレディをいたぶるなんて 紳士の行いとしていかがなものでしょうか？ ～リアルグッズ・イベント・ボイス販売中！～ ◇◇にじさんじランド vol.1 in よみうり ...,2020-10-11T17:11:11Z
