streamer_name,videoId,title,description,publishedAt
相羽ういは,2u7T50cO190,【＃ウィシェン】りゅしぇしゃと遊ぶ何するのだろ【緑仙/相羽ういは/にじさんじ】,ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄はいつも応援してくださる皆様だけでなく、初見さんや切り抜き ...,2020-11-02T23:53:02Z
相羽ういは,2eMBMvqweZU,【切り抜き/にじさんじ】数字が読めないので義務教育受けなおしてきます麻雀【相羽ういは/公式】,三色おじさんは報われない 私が負けるのはリスナーのせいだもん 切り抜き師様 ・ペンネーム：ゆきはつめたい ・Twitter：@yukiha_tsumetai 元の動画 【麻雀】いつかのコラボ ...,2020-10-30T03:31:52Z
相羽ういは,BQrcebKqgF4,【マイクラ】ぷりんハウスを見て回れる列車ほしいなって【相羽ういは/にじさんじ】,ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄はいつも応援してくださる皆様だけでなく、初見さんや切り抜き ...,2020-10-29T13:05:29Z
相羽ういは,7b2SQMgvp6U,【マイクラ】シュルカー独り占めしちゃうもんね！！！！エリトラもゲットしちゃうんだから【相羽ういは/にじさんじ】,家の近く整地したの ひすいぴに手伝ってもらったんだ ありがちょん ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント ...,2020-10-26T03:19:06Z
相羽ういは,VHB46Q02Jq4,【ASMR】私妹になります！！！スタッフさんに膝枕ASMRとかどうですかって言われてのでやってみようと思いまさう。【相羽ういは/にじさんじ】,今日はおしゃべり多めの日です。 毎週金曜日と土曜日はASMRの定期配信がありますよ！！ ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ...,2020-10-24T15:07:53Z
相羽ういは,VaFQqldU_h8,【ASMR】睡眠誘導～！お耳マッサージと咀嚼音。お腹すいた。【相羽ういは/にじさんじ】,お耳こしょこしょする。 お腹すいたからラーメンも食べるしプリンも飲む。 ニベアでオイルマッサージ風なことしたり色んなので遊ぶ。お耳わしゃわしゃね ーーーーーーーーーー ...,2020-10-23T16:21:25Z
相羽ういは,E0X_h_oR27w,【切り抜き/にじさんじ】ベルモンド・バンデラスと相羽ういはの面白会話集【ベルモンド・バンデラス/相羽ういは/公式】,ベルモンド・バンデラスと相羽ういはの面白会話集、といった感じの内容です。 にじさんじ有数の猛者ベルさん相手でも、いつもと変わらず無邪気で自由で時に辛辣なういは ...,2020-10-22T08:00:04Z
相羽ういは,UFaEM_uZKus,【アソビ大全】深夜にまったりするボドゲいいですよね～【相羽ういは/にじさんじ】,ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄はいつも応援してくださる皆様だけでなく、初見さんや切り抜き ...,2020-10-21T18:51:01Z
相羽ういは,fv82yxGg8xE,【切り抜き/にじさんじ】原始人とケーキ食べてきた【勇気ちひろ/相羽ういは/公式】,ケーキ飛ばしたり目の前で火起こし始めたり 勇気ちひろ https://www.youtube.com/channel/UCLO9QDxVL4bnvRRsz6K4bsQ 元の動画はこちら！！,2020-10-21T07:35:36Z
相羽ういは,FctXeJo8clc,【マイクラ】＃けいあい 村人の監禁所は上がパルテノン神殿で下が地獄なんです。【長尾景/相羽ういは/にじさんじ】,長尾景 https://www.youtube.com/channel/UCXW4MqCQn-jCaxlX-nn-BYg ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様への ...,2020-10-20T12:28:54Z
相羽ういは,UpvX5ipyvGE,【#にじワイテ】マイクラ人狼RPG！今日は賢くいきます！生存意識！！【相羽ういは/にじさんじ】,決勝参加者のみなさん（敬称略）】 相羽ういは https://www.youtube.com/channel/UCnRQYHTnRLSF0cLJwMnedCg 夜見れな ...,2020-10-19T15:31:27Z
相羽ういは,aU_JAgwKt9c,【#にじワイテ】マイクラ人狼RPG！今日は素直な人格が宿っています。【天宮/神田/桜/葉加瀬/伏見/不破/夜見/Nakamu/相羽ういは/にじさんじ】,10月18日18時～第壱夜として参加させていただきます！！ メンバー（リンクは後ほど！） 相羽ういは 天宮こころ 神田笑一 桜凛月 葉加瀬冬雪 伏見ガク 不破湊 夜見れな ...,2020-10-18T10:52:10Z
相羽ういは,eYozwooguxg,【ASMR】今日は読み聞かせで皆を寝かしつけようと思うぞぉ！かえるの王様、愛犬と遊ぶ【相羽ういは/にじさんじ】,今日は 「かえるの王様」 というご本を読みまちゅよ～ ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄はいつも ...,2020-10-17T14:42:45Z
相羽ういは,0hG5zPeKv00,【ASMR】今週も一週間お疲れ様あ。聞いているとだんだん眠くなる魔法の呪文いくよ！オノマトペ。【相羽ういは/にじさんじ】,今日は金曜日！定期ASMRだよう。 なにしてほしい？？・ ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄は ...,2020-10-16T16:18:29Z
相羽ういは,-NYOofov2X0,【雑談？】唐突に始まってアーカイブが消えるかもしれなくて唐突に終わるやーつ【相羽ういは/にじさんじ】,相羽ういはちゃんに聞きたいこと、してほしいこと ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄はいつも応援し ...,2020-10-15T18:10:49Z
相羽ういは,D5k7f8mlzOc,【＃にじさんじ直筆あてゲーム】推しの直筆ちゃんとわかりますか・・・？？【フミ/健屋/舞元/野良猫/葉加瀬/相羽ういは/にじさんじ】,ハッシュタグをつけて皆さんもいっぱい予想してみてくださいね！！ にじさんじライバー複数人の方の直筆をご用意いたしました。 あなたの推しの直筆はあるかな？,2020-10-15T03:14:16Z
相羽ういは,7TcEgHmYoSI,【雑談】最近は忙しく色々お仕事してその間にご飯とか行ってきたんだぁ！【相羽ういは/にじさんじ】,寝る前におしゃべりしようよ～ ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー ☆皆様へのお願い ・コメント欄はいつも応援してくださる皆様だけ ...,2020-10-13T16:55:39Z
