streamer_name,videoId,title,description,publishedAt
神田笑一,hjGvfal1Lv4,【原神】げん☆せん！はじまりますっ！│- Genshin Impact - 【神田笑一/にじさんじ 】,しょうりせんせーと はむのじっそうが たのしみです ！ ◢ 刻晴さん YouTube：https://www.youtube.com/channel/UCAVR6Q0YgYa8xwz8rdg9Mrg ...,2020-11-03T08:10:00Z
神田笑一,WYvXaCCV0qI,【シャニマス】MUSIC DAWN同時視聴！ -DAY2-【神田笑一/にじさんじ 】,今日のセトリはいかに 【アイドルマスターシャイニーカラーズ MUSIC DAWN】 公式HP：https://idolmaster-official.jp/live_event/shinycolors_musicdawn/ アーカイブ視聴も ...,2020-11-01T10:41:23Z
神田笑一,M0CvN9SKmOY,【シャニマス】MUSIC DAWN同時視聴！ -DAY1-【神田笑一/にじさんじ 】,楽しみなんじゃー！ 【アイドルマスターシャイニーカラーズ MUSIC DAWN】 公式HP：https://idolmaster-official.jp/live_event/shinycolors_musicdawn/ アーカイブ視聴も ...,2020-10-31T09:49:05Z
神田笑一,06BicuXn9ss,【ハースストーン】グレ2で止めたアランナで戦うってマ!? │Elemental at Tier 2 Aranna !? - Hearthstone - 【神田笑一/にじさんじ】,生放送のアーカイブです。 配信でもバトグラやってるのでぜひ遊びに来てください！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter ...,2020-10-30T05:04:28Z
神田笑一,OZ1DxWMMKS0,【ハースストーン】デジタルTCGはこのように壊すのだ │Hearthstone - battle ground - 【神田笑一/にじさんじ 】,夢みてェ～～～～～～～～～～～ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-30T03:50:27Z
神田笑一,wnCtBeOxTWg,【原神】冒険レベル40、世界ランク5の世界！│- Genshin Impact - 【神田笑一/にじさんじ 】,金の聖遺物が出るのしゅげぇ！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-28T14:14:58Z
神田笑一,XCPG9H29hdI,【APEX】この風、この肌触りこそ戦場よ【神田笑一/にじさんじ 】,らんば・らる、心の一句 □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-26T15:12:55Z
神田笑一,DDJbVP2Po4g,【シャニマス】2.5周年記念ガシャを全部引く！！！！！！【神田笑一/にじさんじ 】,クレカ？そんなもん知らねーーーーーーー！！！！！！！！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ...,2020-10-25T11:03:37Z
神田笑一,ZR39Kip2qNo,【SHT同時視聴】仮面ライダーセイバー＆キラメイジャー同時視聴！【神田笑一/にじさんじ】,アーサー王物語の本がこんな序盤に出てくるとはなぁ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ...,2020-10-25T01:04:58Z
神田笑一,rXdzh9Sthxs,【シャニマス】限定円香を引くまで止まるんじゃねぇぞ 【神田笑一/にじさんじ 】,透と円香を並ばせたいんだよ、俺は！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-22T12:18:20Z
神田笑一,_Kx7cPAztGM,【AmongUs】視聴者参加型でAmongUsやるぜぇえええ！！！│AmongUs【神田笑一/にじさんじ 】,神田のメンバーが優先的に参加できるって本当ですか！？ 【日本語化MOD製作者様！】 ◢ 杏仁ミルさん ...,2020-10-20T15:11:25Z
神田笑一,NQxfl7xoovI,【原神】参加型原神やっぞ！！！│- 原神 - Genshin Impact【神田笑一/にじさんじ 】,サムネイルの適当さ凄い □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-20T09:51:15Z
神田笑一,4nHPAseLtuM,【#にじワイテ人狼】マイクラ世界で人狼ゲーム！│- Minecraft -【神田笑一/にじさんじ 】,こんな所に居られるか！俺は帰らせて貰う！！！ 【運営】 ◢ White Tails【ワイテルズ】 https://www.youtube.com/channel/UCWAlDdbQee8AEyY7n65ulUA ...,2020-10-18T11:23:43Z
神田笑一,EMCNQaDG0bo,【ハースストーン】カードゲームでオートチェス！  │Hearthstone - battle ground - 【神田笑一/にじさんじ 】,えれぇめんたるでエレメンタル集める □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-18T07:03:36Z
神田笑一,s_Yi5OM00gI,【SHT同時視聴】仮面ライダーセイバー＆キラメイジャー同時視聴！【神田笑一/にじさんじ】,時雨回に外れなし！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ...,2020-10-18T01:04:58Z
神田笑一,YLKo2JOnQ_E,【原神】デイリーの後に参加型！  │- 原神 - Genshin Impact【神田笑一/にじさんじ 】,サムネを使いまわしてなぜ悪いかッ！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-16T10:42:22Z
神田笑一,8nIENiOzRSE,【APEX】石油王と油田探しに行く【神田笑一/にじさんじ 】,ポイントモリモリもりのくまさん 【メンバー】 @イブラヒム【にじさんじ】 □---------------------------------------------------------□ ◢ 神田笑一 Twitter ...,2020-10-15T08:32:38Z
神田笑一,eU0ZXJCTig0,【原神】これより聖遺物厳選に入るッッ！！！  │- 原神 - Genshin Impact【神田笑一/にじさんじ 】,最強の刻晴を目指して！ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ◢ マシュマロ ...,2020-10-14T08:00:14Z
神田笑一,tpU2sjzLAgM,【シャニマス】限定『入り』ガシャを引く！！！！！！ 【神田笑一/にじさんじ 】,入りなんですよ、入り そんなの関係ねぇ！！！！！！！引け！,2020-10-12T12:10:45Z
神田笑一,VZvhGQpFBWo,【SHT同時視聴】仮面ライダーセイバー＆キラメイジャー同時視聴！【神田笑一/にじさんじ】,まさかの裏切りか？ □---------------------------------------------------------□ ◢ 神田笑一 Twitter https://twitter.com/Kanda_Shoichi ...,2020-10-11T01:02:35Z
