streamer_name,videoId,title,description,publishedAt
童田明治,QCN7KyNVvBE,【グラブル/グランデフェスガチャ】ハロウィン童田が実装！？引いたら即終了！【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ ※正しくはハロウィンウーフとレニーです！ 十二神将が大好きなので、レジェフェスばかり回していたこともあり、ほとんどキャラがない ...,2020-10-17T14:16:22Z
童田明治,W9Z6NZGErLM,【ASMR/Binaural】安眠できる高音質な癒し♡　囁き/吐息/シャンプー/オイルマッサージetc...】Ear Blowing/ear massage/shampoo】,チャンネル登録＆通知オンよろしくね♪ 今日もおつかれさまっ Rain Drops 2st MINI ALBUM『オントロジー』11月25日（水）発売！,2020-10-15T16:20:48Z
童田明治,qhhAelPnoCE,花に亡霊 / cover 童田明治,『夏の匂いがする』 アニメーション映画「泣きたい私は猫をかぶる」の主題歌 ヨルシカさんの『花に亡霊』を歌わせていただきました！ はじめてきいたときから大好きな大好きな ...,2020-10-10T09:00:13Z
童田明治,X42NJB5dZCo,【聖闘士星矢ライジングコスモ】キミは小宇宙を感じたことがあるか！【童田明治】,提供：『聖闘士星矢 ライジングコスモ』 ▽ダウンロードはこちら！今ゲームはじまると、豪華プレゼントがもらえる初心者10連で必ずSSR排出（※配信日時点） ...,2020-10-07T11:16:51Z
童田明治,VW_qVrghXDs,【歌枠】子守唄Zzz【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ 声ガラガラだいじょうぶか？ うたおうねえ オケがあってうたえるものリスト↓ ...,2020-10-03T18:15:02Z
童田明治,-sHNF2AtN-Y,【バイノーラル】妹に愛されてすやすやできるASMR【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ シチュエーション第二弾！お待たせしてごめんね！！ お兄ちゃんをいっぱい甘やかすよ♡ スパチャは最後にまとめて読むよ！,2020-09-27T16:13:57Z
童田明治,PkmeQhDgIP4,【FF14/夜ふかし雑談】妖怪巡りしながらだべる会【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ 夜ふかしの定義を今一度考える必要があると思わないかね 鯖：Gaia DCのRidill ジョブ：学者 FF歴：新生サービス開始してほぼ同 ...,2020-09-20T20:58:12Z
童田明治,RNXMat-za7A,【リングフィットアドベンチャー】朝活！脱・ぷにべだ！！#2【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ 蒙古タンメンがやめられない件・・・うっ Rain Drops 2st MINI ALBUM『オントロジー』11月25日（水）発売！,2020-09-16T23:17:37Z
童田明治,n-1DOiRc8U4,【にじ3D/歌枠】これは歌枠ですか？はい、これは歌枠です。【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ やっぱり歌なんだよなあって オケがあってうたえるものリスト↓ ...,2020-09-16T12:41:15Z
童田明治,mMz0FIlMwgk,【リングフィットアドベンチャー】朝活！脱・ぷよべだ！【にじさんじ/童田明治】,チャンネル登録＆通知オンよろしくね♪ 一応裏で頑張ろうとしてたんだよね・・・ Rain Drops 2st MINI ALBUM『オントロジー』11月25日（水）発売！,2020-09-13T00:37:34Z
