streamer_name,videoId,title,description,publishedAt
緑仙,9CM4LfInI7o,加賀美ハヤトとの距離感が分からない緑仙,緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □元配信 https://www.youtube.com/watch?v=3O2gRVQGlsg 編集：緑仙 ...,2020-01-28T19:59:52Z
緑仙,3RkLu_PDb6Q,緑仙のメジャーデビューを祝ってくれた健屋が可愛い,いやまじで可愛かった、お世辞抜きで。 □緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □元配信 https://youtu.be/-RN3AX_kY3g ...,2020-01-28T19:45:50Z
緑仙,KVBTKI_2IoE,リスナーの深刻な悩みを秒で解決する17歳,グウェルのラジオよりお前らのほうが面白くなかったからお前らが引退しろ！」って昔話みたいで結構面白いなって思いました。 みんな、グウェル見ような。 □緑仙channel ...,2020-01-01T04:56:46Z
緑仙,mSlTDX2A3HA,#24 久しぶりだな、サブチャンネル最後の雑談,今年です。言葉が足りない17歳。 □緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw ED動画：Patiパチ ...,2019-12-30T17:51:32Z
緑仙,yLgmte9UOfU,荒らしが沸いたときの緑仙の対応,緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □元配信 https://www.youtube.com/watch?v=V_PVtK-0cDw&t=2592s 編集：ハイジ ...,2019-12-27T13:10:44Z
緑仙,iCzZcq4jVjY,緑仙の3Dパンダが可愛いまとめ,緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □元配信 https://youtu.be/fYf249KSSBY 編集：キユ https://twitter.com/_Qnell_ ED ...,2019-12-27T13:04:42Z
緑仙,fFv3WXb_sUM,絶対に殺すマン緑仙,緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □元配信 https://youtu.be/SxdPRKbymTM 編集：キユ https://twitter.com/_Qnell_ ...,2019-12-15T08:00:05Z
緑仙,ZNTm3HaIQyg,にじさんじメンバーでタワテラに乗った話,緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □元配信 https://youtu.be/q99usF_E_OU 編集：ハイジ ...,2019-12-14T08:00:15Z
緑仙,v0cUdRgD_Bs,叶くんにえっちなことをしてほしい緑仙,元配信 https://youtu.be/CKkYn0x5Le4 □緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw □叶channel ...,2019-12-12T08:00:11Z
緑仙,YMt6n4AIap4,ベンチャー企業ゾンビに襲われる緑仙,緑仙channel https://www.youtube.com/channel/UCt5-0i4AVHXaWJrL8Wql3mw 編集：緑仙 https://twitter.com/midori_2434 ED動画：Patiパチ ...,2019-12-11T08:00:06Z
