streamer_name,videoId,title,description,publishedAt
花畑チャイカ,GZCyh4Zo5cM,花畑チャイカとペーパーマリオオリガミキングゲイナー毎回ここに折紙あるあるを書いていたんだけどそんなねえよ折紙食っちゃうやつとかいるよねいねえよ,灰かぶり朗読 https://shop.nijisanji.jp/s/niji/item/detail/dig-00125?ima=0323 色んなの再販中 https://shop.nijisanji.jp/s/niji/item/detail/dig-00085?ima=4123 ...,2020-10-30T16:29:35Z
花畑チャイカ,8sJB5UuwwZE,花畑チャイカと現代ポケモン研究家 前回のあらすじヤロー！ぶっ倒してやったッピ！,灰かぶり朗読 https://shop.nijisanji.jp/s/niji/item/detail/dig-00125?ima=0323 色んなの再販中 https://shop.nijisanji.jp/s/niji/item/detail/dig-00085?ima=4123 ...,2020-10-28T17:08:24Z
花畑チャイカ,gSKvKuhhScU,花畑チャイカとスーパーマリオギャラクシー光を超えて宇宙へ宇宙の事そらって最初に言った人すごいよね,灰かぶり朗読 https://shop.nijisanji.jp/s/niji/item/detail/dig-00125?ima=0323 色んなの再販中 https://shop.nijisanji.jp/s/niji/item/detail/dig-00085?ima=4123 ...,2020-10-25T16:25:15Z
花畑チャイカ,oXBmIT5r4N8,花畑チャイカと真夜中のポケモン研究家配信4回目ジムバッジ0 DLCが早くやりたい,灰かぶり朗読 https://nijisanji.booth.pm/items/2399722 色んなの再販中 https://shop.nijisanji.jp/s/niji/item/detail/dig-00085?ima=4123 サムネイル まる.,2020-10-24T18:43:20Z
花畑チャイカ,hPc6HYymFw0,花畑チャイカとスーパーマリオサンシャイン雨降りサーカス最終決戦！え？ここで終わるんですか？いいえ私にかかればどんなゲームもエンドコンテンツ,灰かぶり朗読 https://nijisanji.booth.pm/items/2399722 色んなの再販中 https://shop.nijisanji.jp/s/niji/item/detail/dig-00085?ima=4123 サムネイル まる.,2020-10-24T16:13:07Z
花畑チャイカ,gKIB3JX1oBs,花畑チャイカとダウンロードコンテンツと共に帰ってきたポケモン研究家ただいまジムバッジ0個DLCをやるのは果たしていつになるのだろうかなぜ皆がポケモンやりだすタイミングで帰ってきてしまったのか,灰かぶり朗読 https://nijisanji.booth.pm/items/2399722 色んなの再販中 https://shop.nijisanji.jp/s/niji/item/detail/dig-00085?ima=4123 サムネイル やかん.,2020-10-23T16:52:39Z
花畑チャイカ,4xMiIn0ETGg,花畑チャイカとF-ZERO GXスマブラですっごい殴ってくる人のゲームですそういえば僕たちはこのおじさんの事何も知らない　初見プレイ,一緒にお料理ボイス販売中 https://nijisanji.booth.pm/items/2435464 灰かぶり朗読 https://nijisanji.booth.pm/items/2399722 色んなの再販中 ...,2020-10-18T16:47:28Z
花畑チャイカ,cHmbF9-oYGA,花畑チャイカとスーパーマリオサンシャイン今週のジャンプは今日発売だよ,一緒にお料理ボイス販売中 https://nijisanji.booth.pm/items/2435464 灰かぶり朗読 https://nijisanji.booth.pm/items/2399722 色んなの再販中 ...,2020-10-16T18:01:58Z
花畑チャイカ,zlpKlm_9T3w,不眠を乗り越えた花畑チャイカとデュエルマスターズプレイスこんな時間に失礼ィィィ～眠れたけど生活リズムリズムスタイルさおかしなったよ,一緒にお料理ボイス販売中 https://nijisanji.booth.pm/items/2435464 灰かぶり朗読 https://nijisanji.booth.pm/items/2399722 色んなの再販中 ...,2020-10-15T20:19:30Z
花畑チャイカ,C_3eWSwrucg,舞元力一VS内股がに股！3Dツイスター！ドキッ！おじさんだらけの運動会！タマタマもあるよ。ついでにいちからの新技術もあるよ　花畑チャイカ　社築　ジョー力一　舞元啓介,築 https://www.youtube.com/channel/UCKMYISTJAQ8xTplUPHiABlA ジョー https://www.youtube.com/channel/UChUJbHiTVeGrSkTdBzVfNCQ 啓介 ...,2020-10-05T12:35:07Z
花畑チャイカ,P-X8tb09jx0,花畑チャイカとペーパーマリオオリガミキングゥすっごい久しぶり千羽鶴！千羽鶴！ずっと折ってる！千羽鶴！,朗読灰かぶり姫販売中 https://nijisanji.booth.pm/items/2399722 お月見ボイス販売中 https://nijisanji.booth.pm/items/2377492 看病ボイス再販中 ...,2020-09-30T13:47:35Z
花畑チャイカ,8_ON17SEqIM,花畑チャイカと社築の1‐2‐Switch 3D,社 https://www.youtube.com/channel/UCKMYISTJAQ8xTplUPHiABlA サムネイル はなまみらん.,2020-09-28T11:50:56Z
花畑チャイカ,NyZ1khMr0Yc,花畑チャイカとスーパーマリオサンシャイン！ゲームキューブよ私は帰ってきた！スイッチで遊べるようになってサンシャインが難しいと言うことが皆に分かってもらえたようで嬉しいねもう二度と馬鹿にするなよ？,朗読灰かぶり姫販売中 https://nijisanji.booth.pm/items/2399722 お月見ボイス販売中 https://nijisanji.booth.pm/items/2377492 看病ボイス再販中 ...,2020-09-26T17:14:04Z
花畑チャイカ,bqXcy1lTbtI,花畑チャイカとスーパーマリオ3Dコレクションのスーパーマリオサンシャインがゲームキューブのスーパーマリオサンシャインとどれだけ違うか確認したり64やったりギャラクシー触っちゃったりするかもしれない回,朗読灰かぶり姫販売中 https://nijisanji.booth.pm/items/2399722 お月見ボイス販売中 https://nijisanji.booth.pm/items/2377492 いろんなの再販中 ...,2020-09-25T16:17:25Z
