streamer_name,videoId,title,description,publishedAt
葉加瀬冬雪,-mh_cnGfy7E,【Minecraft】色々できたらしい！にじ鯖観光回！！みんな案内して～【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-11-03T07:33:24Z
葉加瀬冬雪,T51NRjciX4U,【スパチャ読み】にじ３Ｄで読ませていただきます。ありがとう！【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-11-03T07:30:40Z
葉加瀬冬雪,UDRSlGn9LKM,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了３２【にじさんじ/葉加瀬冬雪】,おれは無力だ・・・見切りを取りに行く ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ...,2020-11-03T07:28:33Z
葉加瀬冬雪,WcR1chDnviE,【SEKIRO: SHADOWS DIE TWICE】いつかは終わると思ってたけどそんなに早く終わるとは思わんやん【にじさんじ/葉加瀬冬雪】,え？ ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-11-02T19:09:28Z
葉加瀬冬雪,MbYx9wKPyW8,【SEKIRO: SHADOWS DIE TWICE】番外編：火牛倒すまで終われない【にじさんじ/葉加瀬冬雪】,ハア ハア 呪術を電子書籍で読んでたんだけどさ、紙媒体ほしくなって今日買ったんだ これ終わったら読むんだ・・・ これ終わったら・・・ ❄️twitter ...,2020-11-02T15:13:18Z
葉加瀬冬雪,aPsrRsGfh5g,【ポケモン剣盾】最強のカイリューと愛玩のカイリュー【にじさんじ/葉加瀬冬雪】,無駄にに３Ｄです ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-31T18:45:15Z
葉加瀬冬雪,Ff_YCHJrHtg,【SEKIRO: SHADOWS DIE TWICE】5回死んだら即終了【にじさんじ/葉加瀬冬雪】,30回目だ ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-31T15:31:42Z
葉加瀬冬雪,iVHQy2aMcGg,【3D MV 歌ってみた】Perfect Day/葉加瀬冬雪(Cover),お待たせしました・・・！ 3D配信（ https://youtu.be/NYcHLF1mUag )で最後に歌ったものです。 曲：supercell様 オケ：かずぺそ様 https://twitter.com/kazupeso88?s=20.,2020-10-30T09:00:11Z
葉加瀬冬雪,WIB_6ad3UTo,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了29【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-29T15:10:03Z
葉加瀬冬雪,i0ltHAGpmjI,【にじ３Ｄお披露目！】・・・お披露目？【にじさんじ/葉加瀬冬雪】,お披露目です マリオカートします ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ...,2020-10-29T11:22:29Z
葉加瀬冬雪,ChObxFQeuOw,【歌枠】深夜歌枠【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-28T17:23:53Z
葉加瀬冬雪,nVhBmoXwlyg,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了28【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-28T15:09:32Z
葉加瀬冬雪,FPl-4bzrXLM,【ポケモン剣盾】カイリュー・・・【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-27T20:49:10Z
葉加瀬冬雪,cMQwBhmAh8Y,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了27【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-27T15:09:18Z
葉加瀬冬雪,EzQAZInpq4k,【ポケモン剣盾】冠の雪原やっとできる～！！！！！！！！！【にじさんじ/葉加瀬冬雪】,カイリューに乗って旅をしたい ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ...,2020-10-26T19:32:59Z
葉加瀬冬雪,Y8vS08sP7cQ,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了26【にじさんじ/葉加瀬冬雪】,光が見えるーーーーーーーーーーーーー ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-26T15:07:44Z
葉加瀬冬雪,Qpuu8NW-AVc,【SEKIRO: SHADOWS DIE TWICE】5回死んだら即終了5【にじさんじ/葉加瀬冬雪】,今日はobsも忍殺できるはず（昨日できなかった） 焼肉！！！！！！！！！！！！！ ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-25T16:34:10Z
葉加瀬冬雪,rPVxFKr59Wc,【3D振り返り雑談】映像の供養とか当日の話とか【にじさんじ/葉加瀬冬雪】,遅れる可能性があるよ♡ （sekiro次第です） 待機用に撮っていたものとか出す ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-24T17:16:31Z
葉加瀬冬雪,NYcHLF1mUag,【#はかちぇ3D】実験大好き系女子高生、3Dになる【にじさんじ/葉加瀬冬雪】,【読んでね】 最後に歌ったperfect dayが本家転載判定されました   異議申し立ての申請をすると多分公開がオッケーになるんだけど オッケーが出るまで大体1ヶ月くらい ...,2020-10-24T11:01:35Z
葉加瀬冬雪,Z-UJbyLqioM,【歌ってみた】群青/葉加瀬冬雪(Cover),かけがえのない僕だ 素敵な曲を歌わせていただきました。 是非最後まで、少し大きめの音量で聴いてください。 曲：YOASOBI様 https://twitter.com/yoasobi_staff?s=21 絵： ...,2020-10-23T13:15:10Z
葉加瀬冬雪,Tgkk09xujq8,【３Ｄマリオコレクション】ぎゃらくしーする【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-22T10:47:20Z
葉加瀬冬雪,CsF9Mldi-ag,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了24【にじさんじ/葉加瀬冬雪】,実家にいない間のプレミア公開 めっちゃ時間なかったのでプレミア公開はいったん終了です すみません！ 22～23日はお休み 24日より生配信再開 ❄️twitter ...,2020-10-20T15:00:10Z
葉加瀬冬雪,HpTYr_OJoZc,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了２３【にじさんじ/葉加瀬冬雪】,実家を開ける間のプレミア公開 24日から生配信再開します ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-19T15:00:11Z
葉加瀬冬雪,qlHwugZRvNU,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了２２【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-18T15:12:12Z
葉加瀬冬雪,pO9hRqiUf5I,【#にじワイテ】じんろうだああああああ【にじさんじ/葉加瀬冬雪】,相羽ういは https://www.youtube.com/channel/UCnRQYHTnRLSF0cLJwMnedCg 不破 湊 https://www.youtube.com/channel/UC6wvdADTJ88OfIbJYIpAaDA 伏見 ...,2020-10-18T10:57:06Z
葉加瀬冬雪,SBEmAI6GUlY,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了21【にじさんじ/葉加瀬冬雪】,たおしたいいいいいいいいいいいいいい ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-17T15:08:57Z
葉加瀬冬雪,DNbUA03YW9w,【SEKIRO: SHADOWS DIE TWICE】5回死んだら即終了４【にじさんじ/葉加瀬冬雪】,マイネームイズさん倒します 5の倍数なので五回死んだら回 ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-16T16:02:06Z
葉加瀬冬雪,w-I8DYqVm2A,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了19【にじさんじ/葉加瀬冬雪】,うおぉおおおおぉぉおおおおん・・・・ ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ...,2020-10-15T15:09:19Z
葉加瀬冬雪,ozK3udBRd_k,【開封配信】ＳＭＣ組ファイルが欲しくて自腹切った【にじさんじ/葉加瀬冬雪】,レアでろ！！！！！！！！！！！！！！！！！！！ ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー ...,2020-10-15T11:54:56Z
葉加瀬冬雪,jZ6aj6uZ-JA,【Minecraft】空島に宿泊施設ができるらしい【にじさんじ/葉加瀬冬雪】,twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-14T18:45:33Z
葉加瀬冬雪,amF863rnbSk,【SEKIRO: SHADOWS DIE TWICE】死んだら即終了18【にじさんじ/葉加瀬冬雪】,おじちゃんたおす ❄️twitter https://twitter.com/Hakase_Fuyuki ❄️メンバー https://www.youtube.com/channel/UCGYAYLDE7TZiiC8U6teciDQ/join ❄️発売中 ...,2020-10-14T15:07:30Z
