streamer_name,videoId,title,description,publishedAt
葉山舞鈴,mqzmG1xriEU,【歌枠】深夜のアニソン老人会→ダラダラ雑談【葉山舞鈴/にじさんじ】,おしらせ♡ https://youtu.be/iVhirUi8Et4 【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売中（11/30 23:59まで） ↓11月は、葉山せんぱいと後輩超町民の巻（青春だ ...,2020-11-02T20:13:24Z
葉山舞鈴,0Whtuzlbm3U,【スーパーマリオ 3Dコレクション】動画投稿までにたくさんシャインとるぞ！（初見）【スーパーマリオサンシャイン】【葉山舞鈴/にじさんじ】,18時～ここだよ♡ https://youtu.be/iVhirUi8Et4 前回までのマリオサンシャイン https://youtu.be/ahqRBRiXoM0 スーパーマリオ64（まとめ） ...,2020-11-02T20:04:17Z
葉山舞鈴,iVhirUi8Et4,【歌ってみた】♡♥♡【葉山舞鈴/にじさんじ】,ひさしぶりの歌ってみた投稿だよ(ᐡ｡• · •｡ᐡ)♡ ▽歌ってみた第1弾「私が恋を知る日」 https://youtu.be/wueJz1Oxbs8 ▽歌ってみた第2弾「チェチェ・チェック・ワンツー！,2020-11-02T07:20:44Z
葉山舞鈴,H0I3UOHI9O0,【パワプロ2020栄冠ナイン】深夜の葉山監督！（初見）【eBASEBALLパワフルプロ野球2020】【葉山舞鈴/にじさんじ】,高校受験の友達はプロ野球でした。 【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売中（10/31 23:59まで） ↓10月は、コスプレ葉山大暴走の巻（にゃん♡）↓ ...,2020-10-30T23:56:21Z
葉山舞鈴,Q2RDQfLc_Ek,【ポケモンカードGB】葉山とはじめてのポケカ！（初見）【Pokémon TCG】【葉山舞鈴/にじさんじ】,【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売中（10/31 23:59まで） ↓10月は、コスプレ葉山大暴走の巻（にゃん♡）↓ https://nijisanji.booth.pm/items/2404575 ② ...,2020-10-29T17:16:18Z
葉山舞鈴,ahqRBRiXoM0,#02【スーパーマリオ 3Dコレクション】深夜の神ゲーコレクション！（初見）【スーパーマリオサンシャイン】【葉山舞鈴/にじさんじ】,前回までのマリオサンシャイン https://youtu.be/DC7sVhYodKk スーパーマリオ64（まとめ） ...,2020-10-23T23:31:32Z
葉山舞鈴,DC7sVhYodKk,#01【スーパーマリオ 3Dコレクション】深夜の神ゲーコレクション！（初見）【スーパーマリオサンシャイン】【葉山舞鈴/にじさんじ】,スーパーマリオ64（まとめ） https://www.youtube.com/playlist?list=PLfeoyQHLFPySJf72hSTExPlzJvnsBpQw9 【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売 ...,2020-10-21T22:09:42Z
葉山舞鈴,xirwqrBOfAY,【Apex Legends】I want to be a ぷ2（ぽんこつ呪術ソロランク）【APEX】【PC/PAD】【葉山舞鈴/にじさんじ】,葉山はPC版/パッド（コントローラー）です！ 【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売中（10/31 23:59まで） ↓10月は、コスプレ葉山大暴走の巻（にゃん♡）↓ ...,2020-10-21T12:54:21Z
葉山舞鈴,J7lC01w70NU,#最終回【スーパーマリオ 3Dコレクション】深夜の神ゲーコレクション！（初見）【スーパーマリオ64】【葉山舞鈴/にじさんじ】,前回までのあらすじ（まとめ） https://www.youtube.com/playlist?list=PLfeoyQHLFPySJf72hSTExPlzJvnsBpQw9 【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売 ...,2020-10-19T22:35:02Z
葉山舞鈴,Hl2vAUAMdW0,【Apex Legends】野薔薇ちゃんかわいい（ぽんこつ呪術ソロランク）【APEX】【PC/PAD】【葉山舞鈴/にじさんじ】,葉山はPC版/パッド（コントローラー）です！ 【期間限定☆お知らせ】 ①マンスリー葉山ボイス販売中（10/31 23:59まで） ↓10月は、コスプレ葉山大暴走の巻（にゃん♡）↓ ...,2020-10-16T12:05:57Z
