streamer_name,videoId,title,description,publishedAt
赤羽葉子,S-Cbq-1JVDU,【雑談】しかばね集会【#1】,墓場からこんばね～ お茶を飲みながらしかばねたちとお話。 ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三年生。 実況動画では、FPS ...,2020-10-18T11:39:38Z
赤羽葉子,nHgkxyFn61o,【Killing Floor 2】悪い子は燃やしちゃおうね～,去年2.0になる前に作っておいたサムネイルを再利用しました。 ボス倒すまで行きたい。 ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三 ...,2020-10-16T11:12:43Z
赤羽葉子,e2JSWNvEDB4,【PUBG】新しい火山マップが熱い(物理)【Paramo】,テストサーバーの方に新マップのParamoがきていたので気軽に観光に行く回 ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三年生。,2020-10-15T10:56:29Z
赤羽葉子,V3ou-lkM_vY,【Apex】完全初心者による #にじさんじミリしらapex,操作もおぼつかない初心者3人が、全てを知り尽くしたかのようにふるまいながらチャンポンを目指す配信です。 (つんだ時以外コメント欄を頼らないようにするので、基本的に ...,2020-10-14T17:16:19Z
赤羽葉子,O4Eyg65QruM,【Party Animals(Demo)】AIをサンドバッグにした後、人間にサンドバッグにされる。,話題のふにゃふにゃかわいい動物たちが奇怪な戦いを繰り広げるゲーム、体験版をちょっとやってみる。 ストレス発散したい人はここからDL▽ ...,2020-10-13T11:13:28Z
赤羽葉子,qfLgZSofzL0,【PUBG】エランゲル、再来【※後半からwith渋谷ハジメ先輩】,新マップ来る前にとりあえず変わったところ見ておこう週間 20時から渋谷ハジメ先輩が合流予定です！ 渋谷ハジメ▽ ...,2020-10-12T12:31:24Z
赤羽葉子,UO90LeigWx4,【PUBG】サノック強化期間,新マップ来る前にサノック遊び倒しておこう ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三年生。 実況動画では、FPS系＆ホラーゲーム ...,2020-10-11T10:24:15Z
赤羽葉子,MQ0xgukmyE8,【Night of the Dead】7日目の夜を越えるまで【#6】,新作のゾンビゲーム、Night of the Deadをマルチプレイしてゆく第六夜 から七夜まで駆け抜ける！エンディングが実装されるまで、ここで一区切り。 ◇この配信は視聴者参加 ...,2020-10-10T06:40:37Z
赤羽葉子,juM-ZjPYJ2M,【Night of the Dead】学校行くかあ......【#5】,新作のゾンビゲーム、Night of the Deadをマルチプレイしてゆく第五夜 学校もみんなで登校すれば怖くない ◇この配信は視聴者参加型です！◇ ・1度参加したら、その次の ...,2020-10-09T11:18:52Z
赤羽葉子,3m44mxRt3GE,【Night of the Dead】科学研究所へ！【#4】,新作のゾンビゲーム、Night of the Deadをマルチプレイしてゆく第四夜 製薬会社ってずっと言ってたけど研究所だそうです(恥) ◇この配信は視聴者参加型です！◇ ・1度 ...,2020-10-08T11:44:49Z
赤羽葉子,IiuQllfiyCg,【Night of the Dead】地下鉄探索【#3】,新作のゾンビゲーム、Night of the Deadをマルチプレイしてゆく第三夜 そして舞台は地下へ...！ ◇この配信は視聴者参加型です！◇ ・1度参加したら、その次の回の参加 ...,2020-10-07T11:17:31Z
赤羽葉子,Ly6txIWmTKA,【Night of the Dead】廃病院への潜入【#2】,8月末に出たばかりの新作のゾンビゲーム、Night of the Deadをマルチプレイしてゆく第二夜 街で見つけてしまった病院へしかばね一行は向かうが...？ ◇この配信は視聴者 ...,2020-10-06T11:49:06Z
赤羽葉子,LQzUbUf5bUA,【PUBG】※この配信はサノック観光に行くだけです※【ほのぼの回】,カスタムマッチ作ってみんなで新しいサノックを見学しに行くだけのいわば水着回のようなもの ※特殊ルールを適用するので、マッチに参加してくれる人は配信内の説明を ...,2020-10-05T11:20:17Z
赤羽葉子,AxONJrZM4QQ,【Night of the Dead】新作のゾンビゲームで罠作り生活【#1】,8月末に出たばかりの新作のゾンビゲーム、Night of the Deadをマルチプレイしてゆく第一夜 まだ早期アクセスだよ！みんなでプレイして盛り上げよう～～ ...,2020-10-04T05:30:52Z
赤羽葉子,yOiYv9Ae4d8,【新ビジュアルおひろめ】ただいま配信【もあります】,新ビジュアルおひろめ＋ただいまを言う配信！ ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三年生。 実況動画では、FPS系＆ホラー ...,2020-10-03T10:43:51Z
赤羽葉子,yThC2-BwkmE,ワンルームシュガーライフ covered by 赤羽葉子,じゅうまんにん記念！！！！！！！arigatou!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ということにしてもいいですか？(歌上げるの遅くなりましたごめん) 大好きなワンルームシュガーライフを歌い ...,2020-07-07T10:00:13Z
赤羽葉子,aU99PEwpfQs,【Project Winter】雪山からの脱出【#EXゲーマーズ】,こんにちは。初心者です。よろしくお願いします。 #EXゲーマーズ のメンバー▽ 叶 https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA 本間ひまわり ...,2020-06-17T13:35:59Z
赤羽葉子,bkHnebDuFb0,【PUBG LITE】MIRAMAR縛り,縛られるの好きです ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三年生。 実況動画では、FPS系＆ホラーゲームを中心にプレイして ...,2020-06-13T05:58:10Z
赤羽葉子,otWMmw2d1Uo,【ドラブラ】ソ・シハンの誕生日ケーキに火を灯せ,提供：『コード：ドラゴンブラッド』 自由度満載の近未来MMORPGコード：ドラゴンブラッドで遊ぶよ！ ▽ダウンロードはこちら！ https://bit.ly/2ZA4xzQ ▽キャンペーン情報は ...,2020-05-31T11:40:44Z
赤羽葉子,b_rev5sdEJo,【PUBG LITE】リベンジ・朝の戦場,配信させてください ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の高校に通う三年生。 実況動画では、FPS系＆ホラーゲームを中心にプレイしている ...,2020-05-23T03:10:23Z
赤羽葉子,Ytdp6T88mQY,赤羽葉子の絶叫まとめ,2周年ありがとう！聞くと元気が出そうな、2年間の選りすぐりの絶叫をまとめました。ご賞味ください。 ＜赤羽葉子 -Youko Akabane-＞ ▷ホラー・オカルトが大好きな渋谷の ...,2020-05-02T09:00:13Z
赤羽葉子,ygyMGNysWlQ,【PUBG Fantasy Battle Royale】魔法で戦うPUBG,4月1日(水) 16:00 ~ 4月8日(水) 3:59 まで開催されてるイベント「Fantasy Battle Royale」を遊ぶ！ なんだこれ https://pubg.com/ja/2020/03/31/fantasy-battle-royale/ ...,2020-04-07T12:49:59Z
赤羽葉子,uCnncp0-cWU,【春休みSP】渋谷のこわい話【#赤羽葉子のホラーナイト】,今夜は、みんなからもらったこわい話のおたよりを読んでいく～ 地域密着ってことで渋谷限定にしてみたけど、怖い話あるかな？ #赤羽葉子のホラーナイト で感想や、 ...,2020-03-31T10:48:06Z
赤羽葉子,zNTXz6fz7LE,MAKAI-NET SHOPPING【#マカイネット通販】,すごい を 紹介 します！ みなさん ぜひ お買い求め ください ね 司会者：ギルザレンⅢ世 https://www.youtube.com/channel/UCUzJ90o1EjqUbk2pBAy0_aw アシスタント( ...,2020-03-31T09:37:51Z
赤羽葉子,NHzlM244H9E,【Goat of Duty】武装したヤギが空から降ってくるんだ,そろそろ硬派なFPSもやっておこうかな、って。 月末まで100％オフセール(！)やってるらしい。これはうメェー ...,2020-03-24T10:54:56Z
赤羽葉子,CyJfpVZZbIE,【The Watchers】カルト教団から逃げながら謎解き！【with郡道美玲】,あたしたち、天才だから大丈夫。 先生と初めてのコラボ！協力しないと進めないホラーステルスゲームを攻略していく！ ハッシュタグ #騒音姉妹 でつぶやいてね！ ＜郡道 ...,2020-03-17T11:10:22Z
赤羽葉子,OamGrv52_40,【POSTAL 4: No Regerts】燃やしちゃう系ヒロインにはならないよ,Steamの低評価レビューが熱がありすぎて購入しました。 伝説のクs神ゲー、初配信でプレイしたPostal2の続編！まだ早期アクセスだって。 3はなかったらしい。 ハッシュタグ ...,2020-03-10T11:36:49Z
赤羽葉子,vMSNmuYtRmk,【ぷちばね】知らないお姉さんに軟禁された話【#1】,赤羽葉子のなんでもない話をぷちっとまとめたシリーズ、ぷちばね。始動！ 動画編集にかかった時間は全くぷちじゃありませんでした。（次回の課題） ＜赤羽葉子 -Youko ...,2020-03-07T14:30:11Z
赤羽葉子,Zs6Yt3d9p7A,【SushiParty】配信強化週間総集編,寿司しながら雑談しよう.,2020-01-19T09:37:13Z
赤羽葉子,JZiESEVOY3I,【PUBG】新マップやってみるか【Test鯖】,サイレンが鳴り響く荒地、Karakinにいくぞ！！,2020-01-18T10:05:19Z
赤羽葉子,vPSd-e2MQy8,【PUBG LITE】戦場の女子会【with桜凜月】,焦らない、騒がない、銃がなくても無暗にパンチ勝負を挑まない。 ンボンボしてきた！！！！！！ 桜凜 ...,2020-01-16T11:06:39Z
赤羽葉子,13OAL8qsSAg,【PUBG LITE】そろれん！,PUBGから逃げてはいけない.,2020-01-15T10:24:39Z
赤羽葉子,KBpHxVZtvQc,【The Forest】初めて遊ぶ人をもてなすぞ【with雪城眞尋】,雪城眞尋ちゃんをしかばね村(リスナーと共同建築した鯖)に招待して、森を一緒に散歩するほのぼの回 雪城眞 ...,2020-01-14T11:12:08Z
赤羽葉子,42xasZgAJyM,【The Forest】みんなで建築するぞ,人を呼んでも恥ずかしくない家を作る.,2020-01-13T10:48:27Z
赤羽葉子,Yl01OOqU9Dc,【The Forest】まったりひとり鍋パ,2019年もありがとう、おつかれさま、ひとりで鍋くう。(材料は未定) ここがしかばねたちの忘年会会場です。,2019-12-27T09:08:58Z
赤羽葉子,HNK2TyGJ1q8,【PUBG LITE】botにびびるけど勝ちたい,既視感のある死に方をしない(目標) 新しくリリースされたLITE版の方で勝てないか模索してみます。,2019-12-18T11:00:46Z
赤羽葉子,EvLU9EEBA_o,【PUBG】死のループから抜け出せ,"既視感のある死に方をするな 後半の火炎瓶メインの""炎上戦""カスタムマッチ ルール作成者▷おじきちゃん/独眼P ...",2019-12-10T10:56:11Z
