streamer_name,videoId,title,description,publishedAt
轟京子,DEsF9-ep8-w,【お菓子作り配信】とりっくおあとりーとって言ってごらん【にじさんじ/轟京子】,クッキーを！作るんだけど！！冷やすのに時間かかるから型抜くとこから作ってくよ！！！ ハッピーハロウィン！,2020-10-31T13:52:43Z
轟京子,BNClvT2sEQ0,【修羅場用BGM】永遠に作業が終わらない女【にじさんじ/轟京子】,2.0になったばっかりだってんのに、作業配信ですか。 月末は忙しいですね。 -------------------------------------------------------------------------------------- ▽とどろききょうこの ...,2020-10-30T13:05:08Z
轟京子,9nwSGVMFzkk,【2.0お披露目】2.0で何ができる？【にじさんじ/轟京子】,やったーーー！！ついに2.0！！！ 嬉しすぎてうれしいから超あそぼ～～～！！！！ タグは #ろき生 で！ よろしければチャンネル登録よろしくお願いいたします！,2020-10-29T12:24:22Z
轟京子,BcNHvCYUIb8,【#ツキイチにじさんじ罰ゲーム】服飾専門生がゲイダイ過去問を解く？！【にじさんじ/轟京子】,先日のツキイチ！にじさんじ内にて罰ゲームを言い渡されちゃった轟京子！ 罰ゲーム内容はなんと「芸大の過去問を解く」という何とも楽しそうなもの！ 禊としてやっていくぜ！,2020-10-28T13:25:51Z
轟京子,69iTSsK45DU,【#ポン酢ASMR】世界一酸っぱいポン酢が超やばいらしい。【にじさんじ/轟京子】,皆刺激あるバイノーラルも聞きたいんじゃないの？ 皆でASMRするよ   ▽被害……協力者 ▷ぺぇおつが…でっけぇなぁ… 安土桃 ...,2020-10-26T13:31:48Z
轟京子,1BZ1c5lJf6s,【#02/passpartout】天才画家、轟京子【にじさんじ/轟京子】,轟京子の朝は早い。 絵を描き、画家の生活費を稼ぐ『passpartout/パスパルトゥー』というゲームをぷれいします！ 配信タグは #ろき生 で！ チャンネル登録よろしくお願いし ...,2020-10-22T11:27:44Z
轟京子,DIGG5AZZzM0,【HOUSE FLIPPER】条件さえ満たせば何してもいいDIY【にじさんじ/轟京子】,HOUSEFLIPPERというゲームをやるよ！！ なんかね！条件さえ満たせばあとはすきにやっていいって！ 配信タグは #ろき生 で！ よろしければチャンネル登録よろしくお願い ...,2020-10-19T12:15:57Z
轟京子,Py5-NM1VFWs,カラオケしたいんだ【にじさんじ/轟京子】,心が歌いたがってんだ 配信タグは #ろき生 で！ -------------------------------------------------------------------------------------- ▽とどろききょうこのいろいろ▽ ちょりーっす！私は轟 ...,2020-10-18T13:11:10Z
轟京子,2JmDxbN_rfM,【HOUSE FLIPPER】私がゴミ部屋をオシャレな家にしてやるよ【にじさんじ/轟京子】,オシャレな人間が部屋をDIYしたらオシャレになるんじゃないかって思って HOUSEFLIPPERというゲームをやるよ！,2020-10-16T12:13:48Z
轟京子,Lay0KeQeiGI,【#にじLABO】お久しぶりの！コスメ談義！【にじさんじ/シスタークレア・轟京子】,久しぶりに帰ってきました！女子による女子のためのにじさんじ女子コラボ！男の子も大歓迎！ 今回はきたるクリスマスコフレや最近の気になるコスメのお話を中心にお話し ...,2020-10-13T13:13:48Z
轟京子,X7jaytKQNLI,【#01/passpartout】服飾専門生、画家になる。【にじさんじ/轟京子】,とある画家の代わりに私が絵を描くことになっちゃった？！？！ ちょっと！！私これからいったいどうなっちゃうの～～～っ？！？！？！？！ 絵を描き、画家の生活費を ...,2020-10-12T15:03:36Z
轟京子,ZHFYKDRkBhA,【雑談】おい！！ろきぺ！！話そうぜ！！！！【にじさんじ/轟京子】,私は作業してるけどな。 キーボード音がガタガタうるさいと思うんだけど、気にせずコメント打ってね！！！ タグは #ろき生 で！,2020-10-11T11:39:10Z
轟京子,sl0Fu1DEZOE,【MINECRAFT】何も考えず何かしたい【にじさんじ/轟京子】,久々のマイクラ、昨日のコラボの釈明、脳みそが考えることをきょひしている。。。 タグは #ろき生 で！,2020-10-09T16:20:34Z
轟京子,XHmcLri7yLk,お絵描き練習～！【にじさんじ/轟京子】,かわいい絵をかきたい -------------------------------------------------------------------------------------- ▽とどろききょうこのいろいろ▽ ちょりーっす！私は轟京子２０歳！華の服飾専門 ...,2020-10-05T11:44:18Z
轟京子,SAWG6dyyF_E,【チャー研同時視聴】遅刻しちゃったんＤＡ★【にじさんじ/轟京子】,ゲリラ https://live2.nicovideo.jp/watch/lv328122808?ref=nicotop_livepush -------------------------------------------------------------------------------------- ▽とどろききょうこの ...,2020-10-02T16:08:23Z
轟京子,F2wQ8SOzk0Y,私のイメージ香水を考える【にじさんじ/轟京子】,今日って香水の日で、デザインの日でもあるらしいんですよ 配信タグは #ろき生 で！ よろしければチャンネル登録もよろしくお願いいたします！,2020-10-01T14:04:50Z
轟京子,nxoDRj3Ym70,【作業用】ひたすらスライムをつくる【にじさんじ/轟京子】,スライムってね、最高なんですよ。 配信用タグは #ろき生 で！ よろしければチャンネル登録よろしくお願いいたします！,2020-09-30T12:27:53Z
