streamer_name,videoId,title,description,publishedAt
郡道美玲,_g5EcccQAIQ,【耐久APEX】左腕骨折してもFPSやめらんねぇんだけどｗｗｗ【にじさんじ郡道】,チャンネル登録お願いします♡ 左腕骨折してるのでf1が思うように押せません。G3耐久。 使うキャラ→ミラージュ 指示はマスター以上の方だけで大丈夫です。」 サムネ→ ...,2020-11-02T11:14:31Z
郡道美玲,RefI9p831pA,【#雀魂】雀士2に降格したけど、ところで最近どう？パスタ巻いてる？【Mahjong/にじさんじ郡道美玲】,一旦落ち着こう。 ※牌譜見直しは対局後にするので、対局中はメモして見守っておいてください。 初見とかこの人のこと知らないとか全く関係ないから気軽に！コメント！,2020-11-01T20:26:00Z
郡道美玲,1N_40K3jxNs,【Splatoon2】#スプラ2434キル耐久フェス【にじさんじ郡道】,2434キルまで何時間かかるかな！ アシスト込みで2434キル目指します。チャンネル登録お願いします！ サムネ→郡道美玲傑作集さん 笹木咲 ...,2020-10-31T15:41:47Z
郡道美玲,444OiACV9ZI,【Among us】宇宙人狼！？嘘ついた事ないので出来ません＞＜【#ギャラクシー八つ墓村/にじさんじ郡道美玲視点】,チャンネル登録お願いします♡ 第二弾でございましてよ！！！！！！！！！！ 日本語化MOD製作者 杏仁ミルさん @AnninMirudayo ...,2020-10-30T14:58:33Z
郡道美玲,yOo2gZ0FTvM,【ツイステガチャ】ヴィル様とアズールと今度こそ天井したくない爆死ガチャ【にじさんじ郡道】,ハロウィンイベントさぁ、カリム君超かわいくない？ ジャミルも生き生きしてて可愛いんだ…… チャンネル登録お願いします 初見とかこの人のこと知らないとか全く関係ないから ...,2020-10-30T11:10:50Z
郡道美玲,ZV-l-_N5UDI,【耐久APEX】骨折しててもゴールドに上がりたい執念の女。【にじさんじ郡道】,チャンネル登録お願いします♡ ゴールドになるかシルバー2に降格するまでやる。 左腕骨折してるのでf1が思うように押せません。 使うキャラ→ミラージュ.,2020-10-29T19:07:05Z
郡道美玲,jbDubcDg7lM,郡道VSワニVSダークライ～​Crocodile  Cooking!～,ワニ肉調理していこうと思います。 チャンネル登録お願いいたします。 作ってるレシピはこれ https://cookpad.com/recipe/1650163.,2020-10-28T09:16:46Z
郡道美玲,Ikeq1_JKWB4,【学園祭の王子様】VS日吉若編！実家がボブ術の道場をやっているというのはマなのですか？【戌亥とこ/にじさんじ郡道美玲】,チャンネル登録よろしくお願いします。 乾じゃなくて戌亥のとこたゃ https://www.youtube.com/channel/UCXRlIK3Cw_TJIQC5kSJJQMg?sub_confirmation=1 初回の辛辣 ...,2020-10-27T14:43:07Z
郡道美玲,hz9TTR8Foh4,【雑談】雑談【雑談】,やりたいことやったもんがち 青春なら チャンネル登録よろしくお願いします。 サムネ→真白しろいろさん.,2020-10-26T17:32:55Z
郡道美玲,8NUv9EMmD7k,【APEX】心ボコボコハートフルボッコランクマ【にじさんじ郡道】,さぶすくらいぶ。 17時までやる サムネ→噛みタバコさん.,2020-10-24T08:02:55Z
郡道美玲,a_cudAwvtHc,【APEX】ムンブロ桜組でちゃんぽん耐久ってマなのですか～～～！？【にじさんじ郡道】,さぶすくらいぶ。 不破湊 https://www.youtube.com/channel/UC6wvdADTJ88OfIbJYIpAaDA?sub_confirmation=1 椎名唯華 ...,2020-10-23T12:38:56Z
郡道美玲,MVSMl-pzha0,【APEX】新イベント！I am a deathbox.【にじさんじ郡道】,さぶすくらいぶ。 サムネ→フィジカル菩薩さん.,2020-10-22T19:33:13Z
