streamer_name,videoId,title,description,publishedAt
鈴原るる,6vgqnQdEETQ,「そばかす」short ver. -IMAGINATION vol.3 収録-,"yell for you ~明日へ""超""前進！~ VTuberコンピレーションアルバム「IMAGINATION vol.3」より キーワード(8文字目)「U」 デジタル配信：2020.10.24 限定CD ...",2020-10-22T11:00:12Z
鈴原るる,OxyhBNJC2Zg,【Fall Guys】シーズン２あそぶよおおいい！！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 こんるる～！ イラストタグ #るるのアトリエ 配信タグ #すずはライブ 絵文字 #ゲーム にじさんじ新人ライバー鈴原るる。 女子大に ...,2020-10-09T17:40:56Z
鈴原るる,20NbVcU4Slk,【聖闘士星矢ライジングコスモ】鈴原、小宇宙を体感するｯ！！【鈴原るる/にじさんじ】,提供：『聖闘士星矢 ライジングコスモ』 ▽ダウンロードはこちら！ 今ゲームはじまると、豪華プレゼントがもらえる初心者10連で必ずSSR排出（※配信日時点） ...,2020-10-08T11:19:27Z
鈴原るる,hIw6epIpgx4,【マリオカート8　DX】初心者でも一位とれるのか。。？！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 こんるる～！ イラストタグ #るるのアトリエ 配信タグ #すずはライブ 絵文字 #ゲーム にじさんじ新人ライバー鈴原るる。 女子大に ...,2020-10-05T17:55:50Z
鈴原るる,meSkmYMdq4E,ゆるっとPS5の事とか近況雑談するる！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 こんるる～！ イラストタグ #るるのアトリエ 配信タグ #すずはライブ 絵文字 #ゲーム にじさんじ新人ライバー鈴原るる。 女子大に ...,2020-10-04T15:46:47Z
鈴原るる,4dg9cEGj4L8,【PS5事前体験会】先行プレイ！五感を刺激する圧倒的グラフィックを体感！,鈴原るる lulu suzuhara【にじさんじ所属】 なんと！！！ ｢YouTube Gaming Week｣開催に伴い、11月12日(木)に国内発売されるPlayStation5を先行体験させて頂ける事に ...,2020-10-04T09:00:12Z
鈴原るる,gBDcHErzqPY,【スーパーマリオ35】私はどこまで生き残れるか…！！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 こんるる～！ イラストタグ #るるのアトリエ 配信タグ #すずはライブ 絵文字 #ゲーム にじさんじ新人ライバー鈴原るる。 女子大に ...,2020-10-02T17:25:55Z
鈴原るる,t9IIniFvZzY,【Fall Guys】VTuber Fall Guys Partyｯ！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 今回の素敵なチームメンバー ↓本間ひまわりさん↓ https://www.youtube.com/channel/UC0g1AE0DOjBYnLhkgoRWN1w ...,2020-09-30T13:20:16Z
鈴原るる,sWu5xmSAgRA,【Fall Guys】大会にむけててーむ練習だｯ！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 今回の素敵なチームメンバー ↓本間ひまわりさん↓ https://www.youtube.com/channel/UC0g1AE0DOjBYnLhkgoRWN1w ...,2020-09-28T21:57:42Z
鈴原るる,WTKZYw3Ha20,【Fall Guys】練習するっするうおｯ！！！【鈴原るる/にじさんじ】,鈴原るる lulu suzuhara【にじさんじ所属】 こんるる～！ イラストタグ #るるのアトリエ 配信タグ #すずはライブ 絵文字 #ゲーム にじさんじ新人ライバー鈴原るる。 女子大に ...,2020-09-27T17:37:04Z
