streamer_name,videoId,title,description,publishedAt
鈴木勝,Ew5xNyQSm3U,【シャニマス】新米P、初のTrue End攻略を目指す（ガシャも引く）【鈴木勝/にじさんじ】,SSSR霧子...... アイドルマスター シャイニーカラーズというゲームを始めました シャニマスプレイ ...,2020-10-30T09:28:59Z
鈴木勝,Et4wJ_Mazhs,【音フェチASMR】最高の音を探す夜のおとあそび スクイーズ/コースター/スポンジ編 2020.10.30【にじさんじ/鈴木勝】,人間として未熟というか恥ずかしい話が多いので（特に後半）、 今回の枠の切り抜きは控えて頂けると助かります。 BLOOMさんのスクイーズ3種（牛乳ひたしパン、 ...,2020-10-29T20:00:13Z
鈴木勝,Yg04d4dLPIs,【ASMR/黒3Dio】本気で眠りたい人のための爽やか泡シャンプー 2020.10.29【にじさんじ/鈴木勝】,【追記】離席・無音シーンをアーカイブにてカットしました。 □毎週火曜24時～定期配信中□ 雑談控えめの眠り向け ...,2020-10-28T20:23:06Z
鈴木勝,7qgfYMY0HqU,【音フェチASMR番外編】手製のつぶ餡で小倉トーストが食べてみたい 2020.10.25【にじさんじ/鈴木勝】,小豆ASMRをする→使った小豆を炊いてお汁粉にする→小倉トーストにする 【音フェチASMR】プレイ ...,2020-10-25T00:18:55Z
鈴木勝,B8D-ddo8z4g,【音フェチASMR番外編】お汁粉を小豆から作ってみようず 2020.10.24【にじさんじ/鈴木勝】,先日の小豆ASMRで使ったあの豆を煮て餅突っ込んで食べたい 【音フェチASMR】プレイ ...,2020-10-24T06:12:14Z
鈴木勝,Emwfk09pzBU,【音フェチASMR】最高の音を探す夜のおとあそび 小豆で何が出来る？編 2020.10.23【にじさんじ/鈴木勝】,この配信で使用する小豆は、今週の土曜にお汁粉を作る配信で消費します！！！ 【音フェチASMR】プレイ ...,2020-10-22T17:08:51Z
鈴木勝,USch-tiUs6g,【ASMR/黒3Dio】本気で眠りたい人のためのじっくり耳かき2020.10.21【にじさんじ/鈴木勝】,【追記】冒頭と3時間付近にあったノイズ調整・離席の無音シーンをアーカイブにてカットしました。 □毎週火曜24時～定期配信中□ 雑談控えめ・眠り重視の新シリーズ始め ...,2020-10-20T19:53:09Z
鈴木勝,vVYa6YPiCHk,【雑談】最近の話～マシュマロつまみつつ～【鈴木勝/にじさんじ】,にじ種1期カレー集会▷https://youtu.be/hYxKj-nDteg 女装パンデミックのCVの案の件▽ 第一話 https://t.co/NIMbejho0P?amp=1 第二話 ...,2020-10-19T18:09:26Z
鈴木勝,VBnPqAov--c,【音フェチASMR】最高の音を探す夜のおとあそび 散髪～髪を切る音～編 2020.10.16【にじさんじ/鈴木勝】,どんな髪型にする？ 【音フェチASMR】プレイリスト→https://www.youtube.com/playlist?list=PL_e1mgn5OjFN437f_XoHYpKX1Sqd_0JYG □毎週火曜24時～定期配信 ...,2020-10-15T16:55:55Z
鈴木勝,4Gm4T0JzvUc,【ASMR/黒3Dio】本気で眠りたい人のための爽やか泡シャンプー 2020.10.14【にじさんじ/鈴木勝】,【追記】離席の無音シーンをアーカイブにてカットしました。 □毎週火曜24時～定期配信中□ 雑談控えめの眠り向け ...,2020-10-13T19:28:50Z
鈴木勝,ZCjnfGoAtg4,俺とピアノとときどき歌～練習＆雑談～ 2020.10.13【鈴木勝/にじさんじ】,課題曲→秒針を噛む / ずっと真夜中でいいのに。 ピアノ練習プレイリスト→https://www.youtube.com/playlist?list=PL_e1mgn5OjFN1YMnETpKERKwv-R3dwyR9 ...,2020-10-12T16:15:04Z
鈴木勝,J3acDucdn_Y,【シャニマス】新米P、W.I.N.G初優勝を目指す【鈴木勝/にじさんじ】,冒頭、皆に聞きながらガシャ引いて戦力増強したいです教えてください アイドルマスター シャイニーカラーズというゲームを始めました シャニマスプレイ ...,2020-10-11T11:22:42Z
鈴木勝,F7hwGm138gE,【音フェチASMR】最高の音を探す夜のおとあそび 心音録音編 2020.10.10【にじさんじ/鈴木勝】,心音の声なしASMR動画の要望を頂いたので、その素材を録ります！ 【音フェチASMR】プレイ ...,2020-10-09T17:34:21Z
鈴木勝,klnqXfsWOEo,【ASMR/黒3Dio】本気で眠りたい人のためのじっくりアロマオイルマッサージ 2020.10.7【にじさんじ/鈴木勝】,【追記】離席の無音シーンをアーカイブにてカットしました。 □毎週火曜24時～定期配信中□ 雑談控えめ・眠り重視の新シリーズ始めました。,2020-10-06T19:50:43Z
鈴木勝,J5P9veh5c_E,【みんなのリズム天国】リズム感の修行に出ます【鈴木勝/にじさんじ】,リズムに乗って身体を揺らしたら、ボイトレの先生に四股踏んでるの？って言われた ------------------------------------------------ ༒活動༒ にじさんじ所属バーチャルライバー、漆黒 ...,2020-10-05T17:58:46Z
鈴木勝,kazjf-mH03M,【シャニマス】P生活の始まりだ！！！【鈴木勝/にじさんじ】,アイドルマスター シャイニーカラーズというゲームを始めました シャニマスプレイ ...,2020-10-05T11:45:25Z
鈴木勝,FsDoIsipWBo,【シャニマス】完　全　初　見　ガ　シ　ャ　祭【鈴木勝/にじさんじ】,アイドルマスター シャイニーカラーズというゲームを始めます シャニマスプレイ ...,2020-10-04T13:14:01Z
鈴木勝,IL0U-xbw6nU,【音フェチASMR】最高の音を探す夜のおとあそび オノマトペ編 2020.10.3【にじさんじ/鈴木勝】,リクエスト頂いた単語をつらつらと！ 【音フェチASMR】プレイリスト→https://www.youtube.com/playlist?list=PL_e1mgn5OjFN437f_XoHYpKX1Sqd_0JYG □毎週 ...,2020-10-02T17:00:24Z
鈴木勝,5lxsF37rJlg,【ASMR/黒3Dio】本気で眠りたい人のための爽やか泡シャンプー 2020.9.30【にじさんじ/鈴木勝】,【追記】離席の無音シーンをアーカイブにてカットしました。 □毎週火曜24時～定期配信中□ 雑談控えめの眠り向け ...,2020-09-29T19:28:43Z
鈴木勝,K6EEFa_w1ck,"【Minecraft】地　獄　暮　ら　し【相羽ういは,渋谷ハジメ,鈴木勝/にじさんじ】",相羽ういは〖Aiba Uiha〗にじさんじ所属 @渋谷ハジメのはじめ支部 発端→https://youtu.be/_S92SxULqJk Minecraft ...,2020-09-29T13:59:20Z
鈴木勝,NXY1gxFluQo,【音フェチASMR】最高の音を探す夜のおとあそび 文房具いろいろ編 2020.9.26【にじさんじ/鈴木勝】,【追記】大きかったり耳障りだった音をアーカイブにていくつかカット編集しています。 ガラスペンや万年筆を始めとした筆記用具、ハサミ、カッターとかとか 【音フェチASMR】 ...,2020-09-25T18:23:55Z
