streamer_name,videoId,title,description,publishedAt
鈴谷アキ,twC27zXor8s,2ndチャンネルへのお知らせ,「鈴谷アキの陽だまりの庭」 https://www.youtube.com/channel/UCpnvhOIJ6BN-vPkYU9ls-Eg?sub_confirmation=1.,2020-01-07T14:46:12Z
鈴谷アキ,BZ4OaBsooW4,【LIVE】雑談をしようしよう29🐈【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日は雑談をしようしよう。 今週もおしまいですね、どんな一週間でしたか？ ボクは日曜日が楽しみで ...,2019-01-18T14:14:48Z
鈴谷アキ,o6TLXAMaWuA,【LIVE】Hidden PawsクリスマスVerをしながら雑談13【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日はSteamで購入した 「Hidden Paws」というゲームをします！ 隠れているにゃんこと毛糸玉を見つける ...,2019-01-17T14:20:26Z
鈴谷アキ,cB7Gk0SiUT8,【LIVE】雑談をしようしよう27🐈足るを知る【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日は雑談をしようしよう。 何かめたくた寒くないですか…凍るかと思った…。 インフルエンザも流行ってる ...,2019-01-10T14:13:24Z
鈴谷アキ,nI8w1S1t_Vo,【LIVE】Hidden PawsクリスマスVerをしながら雑談12【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日はSteamで購入した 「Hidden Paws」というゲームをします！ 隠れているにゃんこと毛糸玉を見つける ...,2019-01-09T15:10:49Z
鈴谷アキ,RSV9egaHvFs,【LIVE】Hidden PawsクリスマスVerをしながら雑談11【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日はSteamで購入した 「Hidden Paws」というゲームをします！ 隠れているにゃんこと毛糸玉を見つける ...,2018-12-24T14:15:22Z
鈴谷アキ,YK6Dir7Z7KM,【重要報告有】Suzuno ne kocafe #5「武勇伝」【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 本日はSuzuno ne kocafe オープン第5回目でございます。 お越しいただきありがとうございます！,2018-12-22T14:15:06Z
鈴谷アキ,QpdtKBcsCIE,【LIVE】雑談をしようしよう26🐈マイクテストをするよ【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日は雑談をしようしよう。 新しいマイクを設定してみました！ テスト配信になりますが お付き合い ...,2018-12-21T14:19:11Z
鈴谷アキ,RX8NLH0ReF8,【LIVE】雑談をしようしよう25🐈次はマイクテスト【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日は雑談をしようしよう。 お休み後は雑談って恒例になってきてますね。 お久し振りな気がします！,2018-12-19T15:11:30Z
鈴谷アキ,e8a_uu9BaZU,"【LIVE】50,000人企画　バイノーラルマイクで台詞読み【鈴谷アキ】",こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日は50000人企画として 皆さんから募集させていただいた台詞を バイノーラルマイクで読ませて頂き ...,2018-12-15T15:38:09Z
鈴谷アキ,rRPNJJ4Oqbk,【LIVE】みんなで！マリオカートDELUXE8しながら雑談！【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日マリオカートDELUXE8をします！ 最初の30分はちーちゃんのところでお邪魔して 後の30分はこちら ...,2018-12-14T15:01:14Z
鈴谷アキ,FEvIY_oB6vc,【Minecraft】すしクラ#03　鈴谷建設参上！？【鈴谷アキ視点】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日はすしクラ！ ハジメお兄ちゃんとマインクラフトをします！ ↓ハジメお兄ちゃん視点↓ ...,2018-12-13T14:12:05Z
鈴谷アキ,UqACuKIFI-A,【LIVE】雑談をしようしよう24🐈バイノーラルテスト！【鈴谷アキ】,こんばんは！ にじさんじ所属バーチャルライバーの鈴谷アキです！ 今日は雑談をしようしよう。 何だか久し振りな気分です！！ みなさんとたくさんお話したいです！,2018-12-12T15:15:56Z
