streamer_name,videoId,title,description,publishedAt
鈴鹿詩子,eSVUtTfEuU8,【雑談】泥酔ハロウィン,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-30T16:07:24Z
鈴鹿詩子,hrC_jyIzetA,【とらぶるでいず #5】HAPPYEND目指す！,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-26T13:39:12Z
鈴鹿詩子,F-t5hrpeZG4,久々の雑談♥,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-25T11:01:02Z
鈴鹿詩子,XAu6XTBkZUg,【とらぶるでいず #4】KENZEN★なゲーム,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-25T07:08:16Z
鈴鹿詩子,t7Pg1nZSzNU,【とらぶるでいず #3】NTRは許さない,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-22T14:46:56Z
鈴鹿詩子,2su1RVnFq5Y,クイズにじオネアに挑戦する！,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-21T19:00:00Z
鈴鹿詩子,hREzjkBP4bM,【※配信事故】にじオネアやろうとして雑談&amp;畳で終わる,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-21T15:32:31Z
鈴鹿詩子,N8kYybt_1gI,ポ●ノ禁直後、猿のようになってしまった詩子【鈴鹿詩子/にじさんじ】,元動画 https://youtu.be/-RpOEDBdbWA ※切り抜き動画を参考に逆輸入させて頂きました。 効果音提供：ノタの森様 http://notanomori.net/ 他 ♡自身作詞作曲の ...,2020-10-19T11:00:10Z
鈴鹿詩子,9yqMyCahrSA,【2020上半期】９分でわかる鈴鹿詩子【まとめ】,動画・サムネ制作：雑草クソムカデ投稿者様 https://twitter.com/ebr_zkmt 切り抜き編集：鈴鹿詩子 作中のモブおじイラスト：鈴鹿詩子 塗り：じーの様 ...,2020-10-17T12:00:13Z
鈴鹿詩子,UueQpXZhuKM,「気分上々↑↑」short ver. -IMAGINATION vol.3 収録-,yell for you ~明日へ”超”前進！~ VTuberコンピレーションアルバム「IMAGINATION vol.3」より キーワード(2文字目)「E」 デジタル配信：2020.10.24 限定CD ...,2020-10-16T11:00:11Z
鈴鹿詩子,Q2DWc8Cs348,【とらぶるでいず #2】健全&amp;可愛いゲーム♥,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-15T17:43:22Z
鈴鹿詩子,_gAU0nukZAc,KING-Kanaria/covered by 鈴鹿詩子【歌ってみた】,鈴鹿ウタ（鈴鹿詩子の男装ver.）で歌わせて頂きました！※一部アレンジがありますのでご了承ください。 ご本家さま https://youtu.be/cm-l2h6GB8Q Illust：もたご ...,2020-10-14T11:00:14Z
鈴鹿詩子,QXoE2SO9mOA,【とらぶるでいず】,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-13T17:05:02Z
鈴鹿詩子,4A4RzfwftC8,『大人の電動おもちゃをハメて１位を取るまで終われないマリカ』に夢中になり配信時間に遅れた鈴鹿詩子,正直に申しますと切り抜きが投稿されていたので逆輸入しました（参考にした上で自分で切り抜き・編集）。 元動画：https://youtu.be/vXIjuMja5GI 効果音提供：ノタの森様 ...,2020-10-12T11:30:13Z
鈴鹿詩子,kzziL8s2pwc,【FALLGUYS】掘る♂GUYS SEASON2,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-10T14:16:53Z
鈴鹿詩子,PU76CGp00Zk,[ENG SUB]Utako Suzuka&#39;s FALL GUYS ♂ 5 minutes summary [Utako Suzuka / Nijisanji / VTuber],"Original video https://youtu.be/fJAJc6wYVSk https://youtu.be/FuCeh7RclVA ♡ Original song ""Will you marry me? -Patra Remix-"" (written by Utako Suzuka) is ...",2020-10-09T22:00:09Z
鈴鹿詩子,OWjnwCFIt2Q,【原神 #3】可愛い子愛でる,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-07T16:22:37Z
鈴鹿詩子,Hm8OxxWBz7U,【原神】イケメンだらけのRPG♥,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-05T16:36:27Z
鈴鹿詩子,TKPXSj5C6zs,１から始める原神,オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe こちらでも聴けます ...,2020-10-03T11:52:55Z
鈴鹿詩子,fgwiC5ZnuqY,専門家に聞いた！２分で分かる昼夜逆転の治し方【鈴鹿詩子/にじさんじ】,元配信：https://youtu.be/OTX_2-Mv8x0 ♡オリジナル曲、『Will you marry me? -Patra Remix-』（鈴鹿詩子作詞作曲）各ストアにて配信中！ https://linkco.re/vAx9mqTe ...,2020-10-02T12:00:10Z
