streamer_name,videoId,title,description,publishedAt
雪城眞尋,tpdZACOyg_g,【Apex Legends】APEX✊部！#6￤朝活カジュ🔫える長尾【雪城眞尋/にじさんじ】,にじさんじ  所属バーチャルライバーの雪城眞尋です！ チャンネル登録＋高評価よろしくお願いします！ チーム（毎週月曜10時～活動中！） @エルフのえる / にじさんじ ...,2020-11-02T04:27:29Z
雪城眞尋,iXirbYtXqfs,【ゾンビランドサガOP】徒花ネクロマンシー/フランシュシュ(cover)【#にじサガ】,TVアニメ「ゾンビランドサガ」OP 【徒花ネクロマンシー】6人で歌わせて頂きました！ ▽本家様 https://www.youtube.com/watch?v=yDXVqicnWeo 唄：フランシュシュ 作詞： ...,2020-10-31T11:00:13Z
雪城眞尋,ZJlXEww_iuc,【NOSCHEDULE】HAISIN￤ざつだんとうた【雪城眞尋/にじさんじ】,サムネもタイトルも思いつかない、そんな日もあるよね(*'▽') 雑談（田舎あるある、苦手なこと、血液型） うた（チューリングラブ、KING、言って。） ▽カラオケ使用音源（お借り ...,2020-10-28T12:07:43Z
雪城眞尋,H9Pdx_wldXM,【Apex Legends】APEX✊部！#5￤なんか全員青いやつら！【雪城眞尋/にじさんじ】,にじさんじ  所属バーチャルライバーの雪城眞尋です！ チャンネル登録＋高評価よろしくお願いします！ チーム（毎週月曜10時～活動中！） える部長  今週おやすみ！,2020-10-26T04:21:06Z
雪城眞尋,U1VuNs2eUCI,【Minecraft】にじ鯖の私の家が無事で無事じゃなかったので神に救済を求めてみた（え？）￤たれさし返仕に景尾長【雪城眞尋/にじさんじ】,風の噂で「摩訶不思議」なことが起きてるらしい ハロウィンには早くない？ ＝＝＝＝＝＝＝＝＝＝ 主犯 @長尾 景 / Nagao Kei【にじさんじ】 救済を求めた神 @フミ/にじ ...,2020-10-24T15:45:17Z
雪城眞尋,kjqdQ8KAlIQ,【Apex Legends】新イベ始まったらしいじゃ～～ん！【雪城眞尋/にじさんじ】,にじさんじ  所属バーチャルライバーの雪城眞尋です！ チャンネル登録＋高評価よろしくお願いします！ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ よく使う銃 ・R-301 ...,2020-10-23T09:26:48Z
雪城眞尋,d-UhYIY5t-E,【シャニマス】限定樋口引いてカラカラTrueEndも見る、ヨシ！完璧な計画だ！【雪城眞尋/にじさんじ】,ノクチル 樋口円香【カラカラカラ】W.I.N.G編 優勝してTrueEnd見るまで終わらない実況配信！ ぶっちゃけると創作で色々させられてるイメージしかにゃい チャンネル登録ぽっ ...,2020-10-21T09:49:20Z
雪城眞尋,Vtlg1w38Idc,【#にじワイテ】人狼RPG🐺第参夜￤雪城眞尋 視点【Minecraft】,にじさんじ  ×WhiteTails【ワイテルズ】企画第2弾！ 「 #にじワイテ 」で実況求！ 第参夜（17:00～）第四夜（19:00～） ▽メイン会場（Brooockさん視点） ...,2020-10-19T10:02:24Z
雪城眞尋,95zfKW8PPss,【Apex Legends】APEX✊部！#4￤カジュしか勝たん俺ら【雪城眞尋/にじさんじ】,にじさんじ  所属バーチャルライバーの雪城眞尋です！ チャンネル登録＋高評価よろしくお願いします！ チーム（毎週月曜10時～活動中！） @エルフのえる / にじさんじ ...,2020-10-19T04:43:16Z
雪城眞尋,FvJcGqtQ61g,【Apex Legends】朝練！カジュランクいくべさ【雪城眞尋/にじさんじ】,にじさんじ  所属バーチャルライバーの雪城眞尋です！ チャンネル登録＋高評価よろしくお願いします！ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ よく使う銃 ・R-301 ...,2020-10-18T02:14:50Z
雪城眞尋,6AuPD4il4hI,【ユメグラ】オフイベが好きなヲタクは絶対ユメグラ行け…ッ！【雪城眞尋×聖グレイル】,提供：ユメノグラフィア オフイベが好きなヲタク必見！ ドルヲタがVRで美女に【神対応】されてきた…！？ （´∀｀*）✨ いちからが提供する キャラクター×コミュニケーション ...,2020-10-17T03:00:12Z
雪城眞尋,IuN0EL4Lln8,【Minecraft】ダイヤ回収￤寝落ちに優秀サクサク音【雪城眞尋/にじさんじ】,深夜のまったりマイクラ☕ 今日は採掘したり建築したり（下準備）の予定です よければチャンネル登録高評価ぽっちー   してくれたら嬉しいです(*'▽') 【Twitter】 ...,2020-10-16T16:33:05Z
雪城眞尋,TaSQSPAHllE,【Apex Legends】カジュ&amp;ランク！ウガガガガッ！🔫【雪城眞尋/にじさんじ】,にじさんじ  所属バーチャルライバーの雪城眞尋です！ チャンネル登録＋高評価よろしくお願いします！ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ よく使う銃 ・R-301 ...,2020-10-14T14:12:30Z
