streamer_name,videoId,title,description,publishedAt
雪汝,vz_EwjZeOew,【茶番】雪汝、にじさんじ卒業するってよ,ケリンさん→https://www.youtube.com/channel/UCeAfiVvEuyICYJW-f3GnQjQ サムネ絵（苔コッコまま）→https://twitter.com/cokecoco 雪汝座ってる素材（まじょこ ...,2019-10-30T13:00:16Z
雪汝,aRmKaVf1OXM,おまけ２,サムネ絵（苔コッコまま）→https://twitter.com/cokecoco にじさんじの雪汝（セツナ）です❄ 使用素材サイト DOVA-SYNDROME、魔王魂、MusMus、甘茶の音楽工房、H/MIX ...,2019-10-27T06:19:54Z
雪汝,zkaFTSYecCo,おまけ,フレンドのカカイ→https://www.youtube.com/channel/UCRx0WfmnQsmh05D8z7CfVNA サムネ絵（ごましおポン酢さん）→https://twitter.com/gomashio_ponz にじさんじ ...,2019-10-23T08:47:05Z
雪汝,k7cDaRt3HAM,【DBD】日本一無意識な害悪プレイヤーのDead by Daylightネタ実況プレイｗｗ【にじさんじ】,鬼ごっこホラーゲーム【Dead by Daylight】をネタ実況しました、にじさんじの雪汝（セツナ）です❄ 面白いと思ったらチャンネル登録よろしくお願いします！,2019-08-15T12:30:16Z
雪汝,eo8XUaLDyQI,頭悪い奴が暗殺者になった結果ｗｗｗ【にじさんじ】,お借りした音源：生まれてはじめて→https://www.youtube.com/watch?v=rQfBlZTAZNs SAY KOU SHOW→https://www.youtube.com/watch?v=AO5sxTij4BU にじさんじ ...,2019-07-13T09:28:42Z
雪汝,kKmKZyecLSg,【Apex Legends】興奮しながらネタ実況プレイ///【SEASON２】,万楽えねさん→https://www.youtube.com/channel/UCMaXopOC-gQ_NFTkq7esf4w 瀬戸美夜子さん→https://www.youtube.com/watch?v=Go6WNWWLBfc サムネ ...,2019-07-07T11:43:47Z
雪汝,xl5j4oJDLXc,【GTA5】どうしても女を抱きたい女達。【グラセフ５】【にじさんじ】,鈴鹿詩子さん→https://www.youtube.com/channel/UCwokZsOK_uEre70XayaFnzA サムネ絵（松尾さん）→https://twitter.com/hi_iam_matsuo にじさんじの雪汝（セツナ） ...,2019-05-17T13:28:15Z
雪汝,YkvPJMotYIU,面白動画３連発！【にじさんじ】,R6S ととさん→https://www.youtube.com/channel/UCYsZmFakurUubfI2f95MoAA アリスさん→https://www.youtube.com/channel/UCtJB7MUi1JHT7NXLgWF61ew ...,2019-05-14T13:27:44Z
雪汝,S9_Jh0A14nc,【DBD】初対面でさえ怒らせる神プレイがこちら！【デッドバイデイライト】【にじさんじ】,癒月ちょこさん→https://www.youtube.com/channel/UC1suqwovbL1kzsoaZgFZLKg 犬山たまき ...,2019-05-11T13:28:11Z
雪汝,K1zgHaX9WSA,【GTA5】エロス女王と暴力女王の混ぜるな危険ｗｗｗ【グラセフ５】【にじさんじ】,鈴鹿詩子さん→ https://www.youtube.com/channel/UCwokZsOK_uEre70XayaFnzA 移動中の絵（四季丸さん）→https://twitter.com/sikimaru69 雪汝サムネ絵（上糸 ...,2019-04-19T13:58:44Z
雪汝,s6B8Kjf9Es4,【Apex Legends】秒速で１乙稼ぐ男に一同驚きを隠せない・・・！【ネタ】【にじさんじ】,白百合さん→https://www.youtube.com/channel/UCl-3q6t6zdZwgIsFZELb7Zg 百鬼あやめさん→https://www.youtube.com/channel/UC7fk0CB07ly8oSl0aqKkqFg ...,2019-04-04T12:57:43Z
雪汝,cpLvlisl1-Q,【DBD】初対面からめちゃくちゃ怒られるんですけど！【デッドバイデイライト】【にじさんじ】,癒月ちょこさん→https://www.youtube.com/channel/UC1suqwovbL1kzsoaZgFZLKg 鷹宮リオン ...,2019-03-24T10:28:13Z
雪汝,v3HOQcPKWNw,【茶番】色々なんかアレな動画なので【ゲーム実況】【にじさんじ】,癒月ちょこ→https://www.youtube.com/channel/UC1suqwovbL1kzsoaZgFZLKg 宗谷いちか→https://www.youtube.com/channel/UC2kyQhzGOB-JPgcQX9OMgEw ...,2019-03-19T09:19:46Z
