streamer_name,videoId,title,description,publishedAt
飛鳥ひな,IHQjcn9iFxw,【あつまれどうぶつの森】虫取り大会と島の整備　#13,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 でつぶやいてね！ ○9月マンスリーボイス https://nijisanji.booth.pm/items/2323023 ☆新グッズ出ました！,2020-09-26T07:04:02Z
飛鳥ひな,yuXVLIrS7Ec,【少女終末旅行OP/cover】動く、動く【飛鳥ひな/朝霞しお】,原曲さま：TVアニメ 少女終末旅行 OP「動く、動く」 ／チト(CV.水瀬いのり)、ユーリ(CV.久保ユリカ) Shoujo Shuumatsu Ryokou OP □ Music&Lyric：毛蟹様 □ Vocal 飛鳥 ...,2020-09-17T12:00:12Z
飛鳥ひな,73dkKfZmKQI,たのしいおしらせ【にじさんじ/飛鳥ひな】,にじさんじ所属あすかひなだよ～ ○9月マンスリーボイス https://nijisanji.booth.pm/items/2323023 ☆新グッズ出ました！ https://booth.pm/ja/items/2348791 タンブラー ...,2020-09-09T11:11:35Z
飛鳥ひな,6tHlU77sBXs,【世界のアソビ大全】なかよくボドゲ【朝霞しお/飛鳥ひな】,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 朝霞しお https://www.youtube.com/channel/UCT0GhQ7cs_TOIwWoDUhKRbw ○8月マンスリーボイス ...,2020-08-28T15:27:13Z
飛鳥ひな,-bZ10w3MSFc,【2周年記念】これからもよろしくね【にじさんじ/飛鳥ひな】,2周年ありがとう！ これからもどうぞよろしくね。 2周年記念ボイス https://nijisanji.booth.pm/items/2293230 ○8月マンスリーボイス https://booth.pm/ja/items/2234468 ...,2020-08-22T13:54:44Z
飛鳥ひな,B566RxsRtNk,【FallGuys】お嬢様ですので罵倒なんてありえなくってよ【朝霞しお/飛鳥ひな】,にじさんじ所属飛鳥ひなだよ～ 罵倒禁止で綺麗な言葉で遊びます。 #ことりさん通信 朝霞しお https://www.youtube.com/channel/UCT0GhQ7cs_TOIwWoDUhKRbw ○8 ...,2020-08-14T15:49:51Z
飛鳥ひな,B04yZ5FsM2A,【Fall guys】とてもしずかにあそぶ【にじさんじ/飛鳥ひな】,もはや睡眠導入にもおすすめ 叫ばないあそびです #ことりさん通信 ○8月マンスリーボイス https://booth.pm/ja/items/2234468 ○メンバーシップはじめました！ 絵文字が ...,2020-08-12T14:04:08Z
飛鳥ひな,K1suZ4M-2Nk,【世界のアソビ大全】ハイテンションに遊ぶ【朝霞しお/飛鳥ひな】,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 朝霞しお https://www.youtube.com/channel/UCT0GhQ7cs_TOIwWoDUhKRbw ○8月マンスリーボイス ...,2020-08-07T15:53:21Z
飛鳥ひな,LqCAJ8Fuggs,【Fall guys】すごく静かに遊ぶ（眠くなるかも）【にじさんじ/飛鳥ひな】,にじさんじ所属飛鳥ひなだよ～ 叫ばないあそびです #ことりさん通信 ○8月マンスリーボイス https://booth.pm/ja/items/2234468 ○メンバーシップはじめました！ 絵文字が ...,2020-08-05T17:39:07Z
飛鳥ひな,gGHAOl0Gqoo,水中マリオカート【にじさんじ/飛鳥ひな/黒井しば/グウェル・オス・ガール】,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 マリオカート8 DELUXEをしながら沈みます。 グウェル・オス・ガール [YouTube] ...,2020-08-01T05:42:51Z
飛鳥ひな,gTRYZN53GQo,梅雨もそろそろ明けてきて夏ですね雑談【にじさんじ/飛鳥ひな】,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 イラスト：たけなしさん https://twitter.com/takena_C ○7月マンスリーボイス発売中！,2020-07-29T14:26:16Z
飛鳥ひな,NxbaXUAx1vI,【 ＃ボイコネ】リアルタイムで声劇挑戦【にじさんじ/飛鳥ひな/伏見ガク/瀬戸美夜子】,にじさんじ所属飛鳥ひなだよ～ 3人でスマホアプリ「ボイコネ」で声劇をするよ！ #ボイコネにじさんじ 提供：『ボイコネ』 ▽ダウンロードはこちら！,2020-07-28T12:10:45Z
飛鳥ひな,GhUwdYBxik0,【マイクラ】にじ鯖探検するよ～！#ハムタマゴドッグ 【にじさんじ/町田ちま/飛鳥ひな/黒井しば】,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 探検するよ～ 町田ちま [YouTube] https://www.youtube.com/channel/UCo7TRj3cS-f_1D9ZDmuTsjw [Twitter] ...,2020-07-25T11:54:04Z
飛鳥ひな,avV1kZl-Kic,YouTube登録７万人記念配信,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 ○7月マンスリーボイス発売中！ https://nijisanji.booth.pm/items/2168211 ○年末年始ボイス再販中！,2020-07-11T14:07:23Z
飛鳥ひな,KMsykEmNE04,【あつまれどうぶつの森】ジョニーと潮干狩りとダイビング　#12,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 でつぶやいてね！ ○7月マンスリーボイス発売中！ https://nijisanji.booth.pm/items/2168211 ○年末年始ボイス再販中！,2020-07-08T02:45:39Z
飛鳥ひな,19ENkSlOYag,"【ASMR/Binaural】まけんグミを食べる 【咀嚼音/Whispering,Dummy Head Mic KU100】",にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 #ASMR KU100 バイノーラルマイクを使って配信するよ。 イヤホンかヘッドホンを使って聴いてね。 杉本屋製菓株式会社さま ...,2020-07-06T13:37:57Z
飛鳥ひな,mY7kTBRRY_s,【ホラーゲーム】MOMO.EXE【にじさんじ/飛鳥ひな・町田ちま】#ひよこまち,にじさんじ所属飛鳥ひなだよ～ ちまちゃんとsteamのゲーム、MOMO.EXEを初見プレイするよ！ #ひよこまち でつぶやいてね！ 町田ちま ...,2020-07-05T13:50:21Z
飛鳥ひな,hkeHo4j4EFk,あつ森をしているひなを見守る朝の雑談,にじさんじ所属飛鳥ひなだよ～ #ことりさん通信 #雑談 あつまれどうぶつ森でダイビングをしています。潜るよ。 でもキャプチャ調子悪くて画面に写せなかったよごめんね。,2020-07-04T02:56:19Z
