streamer_name,videoId,title,description,publishedAt
魔界ノりりむ,uHECvV-q8Ac,【ポケモン剣盾】タイプ相性を覚える！！【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-31T22:33:25Z
魔界ノりりむ,nx6wtklWiTc,【ポケモン剣盾】前半：ポケモン交換会♡後半：ポケモンの師匠コウくんを呼んでパーティ決め【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-28T18:12:57Z
魔界ノりりむ,chaMkycfMxc,【ポケモン剣盾】DLC第2弾～冠の雪原クリアまで～【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-24T02:14:45Z
魔界ノりりむ,X1dn4pGN--s,【ポケモン剣盾】DLC第1弾～鎧の孤島クリアまで～【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-22T21:42:01Z
魔界ノりりむ,jxVmLMkT4LA,【】堕落してるクズ【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-16T22:59:18Z
魔界ノりりむ,fmYQw4h2FxI,【お勉強】英語は１番苦手…；；【#りりむとあそぼう /にじさんじ】,お借りしたサイト https://www.duolingo.com/learn ♡･･････♡･･････♡･･････♡･･････♡･･････♡･･････♡･･････♡ ▷◁…じこしょうかい 名前：魔界ノりりむ 本名：リリム・ ...,2020-10-13T16:34:38Z
魔界ノりりむ,bhYpLKrONn0,色んな事するから見てね♡【#りりむとあそぼう /にじさんじ】,喧嘩凸ゲスト 葛葉 https://www.youtube.com/channel/UCSFCh5NL4qXrAy9u-u2lX3g ※枠バグの為背景のピンクを黒くしています ...,2020-10-11T16:26:24Z
魔界ノりりむ,fXK--FRXaIU,【Fall Guys】シーズン２！最後にプチ発表もあるよ！【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-09T16:57:44Z
魔界ノりりむ,jcQZWQsbLlA,【APEX】ゆる～くプラチナ目指すぞ！【#りりむとあそぼう /にじさんじ】,じこしょうかい 名前：魔界ノりりむ 本名：リリム・キスミー・ラブリーハート＝ロリータニア 年齢：１０さい 種族：サキュバス 配信：ゲームを基本的にしてるよ！ 配信は気分 ...,2020-10-04T18:04:27Z
魔界ノりりむ,2MhpaXAU9Bc,【ずしり】みんなで「Apex Legends」を楽しもう！in YouTube Gaming Week【魔界ノりりむ /にじさんじ】,提供：Sponsored by EA 「#みんなでAPEX」をつけてSNSで応援してね！ 『みんなで「Apex Legends」の楽しもう！in YouTube Gaming Week』 参加クリエイターはこちら ...,2020-10-02T14:18:14Z
